s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa
 8.6000360E+002, 4.6290242E+001,-1.4050430E+001,-2.7405803E+001, 1.4255691E-001,-8.3300716E-006, 2.5661778E-003,-4.8940114E-001, 3.6293636E-001, 4.4897223E+000,-9.7440550E-004, 4.5793469E-003, 1.0763308E-003, 2.4652132E-004,-2.9819269E-001, 1.9676774E+004
 8.7000671E+002, 6.5416106E+001,-2.0645583E+001,-3.8132374E+001, 8.7515289E-002,-9.0387523E-006, 2.2770684E-003,-8.1559893E-001, 7.6198656E-001, 5.9123338E+000,-1.2108686E-003, 5.4543207E-003, 1.3375285E-003, 2.5487229E-004,-2.9819269E-001, 1.9817388E+004
 8.8000507E+002, 8.0002337E+001,-2.5583721E+001,-4.6242412E+001, 3.5095175E-002,-9.4832468E-006, 1.7282975E-003,-6.2700852E-001, 1.2962510E+000, 7.5860095E+000,-1.4737834E-003, 7.3685493E-003, 1.6279449E-003, 2.6556178E-004,-2.9819269E-001, 1.9924071E+004
 8.9000366E+002, 1.0952275E+002,-3.5477627E+001,-6.4130606E+001,-1.3111693E-001,-9.9770759E-006, 9.1184219E-004,-7.1951190E-001, 9.4438769E-001, 9.0647879E+000,-1.8704424E-003, 9.3426192E-003, 2.0660954E-003, 2.8080945E-004,-2.9819269E-001, 1.9980354E+004
 9.0000446E+002, 1.4646518E+002,-4.8086385E+001,-8.5157380E+001,-2.8147570E-001,-1.0572326E-005, 1.1956587E-003,-1.1245363E+000, 2.6395899E+000, 1.1816592E+001,-2.1557766E-003, 1.1711624E-002, 2.3812762E-003, 3.0206693E-004,-2.9819269E-001, 2.0054157E+004
 9.1000226E+002, 2.1004949E+002,-6.9778467E+001,-1.2549508E+002,-1.1099738E+000,-1.0678657E-005, 1.2964455E-003,-1.6636129E+000, 5.1459225E-001, 1.2003649E+001,-2.7429575E-003, 1.4862110E-002, 3.0298777E-003, 3.3579168E-004,-2.9819269E-001, 2.0134166E+004
 9.2000085E+002, 2.6603854E+002,-8.9309882E+001,-1.6103383E+002,-1.2612632E+000,-1.0635698E-005, 1.2448667E-003,-6.7672672E-001, 2.3258513E-001, 1.3758067E+001,-3.2705933E-003, 1.8015981E-002, 3.6127056E-003, 3.7987778E-004,-2.9819269E-001, 2.0210997E+004
 9.3000128E+002, 2.5716320E+002,-8.6957307E+001,-1.5333039E+002,-8.2355481E-001,-1.0248255E-005, 9.6151512E-004, 2.2225886E+000, 5.9680706E-001, 1.8275488E+001,-4.0823386E-003, 1.7381521E-002, 4.5093614E-003, 4.2977819E-004,-2.9819269E-001, 2.0270365E+004
 9.4000146E+002, 2.7693627E+002,-9.4122439E+001,-1.6458013E+002,-6.8198104E-001,-9.9135559E-006, 4.1662685E-004, 2.9798443E+000, 9.3928210E-001, 2.0531974E+001,-4.4890158E-003, 1.8107538E-002, 4.9585781E-003, 4.6733169E-004,-2.9819269E-001, 2.0296085E+004
 9.5000244E+002, 2.6307960E+002,-9.0203766E+001,-1.5618406E+002,-2.5729887E-001,-9.3567981E-006, 1.1725329E-003, 5.6128241E+000,-4.2461785E-001, 2.2048458E+001,-5.0459328E-003, 1.6923027E-002, 5.5737500E-003, 5.0478806E-004,-2.9819269E-001, 2.0368477E+004
 9.6000201E+002, 2.7739422E+002,-9.5269372E+001,-1.6251273E+002,-8.2287452E-002,-8.7354399E-006,-1.2120586E-003, 6.0408090E+000, 1.3380766E+000, 2.5569421E+001,-5.3994222E-003, 1.7869987E-002, 5.9642154E-003, 5.5808290E-004,-2.9819269E-001, 2.0293707E+004
 9.7000079E+002, 2.7176336E+002,-9.2547157E+001,-1.6183866E+002, 1.4493054E-001,-7.9462129E-006,-4.7782324E-003, 8.6591565E+000,-1.7011325E+000, 2.6176845E+001,-6.2033318E-003, 1.7247802E-002, 6.8522159E-003, 6.3541568E-004,-2.9819269E-001, 1.9998797E+004
 9.8000012E+002, 2.5476900E+002,-8.6880627E+001,-1.4837971E+002, 1.4138294E-001,-6.8377120E-006,-1.3090802E-003, 1.1373358E+001, 1.5756075E+000, 3.1022080E+001,-6.4999413E-003, 1.7149602E-002, 7.1798515E-003, 6.8092987E-004,-2.9819269E-001, 1.9917968E+004
 9.9000165E+002, 2.3679183E+002,-8.0708744E+001,-1.3977860E+002, 2.9737606E-001,-5.3557998E-006,-4.3133581E-004, 1.3234398E+001,-1.3535076E+000, 2.9835820E+001,-6.8539762E-003, 1.4200578E-002, 7.5709193E-003, 6.9239067E-004,-2.9819269E-001, 1.9891316E+004
 1.0000004E+003, 2.4442083E+002,-8.3704131E+001,-1.4294186E+002, 3.1172660E-001,-3.3353026E-006,-4.5411951E-004, 1.3995593E+001, 3.4547024E-001, 3.2081702E+001,-6.9565029E-003, 1.6438398E-002, 7.6841706E-003, 6.9615397E-004,-2.9819269E-001, 1.9863286E+004
 1.0100019E+003, 2.5764896E+002,-8.8003112E+001,-1.4890568E+002, 2.9783985E-001, 7.5528843E-007,-5.9505221E-005, 1.3883686E+001, 5.8880222E-001, 3.4921636E+001,-7.5319601E-003, 1.6245464E-002, 8.3198220E-003, 7.3977339E-004,-2.9819269E-001, 1.9859632E+004
 1.0200005E+003, 2.7542512E+002,-9.4562785E+001,-1.5798442E+002, 3.5448332E-001,-2.5796246E-005, 8.8790899E-005, 1.6237068E+001, 1.0935016E+000, 3.9469526E+001,-8.4408740E-003, 1.8390800E-002, 9.3238106E-003, 8.1342878E-004,-2.9819269E-001, 1.9865080E+004
 1.0300035E+003, 2.7327120E+002,-9.4689542E+001,-1.5885017E+002, 4.7389777E-001,-1.1784450E-003,-6.6513240E-004, 1.9506675E+001, 1.4457274E-001, 3.9710219E+001,-8.7188232E-003, 1.7811473E-002, 9.6308340E-003, 8.2841354E-004,-2.9819269E-001, 1.9824075E+004
 1.0400013E+003, 2.9954433E+002,-1.0331846E+002,-1.7491669E+002, 3.5077620E-001,-1.7282878E-004, 4.4249650E-003, 2.2106330E+001, 9.7574171E-001, 4.3770536E+001,-9.4159823E-003, 1.8259683E-002, 1.0400918E-002, 8.5029774E-004,-2.9819269E-001, 2.0096740E+004
 1.0500007E+003, 3.1888313E+002,-1.0941594E+002,-1.8760709E+002, 3.5596517E-001,-5.1078858E-004,-3.2554201E-001, 2.4475403E+001, 1.5918203E+000, 4.6365413E+001,-9.8746431E-003, 1.9826348E-002, 1.0907556E-002, 8.5531101E-004,-2.9819269E-001, 2.8822421E+000
 1.0600044E+003, 2.9447900E+002,-9.9887592E+001,-1.7551355E+002, 4.5614069E-001,-4.6951654E-003,-5.1390809E-005, 2.3466352E+001,-2.6857585E+000, 4.2995610E+001,-1.0023161E-002, 1.6870783E-002, 1.1071609E-002, 9.5203775E-004,-2.9819269E-001,-2.9804882E-001
 1.0700006E+003, 2.7070684E+002,-9.1160618E+001,-1.5725443E+002, 5.2299261E-001,-1.6070222E-002,-2.3262338E-009, 2.4240905E+001,-6.9360621E-001, 4.7039624E+001,-1.0407256E-002, 1.6865032E-002, 1.1495882E-002, 1.0841310E-003,-2.9819269E-001,-2.9819268E-001
 1.0800035E+003, 2.5381607E+002,-8.5671721E+001,-1.4573533E+002, 6.1326846E-001,-3.7544442E-002,-3.5374288E-013, 2.6493568E+001, 3.1659837E-001, 4.9478311E+001,-1.0715923E-002, 1.5000298E-002, 1.1836836E-002, 1.1040677E-003,-2.9819269E-001,-2.9819269E-001
 1.0900009E+003, 2.5256173E+002,-8.4364036E+001,-1.4581732E+002, 5.4318788E-001,-3.9318086E-002,-3.0259371E-013, 2.6817502E+001, 2.0944733E-001, 4.9701745E+001,-1.0736286E-002, 1.5630993E-002, 1.1859328E-002, 1.0188111E-003,-2.9819269E-001,-2.9819269E-001
 1.1000016E+003, 2.8101050E+002,-9.3976914E+001,-1.6296678E+002, 5.2809344E-001,-6.7397335E-002,-2.9940542E-013, 2.6097764E+001, 1.0916011E+000, 5.0625263E+001,-1.0745697E-002, 1.8229057E-002, 1.1869723E-002, 1.0669560E-003,-2.9819269E-001,-2.9819269E-001
 1.1100028E+003, 2.8456842E+002,-9.4324475E+001,-1.6417995E+002, 4.8838607E-001,-7.9427290E-002,-2.9766146E-013, 2.8206728E+001, 4.4660035E-001, 5.4679687E+001,-1.1783400E-002, 1.8597571E-002, 1.3015974E-002, 1.1475644E-003,-2.9819269E-001,-2.9819269E-001
 1.1200016E+003, 2.8739152E+002,-9.7104052E+001,-1.6868521E+002, 4.7656382E-001,-6.4727472E-002,-2.9759433E-013, 3.1607857E+001,-8.4954731E-001, 5.3621949E+001,-1.1823126E-002, 1.8801045E-002, 1.3059855E-002, 1.0898648E-003,-2.9819269E-001,-2.9819269E-001
 1.1300009E+003, 2.8623889E+002,-9.5469882E+001,-1.6883259E+002, 4.4626744E-001,-1.1860420E-001,-2.9757769E-013, 3.3965593E+001, 9.8398394E-001, 5.6229675E+001,-1.2014545E-002, 2.0074199E-002, 1.3271297E-002, 1.0928537E-003,-2.9819269E-001,-2.9819269E-001
 1.1400018E+003, 2.9325423E+002,-9.8517306E+001,-1.7343091E+002, 3.7539128E-001,-1.7916476E-001,-2.9751988E-013, 3.4677783E+001, 1.5615615E-001, 5.6180027E+001,-1.2162558E-002, 1.8344736E-002, 1.3434792E-002, 1.0517416E-003,-2.9819269E-001,-2.9819269E-001
 1.1500002E+003, 2.9299761E+002,-9.9503703E+001,-1.7250310E+002, 2.8031639E-001,-1.7512765E-001,-2.9745582E-013, 3.4980908E+001,-2.2757987E-001, 5.6076904E+001,-1.2226721E-002, 1.9725485E-002, 1.3505667E-002, 1.0343031E-003,-2.9819269E-001,-2.9819269E-001
 1.1600010E+003, 3.1751517E+002,-1.0788334E+002,-1.8594718E+002, 1.3240541E-001,-1.8383765E-001,-2.9730447E-013, 3.6324142E+001, 4.0922788E-001, 5.9957366E+001,-1.2947499E-002, 2.0810754E-002, 1.4301839E-002, 1.0474486E-003,-2.9819269E-001,-2.9819269E-001
 1.1700027E+003, 2.9964045E+002,-1.0259907E+002,-1.7460538E+002, 6.4803620E-002,-1.7037466E-001,-2.9738775E-013, 4.6703523E+001,-7.6268078E-001, 6.9033951E+001,-1.5220743E-002, 1.9079779E-002, 1.6812871E-002, 1.0856109E-003,-2.9819269E-001,-2.9819269E-001
 1.1800020E+003, 3.0146336E+002,-1.0340113E+002,-1.7691073E+002, 9.2086359E-003,-1.6667959E-001,-2.9737607E-013, 4.8584314E+001,-3.0096493E-001, 6.9578349E+001,-1.5261889E-002, 1.8358620E-002, 1.6858321E-002, 1.0310244E-003,-2.9819269E-001,-2.9819269E-001
 1.1900021E+003, 2.9542542E+002,-1.0048858E+002,-1.7473102E+002,-5.2105122E-002,-1.7380298E-001,-2.9736901E-013, 4.7362032E+001, 7.6605023E-001, 6.7341944E+001,-1.4502538E-002, 1.9465651E-002, 1.6019540E-002, 9.7098843E-004,-2.9819269E-001,-2.9819269E-001
 1.2000005E+003, 3.1994120E+002,-1.1008150E+002,-1.8847078E+002,-1.6482565E-001,-1.9813912E-001,-2.9729063E-013, 5.3459500E+001, 2.8416506E-001, 7.4485460E+001,-1.6143022E-002, 1.8803558E-002, 1.7831623E-002, 9.6707907E-004,-2.9819269E-001,-2.9819269E-001
 1.2100023E+003, 3.2390437E+002,-1.1213218E+002,-1.9255166E+002,-2.7720502E-001,-2.1995178E-001,-2.9746247E-013, 5.3415472E+001, 5.5232356E-001, 7.2138846E+001,-1.5566923E-002, 1.8797708E-002, 1.7195262E-002, 9.1963623E-004,-2.9819269E-001,-2.9819269E-001
 1.2200022E+003, 3.1492965E+002,-1.0833434E+002,-1.8885110E+002,-5.0530045E-001,-3.0376541E-001,-2.9755623E-013, 5.6344133E+001,-2.1171987E-001, 7.3279269E+001,-1.6009542E-002, 1.8528442E-002, 1.7684180E-002, 8.9185893E-004,-2.9819269E-001,-2.9819269E-001
 1.2300020E+003, 3.0434556E+002,-1.0460147E+002,-1.8035011E+002,-5.4336724E-001,-2.9724983E-001,-2.9745657E-013, 6.3732930E+001,-1.4796952E-001, 8.2286293E+001,-1.7970461E-002, 1.6359377E-002, 1.9850217E-002, 8.3921709E-004,-2.9819269E-001,-2.9819269E-001
 1.2400006E+003, 3.1035853E+002,-1.0484526E+002,-1.8589386E+002,-6.7464685E-001,-1.5679241E-001,-2.9769656E-013, 6.1711637E+001, 8.6080613E-001, 8.0499612E+001,-1.7410447E-002, 1.7227825E-002, 1.9231623E-002, 8.7171659E-004,-2.9819269E-001,-2.9819269E-001
 1.2500016E+003, 3.1516125E+002,-1.0693855E+002,-1.8642717E+002,-7.3300924E-001,-1.0056434E-001,-2.9767459E-013, 6.6530928E+001,-2.7445340E-001, 8.7492890E+001,-1.9182787E-002, 1.6033905E-002, 2.1189355E-002, 8.9914104E-004,-2.9819269E-001,-2.9819269E-001
 1.2600031E+003, 3.0774998E+002,-1.0348698E+002,-1.8402806E+002,-7.6923594E-001,-8.5550315E-002,-2.9797570E-013, 6.6304291E+001,-3.7209399E-001, 8.5684434E+001,-1.8834887E-002, 1.7076760E-002, 2.0805064E-002, 8.6241884E-004,-2.9819269E-001,-2.9819269E-001
 1.2700005E+003, 3.0324265E+002,-1.0160458E+002,-1.8366699E+002,-8.2159216E-001,-7.2174620E-002,-2.9782691E-013, 6.5787086E+001, 5.7250555E-001, 8.2864397E+001,-1.7970252E-002, 1.6815518E-002, 1.9849986E-002, 8.3982948E-004,-2.9819269E-001,-2.9819269E-001
 1.2800032E+003, 3.0344753E+002,-1.0141845E+002,-1.8383775E+002,-7.7523005E-001,-6.6102944E-002,-2.9712571E-013, 6.3685919E+001, 4.2515170E-001, 8.1035919E+001,-1.7605533E-002, 1.6525715E-002, 1.9447116E-002, 9.0286077E-004,-2.9819269E-001,-2.9819269E-001
 1.2900029E+003, 2.9613268E+002,-9.7535743E+001,-1.7997815E+002,-7.2784411E-001,-6.4329375E-002,-2.9726432E-013, 6.5688254E+001,-8.6317896E-001, 8.3514872E+001,-1.8407340E-002, 1.5824603E-002, 2.0332794E-002, 9.3562401E-004,-2.9819269E-001,-2.9819269E-001
 1.3000031E+003, 2.9568420E+002,-9.5612635E+001,-1.8023794E+002,-7.2084824E-001,-4.9538839E-002,-2.9662069E-013, 6.3586643E+001, 3.5323743E-001, 8.2649876E+001,-1.7949085E-002, 1.5685263E-002, 1.9826605E-002, 9.6084796E-004,-2.9819269E-001,-2.9819269E-001
 1.3100027E+003, 3.0858582E+002,-9.9453253E+001,-1.8593721E+002,-7.2032857E-001,-4.1950719E-002,-2.9619443E-013, 6.2026474E+001, 8.9907005E-001, 8.4459549E+001,-1.8232422E-002, 1.7310359E-002, 2.0139579E-002, 9.8513792E-004,-2.9819269E-001,-2.9819269E-001
 1.3200011E+003, 3.0199130E+002,-9.8277692E+001,-1.8509867E+002,-6.3332172E-001,-3.9926384E-002,-2.9684049E-013, 6.5665025E+001,-1.3818235E+000, 8.3606710E+001,-1.8551488E-002, 1.7112711E-002, 2.0492020E-002, 9.5592401E-004,-2.9819269E-001,-2.9819269E-001
 1.3300000E+003, 3.0804408E+002,-9.8021187E+001,-1.8988290E+002,-5.8068961E-001,-2.9217911E-002,-2.9622809E-013, 5.8872016E+001, 1.2148623E+000, 7.8402108E+001,-1.6865379E-002, 1.6661609E-002, 1.8629540E-002, 9.9317200E-004,-2.9819269E-001,-2.9819269E-001
 1.3400005E+003, 3.0055421E+002,-9.3776602E+001,-1.8742723E+002,-5.8688122E-001,-3.1071342E-002,-2.9765161E-013, 5.7499468E+001,-1.6989050E-001, 7.6231903E+001,-1.6722989E-002, 1.7719174E-002, 1.8472256E-002, 1.0302303E-003,-2.9819269E-001,-2.9819269E-001
 1.3500010E+003, 2.9036417E+002,-8.9764538E+001,-1.8174789E+002,-5.7153391E-001,-3.2776107E-002,-2.9748974E-013, 5.3088188E+001,-4.4421765E-001, 7.1335617E+001,-1.5692857E-002, 1.6186696E-002, 1.7334369E-002, 1.0250332E-003,-2.9819269E-001,-2.9819269E-001
 1.3600026E+003, 2.8593394E+002,-8.8355869E+001,-1.7698194E+002,-4.6465474E-001,-2.7982561E-002,-2.9725186E-013, 5.2404401E+001, 3.8204768E-001, 7.2507887E+001,-1.5783110E-002, 1.7102677E-002, 1.7434063E-002, 9.3915933E-004,-2.9819269E-001,-2.9819269E-001
 1.3700022E+003, 3.1349841E+002,-9.7173268E+001,-1.9417558E+002,-4.5033792E-001,-1.0377634E-002,-2.9713382E-013, 4.6715931E+001, 1.2005312E+000, 6.8404785E+001,-1.4709709E-002, 1.9251861E-002, 1.6248382E-002, 9.4139625E-004,-2.9819269E-001,-2.9819269E-001
 1.3800016E+003, 3.2429285E+002,-1.0003700E+002,-2.0320054E+002,-4.2889575E-001,-4.4100856E-003,-2.9689017E-013, 4.7582632E+001, 5.7605810E-001, 6.8204637E+001,-1.4827747E-002, 1.9330784E-002, 1.6378767E-002, 9.5159026E-004,-2.9819269E-001,-2.9819269E-001
 1.3900000E+003, 3.3466345E+002,-1.0441054E+002,-2.1122337E+002,-4.1659855E-001,-3.5344803E-003,-2.9752979E-013, 4.7714765E+001,-1.0132906E+000, 6.6324170E+001,-1.4785367E-002, 1.9613498E-002, 1.6331954E-002, 9.5758393E-004,-2.9819269E-001,-2.9819269E-001
 1.4000013E+003, 3.3004781E+002,-1.0392252E+002,-2.0183239E+002,-3.5461978E-001,-5.8796114E-003,-2.9829247E-013, 4.8940627E+001,-2.6916683E-001, 7.2873019E+001,-1.6009402E-002, 1.8751654E-002, 1.7684026E-002, 9.1048745E-004,-2.9819269E-001,-2.9819269E-001
 1.4100024E+003, 3.3582523E+002,-1.0696020E+002,-2.0351477E+002,-3.8968848E-001, 2.2966483E-004,-2.9795526E-013, 5.2847068E+001,-6.7332153E-002, 7.7807860E+001,-1.7006403E-002, 1.8934321E-002, 1.8785315E-002, 8.7620899E-004,-2.9819269E-001,-2.9819269E-001
 1.4200001E+003, 3.0572727E+002,-9.6631195E+001,-1.8569121E+002,-3.1270103E-001, 3.8335073E-003,-2.9756846E-013, 5.6319611E+001,-7.6098238E-001, 7.9415604E+001,-1.7485297E-002, 1.6390678E-002, 1.9314303E-002, 9.2760812E-004,-2.9819269E-001,-2.9819269E-001
 1.4300007E+003, 3.0402309E+002,-9.6449726E+001,-1.8475164E+002,-3.5124240E-001, 1.2403084E-003,-2.9590902E-013, 5.6050784E+001, 1.6941792E-001, 7.8522512E+001,-1.7090579E-002, 1.7835453E-002, 1.8878296E-002, 8.8790448E-004,-2.9819269E-001,-2.9819269E-001
 1.4400000E+003, 2.8660629E+002,-9.0940517E+001,-1.7309541E+002,-3.1629258E-001,-3.1990590E-002,-2.9682655E-013, 5.9651275E+001, 7.0619859E-002, 8.1873355E+001,-1.7857998E-002, 1.5695401E-002, 1.9725989E-002, 8.8293472E-004,-2.9819269E-001,-2.9819269E-001
 1.4500037E+003, 2.9863277E+002,-9.5267685E+001,-1.8358965E+002,-3.8133201E-001,-4.5479941E-002,-2.9659163E-013, 5.7454644E+001,-3.0190044E-001, 7.6803264E+001,-1.6815994E-002, 1.6814882E-002, 1.8574989E-002, 8.9293449E-004,-2.9819269E-001,-2.9819269E-001
 1.4600002E+003, 2.7992070E+002,-8.9800125E+001,-1.7075866E+002,-3.5653532E-001,-1.5942483E-001,-2.9620303E-013, 6.1228009E+001,-5.3248783E-001, 8.0073968E+001,-1.7585121E-002, 1.5494055E-002, 1.9424569E-002, 7.6853394E-004,-2.9819269E-001,-2.9819269E-001
 1.4700027E+003, 2.8154896E+002,-9.0669560E+001,-1.7468351E+002,-3.3689974E-001,-1.3124428E-001,-2.9667833E-013, 5.8016000E+001, 4.0063309E-002, 7.3743744E+001,-1.6078129E-002, 1.7328001E-002, 1.7759941E-002, 7.2485474E-004,-2.9819269E-001,-2.9819269E-001
 1.4800032E+003, 2.8250590E+002,-9.2405385E+001,-1.7396600E+002,-3.5613151E-001,-1.6178197E-001,-2.9636785E-013, 5.9960856E+001,-3.6619773E-001, 7.5577450E+001,-1.6574753E-002, 1.4063176E-002, 1.8308514E-002, 8.0880273E-004,-2.9819269E-001,-2.9819269E-001
 1.4900010E+003, 2.6008206E+002,-8.5229756E+001,-1.5380634E+002,-4.3655986E-001,-1.8494908E-001,-2.9645950E-013, 6.4707036E+001, 2.1887968E-001, 8.5131492E+001,-1.8551876E-002, 1.3751957E-002, 2.0492449E-002, 7.3241789E-004,-2.9819269E-001,-2.9819269E-001
 1.5000005E+003, 2.7995181E+002,-9.3465001E+001,-1.6568178E+002,-5.0493538E-001,-1.2795184E-001,-2.9736925E-013, 6.3918006E+001, 6.2676659E-001, 8.4090147E+001,-1.8198856E-002, 1.5228278E-002, 2.0102502E-002, 5.4919455E-004,-2.9819269E-001,-2.9819269E-001
 1.5100015E+003, 2.9231529E+002,-9.9950312E+001,-1.7683473E+002,-5.7848609E-001,-1.1674499E-001,-2.9732189E-013, 6.3611714E+001, 1.4210184E-001, 7.8446737E+001,-1.7023621E-002, 1.7345122E-002, 1.8804334E-002, 5.9866012E-004,-2.9819269E-001,-2.9819269E-001
 1.5200011E+003, 2.7263567E+002,-9.4732853E+001,-1.6129858E+002,-7.1350345E-001,-2.1307375E-001,-2.9663295E-013, 7.4567426E+001,-4.1191025E-001, 9.0245086E+001,-1.9746086E-002, 1.2804932E-002, 2.1811576E-002, 7.3200809E-004,-2.9819269E-001,-2.9819269E-001
 1.5300001E+003, 2.7494229E+002,-9.7380452E+001,-1.6149772E+002,-7.2134285E-001,-1.9006555E-001,-2.9667164E-013, 7.7526299E+001, 1.7334088E-001, 9.2679006E+001,-2.0116292E-002, 1.4767607E-002, 2.2220506E-002, 5.1133437E-004,-2.9819269E-001,-2.9819269E-001
 1.5400010E+003, 2.7360138E+002,-9.9523180E+001,-1.6612204E+002,-7.0099110E-001,-2.9440260E-001,-2.9703807E-013, 7.8894210E+001,-1.6573146E-001, 8.5854973E+001,-1.8697690E-002, 1.4586775E-002, 2.0653516E-002, 3.3918425E-004,-2.9819269E-001,-2.9819269E-001
 1.5500009E+003, 2.9474042E+002,-1.0888160E+002,-1.7860517E+002,-8.4276496E-001,-5.0839574E-001,-2.9691567E-013, 7.7250197E+001, 9.0582366E-001, 8.3152688E+001,-1.7863997E-002, 1.4607838E-002, 1.9732616E-002, 3.0626742E-004,-2.9819269E-001,-2.9819269E-001
 1.5600032E+003, 2.5731319E+002,-1.0043052E+002,-1.5079669E+002,-1.0464280E+000,-6.3974665E-001,-2.9690226E-013, 9.2994004E+001,-1.9693800E+000, 9.7393799E+001,-2.1594311E-002, 1.0319746E-002, 2.3853130E-002, 2.5690042E-004,-2.9819269E-001,-2.9819269E-001
 1.5700000E+003, 2.2466140E+002,-8.8445768E+001,-1.3022954E+002,-1.1615702E+000,-2.4198064E-001,-2.9758432E-013, 9.9316927E+001,-5.5964756E-001, 1.0389947E+002,-2.2783715E-002, 7.4885801E-003, 2.5166949E-002, 1.3353411E-004,-2.9819269E-001,-2.9819269E-001
 1.5800018E+003, 1.8099866E+002,-7.9106157E+001,-9.3990073E+001,-1.3689725E+000,-1.3190212E-001,-2.9635387E-013, 1.1523286E+002,-1.7705136E+000, 1.2163441E+002,-2.6941442E-002, 3.4939357E-003, 2.9759584E-002, 2.7802419E-005,-2.9819269E-001,-2.9819269E-001
 1.5900017E+003, 1.4622611E+002,-6.9361261E+001,-7.2400109E+001,-1.0458987E+000,-3.5784852E-002,-2.8337876E-013, 1.2051563E+002,-3.4820275E-001, 1.2389869E+002,-2.7173292E-002, 1.7973380E-003, 3.0015687E-002, 2.9173962E-006,-2.9819269E-001,-2.9819269E-001
 1.6000032E+003, 1.3136393E+002,-6.1202640E+001,-7.0202801E+001,-7.0372646E-001,-5.0511162E-004,-2.7323843E-013, 1.1558689E+002,-3.3655453E-001, 1.1484115E+002,-2.5212013E-002, 1.4193210E-003, 2.7849253E-002, 7.2448636E-008,-2.9819269E-001,-2.9819269E-001
 1.6100042E+003, 1.1791135E+002,-5.3885460E+001,-6.9192974E+001,-4.8394016E-001, 1.0940373E-006,-2.7411711E-013, 1.0894181E+002,-3.1158089E-001, 1.0329079E+002,-2.2670296E-002, 1.2619960E-003, 2.5041666E-002, 1.8160066E-008,-2.9819269E-001,-2.9819269E-001
 1.6200020E+003, 1.0573903E+002,-4.6945527E+001,-6.6661044E+001,-2.6804387E-001, 5.8225147E-007,-2.7458647E-013, 1.0079067E+002,-7.2035250E-001, 9.2655083E+001,-2.0431254E-002, 1.0951754E-003, 2.2568415E-002, 1.0425452E-008,-2.9819269E-001,-2.9819269E-001
 1.6300006E+003, 9.6175086E+001,-4.1425584E+001,-6.4590929E+001,-5.1076427E-002, 3.0450841E-007,-2.7241606E-013, 9.5413131E+001,-3.2239343E-001, 8.5520628E+001,-1.8763301E-002, 9.2876394E-004, 2.0725990E-002, 6.6611093E-009,-2.9819269E-001,-2.9819269E-001
 1.6400006E+003, 7.8769764E+001,-3.1658846E+001,-6.1943878E+001, 1.6676923E-001, 1.7530165E-007,-2.7355275E-013, 8.4341961E+001,-8.9663412E-001, 6.9675770E+001,-1.5397705E-002, 7.4957477E-004, 1.7008344E-002, 4.6161729E-009,-2.9819269E-001,-2.9819269E-001
 1.6500022E+003, 5.7061376E+001,-2.0483844E+001,-5.8698713E+001, 3.4364751E-001, 1.0819283E-007,-2.7354764E-013, 7.1519917E+001,-1.2967048E+000, 4.9742384E+001,-1.1124082E-002, 5.5367295E-004, 1.2287689E-002, 3.4183319E-009,-2.9819269E-001,-2.9819269E-001
 1.6600042E+003, 2.0430483E+001, 3.0477987E-002,-4.8719756E+001, 4.7915617E-001, 7.1891724E-008,-2.6944939E-013, 4.2326587E+001,-2.0630087E+000, 1.4546948E+001,-3.6157926E-003, 3.3418764E-004, 3.9940136E-003, 2.6807866E-009,-2.9819269E-001,-2.9819269E-001
 1.6700074E+003, 7.7546573E+000, 2.6778100E+000,-3.1901727E+001, 5.3018333E-001, 5.0315742E-008,-2.3878073E-013, 2.4787484E+001,-2.1238615E+000, 3.8484078E+000,-1.3019569E-003, 1.5254899E-004, 1.4381448E-003, 2.1964445E-009,-2.9819269E-001,-2.9819269E-001
 1.6800016E+003, 2.2499912E+000, 2.0782166E+000,-1.7226932E+001, 5.2977584E-001, 3.6951934E-008,-1.9624887E-013, 1.2128513E+001,-1.7859917E+000,-2.4043566E-001,-3.3832107E-004, 5.8803715E-005, 3.7371030E-004, 1.8633083E-009,-2.9819269E-001,-2.9819269E-001
 1.6900161E+003, 5.9131037E-001, 1.3113264E+000,-7.5164401E+000, 5.1240087E-001, 2.8061977E-008,-1.5463794E-013, 4.3020413E+000,-1.0323244E+000,-7.9936110E-001,-5.2453174E-005, 2.9084140E-005, 5.7939907E-005, 1.6244648E-009,-2.9819269E-001,-2.9819269E-001
 1.7000144E+003, 3.4313862E-001, 1.0456643E+000,-3.6621646E+000, 4.9564153E-001, 2.1900317E-008,-1.2123096E-013, 1.4280170E+000,-4.1353496E-001,-3.4970315E-001,-1.3930823E-005, 2.3090889E-005, 1.5388022E-005, 1.4463345E-009,-2.9819269E-001,-2.9819269E-001
 1.7100044E+003, 3.2077580E-001, 9.7321421E-001,-2.5466729E+000, 4.8051453E-001, 1.7619353E-008,-1.0395703E-013, 6.7462833E-001,-1.5891346E-001,-9.7540005E-002,-1.2707853E-005, 2.1715829E-005, 1.4037126E-005, 1.3100804E-009,-2.9819269E-001,-2.9819269E-001
 1.7200166E+003, 3.1087512E-001, 9.4482778E-001,-2.1617832E+000, 4.6385697E-001, 1.4540373E-008,-1.0372830E-013, 4.2815972E-001,-7.2811930E-002,-1.4063607E-002,-1.1966998E-005, 2.1179923E-005, 1.3218776E-005, 1.2047649E-009,-2.9819269E-001,-2.9819269E-001
