s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa
 8.0000006E+002, 2.0839332E+000, 7.5015662E+000,-1.4852193E+001,-2.6667362E+001, 1.0575346E+000, 1.3733052E-007,-8.1568464E-013, 3.2770346E+001, 3.9937301E-002, 1.8938244E+000,-1.6745401E-003, 1.7442901E-004, 1.8497012E-003, 1.2742421E-008,-2.9819269E-001,-2.9819269E-001
 8.1000061E+002, 2.0385797E+000, 6.7281580E+000,-1.4205233E+001,-2.5097161E+001, 1.2336678E+000, 1.3618803E-007,-8.1989286E-013, 3.3210714E+001,-9.0773789E-001, 3.9087259E+000,-1.5018958E-003, 1.6039061E-004, 1.6589979E-003, 1.2741847E-008,-2.9819269E-001,-2.9819269E-001
 8.2000012E+002, 1.7986482E+000, 5.9975665E+000,-1.3549616E+001,-2.0016362E+001, 1.2931666E+000, 1.2669835E-007,-8.2126222E-013, 2.3192574E+001, 1.8313249E+000,-1.2840223E+000,-1.3388092E-003, 1.4609696E-004, 1.4788520E-003, 1.2641816E-008,-2.9819269E-001,-2.9819269E-001
 8.3000031E+002, 1.5448214E+000, 5.0508228E+000,-1.2970230E+001,-2.6298222E+001, 1.2810188E+000, 1.1940687E-007,-8.2063393E-013, 2.7846885E+001,-2.2638105E+000,-3.5449038E+000,-1.1274720E-003, 1.2122742E-004, 1.2454084E-003, 1.2414787E-008,-2.9819269E-001,-2.9819269E-001
 8.4000092E+002, 1.2973106E+000, 3.8732294E+000,-1.1984673E+001,-1.9719942E+001, 1.2947607E+000, 1.1243484E-007,-8.2065987E-013, 2.4615727E+001,-1.9311163E-001,-6.2358698E-001,-8.6460319E-004, 9.8758053E-005, 9.5504285E-004, 1.2168017E-008,-2.9819269E-001,-2.9819269E-001
 8.5000067E+002, 1.2411251E+000, 3.4223588E+000,-1.1942485E+001,-1.9314544E+001, 1.2795472E+000, 1.0548130E-007,-8.2045653E-013, 2.5290567E+001,-4.5456385E-001,-2.3430173E-002,-7.6395742E-004, 9.1457718E-005, 8.4386928E-004, 1.1924048E-008,-2.9819269E-001,-2.9819269E-001
 8.6000049E+002, 1.2997698E+000, 3.1022863E+000,-1.1868109E+001,-1.8110585E+001, 1.2830372E+000, 1.0002578E-007,-8.2062223E-013, 2.4047715E+001,-1.6107247E-001,-2.4588649E-001,-6.9250912E-004, 8.6364071E-005, 7.6494732E-004, 1.1685376E-008,-2.9819269E-001,-2.9819269E-001
 8.7000018E+002, 1.1692730E+000, 2.9952360E+000,-1.1776099E+001,-1.7391531E+001, 1.2726758E+000, 9.5171058E-008,-8.2071108E-013, 2.3481268E+001, 1.1846640E-002,-2.4917716E-001,-6.6861276E-004, 8.4081203E-005, 7.3855134E-004, 1.1467473E-008,-2.9819269E-001,-2.9819269E-001
 8.8000037E+002, 1.2338585E+000, 2.8894436E+000,-1.1750108E+001,-1.7450904E+001, 1.2644829E+000, 9.1177039E-008,-8.2068823E-013, 2.3369150E+001,-5.4071581E-002,-4.4407707E-001,-6.4499721E-004, 8.2342627E-005, 7.1246554E-004, 1.1269807E-008,-2.9819269E-001,-2.9819269E-001
 8.9000049E+002, 1.3464520E+000, 2.8083887E+000,-1.1714764E+001,-1.7306026E+001, 1.2522720E+000, 8.7650661E-008,-8.2077178E-013, 2.3477185E+001, 6.6836964E-002,-1.3649163E-001,-6.2690371E-004, 8.0945266E-005, 6.9247941E-004, 1.1096143E-008,-2.9819269E-001,-2.9819269E-001
 9.0000031E+002, 1.3121718E+000, 2.7682260E+000,-1.1727154E+001,-1.7354565E+001, 1.2503944E+000, 8.4513921E-008,-8.2073616E-013, 2.3066590E+001,-1.3670144E-001,-6.8433765E-001,-6.1793838E-004, 8.0275201E-005, 6.8257628E-004, 1.0940592E-008,-2.9819269E-001,-2.9819269E-001
 9.1000031E+002, 1.3090903E+000, 2.7540116E+000,-1.1733904E+001,-1.7244548E+001, 1.2485159E+000, 8.1128068E-008,-8.2084139E-013, 2.3288200E+001, 3.6408435E-002,-3.7863419E-001,-6.1476536E-004, 8.0017771E-005, 6.7907136E-004, 1.0796996E-008,-2.9819269E-001,-2.9819269E-001
 9.2000049E+002, 1.2010137E+000, 2.7310710E+000,-1.1721650E+001,-1.7151523E+001, 1.2411085E+000, 7.8560743E-008,-8.2082530E-013, 2.3117597E+001,-6.5651002E-002,-5.8238278E-001,-6.0964443E-004, 7.9456602E-005, 6.7341476E-004, 1.0658405E-008,-2.9819269E-001,-2.9819269E-001
 9.3000018E+002, 1.3141525E+000, 2.6896963E+000,-1.1716902E+001,-1.7077516E+001, 1.2341025E+000, 7.6052286E-008,-8.2076614E-013, 2.3055585E+001, 6.4597777E-002,-5.0088186E-001,-6.0040854E-004, 7.8618206E-005, 6.6321278E-004, 1.0532121E-008,-2.9819269E-001,-2.9819269E-001
 9.4000043E+002, 1.3411224E+000, 2.6669886E+000,-1.1694595E+001,-1.7262126E+001, 1.2322960E+000, 7.3784302E-008,-8.2082137E-013, 2.3100346E+001,-1.2699499E-001,-6.1596850E-001,-5.9533960E-004, 7.8143082E-005, 6.5761362E-004, 1.0417075E-008,-2.9819269E-001,-2.9819269E-001
 9.5000031E+002, 1.2178461E+000, 2.6388168E+000,-1.1703229E+001,-1.7027995E+001, 1.2230860E+000, 7.1522808E-008,-8.2079468E-013, 2.3097104E+001, 5.8892938E-002,-5.5437121E-001,-5.8905095E-004, 7.7542876E-005, 6.5066716E-004, 1.0308791E-008,-2.9819269E-001,-2.9819269E-001
 9.6000073E+002, 1.3368641E+000, 2.6078323E+000,-1.1663254E+001,-1.6988800E+001, 1.2217828E+000, 6.9840128E-008,-8.2081794E-013, 2.2953312E+001, 4.9056668E-002,-5.3226220E-001,-5.8213441E-004, 7.6813795E-005, 6.4302713E-004, 1.0206312E-008,-2.9819269E-001,-2.9819269E-001
 9.7000024E+002, 1.1503253E+000, 2.5894755E+000,-1.1657607E+001,-1.6908662E+001, 1.2123714E+000, 6.8323017E-008,-8.2079328E-013, 2.2999525E+001,-8.0548221E-002,-6.1457173E-001,-5.7803671E-004, 7.6421431E-005, 6.3850080E-004, 1.0115808E-008,-2.9819269E-001,-2.9819269E-001
 9.8000006E+002, 1.1148447E+000, 2.5629766E+000,-1.1649821E+001,-1.6700799E+001, 1.2123570E+000, 6.7184023E-008,-8.2081632E-013, 2.2941906E+001, 2.3750517E-002,-5.1853598E-001,-5.7212150E-004, 7.5816342E-005, 6.3196684E-004, 1.0035905E-008,-2.9819269E-001,-2.9819269E-001
 9.9000049E+002, 1.1877496E+000, 2.5394418E+000,-1.1643495E+001,-1.6803925E+001, 1.2085701E+000, 6.5641044E-008,-8.2077076E-013, 2.2833126E+001, 3.1068701E-002,-6.7853209E-001,-5.6686793E-004, 7.5344762E-005, 6.2616374E-004, 9.9644920E-009,-2.9819269E-001,-2.9819269E-001
 1.0000005E+003, 1.1820514E+000, 2.5242177E+000,-1.1647540E+001,-1.6886555E+001, 1.2042856E+000, 6.4357534E-008,-8.2082075E-013, 2.2742035E+001,-1.0055417E-001,-8.8150479E-001,-5.6346952E-004, 7.4959104E-005, 6.2240984E-004, 9.8937589E-009,-2.9819269E-001,-2.9819269E-001
 1.0100009E+003, 1.3373297E+000, 2.5051281E+000,-1.1626475E+001,-1.6784489E+001, 1.2012144E+000, 6.3031159E-008,-8.2080155E-013, 2.2945496E+001, 9.6855984E-002,-4.2179559E-001,-5.5920824E-004, 7.4604012E-005, 6.1770282E-004, 9.8252294E-009,-2.9819269E-001,-2.9819269E-001
 1.0200004E+003, 1.1774280E+000, 2.4844067E+000,-1.1613503E+001,-1.6733049E+001, 1.1959495E+000, 6.2044658E-008,-8.2081006E-013, 2.2879074E+001, 2.2613029E-002,-6.0969380E-001,-5.5458269E-004, 7.4115696E-005, 6.1259343E-004, 9.7597388E-009,-2.9819269E-001,-2.9819269E-001
 1.0300007E+003, 1.0854441E+000, 2.4581939E+000,-1.1602370E+001,-1.6632825E+001, 1.1925365E+000, 6.0841868E-008,-8.2077802E-013, 2.2623037E+001,-3.0233525E-002,-8.7598330E-001,-5.4873133E-004, 7.3537918E-005, 6.0613000E-004, 9.6984465E-009,-2.9819269E-001,-2.9819269E-001
 1.0400004E+003, 1.1296405E+000, 2.4353540E+000,-1.1639208E+001,-1.6696885E+001, 1.1866616E+000, 6.0076530E-008,-8.2083097E-013, 2.2688221E+001,-7.5441315E-002,-8.9621599E-001,-5.4363288E-004, 7.3021915E-005, 6.0049824E-004, 9.6393760E-009,-2.9819269E-001,-2.9819269E-001
 1.0500002E+003, 1.1576212E+000, 2.4214621E+000,-1.1619765E+001,-1.6582794E+001, 1.1877373E+000, 5.9009590E-008,-8.2081306E-013, 2.2673951E+001,-2.8375787E-003,-7.6178771E-001,-5.4053185E-004, 7.2715598E-005, 5.9707283E-004, 9.5854334E-009,-2.9819269E-001,-2.9819269E-001
 1.0600006E+003, 1.0234650E+000, 2.4007648E+000,-1.1574363E+001,-1.6452279E+001, 1.1826391E+000, 5.8183945E-008,-8.2079849E-013, 2.2698412E+001,-5.1256625E-002,-7.2136136E-001,-5.3591170E-004, 7.2240008E-005, 5.9196941E-004, 9.5327723E-009,-2.9819269E-001,-2.9819269E-001
 1.0700004E+003, 1.0137686E+000, 2.3828595E+000,-1.1583832E+001,-1.6432116E+001, 1.1746180E+000, 5.7366750E-008,-8.2076898E-013, 2.2637734E+001, 1.7383762E-002,-8.0696721E-001,-5.3191477E-004, 7.1849033E-005, 5.8755439E-004, 9.4830000E-009,-2.9819269E-001,-2.9819269E-001
 1.0800000E+003, 1.1355814E+000, 2.3682567E+000,-1.1586105E+001,-1.6426015E+001, 1.1778762E+000, 5.6740284E-008,-8.2081624E-013, 2.2586589E+001, 1.1063505E-001,-7.4381533E-001,-5.2865506E-004, 7.1523968E-005, 5.8395371E-004, 9.4362121E-009,-2.9819269E-001,-2.9819269E-001
 1.0900005E+003, 1.0427817E+000, 2.3524645E+000,-1.1578923E+001,-1.6418944E+001, 1.1748573E+000, 5.5899991E-008,-8.2080974E-013, 2.2591099E+001,-2.6101665E-002,-8.3666463E-001,-5.2512983E-004, 7.1140142E-005, 5.8005973E-004, 9.3931377E-009,-2.9819269E-001,-2.9819269E-001
 1.1000006E+003, 9.9110901E-001, 2.3411247E+000,-1.1573432E+001,-1.6321448E+001, 1.1692013E+000, 5.4731387E-008,-8.2079537E-013, 2.2506016E+001,-1.0066354E-002,-8.8742973E-001,-5.2259850E-004, 7.0858330E-005, 5.7726361E-004, 9.3452322E-009,-2.9819269E-001,-2.9819269E-001
 1.1100001E+003, 1.0167538E+000, 2.3315755E+000,-1.1569809E+001,-1.6412023E+001, 1.1686788E+000, 5.4390796E-008,-8.2079772E-013, 2.2534381E+001,-3.0516683E-002,-9.3044351E-001,-5.2046688E-004, 7.0632296E-005, 5.7490902E-004, 9.2957204E-009,-2.9819269E-001,-2.9819269E-001
 1.1200005E+003, 1.0153645E+000, 2.3129685E+000,-1.1575939E+001,-1.6356286E+001, 1.1656027E+000, 5.3366827E-008,-8.2077074E-013, 2.2613056E+001,-1.6459486E-002,-8.2523401E-001,-5.1631334E-004, 7.0204460E-005, 5.7032101E-004, 9.2521775E-009,-2.9819269E-001,-2.9819269E-001
 1.1300004E+003, 1.0721520E+000, 2.3009370E+000,-1.1572331E+001,-1.6349407E+001, 1.1676539E+000, 5.2604678E-008,-8.2084358E-013, 2.2616254E+001, 3.2587814E-002,-7.6474156E-001,-5.1362759E-004, 6.9930494E-005, 5.6735432E-004, 9.2074565E-009,-2.9819269E-001,-2.9819269E-001
 1.1400004E+003, 1.0036010E+000, 2.2907870E+000,-1.1593403E+001,-1.6363053E+001, 1.1685308E+000, 5.2127769E-008,-8.2083652E-013, 2.2502385E+001,-2.7354161E-002,-9.9115232E-001,-5.1136187E-004, 6.9688566E-005, 5.6485160E-004, 9.1629058E-009,-2.9819269E-001,-2.9819269E-001
 1.1500006E+003, 1.1167314E+000, 2.2810896E+000,-1.1586655E+001,-1.6459362E+001, 1.1666703E+000, 5.1498606E-008,-8.2086592E-013, 2.2672812E+001, 4.8926283E-002,-8.0871364E-001,-5.0919714E-004, 6.9419147E-005, 5.6246044E-004, 9.1233820E-009,-2.9819269E-001,-2.9819269E-001
 1.1600001E+003, 1.2168812E+000, 2.2682716E+000,-1.1596487E+001,-1.6588218E+001, 1.1613226E+000, 5.1247570E-008,-8.2082054E-013, 2.2594126E+001,-3.7490809E-002,-9.4410311E-001,-5.0633585E-004, 6.9112852E-005, 5.5929985E-004, 9.0869871E-009,-2.9819269E-001,-2.9819269E-001
 1.1700001E+003, 1.1587763E+000, 2.2627015E+000,-1.1582030E+001,-1.6559240E+001, 1.1624815E+000, 5.1029836E-008,-8.2085143E-013, 2.2509326E+001,-4.5183681E-002,-1.0479845E+000,-5.0509246E-004, 6.8982481E-005, 5.5792639E-004, 9.0570064E-009,-2.9819269E-001,-2.9819269E-001
 1.1800007E+003, 1.2209200E+000, 2.2449339E+000,-1.1573538E+001,-1.6538592E+001, 1.1581640E+000, 5.0418704E-008,-8.2083837E-013, 2.2774006E+001,-5.7223665E-003,-7.1410663E-001,-5.0112628E-004, 6.8621910E-005, 5.5354535E-004, 9.0297016E-009,-2.9819269E-001,-2.9819269E-001
 1.1900001E+003, 9.5154171E-001, 2.2091743E+000,-1.1546240E+001,-1.6169045E+001, 1.1518048E+000, 5.0147265E-008,-8.2078089E-013, 2.2717315E+001, 1.2774748E-002,-6.8544979E-001,-4.9314384E-004, 6.7873826E-005, 5.4472792E-004, 9.0012750E-009,-2.9819269E-001,-2.9819269E-001
 1.2000002E+003, 9.7726862E-001, 2.1952272E+000,-1.1527169E+001,-1.6129694E+001, 1.1557039E+000, 4.9693003E-008,-8.2082615E-013, 2.2373273E+001, 4.1143649E-002,-9.5539033E-001,-4.9003049E-004, 6.7588421E-005, 5.4128891E-004, 8.9735293E-009,-2.9819269E-001,-2.9819269E-001
 1.2100004E+003, 9.9233321E-001, 2.1960050E+000,-1.1542890E+001,-1.6282776E+001, 1.1489369E+000, 4.9327199E-008,-8.2080859E-013, 2.2379640E+001,-4.8222298E-002,-1.1087498E+000,-4.9020411E-004, 6.7550331E-005, 5.4148069E-004, 8.9442553E-009,-2.9819269E-001,-2.9819269E-001
 1.2200005E+003, 9.3145282E-001, 2.1839791E+000,-1.1542066E+001,-1.6120051E+001, 1.1528356E+000, 4.8694082E-008,-8.2085401E-013, 2.2514140E+001, 5.0819703E-002,-8.7970930E-001,-4.8751961E-004, 6.7241288E-005, 5.3851539E-004, 8.9138734E-009,-2.9819269E-001,-2.9819269E-001
 1.2300001E+003, 9.4394997E-001, 2.1572541E+000,-1.1520253E+001,-1.6114084E+001, 1.1496834E+000, 4.8473645E-008,-8.2086502E-013, 2.2531105E+001, 4.0919872E-003,-8.5234364E-001,-4.8155391E-004, 6.6710094E-005, 5.3192566E-004, 8.8824842E-009,-2.9819269E-001,-2.9819269E-001
 1.2400010E+003, 9.3151390E-001, 2.1541351E+000,-1.1538621E+001,-1.6103743E+001, 1.1456657E+000, 4.8154672E-008,-8.2085467E-013, 2.2463804E+001, 9.3604032E-003,-9.4724531E-001,-4.8085769E-004, 6.6576293E-005, 5.3115661E-004, 8.8548497E-009,-2.9819269E-001,-2.9819269E-001
 1.2500004E+003, 9.2334329E-001, 2.1368892E+000,-1.1537889E+001,-1.6189318E+001, 1.1448364E+000, 4.7858764E-008,-8.2085985E-013, 2.2440152E+001,-7.0909224E-002,-1.0819862E+000,-4.7700795E-004, 6.6219008E-005, 5.2690418E-004, 8.8292254E-009,-2.9819269E-001,-2.9819269E-001
 1.2600001E+003, 1.0047926E+000, 2.1280272E+000,-1.1541677E+001,-1.6168352E+001, 1.1444129E+000, 4.7448753E-008,-8.2089701E-013, 2.2481153E+001, 2.1646296E-002,-9.5164343E-001,-4.7502972E-004, 6.6004836E-005, 5.2471902E-004, 8.8040785E-009,-2.9819269E-001,-2.9819269E-001
 1.2700000E+003, 9.6934862E-001, 2.1167311E+000,-1.1526562E+001,-1.6033880E+001, 1.1466879E+000, 4.7162020E-008,-8.2081637E-013, 2.2365161E+001, 2.6530362E-002,-9.6251301E-001,-4.7250816E-004, 6.5730543E-005, 5.2193370E-004, 8.7787737E-009,-2.9819269E-001,-2.9819269E-001
 1.2800005E+003, 9.5671987E-001, 2.1018081E+000,-1.1554466E+001,-1.6107162E+001, 1.1438587E+000, 4.7183276E-008,-8.2086138E-013, 2.2325583E+001,-4.9924632E-003,-1.1336584E+000,-4.6917696E-004, 6.5402978E-005, 5.1825405E-004, 8.7545116E-009,-2.9819269E-001,-2.9819269E-001
 1.2900000E+003, 9.0606870E-001, 2.0850418E+000,-1.1527359E+001,-1.6095992E+001, 1.1410456E+000, 4.7054812E-008,-8.2086310E-013, 2.2581503E+001,-9.1883658E-002,-9.0969144E-001,-4.6543430E-004, 6.5016995E-005, 5.1411990E-004, 8.7356833E-009,-2.9819269E-001,-2.9819269E-001
 1.3000005E+003, 9.3910042E-001, 2.0770775E+000,-1.1524625E+001,-1.5977399E+001, 1.1420718E+000, 4.6555439E-008,-8.2090086E-013, 2.2403880E+001, 6.2054267E-002,-9.3989368E-001,-4.6365647E-004, 6.4814344E-005, 5.1215610E-004, 8.7170864E-009,-2.9819269E-001,-2.9819269E-001
 1.3100007E+003, 9.4557435E-001, 2.0641762E+000,-1.1526525E+001,-1.6116922E+001, 1.1392789E+000, 4.6685206E-008,-8.2090927E-013, 2.2488794E+001,-4.0407339E-002,-1.0056242E+000,-4.6077657E-004, 6.4546366E-005, 5.0897495E-004, 8.6968756E-009,-2.9819269E-001,-2.9819269E-001
 1.3200001E+003, 1.0107194E+000, 2.0550558E+000,-1.1507914E+001,-1.6119415E+001, 1.1418016E+000, 4.6372441E-008,-8.2092596E-013, 2.2497679E+001, 1.8885254E-002,-9.2207345E-001,-4.5874067E-004, 6.4347726E-005, 5.0672610E-004, 8.6798809E-009,-2.9819269E-001,-2.9819269E-001
 1.3300001E+003, 8.9360631E-001, 2.0408972E+000,-1.1503765E+001,-1.6011905E+001, 1.1351627E+000, 4.6252755E-008,-8.2089260E-013, 2.2589208E+001,-2.4890936E-002,-8.5679638E-001,-4.5558010E-004, 6.4037500E-005, 5.0323493E-004, 8.6614511E-009,-2.9819269E-001,-2.9819269E-001
 1.3400004E+003, 8.8454505E-001, 2.0302022E+000,-1.1499032E+001,-1.6000110E+001, 1.1352560E+000, 4.5689667E-008,-8.2086377E-013, 2.2369412E+001, 4.9875198E-003,-1.0797268E+000,-4.5319270E-004, 6.3774944E-005, 5.0059780E-004, 8.6406875E-009,-2.9819269E-001,-2.9819269E-001
 1.3500007E+003, 9.0278014E-001, 2.0223833E+000,-1.1516084E+001,-1.5879614E+001, 1.1326280E+000, 4.5386422E-008,-8.2090868E-013, 2.2338820E+001, 7.6698291E-002,-9.9908656E-001,-4.5144732E-004, 6.3563485E-005, 4.9866985E-004, 8.6158712E-009,-2.9819269E-001,-2.9819269E-001
 1.3600004E+003, 8.7701553E-001, 2.0108140E+000,-1.1488084E+001,-1.6083373E+001, 1.1313955E+000, 4.5115947E-008,-8.2091751E-013, 2.2503988E+001,-1.1575870E-001,-1.0482432E+000,-4.4886476E-004, 6.3301117E-005, 4.9581714E-004, 8.5910675E-009,-2.9819269E-001,-2.9819269E-001
 1.3700004E+003, 9.2252384E-001, 2.0031460E+000,-1.1487252E+001,-1.5937227E+001, 1.1371967E+000, 4.5155082E-008,-8.2093707E-013, 2.2514678E+001, 5.2495620E-002,-8.4693432E-001,-4.4715307E-004, 6.3119571E-005, 4.9392640E-004, 8.5692210E-009,-2.9819269E-001,-2.9819269E-001
 1.3800001E+003, 8.8668784E-001, 1.9897680E+000,-1.1507097E+001,-1.5948246E+001, 1.1352877E+000, 4.4904262E-008,-8.2092003E-013, 2.2439568E+001, 1.7721766E-002,-1.0040315E+000,-4.4416676E-004, 6.2833413E-005, 4.9062772E-004, 8.5523817E-009,-2.9819269E-001,-2.9819269E-001
 1.3900007E+003, 9.2545236E-001, 1.9881458E+000,-1.1501587E+001,-1.6006222E+001, 1.1301775E+000, 4.4818245E-008,-8.2095139E-013, 2.2352271E+001,-1.0260716E-002,-1.1117630E+000,-4.4380465E-004, 6.2747106E-005, 4.9022773E-004, 8.5343499E-009,-2.9819269E-001,-2.9819269E-001
 1.4000001E+003, 9.1157575E-001, 1.9759207E+000,-1.1514323E+001,-1.5949974E+001, 1.1311671E+000, 4.4715140E-008,-8.2089810E-013, 2.2340625E+001, 1.4029635E-002,-1.1050085E+000,-4.4107570E-004, 6.2482325E-005, 4.8721333E-004, 8.5170973E-009,-2.9819269E-001,-2.9819269E-001
 1.4100001E+003, 8.8192466E-001, 1.9583057E+000,-1.1497687E+001,-1.5938056E+001, 1.1257247E+000, 4.4702387E-008,-8.2093173E-013, 2.2656721E+001,-1.2134932E-003,-8.1306714E-001,-4.3714359E-004, 6.2107727E-005, 4.8286991E-004, 8.5013348E-009,-2.9819269E-001,-2.9819269E-001
 1.4200007E+003, 8.7106602E-001, 1.9484529E+000,-1.1483245E+001,-1.5933453E+001, 1.1238004E+000, 4.4630142E-008,-8.2090727E-013, 2.2349463E+001,-4.6401482E-003,-1.1239159E+000,-4.3494419E-004, 6.1876856E-005, 4.8044045E-004, 8.4874136E-009,-2.9819269E-001,-2.9819269E-001
 1.4300006E+003, 8.9545075E-001, 1.9394366E+000,-1.1484894E+001,-1.5943593E+001, 1.1289918E+000, 4.4275233E-008,-8.2094605E-013, 2.2535004E+001,-1.0439340E-002,-9.2960355E-001,-4.3293151E-004, 6.1648110E-005, 4.7821723E-004, 8.4725288E-009,-2.9819269E-001,-2.9819269E-001
 1.4400006E+003, 8.5213876E-001, 1.9232988E+000,-1.1458589E+001,-1.5959270E+001, 1.1304495E+000, 4.3959976E-008,-8.2094537E-013, 2.2778091E+001,-4.3085976E-002,-7.3387985E-001,-4.2932915E-004, 6.1297325E-005, 4.7423805E-004, 8.4527794E-009,-2.9819269E-001,-2.9819269E-001
 1.4500005E+003, 8.4407759E-001, 1.9128362E+000,-1.1489265E+001,-1.5843843E+001, 1.1300915E+000, 4.3673686E-008,-8.2091600E-013, 2.2433081E+001,-2.4639249E-002,-1.0130218E+000,-4.2699362E-004, 6.1046064E-005, 4.7165823E-004, 8.4303692E-009,-2.9819269E-001,-2.9819269E-001
 1.4600005E+003, 8.3353267E-001, 1.9039205E+000,-1.1456673E+001,-1.5792288E+001, 1.1270878E+000, 4.3595121E-008,-8.2089932E-013, 2.2485310E+001, 4.5710527E-002,-8.9911102E-001,-4.2500341E-004, 6.0838202E-005, 4.6945984E-004, 8.4087240E-009,-2.9819269E-001,-2.9819269E-001
 1.4700005E+003, 8.3701950E-001, 1.8856172E+000,-1.1460327E+001,-1.5835849E+001, 1.1220417E+000, 4.3373206E-008,-8.2094304E-013, 2.2719838E+001,-2.8404094E-002,-7.3165957E-001,-4.2091767E-004, 6.0432227E-005, 4.6494671E-004, 8.3901203E-009,-2.9819269E-001,-2.9819269E-001
 1.4800002E+003, 8.3574972E-001, 1.8669251E+000,-1.1454214E+001,-1.5729895E+001, 1.1252348E+000, 4.3258866E-008,-8.2091723E-013, 2.2492436E+001,-1.2377546E-002,-8.6376342E-001,-4.1674510E-004, 6.0063824E-005, 4.6033769E-004, 8.3720795E-009,-2.9819269E-001,-2.9819269E-001
 1.4900001E+003, 8.2616250E-001, 1.8658200E+000,-1.1456287E+001,-1.5738561E+001, 1.1293504E+000, 4.3317053E-008,-8.2092506E-013, 2.2241662E+001, 4.8044678E-003,-1.1318522E+000,-4.1649843E-004, 6.0032165E-005, 4.6006521E-004, 8.3557167E-009,-2.9819269E-001,-2.9819269E-001
 1.5000002E+003, 8.3845392E-001, 1.8605899E+000,-1.1475587E+001,-1.5838759E+001, 1.1205798E+000, 4.3200718E-008,-8.2097385E-013, 2.2681461E+001,-2.1832195E-002,-8.1326115E-001,-4.1533094E-004, 5.9862656E-005, 4.5877560E-004, 8.3429754E-009,-2.9819269E-001,-2.9819269E-001
 1.5100001E+003, 8.3596654E-001, 1.8524049E+000,-1.1446824E+001,-1.5726380E+001, 1.1263577E+000, 4.3028984E-008,-8.2093376E-013, 2.2481011E+001, 4.7534675E-002,-8.7746318E-001,-4.1350383E-004, 5.9663981E-005, 4.5675737E-004, 8.3290401E-009,-2.9819269E-001,-2.9819269E-001
 1.5200004E+003, 8.3821668E-001, 1.8497428E+000,-1.1464462E+001,-1.5873842E+001, 1.1208514E+000, 4.2658445E-008,-8.2093361E-013, 2.2397989E+001,-6.9816507E-002,-1.1315041E+000,-4.1290959E-004, 5.9585214E-005, 4.5610097E-004, 8.3130288E-009,-2.9819269E-001,-2.9819269E-001
 1.5300007E+003, 8.4422565E-001, 1.8372778E+000,-1.1443889E+001,-1.5729458E+001, 1.1261244E+000, 4.2530258E-008,-8.2091374E-013, 2.2468762E+001, 4.4252903E-002,-8.9695693E-001,-4.1012709E-004, 5.9305635E-005, 4.5302741E-004, 8.2925445E-009,-2.9819269E-001,-2.9819269E-001
 1.5400007E+003, 8.5069577E-001, 1.8285445E+000,-1.1436399E+001,-1.5811419E+001, 1.1261923E+000, 4.2393359E-008,-8.2092107E-013, 2.2484360E+001,-3.4381718E-002,-9.5802531E-001,-4.0817758E-004, 5.9098037E-005, 4.5087398E-004, 8.2741178E-009,-2.9819269E-001,-2.9819269E-001
 1.5500001E+003, 8.1093223E-001, 1.8222338E+000,-1.1450294E+001,-1.5658438E+001, 1.1244149E+000, 4.2132834E-008,-8.2094710E-013, 2.2407736E+001, 5.1217331E-002,-9.4341569E-001,-4.0676887E-004, 5.8961372E-005, 4.4931791E-004, 8.2562378E-009,-2.9819269E-001,-2.9819269E-001
 1.5600006E+003, 8.1223925E-001, 1.8082157E+000,-1.1438803E+001,-1.5774741E+001, 1.1218974E+000, 4.1881231E-008,-8.2098160E-013, 2.2531666E+001,-4.3277842E-002,-9.3952617E-001,-4.0363967E-004, 5.8630437E-005, 4.4586140E-004, 8.2365027E-009,-2.9819269E-001,-2.9819269E-001
 1.5700000E+003, 7.9949514E-001, 1.7972719E+000,-1.1435846E+001,-1.5661365E+001, 1.1192392E+000, 4.1957967E-008,-8.2092727E-013, 2.2438827E+001, 1.1587172E-002,-9.4237782E-001,-4.0119674E-004, 5.8367114E-005, 4.4316293E-004, 8.2185781E-009,-2.9819269E-001,-2.9819269E-001
 1.5800009E+003, 7.9415426E-001, 1.7847049E+000,-1.1423204E+001,-1.5713412E+001, 1.1224562E+000, 4.1836377E-008,-8.2095467E-013, 2.2729636E+001,-1.3011530E-002,-7.0566558E-001,-3.9839146E-004, 5.8099087E-005, 4.4006421E-004, 8.2033721E-009,-2.9819269E-001,-2.9819269E-001
 1.5900002E+003, 7.6825669E-001, 1.7708198E+000,-1.1423127E+001,-1.5654162E+001, 1.1204543E+000, 4.1909729E-008,-8.2091939E-013, 2.2529989E+001,-3.4414508E-002,-8.8777019E-001,-3.9529198E-004, 5.7782904E-005, 4.3664051E-004, 8.1895265E-009,-2.9819269E-001,-2.9819269E-001
 1.6000001E+003, 7.9947167E-001, 1.7657809E+000,-1.1423947E+001,-1.5605794E+001, 1.1131818E+000, 4.1597212E-008,-8.2094269E-013, 2.2372495E+001, 4.6383546E-002,-9.7881224E-001,-3.9416715E-004, 5.7669048E-005, 4.3539803E-004, 8.1774680E-009,-2.9819269E-001,-2.9819269E-001
 1.6100002E+003, 7.9430024E-001, 1.7599715E+000,-1.1441441E+001,-1.5662251E+001, 1.1177238E+000, 4.1520961E-008,-8.2093703E-013, 2.2411762E+001,-7.2381113E-004,-1.0199344E+000,-3.9287036E-004, 5.7519909E-005, 4.3396558E-004, 8.1625248E-009,-2.9819269E-001,-2.9819269E-001
