s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 5.9000372E+002, 1.9202141E+002, 4.7064221E+002,-2.8877927E+002,-3.2187903E+002, 2.6493471E+000, 7.3551206E-003,-1.4299223E-012, 4.2091353E+002,-5.8381382E-002, 4.9333499E+000,-1.0322056E-001, 3.7312190E-002, 1.1401769E-001, 9.3635215E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.0000165E+002, 1.7299998E+002, 4.8165242E+002,-2.9090673E+002,-3.1081902E+002, 2.6281896E+000, 3.8758931E-003,-1.4295915E-012, 4.3072816E+002,-2.4534037E-001, 4.6344579E+000,-1.0548159E-001, 3.1840141E-002, 1.1651523E-001, 8.0002075E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.1000146E+002, 1.6225336E+002, 4.8032944E+002,-2.9053087E+002,-3.0493282E+002, 2.6386774E+000, 6.7325679E-003,-1.4299006E-012, 4.3455186E+002,-5.2755263E-001, 3.9869369E+000,-1.0507720E-001, 2.8796427E-002, 1.1606854E-001, 6.3318531E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.2000323E+002, 1.5449541E+002, 4.8321823E+002,-2.8995982E+002,-3.0231745E+002, 2.6613134E+000, 6.9609066E-003,-1.4299494E-012, 4.3933205E+002,-1.5198792E-001, 4.2184629E+000,-1.0558888E-001, 2.5065523E-002, 1.1663374E-001, 4.4234194E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.3000195E+002, 1.3800548E+002, 4.9138315E+002,-2.9122159E+002,-2.8880179E+002, 2.6546234E+000, 6.9128878E-003,-1.4301102E-012, 4.4590641E+002,-4.7743900E-001, 6.5500434E+000,-1.0718787E-001, 1.8964725E-002, 1.1839999E-001, 2.6750727E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.4000098E+002, 1.2674379E+002, 4.9511646E+002,-2.9163258E+002,-2.8249746E+002, 2.6369139E+000, 6.1144422E-003,-1.4298816E-012, 4.5225412E+002,-9.6028042E-002, 7.5109031E+000,-1.0786910E-001, 1.4819887E-002, 1.1915247E-001, 1.9500834E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.5000165E+002, 1.2341274E+002, 4.8608537E+002,-2.8765921E+002,-2.8340074E+002, 2.6175131E+000, 3.8988241E-003,-1.4303741E-012, 4.5240452E+002,-1.6050236E-001, 7.3787187E+000,-1.0579303E-001, 1.3379787E-002, 1.1685925E-001, 1.3138992E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.6000165E+002, 1.1124390E+002, 4.8048262E+002,-2.8396057E+002,-2.7627626E+002, 2.5925482E+000, 2.9442526E-003,-1.4304616E-012, 4.5394327E+002,-3.1483547E-001, 7.5458246E+000,-1.0446433E-001, 1.1099669E-002, 1.1539156E-001, 7.9114570E-005,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.7000165E+002, 1.0165507E+002, 4.7123118E+002,-2.7706319E+002,-2.7065189E+002, 2.5608423E+000, 1.0350380E-003,-1.4307588E-012, 4.5123579E+002,-5.4567170E-001, 7.7376563E+000,-1.0235957E-001, 8.9841391E-003, 1.1306664E-001, 2.8330094E-005,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.8000262E+002, 9.4082089E+001, 4.5984831E+002,-2.6960573E+002,-2.6611030E+002, 2.5115991E+000, 3.7941109E-005,-1.4272562E-012, 4.4649131E+002,-6.7173361E-001, 7.3690027E+000,-9.9806865E-002, 7.5734963E-003, 1.1024691E-001, 1.1670968E-006,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.9000336E+002, 8.7785455E+001, 4.4678076E+002,-2.6035295E+002,-2.6173659E+002, 2.4742871E+000, 2.2989703E-007,-1.4254260E-012, 4.3894829E+002,-6.1458166E-001, 7.1184952E+000,-9.6903596E-002, 6.8869705E-003, 1.0703996E-001, 1.0585757E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.0000116E+002, 8.3412411E+001, 4.3742041E+002,-2.5325194E+002,-2.5905479E+002, 2.4293329E+000, 2.0903079E-007,-1.4178909E-012, 4.3336999E+002,-5.3928994E-001, 6.9050127E+000,-9.4811082E-002, 6.4210686E-003, 1.0472856E-001, 1.0038463E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.1000153E+002, 7.8938517E+001, 4.2477919E+002,-2.4374577E+002,-2.5744320E+002, 2.3848815E+000, 1.9243937E-007,-1.4180690E-012, 4.2647364E+002,-5.7694115E-001, 6.6080632E+000,-9.2022948E-002, 5.9692979E-003, 1.0164878E-001, 9.5615678E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.2000024E+002, 7.4941268E+001, 4.1291460E+002,-2.3432790E+002,-2.5613504E+002, 2.3406261E+000, 1.7797273E-007,-1.4185594E-012, 4.1934867E+002,-7.5504799E-001, 6.1676274E+000,-8.9411523E-002, 5.5276363E-003, 9.8764192E-002, 9.1518625E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.3000201E+002, 6.9766640E+001, 4.0035957E+002,-2.2499551E+002,-2.5332076E+002, 2.2931398E+000, 1.6559405E-007,-1.4189721E-012, 4.1191685E+002,-9.3744373E-001, 5.6603611E+000,-8.6669291E-002, 5.1014103E-003, 9.5735116E-002, 8.7925786E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.4000116E+002, 6.5053488E+001, 3.8705551E+002,-2.1547078E+002,-2.4975533E+002, 2.2592523E+000, 1.5505763E-007,-1.4202390E-012, 4.0334514E+002,-8.5042196E-001, 5.4317701E+000,-8.3755282E-002, 4.6893526E-003, 9.2516295E-002, 8.4744666E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.5000299E+002, 6.0583917E+001, 3.7052431E+002,-2.0316734E+002,-2.4565206E+002, 2.2143601E+000, 1.4566742E-007,-1.4215722E-012, 3.9087649E+002,-1.0705973E+000, 4.8553689E+000,-8.0157114E-002, 4.2954463E-003, 8.8541749E-002, 8.1912970E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.6000317E+002, 5.6232567E+001, 3.5424323E+002,-1.9058000E+002,-2.4076293E+002, 2.1760514E+000, 1.3744836E-007,-1.4214733E-012, 3.7762737E+002,-8.5802683E-001, 4.6930488E+000,-7.6615270E-002, 3.9254152E-003, 8.4629420E-002, 7.9370424E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.7000153E+002, 5.1935794E+001, 3.3962625E+002,-1.7927108E+002,-2.3603425E+002, 2.1457674E+000, 1.2998658E-007,-1.4231874E-012, 3.6520203E+002,-1.2410919E+000, 3.9782700E+000,-7.3446369E-002, 3.5813809E-003, 8.1129043E-002, 7.7061937E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.8000159E+002, 4.7462528E+001, 3.2715759E+002,-1.6978996E+002,-2.3052832E+002, 2.1060976E+000, 1.2358680E-007,-1.4237929E-012, 3.5470527E+002,-9.5540529E-001, 3.9556088E+000,-7.0738034E-002, 3.2606396E-003, 7.8137410E-002, 7.4956287E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.9000397E+002, 4.3339841E+001, 3.1435094E+002,-1.6092097E+002,-2.2543856E+002, 2.0742384E+000, 1.1761769E-007,-1.4246903E-012, 3.4418215E+002,-1.3316076E+000, 3.2366965E+000,-6.7956260E-002, 2.9602233E-003, 7.5064655E-002, 7.3046036E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.0000073E+002, 3.9443704E+001, 2.9820855E+002,-1.4958857E+002,-2.1917520E+002, 2.0482273E+000, 1.1264460E-007,-1.4258821E-012, 3.3048443E+002,-1.0677137E+000, 3.2125869E+000,-6.4453289E-002, 2.6788427E-003, 7.1195264E-002, 7.1291843E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.1000433E+002, 3.5890472E+001, 2.8168572E+002,-1.3767930E+002,-2.1377035E+002, 2.0154450E+000, 1.0812358E-007,-1.4264485E-012, 3.1611648E+002,-1.4097892E+000, 2.5727422E+000,-6.0878767E-002, 2.4120443E-003, 6.7246839E-002, 6.9714583E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.2000122E+002, 3.2184632E+001, 2.6728505E+002,-1.2671391E+002,-2.0875100E+002, 1.9894847E+000, 1.0359319E-007,-1.4246518E-012, 3.0374083E+002,-1.2741292E+000, 2.4500401E+000,-5.7769243E-002, 2.1568740E-003, 6.3812051E-002, 6.8271731E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.3000177E+002, 2.8540280E+001, 2.5501166E+002,-1.1468978E+002,-2.0832869E+002, 1.9623733E+000, 9.9681060E-008,-1.4214914E-012, 2.9478260E+002,-1.3707706E+000, 2.2667824E+000,-5.5122608E-002, 1.9070190E-003, 6.0888572E-002, 6.6895006E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.4000311E+002, 2.4950200E+001, 2.4619314E+002,-1.0363394E+002,-2.0819746E+002, 1.9349010E+000, 9.6327734E-008,-1.4218777E-012, 2.8721436E+002,-1.2831903E+000, 2.2680700E+000,-5.3204534E-002, 1.6621058E-003, 5.8769862E-002, 6.5621828E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.5000049E+002, 2.1540000E+001, 2.3190712E+002,-9.0093563E+001,-2.0746366E+002, 1.9187747E+000, 9.2995803E-008,-1.4223341E-012, 2.7587749E+002,-1.6020395E+000, 1.7790457E+000,-5.0111910E-002, 1.4291288E-003, 5.5353742E-002, 6.4462825E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.6000012E+002, 1.8302898E+001, 2.1559655E+002,-7.8970681E+001,-2.0077116E+002, 1.9049599E+000, 9.0098575E-008,-1.4245352E-012, 2.6071401E+002,-1.8976303E+000, 1.1800259E+000,-4.6583754E-002, 1.2119110E-003, 5.1456531E-002, 6.3375304E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.7000269E+002, 1.5470283E+001, 2.0046984E+002,-6.9342147E+001,-1.9196687E+002, 1.8885803E+000, 8.7356379E-008,-1.4245982E-012, 2.4491926E+002,-1.7811763E+000, 9.6910671E-001,-4.3349908E-002, 1.0223809E-003, 4.7884417E-002, 6.2365036E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.8000189E+002, 1.2954679E+001, 1.8246756E+002,-6.0898288E+001,-1.8039060E+002, 1.8764892E+000, 8.5191077E-008,-1.4230473E-012, 2.2677813E+002,-2.0699231E+000, 3.2040309E-001,-3.9466197E-002, 8.5304450E-004, 4.3594461E-002, 6.1428568E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.9000037E+002, 1.0773452E+001, 1.7053523E+002,-5.5293371E+001,-1.6909375E+002, 1.8677959E+000, 8.2992223E-008,-1.4237352E-012, 2.1210128E+002,-1.7691495E+000, 3.5540761E-001,-3.6896578E-002, 7.0785203E-004, 4.0756053E-002, 6.0588230E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.0000311E+002, 8.8898798E+000, 1.5424584E+002,-4.8034431E+001,-1.5801669E+002, 1.8532332E+000, 8.0841764E-008,-1.4245462E-012, 1.9537670E+002,-1.8332750E+000, 6.8687730E-002,-3.3392311E-002, 5.8329423E-004, 3.6885231E-002, 5.9806511E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.1000220E+002, 7.3097131E+000, 1.3953572E+002,-4.3013116E+001,-1.4544166E+002, 1.8416413E+000, 7.8959025E-008,-1.4251561E-012, 1.7914223E+002,-1.9283338E+000,-1.6119408E-001,-3.0227733E-002, 4.7897830E-004, 3.3389629E-002, 5.9053870E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.2000018E+002, 6.0549022E+000, 1.2705485E+002,-3.9281606E+001,-1.3170712E+002, 1.8337229E+000, 7.7386552E-008,-1.4241085E-012, 1.6303878E+002,-1.7414684E+000,-6.1319301E-002,-2.7535759E-002, 3.9634823E-004, 3.0416068E-002, 5.8350871E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.3000299E+002, 5.0862682E+000, 1.1711865E+002,-3.6396561E+001,-1.2064065E+002, 1.8218714E+000, 7.5631099E-008,-1.4245293E-012, 1.5035986E+002,-1.4228111E+000, 2.3078500E-001,-2.5401822E-002, 3.3259996E-004, 2.8058916E-002, 5.7712644E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.4000317E+002, 4.2898838E+000, 1.0471829E+002,-3.3293282E+001,-1.1028975E+002, 1.8124220E+000, 7.4070386E-008,-1.4249232E-012, 1.3758401E+002,-1.5532941E+000, 1.0328690E-001,-2.2736324E-002, 2.8015448E-004, 2.5114601E-002, 5.7091013E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.5000122E+002, 3.6210909E+000, 9.1029043E+001,-2.9623767E+001,-9.8316875E+001, 1.8043238E+000, 7.2601996E-008,-1.4234666E-012, 1.2248329E+002,-1.5574400E+000,-3.1938576E-002,-1.9792271E-002, 2.3644905E-004, 2.1862592E-002, 5.6496490E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.6000488E+002, 3.0978776E+000, 8.3169402E+001,-2.9065479E+001,-8.7547727E+001, 1.7934353E+000, 7.1187999E-008,-1.4200224E-012, 1.1209130E+002,-1.0743899E+000, 3.6941104E-001,-1.8106139E-002, 2.0237017E-004, 2.0000087E-002, 5.5930547E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.7000238E+002, 2.7294830E+000, 7.6250351E+001,-2.7993111E+001,-7.9591088E+001, 1.7849660E+000, 7.0017602E-008,-1.4072218E-012, 1.0346823E+002,-9.6504985E-001, 3.9848368E-001,-1.6616423E-002, 1.7831493E-004, 1.8354542E-002, 5.5393931E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.8000250E+002, 2.4415549E+000, 6.8424221E+001,-2.6197551E+001,-7.3157922E+001, 1.7776474E+000, 6.8889767E-008,-1.3925573E-012, 9.5373050E+001,-1.1279472E+000, 2.3677933E-001,-1.4914273E-002, 1.5951912E-004, 1.6474343E-002, 5.4903624E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.9000159E+002, 2.1475112E+000, 5.4134861E+001,-2.2918125E+001,-6.3317657E+001, 1.7701367E+000, 6.8022484E-008,-1.3491744E-012, 8.2186473E+001,-1.4062318E+000,-1.3166147E-001,-1.1804966E-002, 1.4026180E-004, 1.3039795E-002, 5.4444581E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0000029E+003, 1.8903742E+000, 4.1448931E+001,-2.0680293E+001,-5.1804819E+001, 1.7597055E+000, 6.7182100E-008,-1.2965780E-012, 6.8490638E+001,-1.4561437E+000,-3.4439387E-001,-9.0446319E-003, 1.2351012E-004, 9.9907231E-003, 5.4034697E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0100013E+003, 1.7360760E+000, 3.4857492E+001,-2.1114247E+001,-4.3244761E+001, 1.7517274E+000, 6.6119182E-008,-1.2254336E-012, 6.0751108E+001,-1.0938571E+000,-1.2009637E-001,-7.6059719E-003, 1.1347424E-004, 8.4015757E-003, 5.3654670E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0200043E+003, 1.5875675E+000, 2.0528265E+001,-1.6299631E+001,-3.4692904E+001, 1.7453353E+000, 6.5318080E-008,-1.1737743E-012, 4.7216250E+001,-1.2086799E+000,-4.4338225E-001,-4.4907459E-003, 1.0375519E-004, 4.9604892E-003, 5.3266703E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0300044E+003, 1.4607584E+000, 1.0839789E+001,-1.4778120E+001,-2.5487723E+001, 1.7376405E+000, 6.4645231E-008,-9.6902247E-013, 3.6684114E+001,-8.8501626E-001,-3.8333045E-001,-2.3871840E-003, 9.5487680E-005, 2.6368894E-003, 5.2904022E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0400116E+003, 1.3718420E+000, 3.3392258E+000,-1.3901690E+001,-1.7689412E+001, 1.7329861E+000, 6.4028190E-008,-7.3170561E-013, 2.7966595E+001,-7.2748388E-001,-5.1967889E-001,-7.5477623E-004, 8.9710770E-005, 8.3372771E-004, 5.2575691E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0500088E+003, 1.3509621E+000, 2.0842918E+000,-1.4571201E+001,-1.3823174E+001, 1.7251879E+000, 6.3403555E-008,-7.0723773E-013, 2.5398185E+001,-6.6145162E-002, 7.9960044E-002,-4.8012220E-004, 8.8367327E-005, 5.3034419E-004, 5.2276078E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0600059E+003, 1.3508214E+000, 2.0831920E+000,-1.4596208E+001,-1.3637755E+001, 1.7195457E+000, 6.2751011E-008,-7.0723880E-013, 2.5301700E+001,-8.3889901E-003, 1.3810377E-001,-4.7986957E-004, 8.8357695E-005, 5.3006513E-004, 5.1988370E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0700031E+003, 1.3484185E+000, 2.0659199E+000,-1.4573520E+001,-1.3694420E+001, 1.7143802E+000, 6.2536383E-008,-7.0724049E-013, 2.5371621E+001, 2.3576791E-002, 1.6648053E-001,-4.7589319E-004, 8.8198498E-005, 5.2567282E-004, 5.1713167E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0800001E+003, 1.3461445E+000, 2.0562495E+000,-1.4565700E+001,-1.3704278E+001, 1.7058694E+000, 6.2096240E-008,-7.0723415E-013, 2.5389297E+001, 3.7481272E-002, 1.7133277E-001,-4.7367096E-004, 8.8051163E-005, 5.2321813E-004, 5.1489835E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0900105E+003, 1.3432265E+000, 2.0442155E+000,-1.4553821E+001,-1.3780732E+001, 1.7015157E+000, 6.1712613E-008,-7.0718137E-013, 2.5372278E+001,-5.5597518E-002, 8.2468291E-002,-4.7089964E-004, 8.7859004E-005, 5.2015693E-004, 5.1279519E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1000077E+003, 1.3385986E+000, 2.0263134E+000,-1.4536145E+001,-1.3728393E+001, 1.6923669E+000, 6.1071436E-008,-7.0718569E-013, 2.5368585E+001, 3.1631922E-003, 1.3501232E-001,-4.6677949E-004, 8.7555748E-005, 5.1560579E-004, 5.1065070E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1100048E+003, 1.3355632E+000, 2.0170771E+000,-1.4525148E+001,-1.3702274E+001, 1.6826505E+000, 6.0593779E-008,-7.0718666E-013, 2.5350603E+001, 1.3672623E-002, 1.4139395E-001,-4.6465520E-004, 8.7358218E-005, 5.1325930E-004, 5.0825757E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1200020E+003, 1.3321519E+000, 2.0055071E+000,-1.4521194E+001,-1.3740106E+001, 1.6787562E+000, 6.0006827E-008,-7.0718302E-013, 2.5351999E+001,-2.6695914E-002, 1.0160728E-001,-4.6199011E-004, 8.7134845E-005, 5.1031544E-004, 5.0585672E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1300123E+003, 1.3277112E+000, 1.9879738E+000,-1.4495148E+001,-1.3749046E+001, 1.6711436E+000, 5.9534559E-008,-7.0718776E-013, 2.5327272E+001,-3.9372795E-002, 8.1933519E-002,-4.5795552E-004, 8.6843494E-005, 5.0585881E-004, 5.0341932E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1400095E+003, 1.3253110E+000, 1.9912799E+000,-1.4489460E+001,-1.3663501E+001, 1.6618464E+000, 5.9001730E-008,-7.0718930E-013, 2.5301903E+001, 2.3940634E-002, 1.3609970E-001,-4.5872263E-004, 8.6688962E-005, 5.0670617E-004, 5.0107845E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1500066E+003, 1.3265656E+000, 2.0126616E+000,-1.4491427E+001,-1.3657210E+001, 1.6528606E+000, 5.8668973E-008,-7.0718893E-013, 2.5294567E+001, 2.2209230E-002, 1.2535609E-001,-4.6365712E-004, 8.6773966E-005, 5.1215682E-004, 4.9879269E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1600038E+003, 1.3300226E+000, 2.0381439E+000,-1.4495361E+001,-1.3714614E+001, 1.6471341E+000, 5.8191420E-008,-7.0718299E-013, 2.5309402E+001,-2.8754653E-002, 7.6583515E-002,-4.6953234E-004, 8.6998946E-005, 5.1864660E-004, 4.9666887E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1700009E+003, 1.3291462E+000, 2.0139461E+000,-1.4483606E+001,-1.3697512E+001, 1.6429413E+000, 5.7731512E-008,-7.0721065E-013, 2.5330053E+001, 2.0797822E-002, 1.2102222E-001,-4.6395631E-004, 8.6938942E-005, 5.1248730E-004, 4.9451920E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1800114E+003, 1.3269536E+000, 2.0089966E+000,-1.4474633E+001,-1.3800339E+001, 1.6402955E+000, 5.7543662E-008,-7.0724687E-013, 2.5341568E+001,-5.1781438E-002, 3.3845627E-002,-4.6281915E-004, 8.6796402E-005, 5.1123119E-004, 4.9244603E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
