s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa
 7.6000275E+002, 4.5152653E+002,-1.4282741E+002,-2.7094124E+002,-1.6884122E-001,-8.8678248E-002,-7.5886932E-013, 4.5187992E+001, 1.5529509E+000, 8.2688350E+001,-1.7702117E-002, 2.8866665E-002, 1.9553803E-002, 1.8791011E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.7000177E+002, 4.7377138E+002,-1.5010070E+002,-2.8862883E+002,-2.0497533E-001,-8.4365455E-002,-7.5966766E-013, 4.3987706E+001, 3.9554293E-001, 7.8740216E+001,-1.7093285E-002, 2.9730499E-002, 1.8881286E-002, 1.9015390E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.8000305E+002, 4.8195026E+002,-1.5252600E+002,-2.9192000E+002,-2.4101979E-001,-1.1582176E-001,-7.5885719E-013, 4.8820374E+001, 5.2662449E-002, 8.5967797E+001,-1.8744919E-002, 3.1178339E-002, 2.0705684E-002, 1.9780949E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.9000293E+002, 4.8457443E+002,-1.5343716E+002,-2.9285528E+002,-2.8287180E-001,-8.1687973E-002,-7.5499731E-013, 4.8976093E+001, 1.6129532E+000, 8.6893529E+001,-1.8608521E-002, 2.9048089E-002, 2.0555019E-002, 1.9789895E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.0000293E+002, 4.9293662E+002,-1.5560652E+002,-3.0097212E+002,-3.7535907E-001,-8.1781351E-002,-7.5388037E-013, 5.1269373E+001,-5.0527820E-001, 8.7170213E+001,-1.9156153E-002, 3.1719504E-002, 2.1159934E-002, 2.0298194E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.1000287E+002, 5.0990513E+002,-1.6023600E+002,-3.0942943E+002,-4.9314613E-001,-7.8341903E-002,-7.5001042E-013, 4.8312696E+001, 1.3312271E+000, 8.7980909E+001,-1.9006209E-002, 3.0683151E-002, 2.0994306E-002, 1.9917764E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.2000201E+002, 5.1694539E+002,-1.6189397E+002,-3.1448923E+002,-5.7185015E-001,-7.9797226E-002,-7.4316751E-013, 5.1050259E+001, 4.1368232E-001, 9.0960792E+001,-1.9853212E-002, 3.4180337E-002, 2.1929908E-002, 2.0447697E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.3000305E+002, 5.2987094E+002,-1.6747906E+002,-3.1781601E+002,-5.0165222E-001,-7.5127232E-002,-7.4095890E-013, 5.5187377E+001, 1.7128025E+000, 9.9186466E+001,-2.1316948E-002, 3.3150024E-002, 2.3546754E-002, 2.0769885E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.4000067E+002, 5.4059969E+002,-1.6930976E+002,-3.2834968E+002,-5.3695728E-001,-7.6303754E-002,-7.4036549E-013, 5.6592040E+001, 4.7767581E-001, 9.8919032E+001,-2.1553683E-002, 3.4256144E-002, 2.3808252E-002, 2.1471253E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.5000079E+002, 5.5851203E+002,-1.7501119E+002,-3.3887721E+002,-5.7064830E-001,-5.7226193E-002,-7.4150701E-013, 5.3538102E+001, 3.7035747E-001, 9.7533861E+001,-2.1271300E-002, 3.7079215E-002, 2.3496331E-002, 2.1472482E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.6000134E+002, 5.7701023E+002,-1.8157979E+002,-3.5216412E+002,-6.1518912E-001,-4.0959750E-002,-7.4153435E-013, 5.5627071E+001, 2.9271047E-001, 9.8237242E+001,-2.1428404E-002, 3.6404304E-002, 2.3669869E-002, 2.1312899E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.7000140E+002, 5.5531870E+002,-1.7359679E+002,-3.3669207E+002,-6.6827155E-001,-1.8711674E-002,-7.3973780E-013, 5.8093300E+001, 1.0067633E+000, 1.0243615E+002,-2.2214091E-002, 3.5765381E-002, 2.4537740E-002, 2.2716330E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.8000159E+002, 5.8814482E+002,-1.8513524E+002,-3.5680682E+002,-6.4493570E-001,-2.2442326E-002,-7.3927522E-013, 5.7441860E+001, 2.6073638E-001, 1.0297724E+002,-2.2471732E-002, 3.7466548E-002, 2.4822332E-002, 2.2112405E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.9000116E+002, 5.7826456E+002,-1.8098758E+002,-3.5401281E+002,-6.9704982E-001,-2.3592213E-002,-7.3969098E-013, 5.8952907E+001,-3.6406524E-001, 1.0149644E+002,-2.2288085E-002, 3.7803360E-002, 2.4619475E-002, 2.1637434E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.0000220E+002, 6.1039556E+002,-1.9178059E+002,-3.7234305E+002,-7.2750138E-001,-1.9459977E-002,-7.3993503E-013, 6.0281805E+001, 2.7527097E-001, 1.0580676E+002,-2.3096423E-002, 3.8460140E-002, 2.5512367E-002, 2.0951429E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.1000171E+002, 5.8517036E+002,-1.8201113E+002,-3.5624995E+002,-7.3274512E-001,-1.5705066E-002,-7.3966759E-013, 6.5549613E+001,-5.6418687E-001, 1.1171045E+002,-2.4549011E-002, 3.6478998E-002, 2.7116899E-002, 2.2842511E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.2000421E+002, 6.0694634E+002,-1.8878819E+002,-3.6879854E+002,-7.2410876E-001,-1.3281642E-002,-7.3950517E-013, 6.4609801E+001, 8.3062403E-001, 1.1323202E+002,-2.4587690E-002, 3.6895438E-002, 2.7159624E-002, 2.2485847E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.3000232E+002, 6.0529656E+002,-1.8613951E+002,-3.6460024E+002,-8.3621001E-001,-1.7590701E-002,-7.4087591E-013, 6.7130371E+001, 4.3447771E-001, 1.2083338E+002,-2.6360190E-002, 3.6821948E-002, 2.9117532E-002, 2.3040774E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.4000220E+002, 6.1872714E+002,-1.9139999E+002,-3.7439494E+002,-8.7647708E-001,-1.7691408E-002,-7.4011282E-013, 6.6922286E+001, 1.1379691E+000, 1.1896032E+002,-2.5821941E-002, 3.9350064E-002, 2.8522981E-002, 2.2364824E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.5000336E+002, 6.4459218E+002,-2.0057930E+002,-3.9117504E+002,-9.7091525E-001,-2.6044600E-002,-7.3983584E-013, 6.8220568E+001, 8.7057271E-001, 1.2006145E+002,-2.6098601E-002, 3.9472747E-002, 2.8828580E-002, 2.2599864E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.6000079E+002, 6.5645845E+002,-2.0430995E+002,-3.9872618E+002,-9.9755160E-001,-4.4427485E-002,-7.3941369E-013, 7.3170052E+001,-6.8859085E-001, 1.2555039E+002,-2.7662858E-002, 3.9676441E-002, 3.0556462E-002, 2.3609330E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.7000378E+002, 6.7227647E+002,-2.0829213E+002,-4.0212960E+002,-1.1122268E+000,-8.6207648E-002,-7.4017043E-013, 7.8919964E+001, 1.2221124E+000, 1.3957628E+002,-3.0340955E-002, 4.0118681E-002, 3.3514695E-002, 2.3225758E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.8000250E+002, 6.8952718E+002,-2.1613523E+002,-4.1692874E+002,-1.1773526E+000,-1.2711255E-001,-7.3978597E-013, 7.9719959E+001, 7.1234188E-001, 1.3487870E+002,-2.9346388E-002, 4.4219077E-002, 3.2416094E-002, 2.3094280E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.9000269E+002, 6.9171882E+002,-2.1810534E+002,-4.1907409E+002,-1.1914245E+000,-1.2091455E-001,-7.4052457E-013, 8.2073901E+001, 2.6114852E-001, 1.3530095E+002,-2.9544371E-002, 4.4141918E-002, 3.2634786E-002, 2.3079566E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0000025E+003, 7.0199137E+002,-2.2274177E+002,-4.2135254E+002,-1.3172661E+000,-1.0048082E-001,-7.4138101E-013, 9.0431807E+001, 3.0838996E-001, 1.4691112E+002,-3.2037512E-002, 4.4720444E-002, 3.5388716E-002, 2.3464209E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0100013E+003, 6.8587830E+002,-2.1714524E+002,-4.1201311E+002,-1.4070698E+000,-1.3797152E-001,-7.4065776E-013, 9.5200707E+001, 2.5243273E-001, 1.5037562E+002,-3.2831311E-002, 4.3108462E-002, 3.6265549E-002, 2.4056598E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0200031E+003, 6.7729412E+002,-2.1510077E+002,-4.0593550E+002,-1.4445216E+000,-1.9147924E-001,-7.4040026E-013, 9.8476321E+001, 8.4838122E-001, 1.5309816E+002,-3.3295604E-002, 4.2990339E-002, 3.6778408E-002, 2.2848331E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0300011E+003, 7.0128400E+002,-2.2648437E+002,-4.1690155E+002,-1.5984314E+000,-3.1732095E-001,-7.4067125E-013, 1.0583522E+002, 8.2371121E-001, 1.6181755E+002,-3.5125527E-002, 4.2549409E-002, 3.8799745E-002, 2.2091384E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0400006E+003, 7.1751643E+002,-2.3438181E+002,-4.2839764E+002,-1.7846375E+000,-4.3285987E-001,-7.4140448E-013, 1.0548567E+002,-5.8064152E-001, 1.5800515E+002,-3.4551289E-002, 4.6008831E-002, 3.8165440E-002, 2.1419922E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0500029E+003, 7.1718320E+002,-2.3764900E+002,-4.2698391E+002,-1.9111990E+000,-5.3512775E-001,-7.4072075E-013, 1.1640420E+002, 1.7502626E+000, 1.6650817E+002,-3.5996705E-002, 4.2746743E-002, 3.9762051E-002, 2.0864743E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0600018E+003, 7.1439520E+002,-2.3798843E+002,-4.2506549E+002,-2.1177137E+000,-6.7547900E-001,-7.4046206E-013, 1.2859552E+002,-8.7830657E-001, 1.7714360E+002,-3.8841321E-002, 4.4394179E-002, 4.2904220E-002, 1.9204208E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0700031E+003, 6.9681484E+002,-2.3180841E+002,-4.1944285E+002,-2.2246203E+000,-4.3313407E-001,-7.4013049E-013, 1.3775366E+002,-1.0072617E-001, 1.8065950E+002,-3.9457159E-002, 3.9931313E-002, 4.3584477E-002, 1.7232418E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0800007E+003, 6.9588974E+002,-2.3099007E+002,-4.1564196E+002,-2.3272876E+000,-3.8035637E-001,-7.4082829E-013, 1.4797557E+002, 1.4678587E+000, 1.9452563E+002,-4.2118216E-002, 4.1733285E-002, 4.6523888E-002, 1.7275588E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0900001E+003, 6.7780305E+002,-2.2491801E+002,-4.0664592E+002,-2.4987696E+000,-3.5861193E-001,-7.4018131E-013, 1.5678467E+002,-6.3084615E-001, 2.0016641E+002,-4.3839605E-002, 3.7316991E-002, 4.8425338E-002, 1.6896664E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1000032E+003, 6.6509747E+002,-2.2235561E+002,-3.9844743E+002,-2.6172237E+000,-3.8573898E-001,-7.3960049E-013, 1.6460935E+002,-1.4661190E+000, 2.0590082E+002,-4.5232950E-002, 3.4355857E-002, 4.9964431E-002, 1.5216416E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1100022E+003, 6.3678880E+002,-2.1428472E+002,-3.8397613E+002,-2.7667248E+000,-2.9480496E-001,-7.3983417E-013, 1.7121935E+002,-1.4257177E+000, 2.0668576E+002,-4.5390520E-002, 3.4724920E-002, 5.0138483E-002, 1.3297796E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1200033E+003, 6.0646601E+002,-2.0623975E+002,-3.5756489E+002,-2.7999357E+000,-3.1694663E-001,-7.3943910E-013, 1.8112030E+002,-1.6171031E+000, 2.2066477E+002,-4.8405978E-002, 3.1245813E-002, 5.3469365E-002, 1.3629422E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1300007E+003, 5.6943170E+002,-1.9312429E+002,-3.4478295E+002,-2.8453785E+000,-1.7072292E-001,-7.3979740E-013, 1.7745066E+002,-4.8074451E-001, 2.0595902E+002,-4.5063866E-002, 2.7984800E-002, 4.9777660E-002, 1.2608872E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1400011E+003, 5.4193325E+002,-1.8231320E+002,-3.3156654E+002,-2.8559382E+000,-7.3787890E-002,-7.4043279E-013, 1.6640920E+002,-8.2685573E-001, 1.9153299E+002,-4.2063601E-002, 3.0335661E-002, 4.6463559E-002, 1.1185778E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1500023E+003, 5.5359471E+002,-1.8816835E+002,-3.2546188E+002,-2.9501036E+000,-8.2289466E-002,-7.3881938E-013, 1.7417357E+002, 5.2309739E-002, 2.1110566E+002,-4.6031440E-002, 2.6324446E-002, 5.0846444E-002, 1.2641963E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1600026E+003, 5.3344896E+002,-1.8261291E+002,-3.1071603E+002,-2.9217941E+000,-8.5114330E-002,-7.3929950E-013, 1.7922777E+002,-6.0679999E-001, 2.1634088E+002,-4.7287859E-002, 2.6683468E-002, 5.2234288E-002, 1.1449133E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1700026E+003, 5.1616010E+002,-1.7421340E+002,-3.1372982E+002,-2.7989275E+000,-6.6692067E-002,-7.4150288E-013, 1.7202879E+002,-1.0861167E+000, 1.9738005E+002,-4.3363297E-002, 2.7453182E-002, 4.7899206E-002, 1.0743364E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1800020E+003, 4.7996975E+002,-1.6272836E+002,-2.9558037E+002,-2.7503203E+000,-8.4798493E-002,-7.4029329E-013, 1.7127250E+002,-1.6203770E+000, 1.9009839E+002,-4.2004783E-002, 2.2033760E-002, 4.6398589E-002, 1.1684456E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1900013E+003, 4.6287083E+002,-1.5597219E+002,-2.8141765E+002,-2.6156174E+000,-1.3635591E-001,-7.3945974E-013, 1.6629375E+002,-3.1849260E-001, 1.8902277E+002,-4.1457771E-002, 2.2936432E-002, 4.5794358E-002, 1.0103848E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2000028E+003, 4.4110485E+002,-1.4989962E+002,-2.6708717E+002,-2.6017777E+000,-1.2647812E-001,-7.4087098E-013, 1.6147233E+002,-5.9726937E-002, 1.8286213E+002,-4.0033513E-002, 2.3452487E-002, 4.4221119E-002, 9.7350993E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2100002E+003, 4.2639863E+002,-1.4797428E+002,-2.5402729E+002,-2.5956029E+000,-1.7630437E-001,-7.4115203E-013, 1.7181962E+002,-2.2337055E+000, 1.9344478E+002,-4.2766054E-002, 1.9191394E-002, 4.7239491E-002, 9.3736737E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2200012E+003, 3.9840485E+002,-1.3826079E+002,-2.3901469E+002,-2.6345281E+000,-1.8502962E-001,-7.3935633E-013, 1.6574114E+002,-9.6970668E-001, 1.8405096E+002,-4.0446365E-002, 1.8403145E-002, 4.4677156E-002, 8.3375805E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2300000E+003, 3.8875796E+002,-1.3649061E+002,-2.3594415E+002,-2.5655830E+000,-2.1245981E-001,-7.3949221E-013, 1.5677203E+002, 1.7881142E-001, 1.7031719E+002,-3.7181401E-002, 2.0123971E-002, 4.1070669E-002, 6.8340156E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2400021E+003, 3.9643035E+002,-1.4268269E+002,-2.3793548E+002,-2.6309140E+000,-3.0878055E-001,-7.3997761E-013, 1.6023304E+002,-2.1010878E-001, 1.7310553E+002,-3.7850738E-002, 1.8684392E-002, 4.1810020E-002, 5.5391142E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2500006E+003, 3.7910379E+002,-1.3936063E+002,-2.3125924E+002,-2.7564551E+000,-3.7712377E-001,-7.4071077E-013, 1.5798065E+002,-5.4371362E-001, 1.6333099E+002,-3.5778772E-002, 1.6913815E-002, 3.9521322E-002, 4.0662097E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2600032E+003, 3.6073503E+002,-1.3594570E+002,-2.2120031E+002,-2.9521363E+000,-4.2143120E-001,-7.3911607E-013, 1.5603293E+002,-1.4994746E+000, 1.5624837E+002,-3.4404457E-002, 1.4410420E-002, 3.8003249E-002, 3.0267711E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2700002E+003, 3.4020999E+002,-1.3516780E+002,-1.8700139E+002,-3.3561854E+000,-2.3747627E-001,-7.3936962E-013, 1.8080224E+002,-1.0311668E+000, 1.9524939E+002,-4.2715789E-002, 9.7450053E-003, 4.7183968E-002, 1.8704180E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2800035E+003, 2.8901779E+002,-1.2238431E+002,-1.5358938E+002,-3.5868743E+000,-5.8117558E-002,-7.4085514E-013, 1.9274959E+002,-1.6417769E+000, 2.0214870E+002,-4.4457227E-002, 5.3416139E-003, 4.9107564E-002, 6.4092557E-005,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2900023E+003, 2.3944328E+002,-1.1225345E+002,-1.1560011E+002,-3.4781409E+000, 1.3186976E-004,-7.4075088E-013, 1.9883334E+002,-9.7774300E-001, 2.0694504E+002,-4.5351022E-002, 2.4839692E-003, 5.0094853E-002, 8.2718563E-007,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3000040E+003, 2.2479566E+002,-1.0620240E+002,-1.0745380E+002,-3.0268643E+000, 2.5685713E-005,-7.3948591E-013, 1.9145127E+002,-5.1923953E-001, 1.9956389E+002,-4.3559857E-002, 2.2862331E-003, 4.8116328E-002, 2.2935700E-007,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3100021E+003, 2.0376553E+002,-9.6196591E+001,-1.0715472E+002,-2.5658274E+000, 7.5731867E-006,-7.3977855E-013, 1.8297013E+002,-5.8992568E-001, 1.8081853E+002,-3.9482348E-002, 2.0697343E-003, 4.3612301E-002, 8.8494451E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3200040E+003, 1.7564546E+002,-8.1203819E+001,-1.0517129E+002,-2.1125656E+000, 2.9994847E-006,-7.4138447E-013, 1.6730869E+002,-8.3110969E-001, 1.5446648E+002,-3.3922654E-002, 1.8273109E-003, 3.7471048E-002, 4.4196970E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3300010E+003, 1.5793932E+002,-7.1431154E+001,-9.8920045E+001,-1.7284080E+000, 1.4229566E-006,-7.4065857E-013, 1.5364562E+002,-1.2009861E+000, 1.3950533E+002,-3.0671557E-002, 1.5782053E-003, 3.3879879E-002, 2.5880077E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3400006E+003, 1.5051063E+002,-6.6904843E+001,-9.3322392E+001,-1.2906359E+000, 7.6547930E-007,-7.3937602E-013, 1.4673424E+002,-6.9846833E-001, 1.3572700E+002,-2.9632893E-002, 1.3526680E-003, 3.2732568E-002, 1.6901244E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3500005E+003, 1.1280020E+002,-4.5745628E+001,-8.9139118E+001,-9.6979420E-001, 4.4876672E-007,-7.4053701E-013, 1.2175478E+002,-1.5608268E+000, 9.8700437E+001,-2.1899369E-002, 1.1296169E-003, 2.4190098E-002, 1.1943627E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3600028E+003, 8.9881605E+001,-3.2289445E+001,-7.9303110E+001,-6.4750730E-001, 2.8014254E-007,-7.4070621E-013, 1.0041690E+002,-1.5327034E+000, 7.8058448E+001,-1.7438769E-002, 9.0380840E-004, 1.9262908E-002, 8.9522324E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3700031E+003, 7.3337981E+001,-2.3538322E+001,-7.0126858E+001,-3.0418157E-001, 1.8510528E-007,-7.4014236E-013, 8.4621123E+001,-1.4521099E+000, 6.3989742E+001,-1.4330523E-002, 6.9975122E-004, 1.5829532E-002, 7.0297414E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3800020E+003, 5.8264824E+001,-1.6435507E+001,-6.2741294E+001, 4.8917223E-003, 1.2745295E-007,-7.3510857E-013, 7.2077547E+001,-1.3685812E+000, 5.1170462E+001,-1.1484425E-002, 5.1858977E-004, 1.2685725E-002, 5.7337463E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3900001E+003, 3.7586969E+001,-7.1763271E+000,-5.5636996E+001, 2.3465143E-001, 9.2076373E-008,-7.2486749E-013, 5.7004124E+001,-1.7893191E+000, 3.2012421E+001,-7.3728796E-003, 3.4748872E-004, 8.1441014E-003, 4.8357383E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4000034E+003, 9.1972696E+000, 5.5005719E+000,-4.1784155E+001, 3.6722272E-001, 6.8387115E-008,-6.7262334E-013, 3.0988246E+001,-2.7759067E+000, 4.2691551E+000,-1.5343916E-003, 1.8481865E-004, 1.6948929E-003, 4.1850446E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4100088E+003, 3.0143358E+000, 3.1645425E+000,-2.2541067E+001, 4.0753740E-001, 5.2315265E-008,-5.3122966E-013, 1.5799563E+001,-2.2333850E+000,-1.5508748E-001,-4.5091225E-004, 7.9750121E-005, 4.9807880E-004, 3.7008958E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4200137E+003, 8.8067043E-001, 1.6258331E+000,-9.7109473E+000, 4.1181072E-001, 4.0997296E-008,-3.9202338E-013, 5.7863687E+000,-1.3723050E+000,-1.0062643E+000,-7.9085525E-005, 4.2984598E-005, 8.7358070E-005, 3.3329932E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4300095E+003, 5.1434869E-001, 1.0962735E+000,-4.2089591E+000, 4.0349726E-001, 3.2712589E-008,-2.5698160E-013, 1.7394581E+000,-5.4281750E-001,-4.5538145E-001,-1.8124951E-005, 3.5656564E-005, 2.0020866E-005, 3.0469569E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4400231E+003, 4.8665568E-001, 9.7257068E-001,-2.6902974E+000, 3.9872379E-001, 2.6513821E-008,-1.9620941E-013, 7.0214652E-001,-2.0739128E-001,-1.3020072E-001,-1.5602028E-005, 3.4329653E-005, 1.7234039E-005, 2.8182449E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4500051E+003, 4.8335634E-001, 9.3247887E-001,-2.2078194E+000, 3.9012669E-001, 2.1825383E-008,-1.8857713E-013, 4.0983829E-001,-7.0083609E-002, 7.9807706E-003,-1.5911811E-005, 3.3937225E-005, 1.7576226E-005, 2.6332315E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4600015E+003, 4.7980803E-001, 9.1990522E-001,-2.0686410E+000, 3.8200624E-001, 1.8198746E-008,-1.8840145E-013, 3.1294112E-001,-5.1719645E-002, 2.6019663E-002,-1.5646788E-005, 3.3744907E-005, 1.7283482E-005, 2.4812965E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4700203E+003, 4.7791474E-001, 9.1318741E-001,-1.9898344E+000, 3.7459751E-001, 1.5359669E-008,-1.8857849E-013, 2.6650925E-001,-3.4283063E-002, 4.2374489E-002,-1.5548314E-005, 3.3628049E-005, 1.7174707E-005, 2.3550917E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4800133E+003, 4.7710600E-001, 9.1046067E-001,-1.9106602E+000, 3.6756650E-001, 1.3045469E-008,-1.8857872E-013, 2.4842881E-001, 1.5609272E-002, 9.2901804E-002,-1.5590562E-005, 3.3545159E-005, 1.7221373E-005, 2.2490425E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4900172E+003, 4.7248066E-001, 9.0933393E-001,-1.9070809E+000, 3.6125354E-001, 1.1202686E-008,-1.8857890E-013, 2.3857119E-001, 1.6909776E-003, 7.4558418E-002,-1.4784850E-005, 3.3466645E-005, 1.6331383E-005, 2.1587016E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.5000104E+003, 4.6890415E-001, 9.1129522E-001,-1.9140779E+000, 3.5520312E-001, 9.6701053E-009,-1.8844696E-013, 2.4482462E-001,-4.7489190E-003, 6.6149221E-002,-1.4235377E-005, 3.3372733E-005, 1.5724433E-005, 2.0814319E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.5100114E+003, 4.6674619E-001, 9.1028055E-001,-1.9081735E+000, 3.4942446E-001, 8.4246817E-009,-1.8857985E-013, 2.3557167E-001,-1.5511091E-002, 5.3849420E-002,-1.4011986E-005, 3.3280358E-005, 1.5477675E-005, 2.0141484E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.5200221E+003, 4.6664589E-001, 9.0781698E-001,-1.9034591E+000, 3.4537772E-001, 7.3232407E-009,-1.8841434E-013, 2.2853878E-001,-2.5844104E-002, 4.4920290E-002,-1.4166024E-005, 3.3214277E-005, 1.5647826E-005, 1.9557039E-009,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
