s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 7.500E+02, 2.047E+02,-1.201E+02,-1.237E+01,-5.771E+01, 4.920E-01, 4.808E-01, 0.000E+00, 1.670E+00, 1.553E+01, 3.999E-03, 3.999E-03,-8.847E+01
 7.600E+02, 1.909E+02,-1.243E+02, 1.100E+01,-6.089E+01, 3.590E-01, 4.652E-01, 0.000E+00, 1.570E+00, 1.752E+01, 3.999E-03, 3.999E-03,-4.677E+01
 7.700E+02, 2.030E+02,-1.255E+02,-6.697E+00,-6.180E+01, 4.780E-01,-1.030E+00, 0.000E+00,-3.673E+00, 8.472E+00, 3.999E-03, 3.999E-03,-1.445E+02
 7.800E+02, 1.882E+02,-1.209E+02, 3.493E+00,-5.967E+01, 4.322E-01,-6.034E-01, 0.000E+00,-2.085E+00, 1.098E+01, 3.999E-03, 3.999E-03,-1.999E+02
 7.900E+02, 1.821E+02,-1.102E+02, 5.704E-01,-5.441E+01, 3.440E-01, 1.668E+00, 0.000E+00, 5.729E+00, 2.011E+01, 3.999E-03, 3.999E-03,-4.785E+01
 8.000E+02, 2.129E+02,-1.233E+02,-1.641E+01,-6.128E+01, 5.263E-01,-6.493E-01, 0.000E+00,-2.226E+00, 1.184E+01, 3.999E-03, 3.999E-03,-1.070E+02
 8.100E+02, 2.012E+02,-1.249E+02, 1.405E+00,-6.250E+01, 3.834E-01, 3.251E-01, 0.000E+00, 9.086E-01, 1.592E+01, 3.999E-03, 3.999E-03,-8.288E+01
 8.200E+02, 1.924E+02,-1.218E+02, 9.398E+00,-6.024E+01, 2.801E-01, 1.374E+00, 0.000E+00, 4.811E+00, 2.144E+01, 3.999E-03, 3.999E-03, 4.495E+01
 8.300E+02, 2.083E+02,-1.259E+02,-1.043E+01,-6.195E+01, 2.545E-01,-1.799E+00, 0.000E+00,-6.349E+00, 8.459E+00, 3.999E-03, 3.999E-03,-1.238E+02
 8.400E+02, 2.131E+02,-1.248E+02,-1.597E+01,-6.079E+01, 3.171E-01, 6.287E-02, 0.000E+00, 4.400E-02, 1.186E+01, 3.999E-03, 3.999E-03,-1.226E+02
 8.500E+02, 1.859E+02,-1.260E+02, 1.694E+01,-5.998E+01, 2.559E-01, 1.070E+00, 0.000E+00, 3.454E+00, 1.821E+01, 3.999E-03, 3.999E-03,-3.092E+01
 8.600E+02, 1.727E+02,-1.181E+02, 1.281E+01,-5.584E+01, 1.306E-01,-3.150E-01, 0.000E+00,-1.110E+00, 1.141E+01, 3.999E-03, 3.999E-03,-6.042E+01
 8.700E+02, 2.432E+02,-1.318E+02,-3.474E+01,-6.185E+01, 4.532E-01,-7.229E-01, 0.000E+00,-2.425E+00, 1.449E+01, 3.999E-03, 3.999E-03,-1.248E+02
