s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 7.600E+02, 1.000E+02,-3.321E+01,-4.495E+01,-2.251E+01, 4.400E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.197E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.700E+02, 9.993E+01,-3.307E+01,-4.442E+01,-2.306E+01, 4.378E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.888E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.800E+02, 1.003E+02,-3.324E+01,-4.415E+01,-2.354E+01, 4.312E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.252E-01, 0.000E+00, 2.000E-03, 0.000E+00
 7.900E+02, 1.002E+02,-3.312E+01,-4.457E+01,-2.318E+01, 4.360E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.860E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.000E+02, 1.000E+02,-3.293E+01,-4.538E+01,-2.235E+01, 4.368E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.729E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.100E+02, 1.001E+02,-3.298E+01,-4.591E+01,-2.189E+01, 4.379E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.999E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.200E+02, 1.000E+02,-3.305E+01,-4.449E+01,-2.311E+01, 4.376E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.934E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.300E+02, 1.003E+02,-3.336E+01,-4.393E+01,-2.361E+01, 4.353E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.945E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.400E+02, 9.996E+01,-3.310E+01,-4.433E+01,-2.310E+01, 4.305E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.435E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.500E+02, 1.000E+02,-3.291E+01,-4.528E+01,-2.246E+01, 4.348E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.866E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.600E+02, 1.000E+02,-3.284E+01,-4.515E+01,-2.266E+01, 4.381E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.792E-01, 0.000E+00, 2.000E-03, 0.000E+00
