s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 9.400E+02, 1.009E+02,-6.060E+01,-1.924E+00,-3.831E+01, 4.143E-01, 1.483E-02, 0.000E+00, 6.387E-02, 5.089E-01,-3.144E-03, 1.999E-03,-3.774E-03, 7.788E+00
 9.500E+02, 1.008E+02,-6.060E+01,-1.680E+00,-3.861E+01, 4.188E-01,-5.027E-02, 0.000E+00,-1.535E-01, 2.948E-01,-2.566E-03, 1.999E-03,-3.610E-03, 3.712E+00
 9.600E+02, 9.977E+01,-6.050E+01,-1.399E+00,-3.775E+01, 4.201E-01, 3.610E-02, 0.000E+00, 1.138E-01, 5.814E-01,-1.562E-03, 1.999E-03,-3.678E-03, 6.723E+00
 9.700E+02, 1.001E+02,-6.055E+01,-1.600E+00,-3.809E+01, 4.156E-01,-7.369E-02, 0.000E+00,-2.483E-01, 1.846E-01,-2.173E-03, 1.999E-03,-3.741E-03, 1.345E-01
 9.800E+02, 1.002E+02,-6.049E+01,-9.809E-01,-3.856E+01, 4.155E-01, 4.728E-02, 0.000E+00, 1.543E-01, 6.332E-01,-9.637E-04, 1.999E-03,-3.205E-03, 4.224E+00
 9.900E+02, 1.004E+02,-6.063E+01,-2.111E+00,-3.766E+01, 4.154E-01, 5.792E-03, 0.000E+00, 1.529E-02, 4.718E-01,-4.000E-03, 1.999E-03,-3.679E-03, 4.631E+00
 1.000E+03, 1.007E+02,-6.066E+01,-1.497E+00,-3.858E+01, 4.117E-01,-1.850E-02, 0.000E+00,-5.486E-02, 3.883E-01,-1.996E-03, 1.999E-03,-3.680E-03, 3.178E+00
 1.010E+03, 1.009E+02,-6.076E+01,-1.208E+00,-3.899E+01, 4.111E-01,-3.952E-02, 0.000E+00,-1.189E-01, 3.284E-01,-1.229E-03, 1.999E-03,-3.537E-03, 2.020E-02
 1.020E+03, 1.007E+02,-6.070E+01,-1.522E+00,-3.831E+01, 4.115E-01, 4.864E-02, 0.000E+00, 1.562E-01, 6.128E-01,-1.104E-03, 1.999E-03,-4.279E-03, 4.154E+00
 1.030E+03, 1.002E+02,-6.091E+01,-4.958E-03,-3.908E+01, 4.090E-01, 5.396E-02, 0.000E+00, 1.900E-01, 6.558E-01, 1.500E-03, 1.999E-03,-2.779E-03, 9.192E+00
 1.040E+03, 1.008E+02,-6.089E+01,-1.461E+00,-3.855E+01, 4.101E-01,-5.130E-02, 0.000E+00,-1.686E-01, 2.808E-01,-2.279E-03, 1.999E-03,-3.484E-03, 4.721E+00
 1.050E+03, 9.816E+01,-6.066E+01, 2.513E-01,-3.776E+01, 4.070E-01,-2.467E-02, 0.000E+00,-9.931E-02, 3.666E-01, 3.329E-03, 1.999E-03,-3.385E-03, 2.087E+00
