s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 3.25E+02, 0.00E+00, 9.77E+00, 1.93E+00, 7.17E+00, 0.00E+00,-5.00E-02,-2.12E+01,-2.40E+00,-2.40E+00, 0.00E+00, 2.11E-02, 0.00E+00, 5.88E-04, 2.63E+04
 3.30E+02, 0.00E+00, 9.69E+00, 1.93E+00, 7.23E+00, 0.00E+00, 4.26E-02,-2.08E+01,-1.96E+00,-1.96E+00, 0.00E+00, 2.06E-02, 0.00E+00, 5.16E-04, 2.63E+04
 3.35E+02, 0.00E+00, 9.64E+00, 1.90E+00, 7.19E+00, 0.00E+00, 3.59E-02,-2.07E+01,-1.98E+00,-1.98E+00, 0.00E+00, 2.08E-02, 0.00E+00, 4.65E-04, 2.63E+04
 3.40E+02, 0.00E+00, 9.60E+00, 1.90E+00, 7.16E+00, 0.00E+00, 1.65E-02,-2.08E+01,-2.07E+00,-2.07E+00, 0.00E+00, 2.10E-02, 0.00E+00, 4.10E-04, 2.63E+04
 3.45E+02, 0.00E+00, 9.50E+00, 1.88E+00, 7.15E+00, 0.00E+00,-6.91E-02,-2.08E+01,-2.37E+00,-2.37E+00, 0.00E+00, 2.12E-02, 0.00E+00, 3.55E-04, 2.63E+04
 3.50E+02, 0.00E+00, 9.49E+00, 1.89E+00, 6.84E+00, 0.00E+00, 4.31E-02,-2.01E+01,-1.81E+00,-1.81E+00, 0.00E+00, 2.02E-02, 0.00E+00, 3.13E-04, 2.63E+04
 3.55E+02, 0.00E+00, 9.50E+00, 1.90E+00, 6.67E+00, 0.00E+00,-5.12E-02,-2.04E+01,-2.37E+00,-2.37E+00, 0.00E+00, 2.20E-02, 0.00E+00, 2.72E-04, 2.63E+04
 3.60E+02, 0.00E+00, 9.47E+00, 1.87E+00, 6.38E+00, 0.00E+00,-6.51E-02,-1.99E+01,-2.21E+00,-2.20E+00, 0.00E+00, 2.03E-02, 0.00E+00, 2.29E-04, 2.63E+04
 3.65E+02, 0.00E+00, 9.52E+00, 1.88E+00, 6.05E+00, 0.00E+00,-1.01E-01,-1.97E+01,-2.39E+00,-2.39E+00, 0.00E+00, 2.08E-02, 0.00E+00, 1.95E-04, 2.63E+04
 3.70E+02, 0.00E+00, 9.50E+00, 1.88E+00, 5.78E+00, 0.00E+00,-5.61E-03,-1.91E+01,-1.94E+00,-1.93E+00, 0.00E+00, 1.99E-02, 0.00E+00, 1.62E-04, 2.63E+04
