s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_WATER VAPOR,MLR_TOTAL
 6.0009998E+001, 0.0000000E+000, 1.1648701E-004,-3.8427527E-003, 2.7174710E-003, 1.2845457E-003, 0.0000000E+000, 0.0000000E+000, 2.9957100E-004, 2.7575114E-004, 0.0000000E+000, 3.1476243E-005
 6.1209999E+001, 0.0000000E+000, 1.1867587E-004,-4.0165969E-003, 2.7204284E-003, 1.3061923E-003, 0.0000000E+000, 0.0000000E+000, 1.5335414E-004, 1.2869971E-004, 0.0000000E+000, 3.2177692E-005
 6.2410000E+001, 0.0000000E+000, 1.2077372E-004,-4.1554867E-003, 2.7269448E-003, 1.3073681E-003, 0.0000000E+000, 0.0000000E+000, 2.4384326E-005,-4.0009266E-007, 0.0000000E+000, 3.2527716E-005
 6.3610001E+001, 0.0000000E+000, 1.2265652E-004,-4.2393545E-003, 2.7399506E-003, 1.3072107E-003, 0.0000000E+000, 0.0000000E+000,-4.8231658E-005,-6.9536619E-005, 0.0000000E+000, 3.2890311E-005
 6.4809998E+001, 0.0000000E+000, 1.2469419E-004,-4.2842884E-003, 2.7316553E-003, 1.3267644E-003, 0.0000000E+000, 0.0000000E+000,-7.5430129E-005,-1.0117447E-004, 0.0000000E+000, 3.3575829E-005
 6.6010002E+001, 0.0000000E+000, 1.2698164E-004,-4.2566634E-003, 2.7268036E-003, 1.3628690E-003, 0.0000000E+000, 0.0000000E+000,-1.3911714E-005,-4.0009212E-005, 0.0000000E+000, 3.4517408E-005
 6.7209999E+001, 0.0000000E+000, 1.2989648E-004,-4.1986088E-003, 2.7244720E-003, 1.4093514E-003, 0.0000000E+000, 0.0000000E+000, 8.7629695E-005, 6.5111113E-005, 0.0000000E+000, 3.5512872E-005
 6.8410004E+001, 0.0000000E+000, 1.3312016E-004,-4.1532943E-003, 2.7113336E-003, 1.4517221E-003, 0.0000000E+000, 0.0000000E+000, 1.6964153E-004, 1.4288155E-004, 0.0000000E+000, 3.6412716E-005
 6.9610001E+001, 0.0000000E+000, 1.3668631E-004,-4.1449534E-003, 2.7195479E-003, 1.5003126E-003, 0.0000000E+000, 0.0000000E+000, 2.2455387E-004, 2.1159339E-004, 0.0000000E+000, 3.7508150E-005
 7.0809998E+001, 0.0000000E+000, 1.3934572E-004,-4.0487530E-003, 2.7165504E-003, 1.5622283E-003, 0.0000000E+000, 0.0000000E+000, 3.7962683E-004, 3.6937145E-004, 0.0000000E+000, 3.9118333E-005
 7.2010002E+001, 0.0000000E+000, 1.4075998E-004,-4.1440507E-003, 2.7132082E-003, 1.6254999E-003, 0.0000000E+000, 0.0000000E+000, 3.4452509E-004, 3.3541733E-004, 0.0000000E+000, 4.1152426E-005
 7.3199997E+001, 0.0000000E+000, 1.4190042E-004,-4.4450490E-003, 2.6903364E-003, 1.6600185E-003, 0.0000000E+000, 0.0000000E+000, 5.4089019E-005, 4.7206270E-005, 0.0000000E+000, 4.2436272E-005
 7.4400002E+001, 0.0000000E+000, 1.4352723E-004,-4.2390205E-003, 2.6762246E-003, 1.7174305E-003, 0.0000000E+000, 0.0000000E+000, 3.0749184E-004, 2.9816179E-004, 0.0000000E+000, 4.3681073E-005
 7.5599998E+001, 0.0000000E+000, 1.4630650E-004,-4.5076346E-003, 2.6417190E-003, 1.7591078E-003, 0.0000000E+000, 0.0000000E+000, 5.8327195E-005, 3.9498586E-005, 0.0000000E+000, 4.4417565E-005
 7.6800003E+001, 0.0000000E+000, 1.5009859E-004,-4.4155867E-003, 2.6254156E-003, 1.8111126E-003, 0.0000000E+000, 0.0000000E+000, 1.8907099E-004, 1.7104011E-004, 0.0000000E+000, 4.5435881E-005
 7.8000000E+001, 0.0000000E+000, 1.5259040E-004,-4.0613586E-003, 2.6175683E-003, 1.8757340E-003, 0.0000000E+000, 0.0000000E+000, 5.9762196E-004, 5.8453411E-004, 0.0000000E+000, 4.6960042E-005
 7.9199997E+001, 0.0000000E+000, 1.5388270E-004,-4.3638431E-003, 2.5983851E-003, 1.9515449E-003, 0.0000000E+000, 0.0000000E+000, 3.5748455E-004, 3.3996951E-004, 0.0000000E+000, 4.8882962E-005
 8.0400002E+001, 0.0000000E+000, 1.5541138E-004,-4.5954359E-003, 2.5727847E-003, 1.9688275E-003, 0.0000000E+000, 0.0000000E+000, 1.1981467E-004, 1.0158759E-004, 0.0000000E+000, 4.9479956E-005
 8.1599998E+001, 0.0000000E+000, 1.5857997E-004,-4.4225008E-003, 2.5560298E-003, 1.9962263E-003, 0.0000000E+000, 0.0000000E+000, 2.9682554E-004, 2.8833525E-004, 0.0000000E+000, 5.0340578E-005
 8.2800003E+001, 0.0000000E+000, 1.6049779E-004,-4.6995055E-003, 2.5165592E-003, 2.0034493E-003, 0.0000000E+000, 0.0000000E+000,-7.3903225E-007,-1.8999211E-005, 0.0000000E+000, 5.1069146E-005
 8.4000000E+001, 0.0000000E+000, 1.6185965E-004,-4.3330972E-003, 2.4867306E-003, 2.0555495E-003, 0.0000000E+000, 0.0000000E+000, 3.8878471E-004, 3.7104250E-004, 0.0000000E+000, 5.3313796E-005
