s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p07_025,HRRPUA-CONE_3p07_025,WALL TEMPERATURE-CONE_3p07_050,HRRPUA-CONE_3p07_050,WALL TEMPERATURE-CONE_3p07_075,HRRPUA-CONE_3p07_075
 3.260E+02, 4.796E+02, 2.291E+02, 6.489E+02, 1.380E+01, 7.597E+02, 0.000E+00
 3.280E+02, 4.798E+02, 2.117E+02, 6.490E+02, 1.377E+01, 7.597E+02, 0.000E+00
 3.300E+02, 4.799E+02, 1.936E+02, 6.491E+02, 1.375E+01, 7.598E+02, 0.000E+00
 3.320E+02, 4.801E+02, 1.710E+02, 6.492E+02, 1.372E+01, 7.598E+02, 0.000E+00
 3.340E+02, 4.803E+02, 1.461E+02, 6.493E+02, 1.370E+01, 7.599E+02, 0.000E+00
 3.360E+02, 4.804E+02, 1.234E+02, 6.493E+02, 1.369E+01, 7.599E+02, 0.000E+00
 3.380E+02, 4.806E+02, 1.056E+02, 6.494E+02, 1.368E+01, 7.600E+02, 0.000E+00
 3.400E+02, 4.807E+02, 9.334E+01, 6.495E+02, 1.367E+01, 7.600E+02, 0.000E+00
 3.420E+02, 4.809E+02, 8.373E+01, 6.495E+02, 1.366E+01, 7.601E+02, 0.000E+00
 3.440E+02, 4.810E+02, 7.490E+01, 6.496E+02, 1.364E+01, 7.601E+02, 0.000E+00
 3.460E+02, 4.812E+02, 6.774E+01, 6.497E+02, 1.363E+01, 7.602E+02, 0.000E+00
 3.480E+02, 4.813E+02, 6.155E+01, 6.498E+02, 1.362E+01, 7.602E+02, 0.000E+00
 3.500E+02, 4.814E+02, 5.554E+01, 6.498E+02, 1.361E+01, 7.603E+02, 0.000E+00
 3.520E+02, 4.816E+02, 5.013E+01, 6.499E+02, 1.360E+01, 7.603E+02, 0.000E+00
 3.540E+02, 4.817E+02, 4.698E+01, 6.499E+02, 1.359E+01, 7.603E+02, 0.000E+00
 3.560E+02, 4.818E+02, 4.433E+01, 6.500E+02, 1.358E+01, 7.604E+02, 0.000E+00
 3.580E+02, 4.819E+02, 4.175E+01, 6.501E+02, 1.357E+01, 7.604E+02, 0.000E+00
 3.600E+02, 4.821E+02, 3.919E+01, 6.501E+02, 1.356E+01, 7.605E+02, 0.000E+00
 3.620E+02, 4.822E+02, 3.663E+01, 6.502E+02, 1.354E+01, 7.605E+02, 0.000E+00
 3.640E+02, 4.823E+02, 3.408E+01, 6.502E+02, 1.353E+01, 7.605E+02, 0.000E+00
 3.660E+02, 4.824E+02, 3.159E+01, 6.503E+02, 1.352E+01, 7.606E+02, 0.000E+00
 3.680E+02, 4.825E+02, 3.043E+01, 6.503E+02, 1.351E+01, 7.606E+02, 0.000E+00
 3.700E+02, 4.826E+02, 2.994E+01, 6.504E+02, 1.350E+01, 7.606E+02, 0.000E+00
 3.720E+02, 4.827E+02, 2.950E+01, 6.504E+02, 1.346E+01, 7.607E+02, 0.000E+00
 3.740E+02, 4.828E+02, 2.907E+01, 6.505E+02, 1.342E+01, 7.607E+02, 0.000E+00
 3.760E+02, 4.830E+02, 2.863E+01, 6.505E+02, 1.337E+01, 7.607E+02, 0.000E+00
 3.780E+02, 4.831E+02, 2.820E+01, 6.506E+02, 1.295E+01, 7.607E+02, 0.000E+00
 3.800E+02, 4.831E+02, 2.777E+01, 6.506E+02, 1.194E+01, 7.608E+02, 0.000E+00
 3.820E+02, 4.832E+02, 2.734E+01, 6.507E+02, 1.089E+01, 7.608E+02, 0.000E+00
 3.840E+02, 4.833E+02, 2.691E+01, 6.507E+02, 9.808E+00, 7.608E+02, 0.000E+00
 3.860E+02, 4.834E+02, 2.648E+01, 6.507E+02, 8.716E+00, 7.608E+02, 0.000E+00
 3.880E+02, 4.835E+02, 2.605E+01, 6.508E+02, 7.612E+00, 7.609E+02, 0.000E+00
 3.900E+02, 4.836E+02, 2.562E+01, 6.508E+02, 7.131E+00, 7.609E+02, 0.000E+00
 3.920E+02, 4.837E+02, 2.529E+01, 6.509E+02, 7.113E+00, 7.609E+02, 0.000E+00
 3.940E+02, 4.838E+02, 2.517E+01, 6.509E+02, 7.107E+00, 7.609E+02, 0.000E+00
 3.960E+02, 4.839E+02, 2.508E+01, 6.509E+02, 7.104E+00, 7.610E+02, 0.000E+00
 3.980E+02, 4.839E+02, 2.499E+01, 6.510E+02, 7.100E+00, 7.610E+02, 0.000E+00
 4.000E+02, 4.840E+02, 2.490E+01, 6.510E+02, 7.097E+00, 7.610E+02, 0.000E+00
 4.020E+02, 4.841E+02, 2.482E+01, 6.510E+02, 7.094E+00, 7.610E+02, 0.000E+00
 4.040E+02, 4.842E+02, 2.473E+01, 6.511E+02, 7.090E+00, 7.610E+02, 0.000E+00
 4.060E+02, 4.843E+02, 2.464E+01, 6.511E+02, 7.087E+00, 7.611E+02, 0.000E+00
 4.080E+02, 4.843E+02, 2.455E+01, 6.511E+02, 4.815E+00, 7.611E+02, 0.000E+00
 4.100E+02, 4.844E+02, 2.446E+01, 6.512E+02, 0.000E+00, 7.611E+02, 0.000E+00
 4.120E+02, 4.845E+02, 2.438E+01, 6.512E+02, 0.000E+00, 7.611E+02, 0.000E+00
 4.140E+02, 4.845E+02, 2.429E+01, 6.512E+02, 0.000E+00, 7.611E+02, 0.000E+00
 4.160E+02, 4.846E+02, 2.420E+01, 6.512E+02, 0.000E+00, 7.611E+02, 0.000E+00
 4.180E+02, 4.847E+02, 2.411E+01, 6.513E+02, 0.000E+00, 7.612E+02, 0.000E+00
 4.200E+02, 4.847E+02, 2.402E+01, 6.513E+02, 0.000E+00, 7.612E+02, 0.000E+00
 4.220E+02, 4.848E+02, 2.393E+01, 6.513E+02, 0.000E+00, 7.612E+02, 0.000E+00
 4.240E+02, 4.849E+02, 2.385E+01, 6.513E+02, 0.000E+00, 7.612E+02, 0.000E+00
 4.260E+02, 4.849E+02, 2.376E+01, 6.514E+02, 0.000E+00, 7.612E+02, 0.000E+00
 4.280E+02, 4.850E+02, 2.367E+01, 6.514E+02, 0.000E+00, 7.612E+02, 0.000E+00
 4.300E+02, 4.850E+02, 2.358E+01, 6.514E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.320E+02, 4.851E+02, 2.349E+01, 6.514E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.340E+02, 4.852E+02, 2.340E+01, 6.515E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.360E+02, 4.852E+02, 2.332E+01, 6.515E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.380E+02, 4.853E+02, 2.323E+01, 6.515E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.400E+02, 4.853E+02, 2.314E+01, 6.515E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.420E+02, 4.854E+02, 2.305E+01, 6.515E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.440E+02, 4.854E+02, 2.296E+01, 6.516E+02, 0.000E+00, 7.613E+02, 0.000E+00
 4.460E+02, 4.855E+02, 2.287E+01, 6.516E+02, 0.000E+00, 7.613E+02, 0.000E+00
