s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 2.050E+02, 5.871E+01, 2.411E+01, 0.000E+00
 2.060E+02, 5.576E+01, 2.386E+01, 0.000E+00
 2.070E+02, 5.305E+01, 2.361E+01, 0.000E+00
 2.080E+02, 5.059E+01, 2.336E+01, 0.000E+00
 2.090E+02, 4.837E+01, 2.310E+01, 0.000E+00
 2.100E+02, 4.634E+01, 2.284E+01, 0.000E+00
 2.110E+02, 4.447E+01, 2.258E+01, 0.000E+00
 2.120E+02, 4.275E+01, 2.232E+01, 0.000E+00
 2.130E+02, 4.119E+01, 2.205E+01, 0.000E+00
 2.140E+02, 3.978E+01, 2.178E+01, 0.000E+00
 2.150E+02, 3.850E+01, 2.151E+01, 0.000E+00
 2.160E+02, 3.731E+01, 2.125E+01, 0.000E+00
 2.170E+02, 3.623E+01, 2.098E+01, 0.000E+00
 2.180E+02, 3.524E+01, 2.072E+01, 0.000E+00
 2.190E+02, 3.435E+01, 2.046E+01, 0.000E+00
 2.200E+02, 3.354E+01, 2.019E+01, 0.000E+00
 2.210E+02, 3.280E+01, 1.992E+01, 0.000E+00
 2.220E+02, 3.212E+01, 1.962E+01, 0.000E+00
 2.230E+02, 3.151E+01, 1.928E+01, 0.000E+00
 2.240E+02, 3.097E+01, 1.891E+01, 0.000E+00
 2.250E+02, 3.047E+01, 1.849E+01, 0.000E+00
 2.260E+02, 3.002E+01, 1.800E+01, 0.000E+00
 2.270E+02, 2.959E+01, 1.743E+01, 0.000E+00
 2.280E+02, 2.921E+01, 1.675E+01, 0.000E+00
 2.290E+02, 2.886E+01, 1.574E+01, 0.000E+00
 2.300E+02, 2.853E+01, 1.437E+01, 0.000E+00
 2.310E+02, 2.823E+01, 1.265E+01, 0.000E+00
 2.320E+02, 2.795E+01, 1.083E+01, 0.000E+00
 2.330E+02, 2.769E+01, 9.078E+00, 0.000E+00
 2.340E+02, 2.745E+01, 7.384E+00, 0.000E+00
 2.350E+02, 2.722E+01, 5.769E+00, 0.000E+00
 2.360E+02, 2.701E+01, 4.248E+00, 0.000E+00
 2.370E+02, 2.681E+01, 2.729E-01, 0.000E+00
 2.380E+02, 2.662E+01, 0.000E+00, 0.000E+00
 2.390E+02, 2.645E+01, 0.000E+00, 0.000E+00
 2.400E+02, 2.629E+01, 0.000E+00, 0.000E+00
 2.410E+02, 2.613E+01, 0.000E+00, 0.000E+00
 2.420E+02, 2.599E+01, 0.000E+00, 0.000E+00
 2.430E+02, 2.585E+01, 0.000E+00, 0.000E+00
 2.440E+02, 2.572E+01, 0.000E+00, 0.000E+00
 2.450E+02, 2.560E+01, 0.000E+00, 0.000E+00
 2.460E+02, 2.548E+01, 0.000E+00, 0.000E+00
 2.470E+02, 2.537E+01, 0.000E+00, 0.000E+00
 2.480E+02, 2.526E+01, 0.000E+00, 0.000E+00
 2.490E+02, 2.515E+01, 0.000E+00, 0.000E+00
 2.500E+02, 2.504E+01, 0.000E+00, 0.000E+00
 2.510E+02, 2.493E+01, 0.000E+00, 0.000E+00
 2.520E+02, 2.482E+01, 0.000E+00, 0.000E+00
 2.530E+02, 2.471E+01, 0.000E+00, 0.000E+00
 2.540E+02, 2.460E+01, 0.000E+00, 0.000E+00
 2.550E+02, 2.449E+01, 0.000E+00, 0.000E+00
 2.560E+02, 2.437E+01, 0.000E+00, 0.000E+00
 2.570E+02, 2.426E+01, 0.000E+00, 0.000E+00
 2.580E+02, 2.414E+01, 0.000E+00, 0.000E+00
 2.590E+02, 2.403E+01, 0.000E+00, 0.000E+00
 2.600E+02, 2.391E+01, 0.000E+00, 0.000E+00
 2.610E+02, 2.380E+01, 0.000E+00, 0.000E+00
 2.620E+02, 2.368E+01, 0.000E+00, 0.000E+00
 2.630E+02, 2.357E+01, 0.000E+00, 0.000E+00
 2.640E+02, 2.346E+01, 0.000E+00, 0.000E+00
 2.650E+02, 2.335E+01, 0.000E+00, 0.000E+00
 2.660E+02, 2.324E+01, 0.000E+00, 0.000E+00
 2.670E+02, 2.313E+01, 0.000E+00, 0.000E+00
 2.680E+02, 2.303E+01, 0.000E+00, 0.000E+00
 2.690E+02, 2.292E+01, 0.000E+00, 0.000E+00
 2.700E+02, 2.282E+01, 0.000E+00, 0.000E+00
 2.710E+02, 2.272E+01, 0.000E+00, 0.000E+00
 2.720E+02, 2.262E+01, 0.000E+00, 0.000E+00
 2.730E+02, 2.252E+01, 0.000E+00, 0.000E+00
 2.740E+02, 2.241E+01, 0.000E+00, 0.000E+00
 2.750E+02, 2.231E+01, 0.000E+00, 0.000E+00
 2.760E+02, 2.221E+01, 0.000E+00, 0.000E+00
 2.770E+02, 2.211E+01, 0.000E+00, 0.000E+00
