s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p70_035","HRRPUA-CONE_12p70_035","WALL TEMPERATURE-CONE_12p70_050","HRRPUA-CONE_12p70_050","WALL TEMPERATURE-CONE_12p70_075","HRRPUA-CONE_12p70_075"
 1.400E+03, 5.411E+02, 5.167E+01, 6.317E+02, 7.340E+00, 7.439E+02, 0.000E+00
 1.410E+03, 5.411E+02, 5.155E+01, 6.317E+02, 7.068E+00, 7.439E+02, 0.000E+00
 1.420E+03, 5.411E+02, 5.142E+01, 6.317E+02, 6.793E+00, 7.439E+02, 0.000E+00
 1.430E+03, 5.411E+02, 5.086E+01, 6.317E+02, 6.515E+00, 7.439E+02, 0.000E+00
 1.440E+03, 5.411E+02, 4.851E+01, 6.317E+02, 6.234E+00, 7.439E+02, 0.000E+00
 1.450E+03, 5.411E+02, 4.593E+01, 6.317E+02, 5.951E+00, 7.439E+02, 0.000E+00
 1.460E+03, 5.411E+02, 4.335E+01, 6.317E+02, 5.666E+00, 7.439E+02, 0.000E+00
 1.470E+03, 5.411E+02, 4.084E+01, 6.317E+02, 5.378E+00, 7.439E+02, 0.000E+00
 1.480E+03, 5.411E+02, 3.890E+01, 6.317E+02, 5.087E+00, 7.439E+02, 0.000E+00
 1.490E+03, 5.411E+02, 3.709E+01, 6.317E+02, 4.793E+00, 7.439E+02, 0.000E+00
 1.500E+03, 5.411E+02, 3.529E+01, 6.317E+02, 4.565E+00, 7.439E+02, 0.000E+00
 1.510E+03, 5.411E+02, 3.348E+01, 6.317E+02, 4.468E+00, 7.439E+02, 0.000E+00
 1.520E+03, 5.411E+02, 3.168E+01, 6.317E+02, 4.374E+00, 7.439E+02, 0.000E+00
 1.530E+03, 5.411E+02, 2.988E+01, 6.317E+02, 4.280E+00, 7.439E+02, 0.000E+00
 1.540E+03, 5.411E+02, 2.808E+01, 6.317E+02, 4.186E+00, 7.439E+02, 0.000E+00
 1.550E+03, 5.411E+02, 2.627E+01, 6.317E+02, 4.091E+00, 7.439E+02, 0.000E+00
 1.560E+03, 5.411E+02, 2.447E+01, 6.317E+02, 3.997E+00, 7.439E+02, 0.000E+00
 1.570E+03, 5.411E+02, 2.267E+01, 6.317E+02, 3.901E+00, 7.439E+02, 0.000E+00
 1.580E+03, 5.411E+02, 2.087E+01, 6.317E+02, 3.806E+00, 7.439E+02, 0.000E+00
 1.590E+03, 5.411E+02, 1.933E+01, 6.317E+02, 3.710E+00, 7.439E+02, 0.000E+00
 1.600E+03, 5.411E+02, 1.808E+01, 6.317E+02, 3.614E+00, 7.439E+02, 0.000E+00
 1.610E+03, 5.411E+02, 1.684E+01, 6.317E+02, 3.518E+00, 7.439E+02, 0.000E+00
 1.620E+03, 5.411E+02, 1.560E+01, 6.317E+02, 3.422E+00, 7.439E+02, 0.000E+00
 1.630E+03, 5.411E+02, 1.435E+01, 6.317E+02, 3.325E+00, 7.439E+02, 0.000E+00
 1.640E+03, 5.411E+02, 1.311E+01, 6.317E+02, 3.228E+00, 7.439E+02, 0.000E+00
 1.650E+03, 5.411E+02, 1.221E+01, 6.317E+02, 3.131E+00, 7.439E+02, 0.000E+00
 1.660E+03, 5.411E+02, 1.159E+01, 6.317E+02, 3.033E+00, 7.439E+02, 0.000E+00
 1.670E+03, 5.411E+02, 1.096E+01, 6.317E+02, 2.937E+00, 7.439E+02, 0.000E+00
 1.680E+03, 5.411E+02, 1.034E+01, 6.317E+02, 2.902E+00, 7.439E+02, 0.000E+00
 1.690E+03, 5.411E+02, 9.717E+00, 6.317E+02, 2.900E+00, 7.439E+02, 0.000E+00
 1.700E+03, 5.411E+02, 9.094E+00, 6.317E+02, 2.899E+00, 7.439E+02, 0.000E+00
 1.710E+03, 5.411E+02, 8.470E+00, 6.317E+02, 2.897E+00, 7.439E+02, 0.000E+00
 1.720E+03, 5.411E+02, 7.847E+00, 6.317E+02, 2.895E+00, 7.439E+02, 0.000E+00
 1.730E+03, 5.411E+02, 7.224E+00, 6.317E+02, 2.894E+00, 7.439E+02, 0.000E+00
 1.740E+03, 5.411E+02, 6.624E+00, 6.317E+02, 2.892E+00, 7.439E+02, 0.000E+00
 1.750E+03, 5.411E+02, 6.460E+00, 6.317E+02, 2.891E+00, 7.439E+02, 0.000E+00
 1.760E+03, 5.411E+02, 6.464E+00, 6.317E+02, 2.889E+00, 7.439E+02, 0.000E+00
 1.770E+03, 5.411E+02, 6.469E+00, 6.317E+02, 2.888E+00, 7.439E+02, 0.000E+00
 1.780E+03, 5.411E+02, 6.474E+00, 6.317E+02, 2.886E+00, 7.439E+02, 0.000E+00
 1.790E+03, 5.411E+02, 6.479E+00, 6.317E+02, 2.884E+00, 7.439E+02, 0.000E+00
 1.800E+03, 5.411E+02, 6.484E+00, 6.317E+02, 2.883E+00, 7.439E+02, 0.000E+00
 1.810E+03, 5.411E+02, 6.489E+00, 6.317E+02, 2.881E+00, 7.439E+02, 0.000E+00
 1.820E+03, 5.411E+02, 6.494E+00, 6.317E+02, 2.880E+00, 7.439E+02, 0.000E+00
 1.830E+03, 5.411E+02, 6.498E+00, 6.317E+02, 2.878E+00, 7.439E+02, 0.000E+00
 1.840E+03, 5.411E+02, 6.503E+00, 6.317E+02, 2.454E+00, 7.439E+02, 0.000E+00
 1.850E+03, 5.411E+02, 6.508E+00, 6.317E+02, 5.756E-01, 7.439E+02, 0.000E+00
 1.860E+03, 5.411E+02, 6.513E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.870E+03, 5.411E+02, 6.518E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.880E+03, 5.411E+02, 6.523E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.890E+03, 5.411E+02, 6.087E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.900E+03, 5.411E+02, 1.597E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.910E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.920E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.930E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.940E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.950E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.960E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.970E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.980E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 1.990E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.000E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.010E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.020E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.030E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.040E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.050E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.060E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.070E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.080E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.090E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.100E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.110E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.120E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.130E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.140E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.150E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.160E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.170E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.180E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.190E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.200E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
