s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_14p29_025,HRRPUA-CONE_14p29_025,WALL TEMPERATURE-CONE_14p29_050,HRRPUA-CONE_14p29_050,WALL TEMPERATURE-CONE_14p29_075,HRRPUA-CONE_14p29_075
 3.500E+02, 4.976E+02, 9.223E-05, 6.604E+02, 0.000E+00, 7.688E+02, 0.000E+00
 3.520E+02, 4.976E+02, 0.000E+00, 6.604E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.540E+02, 4.976E+02, 0.000E+00, 6.604E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.560E+02, 4.976E+02, 0.000E+00, 6.604E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.580E+02, 4.976E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.600E+02, 4.976E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.620E+02, 4.976E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.640E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.660E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.680E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.700E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.720E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.740E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.689E+02, 0.000E+00
 3.760E+02, 4.977E+02, 0.000E+00, 6.605E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.780E+02, 4.977E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.800E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.820E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.840E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.860E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.880E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.900E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.920E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.940E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.960E+02, 4.978E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 3.980E+02, 4.979E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 4.000E+02, 4.979E+02, 0.000E+00, 6.606E+02, 0.000E+00, 7.690E+02, 0.000E+00
 4.020E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.690E+02, 0.000E+00
