s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 2.220E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.230E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.240E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.250E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.260E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.270E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.280E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.290E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.310E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.320E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.330E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.340E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.350E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.360E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.370E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.380E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.390E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.410E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.420E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.430E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.440E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.450E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.460E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.470E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.480E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.490E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.510E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.520E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.530E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.540E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.550E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.560E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.570E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.580E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.590E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.600E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.610E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.620E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.630E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.640E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.650E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.660E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.670E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.680E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.690E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.710E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.720E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.730E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.740E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.750E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.760E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.770E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.780E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.790E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.800E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.810E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.820E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.830E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.840E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.850E+02, 0.000E+00, 0.000E+00, 0.000E+00
 2.860E+02, 0.000E+00, 0.000E+00, 0.000E+00
