s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_6p00_035,HRRPUA-CONE_6p00_035,WALL TEMPERATURE-CONE_6p00_050,HRRPUA-CONE_6p00_050,WALL TEMPERATURE-CONE_6p00_075,HRRPUA-CONE_6p00_075
 9.600E+02, 5.634E+02, 2.386E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.700E+02, 5.634E+02, 2.239E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.800E+02, 5.634E+02, 2.145E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 9.900E+02, 5.634E+02, 2.071E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.000E+03, 5.634E+02, 1.997E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.010E+03, 5.634E+02, 1.923E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.020E+03, 5.634E+02, 1.849E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.030E+03, 5.634E+02, 1.775E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.040E+03, 5.634E+02, 1.702E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.050E+03, 5.634E+02, 1.628E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.060E+03, 5.634E+02, 1.554E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.070E+03, 5.634E+02, 1.480E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.080E+03, 5.634E+02, 1.407E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.090E+03, 5.634E+02, 1.354E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.100E+03, 5.634E+02, 1.331E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.110E+03, 5.634E+02, 1.308E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.120E+03, 5.634E+02, 1.285E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.130E+03, 5.634E+02, 1.262E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.140E+03, 5.634E+02, 1.239E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.150E+03, 5.634E+02, 1.216E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.160E+03, 5.634E+02, 1.194E+01, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
