cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 5.5527778E+001, 7.4734360E+002, 7.0878016E+002, 3.3834884E+000, 2.1970932E+002, 3.3090463E+002, 1.4787167E+000, 1.5135575E-001, 2.8346303E-002, 3.1650953E-003, 1.0508327E-003, 4.7700255E-002, 2.7460493E-003, 7.6355757E-001, 3.2852020E-003, 8.2481905E-004
 5.6532828E+001, 7.3470119E+002, 6.9645455E+002, 3.3669067E+000, 2.1653683E+002, 3.2592434E+002, 1.4742185E+000, 1.5345754E-001, 2.7502737E-002, 2.8709951E-003, 9.3191831E-004, 4.6097521E-002, 2.4866600E-003, 7.6471075E-001, 2.9781205E-003, 7.6960257E-004
 5.7537879E+001, 7.2265024E+002, 6.8467304E+002, 3.3507494E+000, 2.1317325E+002, 3.2110200E+002, 1.4663795E+000, 1.5543907E-001, 2.6699872E-002, 2.6007334E-003, 8.2598725E-004, 4.4586818E-002, 2.2483625E-003, 7.6578340E-001, 2.6958178E-003, 7.1850369E-004
 5.8542929E+001, 7.1103900E+002, 6.7346921E+002, 3.3369589E+000, 2.0960990E+002, 3.1610990E+002, 1.4557744E+000, 1.5728793E-001, 2.5941489E-002, 2.3575089E-003, 7.3161276E-004, 4.3178209E-002, 2.0339909E-003, 7.6676817E-001, 2.4420513E-003, 6.7211257E-004
 5.9547980E+001, 6.9991173E+002, 6.6290548E+002, 3.3228149E+000, 2.0611312E+002, 3.1098953E+002, 1.4471532E+000, 1.5899046E-001, 2.5233996E-002, 2.1422748E-003, 6.4973666E-004, 4.1881912E-002, 1.8443769E-003, 7.6765879E-001, 2.2178561E-003, 6.3066362E-004
 6.0553030E+001, 6.8922822E+002, 6.5285080E+002, 3.3102886E+000, 2.0278858E+002, 3.0591629E+002, 1.4380567E+000, 1.6057554E-001, 2.4561652E-002, 1.9553082E-003, 5.7804646E-004, 4.0676822E-002, 1.6798047E-003, 7.6846542E-001, 2.0235652E-003, 5.9400886E-004
 6.1558081E+001, 6.7910341E+002, 6.4332314E+002, 3.2972125E+000, 1.9959994E+002, 3.0104284E+002, 1.4299180E+000, 1.6204696E-001, 2.3930910E-002, 1.7879089E-003, 5.1650470E-004, 3.9558486E-002, 1.5325255E-003, 7.6920173E-001, 1.8495517E-003, 5.6082902E-004
 6.2563131E+001, 6.6922413E+002, 6.3414941E+002, 3.2849002E+000, 1.9630225E+002, 2.9598114E+002, 1.4205461E+000, 1.6344570E-001, 2.3329498E-002, 1.6299451E-003, 4.6399062E-004, 3.8494650E-002, 1.3935627E-003, 7.6989567E-001, 1.6852958E-003, 5.2943125E-004
 6.3568182E+001, 6.5945902E+002, 6.2526959E+002, 3.2733526E+000, 1.9288687E+002, 2.9046418E+002, 1.4088338E+000, 1.6480002E-001, 2.2743883E-002, 1.4799105E-003, 4.1710492E-004, 3.7464511E-002, 1.2616099E-003, 7.7056052E-001, 1.5297018E-003, 4.9948234E-004
 6.4573232E+001, 6.4984340E+002, 6.1660111E+002, 3.2627117E+000, 1.8934822E+002, 2.8480889E+002, 1.3967079E+000, 1.6611658E-001, 2.2167050E-002, 1.3415251E-003, 3.7356294E-004, 3.6464160E-002, 1.1399908E-003, 7.7119464E-001, 1.3864299E-003, 4.7143566E-004
 6.5578283E+001, 6.4031156E+002, 6.0800828E+002, 3.2495886E+000, 1.8548106E+002, 2.7900648E+002, 1.3858822E+000, 1.6742593E-001, 2.1586336E-002, 1.2108236E-003, 3.3254365E-004, 3.5470219E-002, 1.0252112E-003, 7.7181368E-001, 1.2510184E-003, 4.4448023E-004
 6.6583333E+001, 6.3079021E+002, 5.9944809E+002, 3.2355915E+000, 1.8112483E+002, 2.7279441E+002, 1.3747622E+000, 1.6873601E-001, 2.0999790E-002, 1.0853418E-003, 2.9431817E-004, 3.4476255E-002, 9.1508534E-004, 7.7242342E-001, 1.1207502E-003, 4.1819619E-004
