cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 7.6500000E+001, 1.0409111E+003, 2.2649745E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2224000E+002, 7.6620000E+000, 1.2781108E-001, 7.9320404E-001, 8.0549211E-001, 7.7900129E-001, 1.7100000E+002, 5.8651101E-001
 7.8500000E+001, 1.0258438E+003, 2.2837524E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2672000E+002, 7.8610000E+000, 1.2119022E-001, 7.6293207E-001, 7.7081636E-001, 7.5143189E-001, 1.7550000E+002, 5.7137216E-001
 8.0500000E+001, 1.0109835E+003, 2.2978305E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3120000E+002, 8.0600000E+000, 1.1849681E-001, 7.4462011E-001, 7.4773492E-001, 7.3432004E-001, 1.8000000E+002, 5.5642930E-001
 8.2500000E+001, 9.9624987E+002, 2.3085545E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3568000E+002, 8.2590000E+000, 1.1263776E-001, 7.1869454E-001, 7.1629943E-001, 7.0972323E-001,NaN,NaN
 8.4500000E+001, 9.8159324E+002, 2.3161818E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4016000E+002, 8.4580000E+000, 1.0192105E-001, 6.7185631E-001, 6.5708933E-001, 6.6375632E-001,NaN,NaN
 8.6500000E+001, 9.6709069E+002, 2.3208330E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4464000E+002, 8.6570000E+000, 9.7017697E-002, 6.5068889E-001, 6.2924403E-001, 6.4218809E-001,NaN,NaN
 8.8500000E+001, 9.5282900E+002, 2.3235399E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4912000E+002, 8.8560000E+000, 9.2390432E-002, 6.3086473E-001, 6.0253247E-001, 6.2144280E-001,NaN,NaN
 9.0500000E+001, 9.3858274E+002, 2.3245163E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5360000E+002, 9.0550000E+000, 8.8020737E-002, 6.1227409E-001, 5.7692902E-001, 6.0143922E-001,NaN,NaN
 9.2500000E+001, 9.2431008E+002, 2.3234345E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5808000E+002, 9.2540000E+000, 8.3891577E-002, 5.9481415E-001, 5.5241022E-001, 5.8210376E-001,NaN,NaN
 9.4500000E+001, 9.0998068E+002, 2.3202191E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6256000E+002, 9.4530000E+000, 7.9987130E-002, 5.7838866E-001, 5.2895374E-001, 5.6337033E-001,NaN,NaN
 9.6500000E+001, 8.9579738E+002, 2.3160871E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6704000E+002, 9.6520000E+000, 7.6292930E-002, 5.6290792E-001, 5.0653790E-001, 5.4518060E-001,NaN,NaN
 9.8500000E+001, 8.8193977E+002, 2.3117858E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7152000E+002, 9.8510000E+000, 7.2795508E-002, 5.4828839E-001, 4.8514085E-001, 5.2748380E-001,NaN,NaN
 1.0050000E+002, 8.6825300E+002, 2.3052012E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7600000E+002, 1.0050000E+001, 6.6342202E-002, 5.2132867E-001, 4.4531379E-001, 4.9340271E-001,NaN,NaN
 1.0250000E+002, 8.5466679E+002, 2.2950653E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8048000E+002, 1.0249000E+001, 6.3364049E-002, 5.0885043E-001, 4.2683694E-001, 4.7695208E-001,NaN,NaN
 1.0450000E+002, 8.4131711E+002, 2.2827942E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8496000E+002, 1.0448000E+001, 6.0538245E-002, 4.9695689E-001, 4.0928500E-001, 4.6086115E-001,NaN,NaN
 1.0650000E+002, 8.2826538E+002, 2.2671674E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8944000E+002, 1.0647000E+001, 5.7855482E-002, 4.8559197E-001, 3.9263182E-001, 4.4511171E-001,NaN,NaN
 1.0850000E+002, 8.1531369E+002, 2.2496719E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9392000E+002, 1.0846000E+001, 5.5307276E-002, 4.7470448E-001, 3.7685026E-001, 4.2969071E-001,NaN,NaN
 1.1050000E+002, 8.0289135E+002, 2.2300200E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9840000E+002, 1.1045000E+001, 5.2885671E-002, 4.6424761E-001, 3.6191204E-001, 4.1458945E-001,NaN,NaN
 1.1250000E+002, 7.9083701E+002, 2.2080979E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0288000E+002, 1.1244000E+001, 5.0942645E-002, 4.5355017E-001, 3.4501927E-001, 3.9888074E-001,NaN,NaN
 1.1450000E+002, 7.7910480E+002, 2.1849912E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0736000E+002, 1.1443000E+001, 4.8732083E-002, 4.4395208E-001, 3.3165653E-001, 3.8447111E-001,NaN,NaN
 1.1650000E+002, 7.6772777E+002, 2.1604197E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1184000E+002, 1.1642000E+001, 4.6628416E-002, 4.3466429E-001, 3.1904734E-001, 3.7036868E-001,NaN,NaN
 1.1850000E+002, 7.5663483E+002, 2.1356623E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1632000E+002, 1.1841000E+001, 4.2718308E-002, 4.1689583E-001, 2.9596528E-001, 3.4309982E-001,NaN,NaN
 1.2050000E+002, 7.4596347E+002, 2.1113074E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2080000E+002, 1.2040000E+001, 4.3965112E-002, 4.1981866E-001, 3.0246901E-001, 3.4167809E-001,NaN,NaN
 1.2250000E+002, 7.3565943E+002, 2.0874634E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2528000E+002, 1.2239000E+001, 4.2198491E-002, 4.1135567E-001, 2.9268788E-001, 3.2892885E-001,NaN,NaN
 1.2450000E+002, 7.2560979E+002, 2.0631038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2976000E+002, 1.2438000E+001, 4.0511182E-002, 4.0306891E-001, 2.8348561E-001, 3.1651382E-001,NaN,NaN
 1.2650000E+002, 7.1595520E+002, 2.0378846E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3424000E+002, 1.2637000E+001, 3.8899017E-002, 3.9494188E-001, 2.7483161E-001, 3.0443994E-001,NaN,NaN
 1.2850000E+002, 7.0665222E+002, 2.0113118E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3872000E+002, 1.2836000E+001, 3.7358094E-002, 3.8696015E-001, 2.6669568E-001, 2.9271377E-001,NaN,NaN
