cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
 1.5850000E+002, 6.4445730E+002, 1.8453124E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.0592000E+002, 1.5821000E+001, 2.6935660E-002, 2.7278076E-001, 2.0992165E-001, 1.7149521E-001,NaN,NaN
 1.6050000E+002, 6.3695626E+002, 1.8174210E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1040000E+002, 1.6020000E+001, 2.9187783E-002, 2.8061179E-001, 2.2968316E-001, 1.8677803E-001,NaN,NaN
 1.6250000E+002, 6.2939756E+002, 1.7876421E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1488000E+002, 1.6219000E+001, 2.8077393E-002, 2.7288114E-001, 2.2504488E-001, 1.8056878E-001,NaN,NaN
 1.6450000E+002, 6.2191907E+002, 1.7550944E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1936000E+002, 1.6418000E+001, 2.7008707E-002, 2.6530261E-001, 2.2054940E-001, 1.7464006E-001,NaN,NaN
 1.6650000E+002, 6.1449141E+002, 1.7187030E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.2384000E+002, 1.6617000E+001, 2.6285613E-002, 2.5946092E-001, 2.1581422E-001, 1.6984474E-001,NaN,NaN
 1.6850000E+002, 6.0735079E+002, 1.6811848E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.2832000E+002, 1.6816000E+001, 2.4316914E-002, 2.4500286E-001, 2.0743904E-001, 1.5918486E-001,NaN,NaN
 1.7050000E+002, 6.0063120E+002, 1.6444430E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.3280000E+002, 1.7015000E+001, 2.3387012E-002, 2.3799428E-001, 2.0342178E-001, 1.5421383E-001,NaN,NaN
 1.7250000E+002, 5.9434852E+002, 1.6095168E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.3728000E+002, 1.7214000E+001, 2.2491548E-002, 2.3113108E-001, 1.9950883E-001, 1.4946755E-001,NaN,NaN
 1.7450000E+002, 5.8847169E+002, 1.5771417E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.4176000E+002, 1.7413000E+001, 2.1629190E-002, 2.2441204E-001, 1.9569382E-001, 1.4493541E-001,NaN,NaN
 1.7650000E+002, 5.8302770E+002, 1.5461497E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.4624000E+002, 1.7612000E+001, 2.0798700E-002, 2.1783588E-001, 1.9197085E-001, 1.4060724E-001,NaN,NaN
 1.7850000E+002, 5.7801555E+002, 1.5169892E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5072000E+002, 1.7811000E+001, 1.9998878E-002, 2.1140127E-001, 1.8833444E-001, 1.3647312E-001,NaN,NaN
 1.8050000E+002, 5.7336192E+002, 1.4911733E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5520000E+002, 1.8010000E+001, 1.9228613E-002, 2.0510692E-001, 1.8477957E-001, 1.3252355E-001,NaN,NaN
 1.8250000E+002, 5.6900744E+002, 1.4668383E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5968000E+002, 1.8209000E+001, 1.8486807E-002, 1.9895143E-001, 1.8130151E-001, 1.2874927E-001,NaN,NaN
 1.8450000E+002, 5.6460192E+002, 1.4426465E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.6416000E+002, 1.8408000E+001, 1.7084576E-002, 1.8705151E-001, 1.7455881E-001, 1.2169147E-001,NaN,NaN
 1.8650000E+002, 5.6018117E+002, 1.4161740E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.6864000E+002, 1.8607000E+001, 1.6422244E-002, 1.8130421E-001, 1.7128639E-001, 1.1839134E-001,NaN,NaN
 1.8850000E+002, 5.5560235E+002, 1.3880255E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.7312000E+002, 1.8806000E+001, 1.5784566E-002, 1.7569004E-001, 1.6807522E-001, 1.1523328E-001,NaN,NaN
 1.9050000E+002, 5.5096440E+002, 1.3585763E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.7760000E+002, 1.9005000E+001, 1.5170693E-002, 1.7020747E-001, 1.6492215E-001, 1.1220989E-001,NaN,NaN
 1.9250000E+002, 5.4636161E+002, 1.3307221E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.8208000E+002, 1.9204000E+001, 1.4579794E-002, 1.6485488E-001, 1.6182425E-001, 1.0931415E-001,NaN,NaN
 1.9450000E+002, 5.4206595E+002, 1.3059600E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.8656000E+002, 1.9403000E+001, 1.4011078E-002, 1.5963069E-001, 1.5877882E-001, 1.0653941E-001,NaN,NaN
 1.9650000E+002, 5.3798716E+002, 1.2813014E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.9104000E+002, 1.9602000E+001, 1.3463767E-002, 1.5453328E-001, 1.5578336E-001, 1.0387933E-001,NaN,NaN
 1.9850000E+002, 5.3421958E+002, 1.2581096E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.9552000E+002, 1.9801000E+001, 1.2937128E-002, 1.4956100E-001, 1.5283564E-001, 1.0132787E-001,NaN,NaN
 2.0050000E+002, 5.3058616E+002, 1.2342857E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.0000000E+002, 2.0000000E+001, 1.4225849E-002, 1.5368001E-001, 1.6793218E-001, 1.1659923E-001,NaN,NaN
 2.0250000E+002, 5.2706904E+002, 1.2096974E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0450000E+002, 5.2350461E+002, 1.1860189E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0650000E+002, 5.2032492E+002, 1.1628122E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0850000E+002, 5.1714546E+002, 1.1407154E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1050000E+002, 5.1427760E+002, 1.1203639E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
