s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 1.640E+02, 5.321E+01, 8.601E+01, 8.879E+01, 9.268E+01, 9.074E+01, 5.248E+01, 5.458E+01, 9.082E+01, 9.047E+01, 8.805E+01, 8.486E+01, 5.316E+01, 4.532E+01, 7.576E+01, 7.410E+01, 7.369E+01, 7.428E+01, 6.040E+01, 4.541E+01, 7.422E+01, 7.599E+01, 7.766E+01, 7.560E+01, 6.443E+01, 0.000E+00
 1.680E+02, 5.436E+01, 8.738E+01, 8.831E+01, 9.134E+01, 9.061E+01, 5.687E+01, 5.598E+01, 8.915E+01, 8.825E+01, 8.746E+01, 8.829E+01, 5.461E+01, 4.618E+01, 7.786E+01, 7.781E+01, 7.834E+01, 7.703E+01, 6.149E+01, 4.643E+01, 7.783E+01, 7.760E+01, 7.838E+01, 7.560E+01, 6.120E+01, 0.000E+00
 1.720E+02, 5.555E+01, 8.859E+01, 8.888E+01, 9.225E+01, 9.569E+01, 5.560E+01, 5.738E+01, 9.179E+01, 9.139E+01, 8.924E+01, 8.753E+01, 5.834E+01, 4.716E+01, 7.694E+01, 7.748E+01, 7.798E+01, 7.615E+01, 6.364E+01, 4.751E+01, 8.002E+01, 7.988E+01, 8.060E+01, 7.802E+01, 6.083E+01, 0.000E+00
 1.760E+02, 5.682E+01, 9.340E+01, 9.417E+01, 9.620E+01, 9.531E+01, 5.422E+01, 5.879E+01, 9.158E+01, 9.281E+01, 9.173E+01, 8.807E+01, 6.140E+01, 4.843E+01, 8.372E+01, 8.261E+01, 7.980E+01, 7.891E+01, 6.320E+01, 4.836E+01, 7.770E+01, 7.870E+01, 8.099E+01, 7.906E+01, 6.321E+01, 0.000E+00
 1.800E+02, 5.824E+01, 9.647E+01, 9.507E+01, 9.300E+01, 9.686E+01, 5.929E+01, 6.033E+01, 9.787E+01, 9.837E+01, 9.778E+01, 9.527E+01, 5.925E+01, 4.948E+01, 8.212E+01, 8.086E+01, 8.098E+01, 7.983E+01, 6.893E+01, 5.001E+01, 9.333E+01, 8.707E+01, 8.092E+01, 7.982E+01, 6.776E+01, 0.000E+00
 1.840E+02, 5.942E+01, 9.572E+01, 9.883E+01, 1.005E+02, 9.645E+01, 6.070E+01, 6.175E+01, 9.589E+01, 9.576E+01, 9.598E+01, 9.429E+01, 5.987E+01, 5.088E+01, 8.771E+01, 8.449E+01, 8.133E+01, 7.905E+01, 6.819E+01, 5.144E+01, 8.483E+01, 8.225E+01, 8.278E+01, 8.172E+01, 6.986E+01, 0.000E+00
 1.880E+02, 6.051E+01, 9.777E+01, 9.899E+01, 9.886E+01, 1.001E+02, 6.333E+01, 6.304E+01, 9.866E+01, 1.008E+02, 1.005E+02, 9.552E+01, 6.267E+01, 5.244E+01, 8.611E+01, 8.608E+01, 8.424E+01, 8.277E+01, 6.625E+01, 5.270E+01, 8.469E+01, 8.411E+01, 8.545E+01, 8.379E+01, 7.382E+01, 0.000E+00
 1.920E+02, 6.173E+01, 9.904E+01, 1.017E+02, 1.042E+02, 1.051E+02, 6.056E+01, 6.413E+01, 9.415E+01, 9.756E+01, 1.018E+02, 1.020E+02, 6.265E+01, 5.395E+01, 9.362E+01, 8.826E+01, 8.534E+01, 8.240E+01, 7.056E+01, 5.368E+01, 8.234E+01, 8.406E+01, 8.569E+01, 8.266E+01, 7.287E+01, 0.000E+00
 1.960E+02, 6.305E+01, 1.020E+02, 1.042E+02, 1.052E+02, 1.034E+02, 6.407E+01, 6.535E+01, 1.002E+02, 1.024E+02, 1.062E+02, 1.083E+02, 6.465E+01, 5.540E+01, 8.751E+01, 8.871E+01, 8.812E+01, 8.842E+01, 7.335E+01, 5.480E+01, 8.384E+01, 8.571E+01, 8.642E+01, 8.474E+01, 7.285E+01, 0.000E+00
 2.000E+02, 6.433E+01, 1.016E+02, 1.042E+02, 1.048E+02, 1.042E+02, 6.609E+01, 6.684E+01, 1.023E+02, 1.016E+02, 1.001E+02, 1.069E+02, 6.325E+01, 5.634E+01, 8.769E+01, 8.848E+01, 8.918E+01, 8.676E+01, 7.601E+01, 5.599E+01, 8.873E+01, 9.122E+01, 8.934E+01, 8.706E+01, 7.518E+01, 0.000E+00
