s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa,Pa
 2.9400042E+003, 0.0000000E+000, 0.0000000E+000, 4.3009079E-001,-3.2981616E+000, 2.7307728E+000, 0.0000000E+000, 1.5334098E-007, 0.0000000E+000,-1.0440763E-001,-1.3729785E-001, 1.5086502E-006,-1.6736344E+000,-5.0781628E-003
 2.9700032E+003, 0.0000000E+000, 0.0000000E+000, 4.3121700E-001,-3.2258295E+000, 2.7629683E+000, 0.0000000E+000, 1.3347073E-007, 0.0000000E+000, 6.1675753E-003,-3.1644010E-002,-1.6202756E-006,-1.6736320E+000, 1.4424043E-003
 3.0000022E+003, 0.0000000E+000, 0.0000000E+000, 4.2782203E-001,-3.2485096E+000, 2.8216959E+000, 0.0000000E+000, 4.2097261E-007, 0.0000000E+000, 2.0917643E-002, 1.0087234E-003, 3.6279389E-004,-1.6736259E+000, 2.1946056E-002
 3.0300015E+003, 0.0000000E+000, 0.0000000E+000, 4.2343253E-001,-3.2985170E+000, 2.8376654E+000, 0.0000000E+000, 3.4120480E-007, 0.0000000E+000, 7.8123580E-002,-3.7418728E-002, 9.1505088E-003,-1.6736248E+000, 3.8582517E-002
 3.0600005E+003, 0.0000000E+000, 0.0000000E+000, 4.1998214E-001,-3.3614752E+000, 2.9623656E+000, 0.0000000E+000, 5.1738646E-007, 0.0000000E+000, 2.7855680E-002, 2.0873078E-002,-3.1100805E-006,-1.6736203E+000, 6.3798135E-002
 3.0900051E+003, 0.0000000E+000, 0.0000000E+000, 4.1444923E-001,-3.4168485E+000, 2.9792078E+000, 0.0000000E+000, 5.7370742E-007, 0.0000000E+000, 4.4268374E-002,-2.3190907E-002, 3.7899653E-007,-1.6736171E+000, 9.1747986E-002
 3.1200042E+003, 0.0000000E+000, 0.0000000E+000, 4.1447363E-001,-3.4725880E+000, 2.9532969E+000, 0.0000000E+000,-1.9093838E-007, 0.0000000E+000,-8.8283550E-002,-1.0481770E-001, 1.8479527E-006,-1.6736148E+000, 8.2447716E-002
 3.1500034E+003, 0.0000000E+000, 0.0000000E+000, 4.1510745E-001,-3.4372380E+000, 2.8710121E+000, 0.0000000E+000, 3.1086381E-007, 0.0000000E+000,-8.0388184E-002,-1.5111809E-001,-2.1225662E-006,-1.6736078E+000, 9.7584443E-002
 3.1800024E+003, 0.0000000E+000, 0.0000000E+000, 4.1674757E-001,-3.4028369E+000, 2.9194027E+000, 0.0000000E+000, 7.0198479E-007, 0.0000000E+000,-7.6251225E-002,-6.6685866E-002, 2.6931397E-006,-1.6736075E+000, 1.3179235E-001
 3.2100015E+003, 0.0000000E+000, 0.0000000E+000, 4.1596266E-001,-3.3801911E+000, 2.9530995E+000, 0.0000000E+000, 3.1374320E-007, 0.0000000E+000,-4.1631172E-002,-1.1128574E-002,-2.2670255E-006,-1.6736020E+000, 1.4708762E-001
 3.2400005E+003, 0.0000000E+000, 0.0000000E+000, 4.1420373E-001,-3.3908209E+000, 2.9362758E+000, 0.0000000E+000, 5.2536900E-007, 0.0000000E+000, 3.6954397E-002,-4.0340815E-002,-1.0153526E-006,-1.6735977E+000, 1.7270242E-001
 3.2700054E+003, 0.0000000E+000, 0.0000000E+000, 4.1089853E-001,-3.3431900E+000, 2.9378765E+000, 0.0000000E+000, 1.0716240E-007, 0.0000000E+000, 1.7349845E-002, 5.5850700E-003, 7.6143446E-007,-1.6735933E+000, 1.7792363E-001
 3.3000044E+003, 0.0000000E+000, 0.0000000E+000, 4.1153568E-001,-3.4117988E+000, 2.8510661E+000, 0.0000000E+000, 7.6163978E-007, 0.0000000E+000,-1.1632029E-001,-1.4919627E-001,-7.2537114E-007,-1.6735913E+000, 2.1504789E-001
 3.3300034E+003, 0.0000000E+000, 0.0000000E+000, 4.1247644E-001,-3.4451999E+000, 2.9040022E+000, 0.0000000E+000, 5.6226471E-007, 0.0000000E+000,-8.3441785E-002,-1.2872066E-001, 9.5022208E-003,-1.6735896E+000, 2.4245661E-001
 3.3600027E+003, 0.0000000E+000, 0.0000000E+000, 4.1399137E-001,-3.5275678E+000, 3.0120392E+000, 0.0000000E+000, 8.9957108E-009, 0.0000000E+000,-8.3382305E-002,-1.0153716E-001, 1.6261636E-006,-1.6735854E+000, 2.4288736E-001
 3.3900017E+003, 0.0000000E+000, 0.0000000E+000, 4.1403521E-001,-3.4291074E+000, 2.9935296E+000, 0.0000000E+000, 5.7228761E-007, 0.0000000E+000,-5.5342159E-002,-2.1542044E-002, 1.4795294E-006,-1.6735778E+000, 2.7077411E-001
 3.4200007E+003, 0.0000000E+000, 0.0000000E+000, 4.1169081E-001,-3.4697456E+000, 3.0478060E+000, 0.0000000E+000, 9.6439267E-007, 0.0000000E+000, 2.4337094E-002,-1.0247842E-002,-2.2848933E-006,-1.6735742E+000, 3.1777004E-001
 3.4500054E+003, 0.0000000E+000, 0.0000000E+000, 4.0985355E-001,-3.4295365E+000, 2.9457296E+000, 0.0000000E+000, 1.2302932E-006, 0.0000000E+000,-2.2026931E-002,-7.3952085E-002,-8.0044389E-007,-1.6735737E+000, 3.7772560E-001
 3.4800046E+003, 0.0000000E+000, 0.0000000E+000, 4.0966196E-001,-3.4451612E+000, 3.0125784E+000, 0.0000000E+000, 1.0593878E-006, 0.0000000E+000,-3.5235408E-002,-2.2919814E-002, 8.3033401E-007,-1.6735671E+000, 4.2938802E-001
 3.5100037E+003, 0.0000000E+000, 0.0000000E+000, 4.0862631E-001,-3.4440879E+000, 2.9667027E+000, 0.0000000E+000, 2.8277495E-007, 0.0000000E+000,-4.4467203E-002,-6.8758592E-002, 6.9463431E-007,-1.6735649E+000, 4.4316200E-001
 3.5400027E+003, 0.0000000E+000, 0.0000000E+000, 4.0788619E-001,-3.4609984E+000, 2.9625821E+000, 0.0000000E+000, 5.3029642E-007, 0.0000000E+000,-2.2564211E-003,-9.0529604E-002,-1.9396887E-006,-1.6735579E+000, 4.6899237E-001
 3.5700017E+003, 0.0000000E+000, 0.0000000E+000, 4.0730626E-001,-3.4023834E+000, 2.9667433E+000, 0.0000000E+000, 1.8448725E-007, 0.0000000E+000,-1.2743281E-002,-2.8333669E-002,-2.6551498E-007,-1.6735579E+000, 4.7795608E-001
 3.6000002E+003, 0.0000000E+000, 0.0000000E+000, 4.0549641E-001,-3.3805132E+000, 2.9307487E+000, 0.0000000E+000,-2.2549306E-007, 0.0000000E+000, 2.1333724E-003,-4.4268326E-002, 1.1369768E-006,-1.6735549E+000, 4.6699258E-001
 3.6300032E+003, 0.0000000E+000, 0.0000000E+000, 4.0460099E-001,-3.4616107E+000, 3.0336508E+000, 0.0000000E+000, 3.8183648E-007, 0.0000000E+000,-4.5116103E-002,-2.3358575E-002, 9.4146934E-003,-1.6735521E+000, 4.8559911E-001
 3.6600007E+003, 0.0000000E+000, 0.0000000E+000, 4.0156588E-001,-3.5456248E+000, 3.1263765E+000, 0.0000000E+000, 1.4906030E-006, 0.0000000E+000, 2.4855291E-002,-1.7680979E-002,-1.4647596E-006,-1.6735479E+000, 5.5824157E-001
 3.6900037E+003, 0.0000000E+000, 0.0000000E+000, 4.0045487E-001,-3.5343514E+000, 3.0926823E+000, 0.0000000E+000, 1.2318229E-006, 0.0000000E+000,-6.3907902E-002,-4.1212950E-002,-1.6298894E-007,-1.6735447E+000, 6.1826732E-001
 3.7200010E+003, 0.0000000E+000, 0.0000000E+000, 4.0141415E-001,-3.5517909E+000, 3.0681205E+000, 0.0000000E+000, 1.5732660E-006, 0.0000000E+000,-4.9831259E-002,-8.2254650E-002, 3.9269275E-007,-1.6735387E+000, 6.9494616E-001
 3.7500039E+003, 0.0000000E+000, 0.0000000E+000, 3.9967948E-001,-3.5286166E+000, 3.0919525E+000, 0.0000000E+000, 1.1197717E-006, 0.0000000E+000, 4.2228037E-002,-3.6983444E-002,-5.0066070E-007,-1.6735315E+000, 7.4952396E-001
 3.7800015E+003, 0.0000000E+000, 0.0000000E+000, 3.9717396E-001,-3.5210034E+000, 3.0629483E+000, 0.0000000E+000, 4.2417966E-007, 0.0000000E+000, 8.1879756E-003,-6.0880720E-002, 9.6670987E-007,-1.6735305E+000, 7.7020532E-001
 3.8100044E+003, 0.0000000E+000, 0.0000000E+000, 3.9456514E-001,-3.4915829E+000, 3.0628681E+000, 0.0000000E+000, 2.8272602E-007, 0.0000000E+000,-2.2686355E-003,-3.4149343E-002,-7.1442763E-007,-1.6735256E+000, 7.8399642E-001
 3.8400017E+003, 0.0000000E+000, 0.0000000E+000, 3.9378097E-001,-3.4768355E+000, 3.0063065E+000, 0.0000000E+000, 6.2241829E-007, 0.0000000E+000,-9.9278745E-003,-7.6747438E-002,-2.3630960E-007,-1.6735221E+000, 8.1429545E-001
 3.8700022E+003, 0.0000000E+000, 0.0000000E+000, 3.9294010E-001,-3.5026629E+000, 3.0386178E+000, 0.0000000E+000, 9.7059984E-007, 0.0000000E+000,-6.2311970E-002,-7.1103979E-002, 1.2537543E-006,-1.6735216E+000, 8.6162003E-001
 3.9000000E+003, 0.0000000E+000, 0.0000000E+000, 3.9408974E-001,-3.4986182E+000, 3.0210945E+000, 0.0000000E+000, 5.1911874E-008, 0.0000000E+000,-6.3518446E-002,-8.3433827E-002, 6.2873712E-004,-1.6735190E+000, 8.6412788E-001
 3.9300037E+003, 0.0000000E+000, 0.0000000E+000, 3.9364322E-001,-3.5363194E+000, 3.1403322E+000, 0.0000000E+000,-2.4649478E-007, 0.0000000E+000,-2.1189834E-002,-2.3442823E-003, 9.3725447E-003,-1.6735166E+000, 8.5212495E-001
 3.9600015E+003, 0.0000000E+000, 0.0000000E+000, 3.9148728E-001,-3.6414746E+000, 3.1934758E+000, 0.0000000E+000, 7.2809799E-007, 0.0000000E+000,-4.6912140E-002,-5.6510786E-002,-9.7612775E-007,-1.6735066E+000, 8.8760180E-001
 3.9900051E+003, 0.0000000E+000, 0.0000000E+000, 3.9238453E-001,-3.6642341E+000, 3.1672503E+000, 0.0000000E+000, 4.8692183E-007, 0.0000000E+000,-1.2465096E-001,-1.0459875E-001, 4.1943203E-007,-1.6735075E+000, 9.1132650E-001
 4.0200051E+003, 0.0000000E+000, 0.0000000E+000, 3.9252243E-001,-3.6005255E+000, 3.2162778E+000, 0.0000000E+000, 1.2132175E-006, 0.0000000E+000,-4.1874782E-003, 8.2758890E-003,-5.9686607E-007,-1.6735019E+000, 9.7050019E-001
 4.0500046E+003, 0.0000000E+000, 0.0000000E+000, 3.9126871E-001,-3.5908910E+000, 3.1784304E+000, 0.0000000E+000, 6.6760428E-007, 0.0000000E+000, 5.6273818E-003,-2.1191141E-002, 6.5520898E-007,-1.6734961E+000, 1.0029931E+000
 4.0800042E+003, 0.0000000E+000, 0.0000000E+000, 3.8873919E-001,-3.5857484E+000, 3.1871462E+000, 0.0000000E+000, 2.4069974E-007, 0.0000000E+000, 1.4385635E-002,-9.8627469E-003,-5.7668918E-007,-1.6734963E+000, 1.0147468E+000
 4.1100034E+003, 0.0000000E+000, 0.0000000E+000, 3.8638616E-001,-3.6642741E+000, 3.1974567E+000, 0.0000000E+000, 6.8625463E-007, 0.0000000E+000,-7.6100533E-003,-8.0430567E-002,-2.2853170E-007,-1.6734924E+000, 1.0482016E+000
 4.1400029E+003, 0.0000000E+000, 0.0000000E+000, 3.8560150E-001,-3.5435758E+000, 3.1329040E+000, 0.0000000E+000, 5.7083262E-007, 0.0000000E+000,-1.8373671E-004,-2.5069748E-002, 8.7023942E-007,-1.6734882E+000, 1.0760045E+000
 4.1700024E+003, 0.0000000E+000, 0.0000000E+000, 3.8460446E-001,-3.5540224E+000, 3.1345757E+000, 0.0000000E+000, 1.2859001E-007, 0.0000000E+000,-3.0754676E-002,-3.4842133E-002,-1.6836893E-007,-1.6734870E+000, 1.0822681E+000
 4.2000020E+003, 0.0000000E+000, 0.0000000E+000, 3.8154804E-001,-3.5831421E+000, 3.1176939E+000, 0.0000000E+000, 4.1780082E-007, 0.0000000E+000, 1.7788822E-002,-8.3899759E-002, 3.9441514E-007,-1.6734850E+000, 1.1026314E+000
 4.2300015E+003, 0.0000000E+000, 0.0000000E+000, 3.8076675E-001,-3.6257950E+000, 3.1672560E+000, 0.0000000E+000, 1.1958992E-006, 0.0000000E+000,-2.1731890E-002,-7.7771093E-002, 9.8789756E-003,-1.6734827E+000, 1.1609010E+000
 4.2600010E+003, 0.0000000E+000, 0.0000000E+000, 3.8015678E-001,-3.6504560E+000, 3.1783521E+000, 0.0000000E+000, 1.1637219E-006, 0.0000000E+000,-1.5906085E-002,-9.1945983E-002, 3.0596316E-006,-1.6734801E+000, 1.2176308E+000
 4.2900005E+003, 0.0000000E+000, 0.0000000E+000, 3.7977413E-001,-3.6496707E+000, 3.1787149E+000, 0.0000000E+000, 4.0730066E-007, 0.0000000E+000,-6.5696004E-002,-9.1181249E-002,-5.6818472E-007,-1.6734758E+000, 1.2374797E+000
 4.3200059E+003, 0.0000000E+000, 0.0000000E+000, 3.7831668E-001,-3.6277058E+000, 3.2095730E+000, 0.0000000E+000, 2.0645175E-007, 0.0000000E+000, 1.4638652E-002,-3.9815980E-002, 1.3479154E-007,-1.6734745E+000, 1.2475434E+000
 4.3500054E+003, 0.0000000E+000, 0.0000000E+000, 3.7748540E-001,-3.6624363E+000, 3.1782625E+000, 0.0000000E+000,-1.5287772E-006, 0.0000000E+000,-5.3945056E-002,-1.0668999E-001, 6.4662239E-007,-1.6734712E+000, 1.1730355E+000
 4.3800049E+003, 0.0000000E+000, 0.0000000E+000, 3.7888105E-001,-3.6177292E+000, 3.1307599E+000, 0.0000000E+000,-2.1796147E-007, 0.0000000E+000,-8.1470138E-002,-1.0808845E-001,-4.8570182E-007,-1.6734688E+000, 1.1624103E+000
 4.4100044E+003, 0.0000000E+000, 0.0000000E+000, 3.7803870E-001,-3.6249020E+000, 3.1799557E+000, 0.0000000E+000,-9.9763497E-007, 0.0000000E+000, 2.3575663E-002,-6.6908594E-002,-9.4923553E-007,-1.6734672E+000, 1.1138032E+000
 4.4400039E+003, 0.0000000E+000, 0.0000000E+000, 3.7584993E-001,-3.5892154E+000, 3.1944844E+000, 0.0000000E+000,-1.0883500E-006, 0.0000000E+000, 2.7597140E-002,-1.8882146E-002, 2.3159811E-006,-1.6734662E+000, 1.0607436E+000
 4.4700029E+003, 0.0000000E+000, 0.0000000E+000, 3.7438245E-001,-3.5971038E+000, 3.1421151E+000, 0.0000000E+000, 7.0602202E-007, 0.0000000E+000,-4.7815985E-002,-8.0605451E-002,-2.3907165E-006,-1.6734674E+000, 1.0951635E+000
 4.5000000E+003, 0.0000000E+000, 0.0000000E+000, 3.7326505E-001,-3.5771867E+000, 3.1005398E+000, 0.0000000E+000, 6.4742522E-007, 0.0000000E+000, 2.4361275E-002,-1.0338124E-001, 6.5930312E-007,-1.6734642E+000, 1.1266594E+000
