s,kg/m2,kW
Time,"null","null"
 2.8951311E+002, 2.9859266E+001, 8.8906449E-001
 2.9105133E+002, 2.9851763E+001, 8.7024116E-001
 2.9250352E+002, 2.9844396E+001, 8.8263971E-001
 2.9401370E+002, 2.9837165E+001, 8.8737017E-001
 2.9552546E+002, 2.9829791E+001, 8.8352721E-001
 2.9705171E+002, 2.9822370E+001, 8.9531998E-001
 2.9850643E+002, 2.9815073E+001, 9.0022951E-001
 3.0001671E+002, 2.9807792E+001, 9.0141561E-001
 3.0151160E+002, 2.9800353E+001, 9.0777905E-001
 3.0306675E+002, 2.9792787E+001, 8.9275132E-001
 3.0450476E+002, 2.9785345E+001, 9.0237463E-001
 3.0600669E+002, 2.9777959E+001, 9.0939737E-001
 3.0753554E+002, 2.9770368E+001, 9.0508164E-001
 3.0906185E+002, 2.9762573E+001, 8.9097188E-001
 3.1054177E+002, 2.9754948E+001, 9.1462357E-001
 3.1205447E+002, 2.9747284E+001, 9.2293918E-001
 3.1351498E+002, 2.9739560E+001, 9.2801803E-001
 3.1503366E+002, 2.9731776E+001, 9.2090080E-001
 3.1652026E+002, 2.9723865E+001, 9.5115855E-001
 3.1801382E+002, 2.9715929E+001, 9.5409930E-001
 3.1952804E+002, 2.9707786E+001, 9.5292064E-001
 3.2101418E+002, 2.9699545E+001, 9.6195990E-001
 3.2250266E+002, 2.9691310E+001, 9.7442660E-001
 3.2401605E+002, 2.9682872E+001, 9.7123542E-001
 3.2550960E+002, 2.9674289E+001, 9.9370440E-001
 3.2703633E+002, 2.9665521E+001, 9.9899951E-001
 3.2854712E+002, 2.9656616E+001, 1.0217433E+000
 3.3000763E+002, 2.9647757E+001, 1.0266638E+000
 3.3153407E+002, 2.9638727E+001, 1.0371855E+000
 3.3303920E+002, 2.9629440E+001, 1.0515509E+000
 3.3454312E+002, 2.9620060E+001, 1.0589081E+000
 3.3603235E+002, 2.9610646E+001, 1.0845666E+000
 3.3754384E+002, 2.9601031E+001, 1.0752556E+000
 3.3905399E+002, 2.9591222E+001, 1.0880758E+000
 3.4052925E+002, 2.9581420E+001, 1.1158164E+000
 3.4201737E+002, 2.9571514E+001, 1.1263826E+000
 3.4356033E+002, 2.9561159E+001, 1.1219566E+000
 3.4500360E+002, 2.9550955E+001, 1.1631532E+000
 3.4653316E+002, 2.9540691E+001, 1.1643887E+000
 3.4803762E+002, 2.9529954E+001, 1.1632108E+000
 3.4955137E+002, 2.9519234E+001, 1.1743303E+000
 3.5100056E+002, 2.9508573E+001, 1.1940589E+000
 3.5255854E+002, 2.9497627E+001, 1.2024329E+000
 3.5403550E+002, 2.9486436E+001, 1.2174458E+000
 3.5556836E+002, 2.9475179E+001, 1.2191739E+000
 3.5701981E+002, 2.9463878E+001, 1.2434504E+000
 3.5851494E+002, 2.9452590E+001, 1.2907048E+000
 3.6000008E+002, 2.9440950E+001, 1.2379211E+000
 3.6154399E+002, 2.9428970E+001, 1.2533734E+000
 3.6304959E+002, 2.9416707E+001, 1.2822379E+000
 3.6453890E+002, 2.9404559E+001, 1.2663543E+000
 3.6602052E+002, 2.9392383E+001, 1.2793089E+000
 3.6750533E+002, 2.9380173E+001, 1.2927038E+000
 3.6901693E+002, 2.9367757E+001, 1.3161497E+000
 3.7050960E+002, 2.9355274E+001, 1.2982362E+000
 3.7201060E+002, 2.9342707E+001, 1.3357613E+000
 3.7353550E+002, 2.9329836E+001, 1.3260102E+000
 3.7500414E+002, 2.9316949E+001, 1.3464284E+000
 3.7651441E+002, 2.9303897E+001, 1.3471607E+000
 3.7802901E+002, 2.9290533E+001, 1.3559067E+000
 3.7955809E+002, 2.9276831E+001, 1.3540768E+000
 3.8103653E+002, 2.9263237E+001, 1.3763667E+000
 3.8254895E+002, 2.9249711E+001, 1.3790932E+000
 3.8401437E+002, 2.9236088E+001, 1.3798722E+000
 3.8556319E+002, 2.9222319E+001, 1.3917210E+000
 3.8703010E+002, 2.9208506E+001, 1.3968615E+000
 3.8852788E+002, 2.9194842E+001, 1.4112987E+000
 3.9001406E+002, 2.9181035E+001, 1.4153293E+000
 3.9151737E+002, 2.9167134E+001, 1.4149069E+000
 3.9304682E+002, 2.9153007E+001, 1.4291482E+000
 3.9454339E+002, 2.9138837E+001, 1.4357147E+000
 3.9603428E+002, 2.9124823E+001, 1.4466098E+000
 3.9751493E+002, 2.9110885E+001, 1.4570125E+000
 3.9900528E+002, 2.9096883E+001, 1.5148121E+000
 4.0054990E+002, 2.9082422E+001, 1.4430337E+000
 4.0201378E+002, 2.9067990E+001, 1.4770491E+000
 4.0352402E+002, 2.9053659E+001, 1.4666433E+000
 4.0500909E+002, 2.9039113E+001, 1.4991018E+000
 4.0655039E+002, 2.9024196E+001, 1.4524109E+000
 4.0800907E+002, 2.9009402E+001, 1.4711205E+000
 4.0951559E+002, 2.8994841E+001, 1.5101413E+000
 4.1100016E+002, 2.8980038E+001, 1.4801563E+000
 4.1252070E+002, 2.8965165E+001, 1.5083883E+000
 4.1405440E+002, 2.8950021E+001, 1.5012772E+000
 4.1552079E+002, 2.8935183E+001, 1.5197934E+000
 4.1703962E+002, 2.8920361E+001, 1.5120877E+000
 4.1852617E+002, 2.8905440E+001, 1.5452322E+000
 4.2003534E+002, 2.8890462E+001, 1.5402753E+000
 4.2154495E+002, 2.8875267E+001, 1.5393757E+000
 4.2303344E+002, 2.8860159E+001, 1.5528714E+000
 4.2450416E+002, 2.8845140E+001, 1.5593135E+000
 4.2604681E+002, 2.8829882E+001, 1.5688075E+000
 4.2752443E+002, 2.8814296E+001, 1.5666395E+000
 4.2904922E+002, 2.8798835E+001, 1.5846658E+000
 4.3054425E+002, 2.8783190E+001, 1.5780630E+000
 4.3203590E+002, 2.8767656E+001, 1.5896034E+000
 4.3350853E+002, 2.8752212E+001, 1.5930160E+000
 4.3501466E+002, 2.8736774E+001, 1.6216863E+000
 4.3650281E+002, 2.8721110E+001, 1.6076498E+000
 4.3802482E+002, 2.8705209E+001, 1.6032123E+000
 4.3953964E+002, 2.8689218E+001, 1.5972705E+000
 4.4103813E+002, 2.8673219E+001, 1.6108814E+000
 4.4253789E+002, 2.8657313E+001, 1.6257280E+000
 4.4400332E+002, 2.8641319E+001, 1.6114377E+000
 4.4554624E+002, 2.8624950E+001, 1.6395355E+000
 4.4705250E+002, 2.8608160E+001, 1.6388346E+000
 4.4853472E+002, 2.8591529E+001, 1.6391392E+000
 4.5002563E+002, 2.8574826E+001, 1.6603480E+000
 4.5152317E+002, 2.8557968E+001, 1.6755641E+000
 4.5301607E+002, 2.8541075E+001, 1.6558778E+000
 4.5454079E+002, 2.8523946E+001, 1.6581625E+000
 4.5603924E+002, 2.8506878E+001, 1.6780709E+000
 4.5754762E+002, 2.8489876E+001, 1.6871924E+000
 4.5904461E+002, 2.8472877E+001, 1.6939152E+000
 4.6050197E+002, 2.8456207E+001, 1.6961712E+000
 4.6206770E+002, 2.8439243E+001, 1.6989466E+000
 4.6351555E+002, 2.8422255E+001, 1.7248570E+000
 4.6503475E+002, 2.8405658E+001, 1.7294869E+000
 4.6653112E+002, 2.8388638E+001, 1.7069865E+000
 4.6803150E+002, 2.8371834E+001, 1.7237131E+000
 4.6952300E+002, 2.8354928E+001, 1.7283648E+000
 4.7103180E+002, 2.8338074E+001, 1.7329096E+000
 4.7251355E+002, 2.8321163E+001, 1.7339934E+000
 4.7402909E+002, 2.8304125E+001, 1.7312731E+000
 4.7553020E+002, 2.8286973E+001, 1.7489862E+000
 4.7703125E+002, 2.8269839E+001, 1.7369802E+000
 4.7853189E+002, 2.8252681E+001, 1.7295921E+000
 4.8002901E+002, 2.8235562E+001, 1.7566834E+000
 4.8151301E+002, 2.8218355E+001, 1.7363212E+000
 4.8302944E+002, 2.8201181E+001, 1.7791780E+000
 4.8451138E+002, 2.8183901E+001, 1.7272521E+000
 4.8601131E+002, 2.8166653E+001, 1.7520605E+000
 4.8750258E+002, 2.8149362E+001, 1.7919386E+000
 4.8903846E+002, 2.8131863E+001, 1.7366395E+000
 4.9054664E+002, 2.8114212E+001, 1.7694377E+000
 4.9204347E+002, 2.8096869E+001, 1.7756339E+000
 4.9354115E+002, 2.8079478E+001, 1.7368168E+000
 4.9500586E+002, 2.8062325E+001, 1.7878817E+000
 4.9652633E+002, 2.8044923E+001, 1.7462080E+000
 4.9802713E+002, 2.8027244E+001, 1.7581506E+000
 4.9952890E+002, 2.8009696E+001, 1.7939012E+000
 5.0101778E+002, 2.7992083E+001, 1.7822683E+000
 5.0255615E+002, 2.7974126E+001, 1.7685322E+000
 5.0401352E+002, 2.7956370E+001, 1.7705421E+000
 5.0553674E+002, 2.7938692E+001, 1.7763398E+000
 5.0704234E+002, 2.7920662E+001, 1.7876839E+000
 5.0853315E+002, 2.7902808E+001, 1.7749181E+000
 5.1002888E+002, 2.7884904E+001, 1.7846237E+000
 5.1152052E+002, 2.7866956E+001, 1.7692408E+000
 5.1300283E+002, 2.7848997E+001, 1.7618307E+000
 5.1455466E+002, 2.7830828E+001, 1.7904618E+000
 5.1605180E+002, 2.7812494E+001, 1.7792381E+000
 5.1752601E+002, 2.7794598E+001, 1.7955887E+000
 5.1900184E+002, 2.7776758E+001, 1.7692187E+000
 5.2053100E+002, 2.7758799E+001, 1.7955637E+000
 5.2203211E+002, 2.7740563E+001, 1.7852806E+000
 5.2352367E+002, 2.7722628E+001, 1.7949967E+000
 5.2502820E+002, 2.7704753E+001, 1.7992240E+000
 5.2650361E+002, 2.7686979E+001, 1.7742229E+000
 5.2802749E+002, 2.7669227E+001, 1.8216495E+000
 5.2952716E+002, 2.7651471E+001, 1.7916590E+000
 5.3103132E+002, 2.7633548E+001, 1.7733501E+000
 5.3253912E+002, 2.7615838E+001, 1.7939671E+000
 5.3400505E+002, 2.7598364E+001, 1.8114905E+000
 5.3551050E+002, 2.7580892E+001, 1.7670168E+000
 5.3702628E+002, 2.7563206E+001, 1.7947072E+000
 5.3850649E+002, 2.7545631E+001, 1.7780886E+000
 5.4000882E+002, 2.7528294E+001, 1.7944734E+000
 5.4152598E+002, 2.7510760E+001, 1.7846704E+000
 5.4303404E+002, 2.7493212E+001, 1.7741794E+000
 5.4454319E+002, 2.7475766E+001, 1.8115587E+000
 5.4602709E+002, 2.7458489E+001, 1.7815241E+000
 5.4750770E+002, 2.7441417E+001, 1.8002552E+000
 5.4904647E+002, 2.7424041E+001, 1.7843483E+000
 5.5052285E+002, 2.7406761E+001, 1.7930322E+000
 5.5203350E+002, 2.7389637E+001, 1.7778342E+000
 5.5351214E+002, 2.7372542E+001, 1.7936707E+000
 5.5501834E+002, 2.7355499E+001, 1.7751959E+000
 5.5651079E+002, 2.7338416E+001, 1.7858849E+000
 5.5803149E+002, 2.7321335E+001, 1.7915490E+000
 5.5953742E+002, 2.7304007E+001, 1.7371409E+000
 5.6103232E+002, 2.7286936E+001, 1.7536868E+000
 5.6255876E+002, 2.7269782E+001, 1.7588784E+000
 5.6404986E+002, 2.7252708E+001, 1.7642096E+000
 5.6550276E+002, 2.7236086E+001, 1.7566969E+000
 5.6703127E+002, 2.7219276E+001, 1.7578310E+000
 5.6854884E+002, 2.7202089E+001, 1.7304457E+000
 5.7003034E+002, 2.7185312E+001, 1.7573999E+000
 5.7152763E+002, 2.7168623E+001, 1.7495461E+000
 5.7302852E+002, 2.7151866E+001, 1.7420877E+000
 5.7454193E+002, 2.7135083E+001, 1.7389306E+000
 5.7603623E+002, 2.7118347E+001, 1.7234374E+000
 5.7751849E+002, 2.7101916E+001, 1.7392026E+000
 5.7901921E+002, 2.7085502E+001, 1.7096447E+000
 5.8054974E+002, 2.7068897E+001, 1.7065939E+000
 5.8202175E+002, 2.7052433E+001, 1.6925117E+000
 5.8350788E+002, 2.7036354E+001, 1.7051963E+000
 5.8500891E+002, 2.7020152E+001, 1.6972417E+000
 5.8651395E+002, 2.7004031E+001, 1.7102706E+000
 5.8801098E+002, 2.6987801E+001, 1.7183076E+000
 5.8951371E+002, 2.6971717E+001, 1.6733761E+000
 5.9100825E+002, 2.6955499E+001, 1.6291457E+000
 5.9251020E+002, 2.6939573E+001, 1.6408455E+000
 5.9402856E+002, 2.6923531E+001, 1.6529727E+000
 5.9554950E+002, 2.6907470E+001, 1.6233354E+000
 5.9701977E+002, 2.6891643E+001, 1.6352693E+000
 5.9850476E+002, 2.6876083E+001, 1.6176755E+000
 6.0001523E+002, 2.6860325E+001, 1.6182171E+000
 6.0153032E+002, 2.6844430E+001, 1.6100744E+000
 6.0301081E+002, 2.6828721E+001, 1.5829021E+000
 6.0454447E+002, 2.6812958E+001, 1.5899676E+000
 6.0602999E+002, 2.6797280E+001, 1.6031738E+000
 6.0750029E+002, 2.6781908E+001, 1.5797441E+000
 6.0901696E+002, 2.6766424E+001, 1.5658293E+000
 6.1050657E+002, 2.6750999E+001, 1.5867011E+000
 6.1201682E+002, 2.6735649E+001, 1.5704501E+000
 6.1351601E+002, 2.6720473E+001, 1.5669524E+000
 6.1503199E+002, 2.6705252E+001, 1.5351229E+000
 6.1652621E+002, 2.6690336E+001, 1.5241598E+000
 6.1803490E+002, 2.6675603E+001, 1.5428203E+000
 6.1951076E+002, 2.6661101E+001, 1.5156191E+000
 6.2101720E+002, 2.6646640E+001, 1.5116362E+000
 6.2251911E+002, 2.6632201E+001, 1.5172709E+000
 6.2400747E+002, 2.6617981E+001, 1.4951993E+000
 6.2554913E+002, 2.6603571E+001, 1.5060431E+000
 6.2700632E+002, 2.6589522E+001, 1.4887282E+000
 6.2853740E+002, 2.6575531E+001, 1.4936086E+000
 6.3003836E+002, 2.6561358E+001, 1.4841613E+000
 6.3155033E+002, 2.6547433E+001, 1.4903253E+000
 6.3303955E+002, 2.6533568E+001, 1.4859280E+000
 6.3451006E+002, 2.6520028E+001, 1.5132720E+000
 6.3601416E+002, 2.6506426E+001, 1.4919692E+000
 6.3754955E+002, 2.6492416E+001, 1.4631851E+000
 6.3904225E+002, 2.6478581E+001, 1.4770141E+000
 6.4053473E+002, 2.6464979E+001, 1.4759935E+000
 6.4202686E+002, 2.6451621E+001, 1.5116505E+000
 6.4352752E+002, 2.6438059E+001, 1.4534130E+000
 6.4502410E+002, 2.6424599E+001, 1.4624851E+000
 6.4653993E+002, 2.6411128E+001, 1.4508685E+000
 6.4800528E+002, 2.6397809E+001, 1.4672093E+000
 6.4952631E+002, 2.6384560E+001, 1.4656212E+000
 6.5101335E+002, 2.6371277E+001, 1.4775498E+000
 6.5255059E+002, 2.6357875E+001, 1.4577666E+000
