s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_FUEL VAPOR,MLR_PRODUCTS,MLR_WATER VAPOR
 1.0088207E+001, 7.7645802E+002,-1.0068882E+002,-2.1993074E+001,-4.8668755E-001, 0.0000000E+000, 0.0000000E+000,-3.1684332E+002, 3.2909031E+002, 3.3644612E+002,-1.4137087E-003, 5.4235864E-002, 1.6029919E-003, 1.8633716E-002
 1.0263235E+001, 8.6854781E+002,-1.0845010E+002,-2.5812156E+001,-5.7555507E-001, 0.0000000E+000, 0.0000000E+000,-3.3970400E+002, 3.8630781E+002, 3.9400600E+002,-1.9173678E-003, 6.1732022E-002, 2.1740865E-003, 2.1703585E-002
 1.0446756E+001, 9.4083298E+002,-1.1069191E+002,-1.2040816E+002,-6.8061453E-001, 0.0000000E+000, 0.0000000E+000,-3.5792688E+002, 3.4739309E+002, 3.5112542E+002,-2.3265315E-003, 6.8868785E-002, 2.6380336E-003, 2.5207756E-002
 1.0624961E+001, 1.0303822E+003,-1.2696801E+002,-1.8478967E+002,-7.5761430E-001, 0.0000000E+000, 0.0000000E+000,-3.6519022E+002, 3.4181851E+002, 3.5267665E+002,-2.5263565E-003, 7.7481098E-002, 2.8646134E-003, 2.9172539E-002
 1.0806169E+001, 1.1141235E+003,-1.3810304E+002,-1.9566352E+002,-8.3706941E-001, 0.0000000E+000, 0.0000000E+000,-3.7585984E+002, 3.9606384E+002, 4.0366006E+002,-2.6019190E-003, 8.7447910E-002, 2.9502931E-003, 3.3551856E-002
 1.0985298E+001, 1.1997360E+003,-1.4491018E+002,-2.4271631E+002,-9.1279200E-001, 0.0000000E+000, 0.0000000E+000,-3.9104406E+002, 4.0900756E+002, 4.2015269E+002,-3.1689828E-003, 1.0201816E-001, 3.5932817E-003, 3.7933422E-002
 1.1160396E+001, 1.3162512E+003,-1.7286445E+002,-2.0176744E+002,-1.0665980E+000, 0.0000000E+000, 0.0000000E+000,-3.8905024E+002, 5.3737181E+002, 5.5150243E+002,-3.9418138E-003, 1.1801613E-001, 4.4695880E-003, 4.1101596E-002
 1.1342789E+001, 1.5500501E+003,-2.2672844E+002,-3.1647215E+002,-1.3034779E+000, 0.0000000E+000, 0.0000000E+000,-3.9887935E+002, 5.9421928E+002, 6.0666667E+002,-4.1724181E-003, 1.3058894E-001, 4.7310683E-003, 4.2906904E-002
 1.1521658E+001, 1.7399492E+003,-2.4486241E+002,-5.0240751E+002,-1.6717026E+000, 0.0000000E+000, 0.0000000E+000,-4.1940146E+002, 5.5758247E+002, 5.7160607E+002,-4.8104053E-003, 1.4278310E-001, 5.4544763E-003, 4.4426928E-002
 1.1705117E+001, 1.8855992E+003,-2.6113242E+002,-4.7385584E+002,-2.0079675E+000, 0.0000000E+000, 0.0000000E+000,-4.2394033E+002, 7.0642819E+002, 7.2466266E+002,-5.5779925E-003, 1.5597806E-001, 6.3248367E-003, 4.5692670E-002
