s,kg
Time,"Fuel Load"
 9.5068317E+001, 4.8984757E-001
 9.5261966E+001, 4.8984675E-001
 9.5455615E+001, 4.8984594E-001
 9.5584714E+001, 4.8984526E-001
 9.5778364E+001, 4.8984458E-001
 9.5972013E+001, 4.8984377E-001
 9.6165662E+001, 4.8984296E-001
 9.6359311E+001, 4.8984216E-001
 9.6488410E+001, 4.8984149E-001
 9.6682060E+001, 4.8984082E-001
 9.6875709E+001, 4.8984002E-001
 9.7069358E+001, 4.8983922E-001
 9.7263007E+001, 4.8983842E-001
 9.7392107E+001, 4.8983775E-001
 9.7585756E+001, 4.8983709E-001
 9.7779405E+001, 4.8983630E-001
 9.7973054E+001, 4.8983550E-001
 9.8102154E+001, 4.8983484E-001
 9.8295803E+001, 4.8983418E-001
 9.8489452E+001, 4.8983339E-001
 9.8683101E+001, 4.8983261E-001
 9.8876750E+001, 4.8983182E-001
 9.9005850E+001, 4.8983116E-001
 9.9199499E+001, 4.8983051E-001
 9.9393148E+001, 4.8982973E-001
 9.9586797E+001, 4.8982894E-001
 9.9780446E+001, 4.8982816E-001
 9.9909546E+001, 4.8982751E-001
 1.0010319E+002, 4.8982686E-001
 1.0029684E+002, 4.8982608E-001
 1.0049049E+002, 4.8982531E-001
 1.0068414E+002, 4.8982453E-001
 1.0081324E+002, 4.8982388E-001
 1.0100689E+002, 4.8982324E-001
 1.0120054E+002, 4.8982246E-001
 1.0139419E+002, 4.8982169E-001
 1.0152329E+002, 4.8982105E-001
 1.0171694E+002, 4.8982040E-001
 1.0191059E+002, 4.8981963E-001
 1.0210424E+002, 4.8981886E-001
 1.0229789E+002, 4.8981809E-001
 1.0242698E+002, 4.8981745E-001
 1.0262063E+002, 4.8981681E-001
 1.0281428E+002, 4.8981604E-001
 1.0300793E+002, 4.8981528E-001
 1.0320158E+002, 4.8981451E-001
 1.0333068E+002, 4.8981387E-001
 1.0352433E+002, 4.8981324E-001
 1.0371798E+002, 4.8981247E-001
 1.0391163E+002, 4.8981171E-001
 1.0404073E+002, 4.8981107E-001
 1.0423438E+002, 4.8981044E-001
 1.0442803E+002, 4.8980968E-001
 1.0462168E+002, 4.8980892E-001
 1.0481532E+002, 4.8980816E-001
 1.0494442E+002, 4.8980752E-001
 1.0513807E+002, 4.8980689E-001
 1.0533172E+002, 4.8980613E-001
 1.0552537E+002, 4.8980538E-001
 1.0571902E+002, 4.8980462E-001
 1.0584812E+002, 4.8980399E-001
 1.0604177E+002, 4.8980336E-001
 1.0623542E+002, 4.8980260E-001
 1.0642907E+002, 4.8980185E-001
 1.0662272E+002, 4.8980109E-001
 1.0675182E+002, 4.8980046E-001
 1.0694547E+002, 4.8979983E-001
 1.0713911E+002, 4.8979908E-001
 1.0733276E+002, 4.8979833E-001
 1.0746186E+002, 4.8979770E-001
 1.0765551E+002, 4.8979707E-001
 1.0784916E+002, 4.8979632E-001
 1.0804281E+002, 4.8979557E-001
 1.0823646E+002, 4.8979482E-001
 1.0836556E+002, 4.8979419E-001
 1.0855921E+002, 4.8979357E-001
 1.0875286E+002, 4.8979282E-001
 1.0894651E+002, 4.8979207E-001
 1.0914016E+002, 4.8979132E-001
 1.0926926E+002, 4.8979070E-001
 1.0946290E+002, 4.8979007E-001
 1.0965655E+002, 4.8978932E-001
 1.0985020E+002, 4.8978858E-001
 1.1004385E+002, 4.8978783E-001
 1.1017295E+002, 4.8978721E-001
 1.1036660E+002, 4.8978658E-001
 1.1056025E+002, 4.8978584E-001
 1.1075390E+002, 4.8978509E-001
 1.1088300E+002, 4.8978447E-001
 1.1107665E+002, 4.8978385E-001
 1.1127030E+002, 4.8978311E-001
 1.1146395E+002, 4.8978236E-001
 1.1165760E+002, 4.8978162E-001
 1.1178669E+002, 4.8978100E-001
 1.1198034E+002, 4.8978038E-001
 1.1217399E+002, 4.8977963E-001
 1.1236764E+002, 4.8977889E-001
 1.1256129E+002, 4.8977815E-001
 1.1269039E+002, 4.8977753E-001
 1.1288404E+002, 4.8977691E-001
 1.1307769E+002, 4.8977617E-001
 1.1327134E+002, 4.8977543E-001
 1.1340044E+002, 4.8977481E-001
 1.1359409E+002, 4.8977419E-001
 1.1378774E+002, 4.8977345E-001
 1.1398139E+002, 4.8977271E-001
 1.1417503E+002, 4.8977197E-001
 1.1430413E+002, 4.8977136E-001
 1.1449778E+002, 4.8977074E-001
 1.1469143E+002, 4.8977000E-001
 1.1488508E+002, 4.8976926E-001
 1.1507873E+002, 4.8976852E-001
 1.1520783E+002, 4.8976791E-001
 1.1540148E+002, 4.8976729E-001
 1.1559513E+002, 4.8976656E-001
