s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 1.140E+03, 6.981E+02, 5.350E+02, 3.286E+02, 1.595E+02, 9.770E+01, 6.817E+02, 4.869E+02, 2.746E+02, 1.466E+02, 9.990E+01, 7.646E+02, 5.394E+02, 3.393E+02, 2.277E+02, 1.723E+02, 5.539E+02, 4.282E+02, 2.154E+02, 8.478E+01, 5.146E+01
 1.170E+03, 6.832E+02, 5.260E+02, 3.149E+02, 1.552E+02, 9.638E+01, 6.573E+02, 4.514E+02, 2.727E+02, 1.625E+02, 1.121E+02, 7.051E+02, 4.989E+02, 3.101E+02, 2.282E+02, 1.758E+02, 5.461E+02, 4.219E+02, 2.147E+02, 8.507E+01, 5.184E+01
 1.200E+03, 6.825E+02, 5.016E+02, 3.058E+02, 1.551E+02, 9.622E+01, 6.661E+02, 4.336E+02, 2.377E+02, 1.390E+02, 1.002E+02, 7.545E+02, 4.808E+02, 3.112E+02, 2.273E+02, 1.702E+02, 5.405E+02, 4.150E+02, 2.151E+02, 8.609E+01, 5.238E+01
 1.230E+03, 6.689E+02, 4.963E+02, 2.968E+02, 1.515E+02, 9.563E+01, 6.395E+02, 4.464E+02, 2.537E+02, 1.386E+02, 1.039E+02, 7.061E+02, 4.969E+02, 3.002E+02, 2.266E+02, 1.787E+02, 5.382E+02, 4.105E+02, 2.149E+02, 8.672E+01, 5.284E+01
 1.260E+03, 6.519E+02, 4.855E+02, 2.914E+02, 1.483E+02, 9.513E+01, 6.297E+02, 4.705E+02, 2.718E+02, 1.443E+02, 1.025E+02, 6.927E+02, 5.011E+02, 3.293E+02, 2.127E+02, 1.645E+02, 5.416E+02, 4.128E+02, 2.177E+02, 8.805E+01, 5.330E+01
 1.290E+03, 6.954E+02, 5.465E+02, 3.085E+02, 1.525E+02, 9.580E+01, 7.300E+02, 6.096E+02, 3.736E+02, 2.147E+02, 1.295E+02, 7.977E+02, 6.771E+02, 4.437E+02, 3.006E+02, 2.023E+02, 5.405E+02, 4.097E+02, 2.187E+02, 8.898E+01, 5.377E+01
 1.320E+03, 7.201E+02, 5.794E+02, 3.538E+02, 1.772E+02, 1.023E+02, 7.534E+02, 5.472E+02, 4.002E+02, 2.519E+02, 1.583E+02, 8.364E+02, 5.963E+02, 4.282E+02, 3.244E+02, 2.320E+02, 5.439E+02, 4.202E+02, 2.245E+02, 9.221E+01, 5.506E+01
 1.350E+03, 7.343E+02, 6.109E+02, 4.074E+02, 2.105E+02, 1.147E+02, 7.387E+02, 6.170E+02, 4.429E+02, 3.047E+02, 1.906E+02, 8.182E+02, 6.700E+02, 4.897E+02, 3.724E+02, 2.707E+02, 5.486E+02, 4.377E+02, 2.394E+02, 1.019E+02, 5.776E+01
 1.380E+03, 7.346E+02, 6.390E+02, 4.405E+02, 2.390E+02, 1.278E+02, 7.382E+02, 6.654E+02, 4.560E+02, 2.399E+02, 1.367E+02, 8.477E+02, 7.336E+02, 4.835E+02, 2.909E+02, 1.863E+02, 5.577E+02, 4.567E+02, 2.591E+02, 1.091E+02, 5.987E+01
 1.410E+03, 7.539E+02, 6.775E+02, 4.814E+02, 2.539E+02, 1.306E+02, 7.838E+02, 6.544E+02, 4.788E+02, 3.010E+02, 1.679E+02, 8.717E+02, 7.102E+02, 5.093E+02, 3.510E+02, 2.462E+02, 5.665E+02, 4.767E+02, 2.848E+02, 1.203E+02, 6.274E+01
 1.440E+03, 7.595E+02, 6.420E+02, 4.671E+02, 2.515E+02, 1.299E+02, 7.645E+02, 5.924E+02, 3.863E+02, 2.140E+02, 1.262E+02, 8.705E+02, 6.301E+02, 4.178E+02, 2.861E+02, 1.991E+02, 5.777E+02, 4.918E+02, 2.973E+02, 1.265E+02, 6.460E+01
 1.470E+03, 7.337E+02, 6.334E+02, 4.503E+02, 2.412E+02, 1.263E+02, 7.015E+02, 6.253E+02, 4.480E+02, 2.350E+02, 1.402E+02, 8.136E+02, 7.297E+02, 5.104E+02, 3.225E+02, 2.191E+02, 5.814E+02, 4.992E+02, 3.060E+02, 1.301E+02, 6.576E+01
 1.500E+03, 6.879E+02, 5.928E+02, 4.201E+02, 2.301E+02, 1.237E+02, 6.568E+02, 4.512E+02, 2.635E+02, 1.400E+02, 9.607E+01, 7.507E+02, 5.138E+02, 3.420E+02, 2.101E+02, 1.601E+02, 5.741E+02, 4.952E+02, 3.057E+02, 1.310E+02, 6.630E+01
 1.530E+03, 6.501E+02, 5.261E+02, 3.661E+02, 2.085E+02, 1.168E+02, 5.886E+02, 3.981E+02, 2.355E+02, 1.327E+02, 9.617E+01, 6.310E+02, 4.491E+02, 2.935E+02, 2.160E+02, 1.642E+02, 5.637E+02, 4.812E+02, 2.992E+02, 1.298E+02, 6.629E+01
 1.560E+03, 6.079E+02, 4.586E+02, 3.197E+02, 1.909E+02, 1.119E+02, 4.877E+02, 2.703E+02, 1.332E+02, 8.990E+01, 7.920E+01, 5.689E+02, 3.527E+02, 2.254E+02, 1.721E+02, 1.468E+02, 5.461E+02, 4.607E+02, 2.910E+02, 1.284E+02, 6.621E+01
 1.590E+03, 4.977E+02, 3.784E+02, 2.777E+02, 1.740E+02, 1.057E+02, 2.550E+02, 1.099E+02, 8.785E+01, 7.561E+01, 6.086E+01, 3.046E+02, 1.896E+02, 1.631E+02, 1.409E+02, 1.117E+02, 5.202E+02, 4.364E+02, 2.814E+02, 1.265E+02, 6.579E+01
 1.620E+03, 4.051E+02, 3.199E+02, 2.433E+02, 1.582E+02, 9.884E+01, 1.173E+02, 7.615E+01, 5.850E+01, 4.785E+01, 4.159E+01, 1.805E+02, 1.282E+02, 9.249E+01, 7.696E+01, 6.793E+01, 4.887E+02, 4.131E+02, 2.720E+02, 1.244E+02, 6.527E+01
 1.650E+03, 3.373E+02, 2.774E+02, 2.163E+02, 1.439E+02, 9.194E+01, 4.652E+01, 4.410E+01, 4.271E+01, 3.744E+01, 3.372E+01, 8.192E+01, 7.087E+01, 6.389E+01, 5.429E+01, 4.909E+01, 4.571E+02, 3.911E+02, 2.626E+02, 1.222E+02, 6.463E+01
 1.680E+03, 2.892E+02, 2.444E+02, 1.938E+02, 1.312E+02, 8.547E+01, 3.721E+01, 3.649E+01, 3.322E+01, 3.100E+01, 2.827E+01, 5.677E+01, 5.244E+01, 4.571E+01, 4.061E+01, 3.625E+01, 4.293E+02, 3.713E+02, 2.537E+02, 1.199E+02, 6.390E+01
 1.710E+03, 2.558E+02, 2.199E+02, 1.761E+02, 1.208E+02, 7.992E+01, 3.408E+01, 3.547E+01, 3.509E+01, 3.060E+01, 2.754E+01, 5.193E+01, 5.195E+01, 4.846E+01, 3.993E+01, 3.435E+01, 4.051E+02, 3.534E+02, 2.453E+02, 1.177E+02, 6.320E+01
 1.740E+03, 2.306E+02, 2.003E+02, 1.618E+02, 1.122E+02, 7.525E+01, 3.557E+01, 3.303E+01, 3.177E+01, 2.859E+01, 2.591E+01, 5.182E+01, 4.658E+01, 4.297E+01, 3.679E+01, 3.218E+01, 3.838E+02, 3.374E+02, 2.374E+02, 1.155E+02, 6.250E+01
 1.770E+03, 2.106E+02, 1.844E+02, 1.498E+02, 1.048E+02, 7.108E+01, 3.364E+01, 3.394E+01, 3.195E+01, 2.855E+01, 2.531E+01, 4.860E+01, 4.802E+01, 4.291E+01, 3.627E+01, 3.038E+01, 3.647E+02, 3.228E+02, 2.299E+02, 1.134E+02, 6.180E+01
 1.800E+03, 1.938E+02, 1.708E+02, 1.395E+02, 9.848E+01, 6.758E+01, 3.108E+01, 3.248E+01, 3.078E+01, 2.782E+01, 2.567E+01, 4.408E+01, 4.563E+01, 4.089E+01, 3.573E+01, 3.186E+01, 3.476E+02, 3.094E+02, 2.229E+02, 1.114E+02, 6.113E+01
