s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
 5.220E+03, 3.526E+01, 3.578E+01, 3.676E+01, 3.771E+01, 3.896E+01, 3.990E+01, 4.046E+01, 2.045E-01,-2.045E-01
 5.280E+03, 3.521E+01, 3.573E+01, 3.669E+01, 3.764E+01, 3.887E+01, 3.979E+01, 4.034E+01, 2.042E-01,-2.042E-01
 5.340E+03, 3.516E+01, 3.567E+01, 3.663E+01, 3.756E+01, 3.878E+01, 3.969E+01, 4.023E+01, 2.041E-01,-2.041E-01
 5.400E+03, 3.510E+01, 3.562E+01, 3.657E+01, 3.749E+01, 3.870E+01, 3.959E+01, 4.012E+01, 2.038E-01,-2.038E-01
 5.460E+03, 3.505E+01, 3.556E+01, 3.651E+01, 3.742E+01, 3.861E+01, 3.949E+01, 4.001E+01, 2.036E-01,-2.036E-01
 5.520E+03, 3.499E+01, 3.551E+01, 3.644E+01, 3.735E+01, 3.852E+01, 3.939E+01, 3.991E+01, 2.033E-01,-2.033E-01
 5.580E+03, 3.494E+01, 3.545E+01, 3.638E+01, 3.727E+01, 3.843E+01, 3.929E+01, 3.980E+01, 2.031E-01,-2.031E-01
 5.640E+03, 3.488E+01, 3.539E+01, 3.631E+01, 3.720E+01, 3.835E+01, 3.920E+01, 3.970E+01, 2.028E-01,-2.028E-01
 5.700E+03, 3.482E+01, 3.533E+01, 3.625E+01, 3.713E+01, 3.826E+01, 3.910E+01, 3.960E+01, 2.026E-01,-2.026E-01
 5.760E+03, 3.476E+01, 3.527E+01, 3.618E+01, 3.705E+01, 3.818E+01, 3.901E+01, 3.950E+01, 2.023E-01,-2.023E-01
 5.820E+03, 3.470E+01, 3.521E+01, 3.612E+01, 3.698E+01, 3.810E+01, 3.892E+01, 3.940E+01, 2.020E-01,-2.020E-01
 5.880E+03, 3.464E+01, 3.515E+01, 3.605E+01, 3.691E+01, 3.801E+01, 3.882E+01, 3.930E+01, 2.018E-01,-2.018E-01
 5.940E+03, 3.458E+01, 3.509E+01, 3.598E+01, 3.683E+01, 3.793E+01, 3.873E+01, 3.921E+01, 2.016E-01,-2.016E-01
 6.000E+03, 3.452E+01, 3.502E+01, 3.592E+01, 3.676E+01, 3.785E+01, 3.864E+01, 3.911E+01, 2.013E-01,-2.013E-01
 6.060E+03, 3.446E+01, 3.496E+01, 3.585E+01, 3.669E+01, 3.777E+01, 3.855E+01, 3.902E+01, 2.011E-01,-2.011E-01
 6.120E+03, 3.440E+01, 3.490E+01, 3.578E+01, 3.662E+01, 3.768E+01, 3.846E+01, 3.892E+01, 2.009E-01,-2.009E-01
 6.180E+03, 3.434E+01, 3.484E+01, 3.572E+01, 3.654E+01, 3.760E+01, 3.838E+01, 3.883E+01, 2.006E-01,-2.006E-01
 6.240E+03, 3.428E+01, 3.477E+01, 3.565E+01, 3.647E+01, 3.752E+01, 3.829E+01, 3.874E+01, 2.004E-01,-2.004E-01
 6.300E+03, 3.421E+01, 3.471E+01, 3.558E+01, 3.640E+01, 3.744E+01, 3.820E+01, 3.865E+01, 2.001E-01,-2.001E-01
