s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 6.180E+03, 3.462E+01, 3.515E+01, 3.634E+01, 3.761E+01, 3.933E+01, 4.065E+01, 4.146E+01, 2.061E-01,-2.061E-01
 6.240E+03, 3.461E+01, 3.513E+01, 3.630E+01, 3.754E+01, 3.922E+01, 4.051E+01, 4.130E+01, 2.056E-01,-2.056E-01
 6.300E+03, 3.459E+01, 3.511E+01, 3.627E+01, 3.748E+01, 3.911E+01, 4.037E+01, 4.114E+01, 2.055E-01,-2.055E-01
 6.360E+03, 3.457E+01, 3.509E+01, 3.622E+01, 3.741E+01, 3.901E+01, 4.024E+01, 4.098E+01, 2.055E-01,-2.055E-01
 6.420E+03, 3.455E+01, 3.507E+01, 3.618E+01, 3.734E+01, 3.891E+01, 4.010E+01, 4.083E+01, 2.052E-01,-2.052E-01
 6.480E+03, 3.453E+01, 3.504E+01, 3.614E+01, 3.728E+01, 3.880E+01, 3.997E+01, 4.068E+01, 2.049E-01,-2.049E-01
 6.540E+03, 3.450E+01, 3.501E+01, 3.609E+01, 3.721E+01, 3.871E+01, 3.985E+01, 4.054E+01, 2.045E-01,-2.045E-01
 6.600E+03, 3.447E+01, 3.498E+01, 3.604E+01, 3.714E+01, 3.861E+01, 3.972E+01, 4.040E+01, 2.045E-01,-2.045E-01
 6.660E+03, 3.444E+01, 3.494E+01, 3.599E+01, 3.707E+01, 3.851E+01, 3.960E+01, 4.026E+01, 2.043E-01,-2.043E-01
 6.720E+03, 3.441E+01, 3.491E+01, 3.594E+01, 3.700E+01, 3.841E+01, 3.948E+01, 4.013E+01, 2.037E-01,-2.037E-01
 6.780E+03, 3.437E+01, 3.487E+01, 3.589E+01, 3.694E+01, 3.832E+01, 3.937E+01, 4.000E+01, 2.039E-01,-2.039E-01
 6.840E+03, 3.433E+01, 3.483E+01, 3.584E+01, 3.687E+01, 3.823E+01, 3.925E+01, 3.987E+01, 2.035E-01,-2.035E-01
 6.900E+03, 3.429E+01, 3.479E+01, 3.579E+01, 3.680E+01, 3.813E+01, 3.914E+01, 3.975E+01, 2.032E-01,-2.032E-01
 6.960E+03, 3.425E+01, 3.474E+01, 3.573E+01, 3.673E+01, 3.804E+01, 3.903E+01, 3.963E+01, 2.031E-01,-2.031E-01
 7.020E+03, 3.421E+01, 3.470E+01, 3.568E+01, 3.666E+01, 3.795E+01, 3.892E+01, 3.951E+01, 2.028E-01,-2.028E-01
 7.080E+03, 3.416E+01, 3.465E+01, 3.562E+01, 3.659E+01, 3.786E+01, 3.882E+01, 3.939E+01, 2.025E-01,-2.025E-01
 7.140E+03, 3.412E+01, 3.460E+01, 3.556E+01, 3.652E+01, 3.777E+01, 3.871E+01, 3.928E+01, 2.024E-01,-2.024E-01
 7.200E+03, 3.407E+01, 3.455E+01, 3.551E+01, 3.645E+01, 3.769E+01, 3.861E+01, 3.916E+01, 2.021E-01,-2.021E-01
 7.200E+03, 3.405E+01, 3.453E+01, 3.547E+01, 3.641E+01, 3.764E+01, 3.856E+01, 3.911E+01, 2.013E-01,-2.010E-01
