s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 4.320E+03, 3.468E+01, 3.538E+01, 3.684E+01, 3.834E+01, 4.026E+01, 4.160E+01, 4.235E+01, 1.998E-01,-1.998E-01
 4.380E+03, 3.460E+01, 3.530E+01, 3.673E+01, 3.820E+01, 4.009E+01, 4.143E+01, 4.219E+01, 1.992E-01,-1.992E-01
 4.440E+03, 3.452E+01, 3.521E+01, 3.662E+01, 3.806E+01, 3.993E+01, 4.127E+01, 4.203E+01, 1.986E-01,-1.986E-01
 4.500E+03, 3.444E+01, 3.512E+01, 3.652E+01, 3.793E+01, 3.978E+01, 4.111E+01, 4.187E+01, 1.983E-01,-1.983E-01
 4.560E+03, 3.435E+01, 3.503E+01, 3.641E+01, 3.781E+01, 3.963E+01, 4.095E+01, 4.171E+01, 1.982E-01,-1.982E-01
 4.620E+03, 3.426E+01, 3.493E+01, 3.630E+01, 3.768E+01, 3.949E+01, 4.079E+01, 4.155E+01, 1.980E-01,-1.980E-01
 4.680E+03, 3.417E+01, 3.484E+01, 3.619E+01, 3.756E+01, 3.935E+01, 4.064E+01, 4.139E+01, 1.974E-01,-1.974E-01
 4.740E+03, 3.408E+01, 3.474E+01, 3.608E+01, 3.744E+01, 3.921E+01, 4.049E+01, 4.124E+01, 1.968E-01,-1.968E-01
 4.800E+03, 3.398E+01, 3.465E+01, 3.598E+01, 3.732E+01, 3.907E+01, 4.034E+01, 4.108E+01, 1.966E-01,-1.966E-01
 4.860E+03, 3.389E+01, 3.455E+01, 3.587E+01, 3.720E+01, 3.893E+01, 4.019E+01, 4.093E+01, 1.960E-01,-1.960E-01
 4.920E+03, 3.379E+01, 3.445E+01, 3.576E+01, 3.708E+01, 3.880E+01, 4.005E+01, 4.078E+01, 1.958E-01,-1.958E-01
 4.980E+03, 3.370E+01, 3.435E+01, 3.566E+01, 3.696E+01, 3.867E+01, 3.991E+01, 4.063E+01, 1.956E-01,-1.956E-01
 5.040E+03, 3.360E+01, 3.425E+01, 3.555E+01, 3.684E+01, 3.854E+01, 3.976E+01, 4.048E+01, 1.950E-01,-1.950E-01
 5.100E+03, 3.350E+01, 3.416E+01, 3.544E+01, 3.673E+01, 3.840E+01, 3.962E+01, 4.034E+01, 1.945E-01,-1.945E-01
 5.160E+03, 3.341E+01, 3.406E+01, 3.534E+01, 3.661E+01, 3.828E+01, 3.948E+01, 4.019E+01, 1.942E-01,-1.942E-01
 5.220E+03, 3.331E+01, 3.396E+01, 3.523E+01, 3.650E+01, 3.815E+01, 3.935E+01, 4.005E+01, 1.941E-01,-1.941E-01
 5.280E+03, 3.321E+01, 3.386E+01, 3.513E+01, 3.638E+01, 3.802E+01, 3.921E+01, 3.990E+01, 1.936E-01,-1.936E-01
 5.340E+03, 3.311E+01, 3.376E+01, 3.502E+01, 3.627E+01, 3.790E+01, 3.907E+01, 3.976E+01, 1.933E-01,-1.933E-01
