s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 4.3000278E+001, 8.7344743E+000,-2.9594734E-001,-7.3243479E+000,-7.3783050E-003, 3.4172752E-003, 0.0000000E+000,-3.8692397E-004, 1.1204241E+000, 1.1098310E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.2400482E-001, 0.0000000E+000, 2.1951872E-005
 4.4000240E+001, 8.4210166E+000,-2.2359513E-001,-8.5619789E+000,-5.6564670E-003, 3.4645998E-003, 0.0000000E+000,-1.2057321E-005,-3.5583717E-001,-3.6676135E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.3264485E-001, 0.0000000E+000, 2.1951872E-005
 4.5000725E+001, 7.7414387E+000,-1.4615866E-001,-7.5526517E+000,-3.9612465E-003, 3.3045054E-003, 0.0000000E+000,-1.3569734E-005, 4.0030258E-002, 4.1958034E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4128736E-001, 0.0000000E+000, 2.1951872E-005
 4.6000813E+001, 6.6236020E+000,-8.2343621E-002,-7.4232698E+000,-2.0138286E-003, 2.8699327E-003, 0.0000000E+000,-1.5827348E-005,-8.5979273E-001,-8.8117119E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.4992988E-001, 0.0000000E+000, 2.1951872E-005
 4.7001274E+001, 5.0988834E+000,-4.0582295E-002,-7.2122172E+000,-6.3756130E-004, 2.6677463E-003, 0.0000000E+000,-2.8012866E-005,-2.1255495E+000,-2.1519139E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.5857374E-001, 0.0000000E+000, 2.1951872E-005
 4.8000999E+001, 5.2384440E+000,-1.8635713E-002,-5.6079358E+000, 1.0458179E-003, 2.6167540E-003, 0.0000000E+000,-8.1606074E-005,-3.6278342E-001,-3.8454657E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.6721705E-001, 0.0000000E+000, 2.1951872E-005
 4.9001274E+001, 2.2096171E+000,-4.6952066E-003,-3.4055125E+000, 2.0372192E-003, 2.4118213E-003, 0.0000000E+000,-6.9057718E-006,-1.2076220E+000,-1.1961484E+000, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.7586024E-001, 0.0000000E+000, 2.1951872E-005
 5.0002064E+001, 6.0663703E-001, 9.5581717E-005,-1.0589856E+000, 2.2980985E-003, 2.5239197E-003, 0.0000000E+000,-4.0027140E-006,-4.5630023E-001,-4.4743500E-001, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.8450410E-001, 0.0000000E+000, 2.1951872E-005
 5.1000404E+001, 1.2858340E-003, 6.2023595E-004,-7.7186040E-003, 2.2237973E-003, 2.3695844E-003, 0.0000000E+000,-1.6270738E-006,-1.4037696E-002,-1.2207794E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 3.9314197E-001, 0.0000000E+000, 2.1951872E-005
 5.2000229E+001, 0.0000000E+000, 6.0010936E-004, 9.5210317E-003, 2.1366553E-003, 2.3000399E-003, 0.0000000E+000,-2.6458994E-006, 2.8193468E-003, 1.4555190E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.0177493E-001, 0.0000000E+000, 2.1951872E-005
