s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 7.100E+02, 6.629E+02,-2.267E+02,-4.421E+02, 6.228E+00, 0.000E+00, 0.000E+00,-6.890E+00,-6.874E+00,-6.581E+00, 0.000E+00, 1.640E-02, 0.000E+00, 0.000E+00
 7.200E+02, 6.676E+02,-2.219E+02,-4.305E+02, 5.427E+00, 0.000E+00, 0.000E+00,-7.112E+00, 1.349E+01, 1.352E+01, 0.000E+00, 1.659E-02, 0.000E+00, 0.000E+00
 7.300E+02, 7.654E+02,-2.591E+02,-4.987E+02, 6.144E+00, 0.000E+00, 0.000E+00,-7.063E+00, 6.856E+00, 6.680E+00, 0.000E+00, 1.686E-02, 0.000E+00, 0.000E+00
 7.400E+02, 6.957E+02,-2.346E+02,-4.643E+02, 7.086E+00, 0.000E+00, 0.000E+00,-7.086E+00,-2.955E+00,-3.224E+00, 0.000E+00, 1.706E-02, 0.000E+00, 0.000E+00
 7.500E+02, 6.345E+02,-2.144E+02,-4.157E+02, 6.956E+00, 0.000E+00, 0.000E+00,-6.877E+00, 5.023E+00, 4.478E+00, 0.000E+00, 1.707E-02, 0.000E+00, 0.000E+00
 7.600E+02, 7.141E+02,-2.295E+02,-4.786E+02, 6.468E+00, 0.000E+00, 0.000E+00,-7.125E+00, 4.638E+00, 5.352E+00, 0.000E+00, 1.735E-02, 0.000E+00, 0.000E+00
 7.700E+02, 7.116E+02,-2.299E+02,-4.860E+02, 6.845E+00, 0.000E+00, 0.000E+00,-7.221E+00,-4.202E+00,-4.649E+00, 0.000E+00, 1.760E-02, 0.000E+00, 0.000E+00
 7.800E+02, 6.387E+02,-2.112E+02,-4.108E+02, 6.511E+00, 0.000E+00, 0.000E+00,-7.423E+00, 1.607E+01, 1.579E+01, 0.000E+00, 1.785E-02, 0.000E+00, 0.000E+00
 7.900E+02, 6.674E+02,-2.156E+02,-4.446E+02, 6.291E+00, 0.000E+00, 0.000E+00,-7.389E+00, 6.647E+00, 6.066E+00, 0.000E+00, 1.762E-02, 0.000E+00, 0.000E+00
 8.000E+02, 7.434E+02,-2.387E+02,-5.037E+02, 6.605E+00, 0.000E+00, 0.000E+00,-7.339E+00, 4.129E-01, 2.485E-01, 0.000E+00, 1.795E-02, 0.000E+00, 0.000E+00
 8.100E+02, 6.933E+02,-2.226E+02,-4.597E+02, 6.493E+00, 0.000E+00, 0.000E+00,-7.471E+00, 1.091E+01, 1.010E+01, 0.000E+00, 1.839E-02, 0.000E+00, 0.000E+00
 8.200E+02, 7.447E+02,-2.344E+02,-5.127E+02, 6.738E+00, 0.000E+00, 0.000E+00,-7.522E+00,-2.762E+00,-3.166E+00, 0.000E+00, 1.841E-02, 0.000E+00, 0.000E+00
 8.300E+02, 7.338E+02,-2.212E+02,-4.938E+02, 6.536E+00, 0.000E+00, 0.000E+00,-7.748E+00, 1.731E+01, 1.767E+01, 0.000E+00, 1.887E-02, 0.000E+00, 0.000E+00
 8.400E+02, 6.989E+02,-2.208E+02,-4.787E+02, 6.811E+00, 0.000E+00, 0.000E+00,-7.798E+00,-1.259E+00,-1.504E+00, 0.000E+00, 1.902E-02, 0.000E+00, 0.000E+00
 8.500E+02, 7.915E+02,-2.471E+02,-5.287E+02, 7.452E+00, 0.000E+00, 0.000E+00,-7.803E+00, 1.395E+01, 1.538E+01, 0.000E+00, 1.904E-02, 0.000E+00, 0.000E+00
 8.600E+02, 7.457E+02,-2.257E+02,-5.223E+02, 6.225E+00, 0.000E+00, 0.000E+00,-7.878E+00,-3.710E+00,-3.967E+00, 0.000E+00, 1.919E-02, 0.000E+00, 0.000E+00
 8.700E+02, 7.463E+02,-2.232E+02,-5.160E+02, 6.960E+00, 0.000E+00, 0.000E+00,-8.193E+00, 5.258E+00, 5.972E+00, 0.000E+00, 1.951E-02, 0.000E+00, 0.000E+00
