s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 9.300E+02, 1.502E+03,-4.252E+02,-1.057E+03, 2.844E+01, 0.000E+00, 0.000E+00,-4.649E+01, 4.324E+00, 2.004E+00, 5.080E-02, 5.080E-02
 9.400E+02, 1.550E+03,-4.498E+02,-1.090E+03, 2.729E+01, 0.000E+00, 0.000E+00,-4.667E+01,-6.426E+00,-9.335E+00, 5.099E-02, 5.099E-02
 9.500E+02, 1.574E+03,-4.596E+02,-1.086E+03, 2.729E+01, 0.000E+00, 0.000E+00,-4.753E+01, 9.721E+00, 8.334E+00, 5.195E-02, 5.195E-02
 9.600E+02, 1.589E+03,-4.869E+02,-1.108E+03, 2.731E+01, 0.000E+00, 0.000E+00,-3.697E+01,-1.494E+01,-1.603E+01, 4.046E-02, 4.046E-02
 9.700E+02, 1.539E+03,-5.612E+02,-1.061E+03, 2.506E+01, 0.000E+00, 0.000E+00,-1.547E+01,-7.225E+01,-7.351E+01, 1.707E-02, 1.707E-02
 9.800E+02, 1.446E+03,-5.768E+02,-1.009E+03, 2.716E+01, 0.000E+00, 0.000E+00,-4.437E+00,-1.167E+02,-1.174E+02, 4.973E-03, 4.973E-03
 9.900E+02, 1.209E+03,-5.097E+02,-8.244E+02, 2.974E+01, 0.000E+00, 0.000E+00,-4.432E+00,-9.513E+01,-9.929E+01, 4.955E-03, 4.955E-03
 1.000E+03, 8.413E+02,-3.434E+02,-5.991E+02, 3.636E+01, 0.000E+00, 0.000E+00,-4.425E+00,-6.631E+01,-6.923E+01, 4.950E-03, 4.950E-03
 1.010E+03, 3.401E+02,-6.545E+01,-3.991E+02, 4.571E+01, 0.000E+00, 0.000E+00,-4.421E+00,-8.154E+01,-8.312E+01, 4.942E-03, 4.942E-03
 1.020E+03, 1.615E+02, 8.757E+01,-3.611E+02, 5.132E+01, 0.000E+00, 0.000E+00,-4.417E+00,-6.381E+01,-6.513E+01, 4.937E-03, 4.937E-03
 1.030E+03, 1.550E+02, 9.858E+01,-3.427E+02, 5.343E+01, 0.000E+00, 0.000E+00,-4.424E+00,-3.917E+01,-4.013E+01, 4.942E-03, 4.942E-03
 1.040E+03, 1.562E+02, 9.786E+01,-3.412E+02, 5.544E+01, 0.000E+00, 0.000E+00,-4.442E+00,-3.515E+01,-3.616E+01, 4.968E-03, 4.968E-03
 1.050E+03, 1.544E+02, 8.706E+01,-3.204E+02, 5.631E+01, 0.000E+00, 0.000E+00,-4.415E+00,-2.622E+01,-2.705E+01, 4.941E-03, 4.941E-03
 1.060E+03, 1.564E+02, 8.017E+01,-3.136E+02, 5.753E+01, 0.000E+00, 0.000E+00,-4.461E+00,-2.299E+01,-2.395E+01, 4.995E-03, 4.995E-03
 1.070E+03, 1.536E+02, 7.150E+01,-2.982E+02, 5.891E+01, 0.000E+00, 0.000E+00,-4.415E+00,-1.787E+01,-1.857E+01, 4.943E-03, 4.943E-03
 1.080E+03, 1.549E+02, 7.004E+01,-3.018E+02, 5.998E+01, 0.000E+00, 0.000E+00,-4.436E+00,-2.026E+01,-2.132E+01, 4.970E-03, 4.970E-03
 1.090E+03, 1.550E+02, 6.056E+01,-2.813E+02, 6.016E+01, 0.000E+00, 0.000E+00,-4.423E+00,-9.306E+00,-9.944E+00, 4.962E-03, 4.962E-03
 1.100E+03, 1.548E+02, 5.617E+01,-2.888E+02, 6.091E+01, 0.000E+00, 0.000E+00,-4.431E+00,-2.035E+01,-2.129E+01, 4.970E-03, 4.970E-03
 1.110E+03, 1.539E+02, 4.721E+01,-2.626E+02, 6.057E+01, 0.000E+00, 0.000E+00,-4.363E+00,-4.465E+00,-5.339E+00, 4.896E-03, 4.896E-03
 1.120E+03, 1.516E+02, 4.423E+01,-2.710E+02, 6.209E+01, 0.000E+00, 0.000E+00,-4.360E+00,-1.678E+01,-1.745E+01, 4.896E-03, 4.896E-03
 1.130E+03, 1.553E+02, 4.226E+01,-2.668E+02, 6.172E+01, 0.000E+00, 0.000E+00,-4.424E+00,-1.141E+01,-1.197E+01, 4.958E-03, 4.958E-03
 1.140E+03, 1.540E+02, 3.561E+01,-2.608E+02, 6.232E+01, 0.000E+00, 0.000E+00,-4.399E+00,-1.226E+01,-1.322E+01, 4.942E-03, 4.942E-03
 1.150E+03, 1.563E+02, 3.488E+01,-2.575E+02, 6.162E+01, 0.000E+00, 0.000E+00,-4.453E+00,-8.308E+00,-9.238E+00, 5.000E-03, 5.000E-03
 1.160E+03, 1.567E+02, 3.033E+01,-2.552E+02, 6.112E+01, 0.000E+00, 0.000E+00,-4.416E+00,-1.088E+01,-1.153E+01, 4.965E-03, 4.965E-03
 1.170E+03, 1.526E+02, 3.035E+01,-2.460E+02, 5.995E+01, 0.000E+00, 0.000E+00,-4.355E+00,-6.242E+00,-7.427E+00, 4.899E-03, 4.899E-03
 1.180E+03, 1.547E+02, 2.514E+01,-2.458E+02, 6.015E+01, 0.000E+00, 0.000E+00,-4.433E+00,-9.331E+00,-1.020E+01, 4.986E-03, 4.986E-03
 1.190E+03, 1.549E+02, 2.435E+01,-2.415E+02, 5.924E+01, 0.000E+00, 0.000E+00,-4.390E+00,-6.474E+00,-7.410E+00, 4.933E-03, 4.933E-03
 1.200E+03, 1.927E+02, 7.172E+00,-2.475E+02, 5.901E+01, 0.000E+00, 0.000E+00,-6.324E+00, 5.659E+00, 5.045E+00, 7.055E-03, 7.055E-03
 1.210E+03, 5.512E+02,-1.567E+02,-3.121E+02, 5.200E+01, 0.000E+00, 0.000E+00,-2.088E+01, 1.145E+02, 1.136E+02, 2.300E-02, 2.300E-02
 1.220E+03, 1.028E+03,-4.323E+02,-4.245E+02, 3.373E+01, 0.000E+00, 0.000E+00,-3.773E+01, 1.678E+02, 1.667E+02, 4.139E-02, 4.139E-02
 1.230E+03, 1.368E+03,-7.337E+02,-4.885E+02, 2.620E+01, 0.000E+00, 0.000E+00,-4.694E+01, 1.265E+02, 1.253E+02, 5.138E-02, 5.138E-02
 1.240E+03, 1.183E+03,-6.182E+02,-5.053E+02, 3.132E+01, 0.000E+00, 0.000E+00,-4.720E+01, 4.523E+01, 4.329E+01, 5.168E-02, 5.168E-02
 1.250E+03, 9.085E+02,-3.753E+02,-4.728E+02, 3.300E+01, 0.000E+00, 0.000E+00,-4.665E+01, 4.876E+01, 4.680E+01, 5.125E-02, 5.125E-02
 1.260E+03, 1.019E+03,-3.843E+02,-5.836E+02, 2.869E+01, 0.000E+00, 0.000E+00,-4.690E+01, 3.722E+01, 3.267E+01, 5.136E-02, 5.136E-02
 1.270E+03, 1.020E+03,-3.427E+02,-6.169E+02, 3.301E+01, 0.000E+00, 0.000E+00,-4.724E+01, 4.965E+01, 4.590E+01, 5.178E-02, 5.178E-02
 1.280E+03, 1.344E+03,-4.458E+02,-8.434E+02, 3.011E+01, 0.000E+00, 0.000E+00,-4.719E+01, 4.319E+01, 3.782E+01, 5.172E-02, 5.172E-02
 1.290E+03, 1.118E+03,-3.547E+02,-7.336E+02, 2.920E+01, 0.000E+00, 0.000E+00,-4.659E+01, 1.836E+01, 1.213E+01, 5.101E-02, 5.101E-02
 1.300E+03, 1.301E+03,-3.948E+02,-8.646E+02, 3.036E+01, 0.000E+00, 0.000E+00,-4.713E+01, 2.710E+01, 2.469E+01, 5.159E-02, 5.159E-02
 1.310E+03, 1.421E+03,-4.335E+02,-9.699E+02, 2.657E+01, 0.000E+00, 0.000E+00,-4.709E+01, 7.708E-01,-2.840E+00, 5.153E-02, 5.153E-02
 1.320E+03, 1.393E+03,-4.066E+02,-9.219E+02, 2.658E+01, 0.000E+00, 0.000E+00,-4.715E+01, 4.503E+01, 4.344E+01, 5.162E-02, 5.162E-02
 1.330E+03, 1.628E+03,-4.836E+02,-1.145E+03, 2.684E+01, 0.000E+00, 0.000E+00,-4.683E+01,-1.823E+01,-2.065E+01, 5.123E-02, 5.123E-02
