s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TOLUENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 4.500E+02, 1.306E+03, 0.000E+00,-4.426E+02,-8.636E+02, 1.535E+01, 0.000E+00, 0.000E+00,-1.663E+01,-2.043E+00,-1.823E+00, 0.000E+00, 3.428E-02, 0.000E+00, 0.000E+00
 4.600E+02, 1.438E+03, 0.000E+00,-4.780E+02,-9.523E+02, 1.460E+01, 0.000E+00, 0.000E+00,-1.711E+01, 4.774E+00, 5.568E+00, 0.000E+00, 3.513E-02, 0.000E+00, 0.000E+00
 4.700E+02, 1.396E+03, 0.000E+00,-4.678E+02,-9.199E+02, 1.547E+01, 0.000E+00, 0.000E+00,-1.687E+01, 7.332E+00, 7.334E+00, 0.000E+00, 3.457E-02, 0.000E+00, 0.000E+00
 4.800E+02, 1.444E+03, 0.000E+00,-4.713E+02,-9.691E+02, 1.551E+01, 0.000E+00, 0.000E+00,-1.665E+01, 2.435E+00, 2.098E+00, 0.000E+00, 3.419E-02, 0.000E+00, 0.000E+00
 4.900E+02, 1.430E+03, 0.000E+00,-4.627E+02,-9.730E+02, 1.571E+01, 0.000E+00, 0.000E+00,-1.675E+01,-7.153E+00,-6.974E+00, 0.000E+00, 3.458E-02, 0.000E+00, 0.000E+00
 5.000E+02, 1.406E+03, 0.000E+00,-4.639E+02,-9.408E+02, 1.619E+01, 0.000E+00, 0.000E+00,-1.665E+01, 1.149E+00, 9.137E-01, 0.000E+00, 3.426E-02, 0.000E+00, 0.000E+00
 5.100E+02, 1.375E+03, 0.000E+00,-4.426E+02,-9.305E+02, 1.656E+01, 0.000E+00, 0.000E+00,-1.648E+01, 1.945E+00, 1.708E+00, 0.000E+00, 3.404E-02, 0.000E+00, 0.000E+00
 5.200E+02, 1.372E+03, 0.000E+00,-4.463E+02,-9.268E+02, 1.694E+01, 0.000E+00, 0.000E+00,-1.672E+01,-5.978E-01,-4.305E-01, 0.000E+00, 3.435E-02, 0.000E+00, 0.000E+00
 5.300E+02, 1.387E+03, 0.000E+00,-4.469E+02,-9.318E+02, 1.766E+01, 0.000E+00, 0.000E+00,-1.689E+01, 9.225E+00, 8.908E+00, 0.000E+00, 3.468E-02, 0.000E+00, 0.000E+00
 5.400E+02, 1.398E+03, 0.000E+00,-4.632E+02,-9.392E+02, 1.728E+01, 0.000E+00, 0.000E+00,-1.699E+01,-4.343E+00,-4.012E+00, 0.000E+00, 3.460E-02, 0.000E+00, 0.000E+00
 5.500E+02, 1.341E+03, 0.000E+00,-4.350E+02,-8.998E+02, 1.719E+01, 0.000E+00, 0.000E+00,-1.673E+01, 6.573E+00, 6.892E+00, 0.000E+00, 3.445E-02, 0.000E+00, 0.000E+00
 5.600E+02, 1.458E+03, 0.000E+00,-4.608E+02,-9.827E+02, 1.784E+01, 0.000E+00, 0.000E+00,-1.721E+01, 1.431E+01, 1.486E+01, 0.000E+00, 3.502E-02, 0.000E+00, 0.000E+00
 5.700E+02, 1.452E+03, 0.000E+00,-4.638E+02,-1.002E+03, 1.819E+01, 0.000E+00, 0.000E+00,-1.686E+01,-1.235E+01,-1.262E+01, 0.000E+00, 3.434E-02, 0.000E+00, 0.000E+00
 5.800E+02, 1.449E+03, 0.000E+00,-4.593E+02,-9.879E+02, 1.734E+01, 0.000E+00, 0.000E+00,-1.667E+01, 2.307E+00, 2.873E+00, 0.000E+00, 3.415E-02, 0.000E+00, 0.000E+00
 5.900E+02, 1.418E+03, 0.000E+00,-4.497E+02,-9.733E+02, 1.677E+01, 0.000E+00, 0.000E+00,-1.697E+01,-4.789E+00,-5.130E+00, 0.000E+00, 3.443E-02, 0.000E+00, 0.000E+00
 6.000E+02, 1.404E+03, 0.000E+00,-4.489E+02,-9.373E+02, 1.807E+01, 0.000E+00, 0.000E+00,-1.683E+01, 1.964E+01, 1.902E+01, 0.000E+00, 3.445E-02, 0.000E+00, 0.000E+00
 6.100E+02, 1.385E+03, 0.000E+00,-4.408E+02,-9.593E+02, 1.963E+01, 0.000E+00, 0.000E+00,-1.681E+01,-1.234E+01,-1.199E+01, 0.000E+00, 3.434E-02, 0.000E+00, 0.000E+00
