s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 6.400E+02, 1.081E+02, 0.000E+00,-3.069E+01,-5.878E+01,-8.205E+00, 1.049E-01, 0.000E+00, 0.000E+00, 1.044E+01, 1.051E+01, 0.000E+00, 2.364E-03, 0.000E+00, 0.000E+00
 6.500E+02, 1.111E+02, 0.000E+00,-3.240E+01,-5.948E+01,-8.223E+00, 1.081E-01, 0.000E+00, 0.000E+00, 1.112E+01, 1.114E+01, 0.000E+00, 2.427E-03, 0.000E+00, 0.000E+00
 6.600E+02, 1.164E+02, 0.000E+00,-3.443E+01,-6.043E+01,-8.030E+00, 1.128E-01, 0.000E+00, 0.000E+00, 1.361E+01, 1.365E+01, 0.000E+00, 2.548E-03, 0.000E+00, 0.000E+00
 6.700E+02, 1.371E+02, 0.000E+00,-3.953E+01,-6.755E+01,-8.638E+00, 1.313E-01, 0.000E+00, 0.000E+00, 2.128E+01, 2.150E+01, 0.000E+00, 3.001E-03, 0.000E+00, 0.000E+00
 6.800E+02, 1.606E+02, 0.000E+00,-4.940E+01,-7.244E+01,-9.188E+00, 1.517E-01, 0.000E+00, 0.000E+00, 2.959E+01, 2.968E+01, 0.000E+00, 3.510E-03, 0.000E+00, 0.000E+00
 6.900E+02, 1.836E+02, 0.000E+00,-6.080E+01,-8.143E+01,-8.993E+00, 1.713E-01, 0.000E+00, 0.000E+00, 3.245E+01, 3.255E+01, 0.000E+00, 4.018E-03, 0.000E+00, 0.000E+00
 7.000E+02, 2.067E+02, 0.000E+00,-7.481E+01,-8.963E+01,-9.267E+00, 1.910E-01, 0.000E+00, 0.000E+00, 3.311E+01, 3.320E+01, 0.000E+00, 4.526E-03, 0.000E+00, 0.000E+00
 7.100E+02, 2.299E+02, 0.000E+00,-8.996E+01,-9.691E+01,-8.116E+00, 2.086E-01, 0.000E+00, 0.000E+00, 3.505E+01, 3.509E+01, 0.000E+00, 5.035E-03, 0.000E+00, 0.000E+00
 7.200E+02, 2.524E+02, 0.000E+00,-1.069E+02,-1.065E+02,-7.271E+00, 2.259E-01, 0.000E+00, 0.000E+00, 3.194E+01, 3.197E+01, 0.000E+00, 5.544E-03, 0.000E+00, 0.000E+00
 7.300E+02, 2.760E+02, 0.000E+00,-1.227E+02,-1.095E+02,-5.850E+00, 2.426E-01, 0.000E+00, 0.000E+00, 3.806E+01, 3.821E+01, 0.000E+00, 6.052E-03, 0.000E+00, 0.000E+00
 7.400E+02, 2.988E+02, 0.000E+00,-1.406E+02,-1.228E+02,-3.734E+00, 2.571E-01, 0.000E+00, 0.000E+00, 3.195E+01, 3.195E+01, 0.000E+00, 6.560E-03, 0.000E+00, 0.000E+00
 7.500E+02, 3.209E+02, 0.000E+00,-1.581E+02,-1.289E+02,-3.566E+00, 2.702E-01, 0.000E+00, 0.000E+00, 3.051E+01, 3.056E+01, 0.000E+00, 7.069E-03, 0.000E+00, 0.000E+00
 7.600E+02, 3.440E+02, 0.000E+00,-1.756E+02,-1.330E+02,-2.069E+00, 2.784E-01, 0.000E+00, 0.000E+00, 3.348E+01, 3.357E+01, 0.000E+00, 7.578E-03, 0.000E+00, 0.000E+00
 7.700E+02, 3.666E+02, 0.000E+00,-1.932E+02,-1.416E+02,-1.809E+00, 2.869E-01, 0.000E+00, 0.000E+00, 3.027E+01, 3.028E+01, 0.000E+00, 8.058E-03, 0.000E+00, 0.000E+00
 7.800E+02, 3.820E+02, 0.000E+00,-2.049E+02,-1.504E+02,-1.235E+00, 2.931E-01, 0.000E+00, 0.000E+00, 2.592E+01, 2.580E+01, 0.000E+00, 8.377E-03, 0.000E+00, 0.000E+00
 7.900E+02, 3.931E+02, 0.000E+00,-2.157E+02,-1.533E+02,-9.195E-02, 2.946E-01, 0.000E+00, 0.000E+00, 2.417E+01, 2.428E+01, 0.000E+00, 8.668E-03, 0.000E+00, 0.000E+00
 8.000E+02, 4.058E+02, 0.000E+00,-2.263E+02,-1.638E+02, 1.143E+00, 2.983E-01, 0.000E+00, 0.000E+00, 1.723E+01, 1.709E+01, 0.000E+00, 8.918E-03, 0.000E+00, 0.000E+00
 8.100E+02, 4.085E+02, 0.000E+00,-2.292E+02,-1.602E+02, 2.396E+00, 2.913E-01, 0.000E+00, 0.000E+00, 2.181E+01, 2.175E+01, 0.000E+00, 8.923E-03, 0.000E+00, 0.000E+00
 8.200E+02, 4.043E+02, 0.000E+00,-2.252E+02,-1.733E+02, 3.717E+00, 2.891E-01, 0.000E+00, 0.000E+00, 9.750E+00, 9.753E+00, 0.000E+00, 8.889E-03, 0.000E+00, 0.000E+00
 8.300E+02, 4.102E+02, 0.000E+00,-2.299E+02,-1.725E+02, 3.595E+00, 2.934E-01, 0.000E+00, 0.000E+00, 1.179E+01, 1.165E+01, 0.000E+00, 9.052E-03, 0.000E+00, 0.000E+00
 8.400E+02, 4.272E+02, 0.000E+00,-2.398E+02,-1.732E+02, 3.835E+00, 2.958E-01, 0.000E+00, 0.000E+00, 1.829E+01, 1.826E+01, 0.000E+00, 9.411E-03, 0.000E+00, 0.000E+00
 8.500E+02, 4.418E+02, 0.000E+00,-2.500E+02,-1.810E+02, 4.743E+00, 2.966E-01, 0.000E+00, 0.000E+00, 1.586E+01, 1.581E+01, 0.000E+00, 9.770E-03, 0.000E+00, 0.000E+00
 8.600E+02, 4.613E+02, 0.000E+00,-2.609E+02,-1.885E+02, 5.271E+00, 3.051E-01, 0.000E+00, 0.000E+00, 1.769E+01, 1.754E+01, 0.000E+00, 1.013E-02, 0.000E+00, 0.000E+00
 8.700E+02, 4.722E+02, 0.000E+00,-2.679E+02,-1.980E+02, 5.303E+00, 3.079E-01, 0.000E+00, 0.000E+00, 1.211E+01, 1.192E+01, 0.000E+00, 1.060E-02, 0.000E+00, 0.000E+00
 8.800E+02, 5.208E+02, 0.000E+00,-2.972E+02,-1.999E+02, 5.527E+00, 3.249E-01, 0.000E+00, 0.000E+00, 2.970E+01, 2.954E+01, 0.000E+00, 1.173E-02, 0.000E+00, 0.000E+00
 8.900E+02, 5.729E+02, 0.000E+00,-3.287E+02,-2.217E+02, 4.008E+00, 3.407E-01, 0.000E+00, 0.000E+00, 2.670E+01, 2.678E+01, 0.000E+00, 1.297E-02, 0.000E+00, 0.000E+00
 9.000E+02, 6.207E+02, 0.000E+00,-3.666E+02,-2.257E+02, 5.026E+00, 3.503E-01, 0.000E+00, 0.000E+00, 3.429E+01, 3.389E+01, 0.000E+00, 1.421E-02, 0.000E+00, 0.000E+00
 9.100E+02, 6.654E+02, 0.000E+00,-3.990E+02,-2.449E+02, 5.032E+00, 3.570E-01, 0.000E+00, 0.000E+00, 2.748E+01, 2.695E+01, 0.000E+00, 1.545E-02, 0.000E+00, 0.000E+00
 9.200E+02, 7.225E+02, 0.000E+00,-4.402E+02,-2.549E+02, 5.556E+00, 3.677E-01, 0.000E+00, 0.000E+00, 3.349E+01, 3.339E+01, 0.000E+00, 1.669E-02, 0.000E+00, 0.000E+00
 9.300E+02, 7.501E+02, 0.000E+00,-4.642E+02,-2.722E+02, 5.951E+00, 3.642E-01, 0.000E+00, 0.000E+00, 2.061E+01, 2.008E+01, 0.000E+00, 1.793E-02, 0.000E+00, 0.000E+00
 9.400E+02, 8.101E+02, 0.000E+00,-5.022E+02,-2.744E+02, 7.468E+00, 3.771E-01, 0.000E+00, 0.000E+00, 4.177E+01, 4.138E+01, 0.000E+00, 1.917E-02, 0.000E+00, 0.000E+00
 9.500E+02, 8.114E+02, 0.000E+00,-4.942E+02,-3.124E+02, 8.744E+00, 3.824E-01, 0.000E+00, 0.000E+00, 1.439E+01, 1.395E+01, 0.000E+00, 2.035E-02, 0.000E+00, 0.000E+00
 9.600E+02, 8.666E+02, 0.000E+00,-5.017E+02,-3.515E+02, 9.392E+00, 4.183E-01, 0.000E+00, 0.000E+00, 2.358E+01, 2.321E+01, 0.000E+00, 2.114E-02, 0.000E+00, 0.000E+00
