s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 5.700E+02, 7.771E+02,-3.248E+02,-4.978E+02, 2.386E+01, 4.094E-01, 0.000E+00, 0.000E+00,-2.095E+01,-2.122E+01, 0.000E+00, 2.316E-02, 0.000E+00, 0.000E+00
 5.800E+02, 7.635E+02,-3.483E+02,-4.387E+02, 2.311E+01, 4.221E-01, 0.000E+00, 0.000E+00, 1.473E-01, 3.163E-02, 0.000E+00, 2.365E-02, 0.000E+00, 0.000E+00
 5.900E+02, 7.293E+02,-3.270E+02,-4.330E+02, 2.368E+01, 4.235E-01, 0.000E+00, 0.000E+00,-6.325E+00,-6.601E+00, 0.000E+00, 2.415E-02, 0.000E+00, 0.000E+00
 6.000E+02, 7.576E+02,-3.423E+02,-4.337E+02, 2.181E+01, 4.163E-01, 0.000E+00, 0.000E+00, 4.427E+00, 3.798E+00, 0.000E+00, 2.464E-02, 0.000E+00, 0.000E+00
 6.100E+02, 7.733E+02,-3.653E+02,-4.238E+02, 2.125E+01, 4.423E-01, 0.000E+00, 0.000E+00, 6.556E+00, 5.945E+00, 0.000E+00, 2.513E-02, 0.000E+00, 0.000E+00
 6.200E+02, 8.208E+02,-3.661E+02,-4.704E+02, 2.303E+01, 4.261E-01, 0.000E+00, 0.000E+00, 8.241E+00, 7.826E+00, 0.000E+00, 2.562E-02, 0.000E+00, 0.000E+00
 6.300E+02, 7.812E+02,-3.613E+02,-4.554E+02, 2.261E+01, 4.215E-01, 0.000E+00, 0.000E+00,-1.214E+01,-1.237E+01, 0.000E+00, 2.612E-02, 0.000E+00, 0.000E+00
 6.400E+02, 7.927E+02,-3.580E+02,-4.564E+02, 2.387E+01, 4.565E-01, 0.000E+00, 0.000E+00, 3.261E+00, 2.651E+00, 0.000E+00, 2.661E-02, 0.000E+00, 0.000E+00
 6.500E+02, 8.606E+02,-3.814E+02,-4.978E+02, 2.238E+01, 4.266E-01, 0.000E+00, 0.000E+00, 4.670E+00, 4.172E+00, 0.000E+00, 2.710E-02, 0.000E+00, 0.000E+00
 6.600E+02, 8.608E+02,-3.855E+02,-4.876E+02, 2.364E+01, 4.235E-01, 0.000E+00, 0.000E+00, 1.242E+01, 1.182E+01, 0.000E+00, 2.684E-02, 0.000E+00, 0.000E+00
