m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
 4.7457627E-003, 5.2849026E+012, 4.7457627E-003, 2.8431441E-002, 4.7457627E-003, 2.8439891E-002, 4.7457627E-003, 2.8445126E-002, 4.7457627E-003,-8.9781867E+000, 4.7457627E-003,-9.1713609E+000, 4.7457627E-003,-3.8399992E+002, 4.7457627E-003, 4.1431343E+012, 4.7457627E-003, 6.1714455E-002, 4.7457627E-003, 6.1725044E-002, 4.7457627E-003, 6.1730639E-002, 4.7457627E-003,-7.8773044E+000, 4.7457627E-003,-7.6672535E+000, 4.7457627E-003,-3.9152650E+002
 1.4237288E-002, 4.6304164E+012, 1.4237288E-002, 3.6906699E-002, 1.4237288E-002, 3.6915632E-002, 1.4237288E-002, 3.6921048E-002, 1.4237288E-002,-8.8075375E+000, 1.4237288E-002,-9.0118794E+000, 1.4237288E-002,-3.8921430E+002, 1.4237288E-002, 3.6401883E+012, 1.4237288E-002, 8.6140786E-002, 1.4237288E-002, 8.6151428E-002, 1.4237288E-002, 8.6157197E-002, 1.4237288E-002,-7.4817534E+000, 1.4237288E-002,-7.2548178E+000, 1.4237288E-002,-3.6334678E+002
 2.3728814E-002, 3.7316128E+012, 2.3728814E-002, 7.6784811E-002, 2.3728814E-002, 7.6794184E-002, 2.3728814E-002, 7.6799633E-002, 2.3728814E-002,-8.2570848E+000, 2.3728814E-002,-8.4437534E+000, 2.3728814E-002,-4.0721566E+002, 2.3728814E-002, 2.9265528E+012, 2.3728814E-002, 1.1451773E-001, 2.3728814E-002, 1.1452935E-001, 2.3728814E-002, 1.1453534E-001, 2.3728814E-002,-6.8678945E+000, 2.3728814E-002,-6.4913762E+000, 2.3728814E-002,-3.3606229E+002
 3.3220339E-002, 2.6891824E+012, 3.3220339E-002, 1.0301109E-001, 3.3220339E-002, 1.0302061E-001, 3.3220339E-002, 1.0302576E-001, 3.3220339E-002,-7.5329655E+000, 3.3220339E-002,-7.5979846E+000, 3.3220339E-002,-3.6975996E+002, 3.3220339E-002, 2.1933366E+012, 3.3220339E-002, 1.4972190E-001, 3.3220339E-002, 1.4973506E-001, 3.3220339E-002, 1.4974133E-001, 3.3220339E-002,-6.1252545E+000, 3.3220339E-002,-5.4978349E+000, 3.3220339E-002,-3.0023582E+002
 4.2711864E-002, 1.6806658E+012, 4.2711864E-002, 1.2931394E-001, 4.2711864E-002, 1.2932341E-001, 4.2711864E-002, 1.2932803E-001, 4.2711864E-002,-6.1197243E+000, 4.2711864E-002,-6.0505435E+000, 4.2711864E-002,-3.1240323E+002, 4.2711864E-002, 1.4766140E+012, 4.2711864E-002, 1.7954754E-001, 4.2711864E-002, 1.7956191E-001, 4.2711864E-002, 1.7956822E-001, 4.2711864E-002,-5.1883093E+000, 4.2711864E-002,-4.4760116E+000, 4.2711864E-002,-2.3456183E+002
 5.2203390E-002, 1.1850536E+012, 5.2203390E-002, 1.3576264E-001, 5.2203390E-002, 1.3577096E-001, 5.2203390E-002, 1.3577491E-001, 5.2203390E-002,-4.7244102E+000, 5.2203390E-002,-4.7654686E+000, 5.2203390E-002,-2.9178303E+002, 5.2203390E-002, 1.0155266E+012, 5.2203390E-002, 2.0116903E-001, 5.2203390E-002, 2.0118414E-001, 5.2203390E-002, 2.0119052E-001, 5.2203390E-002,-4.2738221E+000, 5.2203390E-002,-3.5712918E+000, 5.2203390E-002,-1.8495824E+002
 6.1694915E-002, 9.0846036E+011, 6.1694915E-002, 1.3128907E-001, 6.1694915E-002, 1.3129666E-001, 6.1694915E-002, 1.3130008E-001, 6.1694915E-002,-3.5346283E+000, 6.1694915E-002,-3.7016963E+000, 6.1694915E-002,-2.3899958E+002, 6.1694915E-002, 7.8217691E+011, 6.1694915E-002, 1.9239077E-001, 6.1694915E-002, 1.9240661E-001, 6.1694915E-002, 1.9241275E-001, 6.1694915E-002,-3.3782565E+000, 6.1694915E-002,-2.8751929E+000, 6.1694915E-002,-1.6303583E+002
 7.1186441E-002, 6.5537684E+011, 7.1186441E-002, 1.0565241E-001, 7.1186441E-002, 1.0566030E-001, 7.1186441E-002, 1.0566342E-001, 7.1186441E-002,-2.6955974E+000, 7.1186441E-002,-2.9878996E+000, 7.1186441E-002,-1.9353251E+002, 7.1186441E-002, 6.9610186E+011, 7.1186441E-002, 1.4744959E-001, 7.1186441E-002, 1.4746593E-001, 7.1186441E-002, 1.4747198E-001, 7.1186441E-002,-2.8230317E+000, 7.1186441E-002,-2.4343031E+000, 7.1186441E-002,-1.4828393E+002
 8.0677966E-002, 4.3593020E+011, 8.0677966E-002, 9.4182135E-002, 8.0677966E-002, 9.4189257E-002, 8.0677966E-002, 9.4191676E-002, 8.0677966E-002,-2.0633920E+000, 8.0677966E-002,-2.4422432E+000, 8.0677966E-002,-1.3811511E+002, 8.0677966E-002, 6.2381162E+011, 8.0677966E-002, 9.5087988E-002, 8.0677966E-002, 9.5104997E-002, 8.0677966E-002, 9.5110907E-002, 8.0677966E-002,-2.3292595E+000, 8.0677966E-002,-2.0474751E+000, 8.0677966E-002,-1.3281227E+002
 9.0169492E-002, 2.8322764E+011, 9.0169492E-002, 1.1314613E-001, 9.0169492E-002, 1.1315034E-001, 9.0169492E-002, 1.1315220E-001, 9.0169492E-002,-1.5262193E+000, 9.0169492E-002,-2.0321718E+000, 9.0169492E-002,-1.0319027E+002, 9.0169492E-002, 5.1931645E+011, 9.0169492E-002, 5.6718497E-002, 9.0169492E-002, 5.6736663E-002, 9.0169492E-002, 5.6742386E-002, 9.0169492E-002,-1.9120697E+000, 9.0169492E-002,-1.6830896E+000, 9.0169492E-002,-1.2320480E+002
 9.9661017E-002, 1.8858473E+011, 9.9661017E-002, 1.6543168E-001, 9.9661017E-002, 1.6543378E-001, 9.9661017E-002, 1.6543507E-001, 9.9661017E-002,-1.0820166E+000, 9.9661017E-002,-1.6152044E+000, 9.9661017E-002,-7.6240243E+001, 9.9661017E-002, 3.4375887E+011, 9.9661017E-002, 4.7083234E-002, 9.9661017E-002, 4.7100339E-002, 9.9661017E-002, 4.7105383E-002, 9.9661017E-002,-1.5218089E+000, 9.9661017E-002,-1.3301842E+000, 9.9661017E-002,-8.6170336E+001
 1.0915254E-001, 1.0634090E+011, 1.0915254E-001, 2.9500154E-001, 1.0915254E-001, 2.9500281E-001, 1.0915254E-001, 2.9500375E-001, 1.0915254E-001,-6.3109117E-001, 1.0915254E-001,-1.1245046E+000, 1.0915254E-001,-4.8540816E+001, 1.0915254E-001, 2.1401397E+011, 1.0915254E-001, 3.2165167E-002, 1.0915254E-001, 3.2180961E-002, 1.0915254E-001, 3.2184920E-002, 1.0915254E-001,-1.2318898E+000, 1.0915254E-001,-1.0947488E+000, 1.0915254E-001,-6.1712651E+001
 1.1864407E-001, 6.4243371E+010, 1.1864407E-001, 3.9873393E-001, 1.1864407E-001, 3.9873487E-001, 1.1864407E-001, 3.9873559E-001, 1.1864407E-001,-3.2019022E-001, 1.1864407E-001,-7.2568150E-001, 1.1864407E-001,-2.5747587E+001, 1.1864407E-001, 1.4184923E+011, 1.1864407E-001, 5.6627273E-002, 1.1864407E-001, 5.6640878E-002, 1.1864407E-001, 5.6644272E-002, 1.1864407E-001,-8.7473758E-001, 1.1864407E-001,-8.8451019E-001, 1.1864407E-001,-4.3069533E+001
 1.2813559E-001, 5.0377754E+010, 1.2813559E-001, 4.6286924E-001, 1.2813559E-001, 4.6286988E-001, 1.2813559E-001, 4.6287037E-001, 1.2813559E-001,-9.8137291E-002, 1.2813559E-001,-3.8662675E-001, 1.2813559E-001,-1.8621774E+001, 1.2813559E-001, 1.0256501E+011, 1.2813559E-001, 9.0884433E-002, 1.2813559E-001, 9.0897307E-002, 1.2813559E-001, 9.0900308E-002, 1.2813559E-001,-5.7993331E-001, 1.2813559E-001,-6.8263806E-001, 1.2813559E-001,-2.7767236E+001
 1.3762712E-001, 3.6854201E+010, 1.3762712E-001, 5.0449368E-001, 1.3762712E-001, 5.0449428E-001, 1.3762712E-001, 5.0449474E-001, 1.3762712E-001, 3.4772559E-002, 1.3762712E-001,-2.0781311E-001, 1.3762712E-001,-1.2409350E+001, 1.3762712E-001, 5.6735863E+010, 1.3762712E-001, 1.3219540E-001, 1.3762712E-001, 1.3220029E-001, 1.3762712E-001, 1.3220171E-001, 1.3762712E-001,-4.3646898E-001, 1.3762712E-001,-5.6062635E-001, 1.3762712E-001,-1.8006607E+001
 1.4711864E-001, 2.3613954E+010, 1.4711864E-001, 5.0144075E-001, 1.4711864E-001, 5.0144157E-001, 1.4711864E-001, 5.0144216E-001, 1.4711864E-001,-1.3188993E-002, 1.4711864E-001,-3.1532714E-001, 1.4711864E-001,-8.8627924E+000, 1.4711864E-001, 4.4052837E+010, 1.4711864E-001, 1.5072340E-001, 1.4711864E-001, 1.5072495E-001, 1.4711864E-001, 1.5072571E-001, 1.4711864E-001,-4.1407648E-001, 1.4711864E-001,-5.3473224E-001, 1.4711864E-001,-1.8126425E+001
 1.5661017E-001, 1.4669915E+010, 1.5661017E-001, 5.6258865E-001, 1.5661017E-001, 5.6258939E-001, 1.5661017E-001, 5.6258990E-001, 1.5661017E-001, 1.1375173E-001, 1.5661017E-001,-1.3442024E-001, 1.5661017E-001,-5.7117175E+000, 1.5661017E-001, 3.3222065E+010, 1.5661017E-001, 2.2573602E-001, 1.5661017E-001, 2.2573693E-001, 1.5661017E-001, 2.2573742E-001, 1.5661017E-001,-2.7770859E-001, 1.5661017E-001,-3.8111611E-001, 1.5661017E-001,-1.3808847E+001
