s,m/s,
Time,Ub,FORCE X
 2.8400710E+000, 6.0489021E+000,-1.5144892E-002
 2.8500409E+000, 6.0645681E+000,-1.2469509E-002
 2.8600230E+000, 6.0967343E+000,-8.7650068E-003
 2.8700935E+000, 6.1697245E+000, 2.6064120E-003
 2.8800844E+000, 6.2209398E+000,-2.2314667E-004
 2.8900474E+000, 6.2074685E+000, 4.6203398E-003
 2.9000293E+000, 6.2862974E+000, 1.0371932E-002
 2.9100815E+000, 6.2444388E+000,-3.9213209E-003
 2.9200402E+000, 6.1083791E+000,-1.0883159E-002
 2.9300905E+000, 6.1084738E+000,-6.8562050E-003
 2.9400136E+000, 6.1304580E+000,-4.3486259E-003
 2.9500439E+000, 6.2134602E+000, 8.6427326E-003
 2.9600040E+000, 6.2913430E+000, 3.8105832E-003
 2.9700993E+000, 6.1878994E+000,-1.9387461E-003
 2.9800591E+000, 6.2222104E+000, 1.1546968E-003
 2.9900506E+000, 6.1440584E+000,-9.3973732E-003
 3.0000394E+000, 6.1452175E+000,-1.4811251E-003
 3.0100431E+000, 6.2055634E+000, 1.7462637E-003
 3.0201082E+000, 6.2321528E+000, 3.9219392E-003
 3.0300521E+000, 6.3002178E+000, 1.6847558E-002
 3.0401172E+000, 6.3763764E+000, 1.6571439E-002
 3.0500610E+000, 6.3558259E+000, 1.5745249E-002
 3.0601034E+000, 6.3589242E+000, 1.8005546E-002
 3.0701219E+000, 6.3693516E+000, 1.7600135E-002
 3.0801189E+000, 6.3964177E+000, 2.0676567E-002
 3.0900826E+000, 6.3637703E+000, 1.3386055E-002
 3.1000645E+000, 6.3202446E+000, 9.5598914E-003
 3.1100967E+000, 6.2379012E+000,-1.1645795E-003
 3.1200792E+000, 6.1617192E+000,-8.5146061E-003
 3.1300000E+000, 6.0911268E+000,-1.0067434E-002
 3.1400497E+000, 6.1445602E+000,-2.9301993E-003
 3.1500679E+000, 6.1470701E+000,-6.2909886E-003
 3.1600266E+000, 6.1159334E+000,-1.1828063E-002
