s,status,status
Time,"Act1","Act2"
 2.5696829E+002,-1, 1
 2.5730145E+002,-1, 1
 2.5764371E+002,-1, 1
 2.5798007E+002,-1, 1
 2.5832211E+002,-1, 1
 2.5866019E+002,-1, 1
 2.5900153E+002,-1, 1
 2.5934103E+002,-1, 1
 2.5967642E+002,-1, 1
 2.6001993E+002,-1, 1
 2.6035297E+002,-1, 1
 2.6069324E+002,-1, 1
 2.6103598E+002,-1, 1
 2.6137131E+002,-1, 1
 2.6171112E+002,-1, 1
 2.6205219E+002,-1, 1
 2.6238721E+002,-1, 1
 2.6272699E+002,-1, 1
 2.6306906E+002,-1, 1
 2.6340344E+002,-1, 1
 2.6374619E+002,-1, 1
 2.6408582E+002,-1, 1
 2.6442444E+002, 1, 1
 2.6476236E+002, 1, 1
 2.6509933E+002, 1, 1
 2.6544196E+002, 1, 1
 2.6577805E+002, 1, 1
 2.6611551E+002, 1, 1
 2.6645651E+002, 1, 1
 2.6679355E+002, 1, 1
 2.6713245E+002, 1, 1
 2.6747745E+002, 1, 1
 2.6781219E+002, 1, 1
 2.6815015E+002, 1, 1
 2.6849008E+002, 1, 1
 2.6883099E+002, 1, 1
 2.6917181E+002, 1, 1
 2.6950513E+002, 1, 1
 2.6984677E+002, 1, 1
 2.7018826E+002, 1, 1
 2.7052658E+002, 1, 1
 2.7086243E+002, 1, 1
 2.7120322E+002, 1, 1
 2.7154022E+002, 1, 1
 2.7187866E+002, 1, 1
 2.7221921E+002, 1, 1
 2.7255853E+002, 1, 1
 2.7290018E+002, 1, 1
 2.7323578E+002, 1, 1
 2.7357901E+002, 1, 1
 2.7391821E+002, 1, 1
 2.7425543E+002, 1, 1
 2.7459366E+002, 1, 1
 2.7493262E+002, 1, 1
 2.7527283E+002, 1, 1
 2.7561121E+002, 1, 1
 2.7594638E+002, 1, 1
 2.7628708E+002, 1, 1
 2.7662579E+002, 1, 1
 2.7696643E+002, 1, 1
 2.7730746E+002, 1, 1
 2.7764377E+002, 1, 1
 2.7798648E+002, 1, 1
 2.7832205E+002, 1, 1
 2.7865915E+002, 1, 1
 2.7900116E+002, 1, 1
 2.7933698E+002, 1, 1
 2.7967560E+002, 1, 1
 2.8001419E+002, 1, 1
 2.8035895E+002, 1, 1
 2.8069339E+002, 1, 1
 2.8103757E+002, 1, 1
 2.8137631E+002, 1, 1
 2.8171213E+002, 1, 1
 2.8205087E+002, 1, 1
 2.8239233E+002, 1, 1
 2.8273187E+002, 1, 1
 2.8306934E+002, 1, 1
 2.8340732E+002, 1, 1
 2.8374692E+002, 1, 1
 2.8408725E+002, 1, 1
 2.8442215E+002, 1, 1
 2.8476593E+002, 1, 1
 2.8510486E+002, 1, 1
 2.8544473E+002, 1, 1
 2.8577737E+002, 1, 1
 2.8611639E+002, 1, 1
 2.8645535E+002, 1, 1
