s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,"rad40","rad40_tmax","rad40_max","rad70","rad70_tmax","rad70_max","rad100","rad100_tmax","rad100_max","D_avg","D_tmax","D_max","Height"
 4.8104243E+000, 7.2285332E+000, 7.2101148E-001, 2.2279039E+002, 8.3062634E+000, 8.8703159E-001, 6.6803781E+001, 6.3832304E+000, 8.8703159E-001, 3.2190660E+001, 3.7221555E+001, 4.3315381E+000, 4.7950679E+001, 9.0362110E+001
 4.9062015E+000, 6.8368581E+000, 7.2101148E-001, 2.2279039E+002, 7.9788965E+000, 8.8703159E-001, 6.6803781E+001, 6.3060771E+000, 8.8703159E-001, 3.2190660E+001, 3.1529353E+001, 4.3315381E+000, 4.7950679E+001, 9.1694318E+001
 5.0019788E+000, 6.5877349E+000, 7.2101148E-001, 2.2279039E+002, 7.6980155E+000, 8.8703159E-001, 6.6803781E+001, 6.0516096E+000, 8.8703159E-001, 3.2190660E+001, 2.8577220E+001, 4.3315381E+000, 4.7950679E+001, 9.2887657E+001
 5.1097282E+000, 6.3305906E+000, 7.2101148E-001, 2.2279039E+002, 7.4056647E+000, 8.8703159E-001, 6.6803781E+001, 5.9857137E+000, 8.8703159E-001, 3.2190660E+001, 3.0800495E+001, 4.3315381E+000, 4.7950679E+001, 9.4068148E+001
 5.2055054E+000, 6.0834459E+000, 7.2101148E-001, 2.2279039E+002, 7.2652493E+000, 8.8703159E-001, 6.6803781E+001, 5.8742782E+000, 8.8703159E-001, 3.2190660E+001, 3.3714570E+001, 4.3315381E+000, 4.7950679E+001, 9.5333280E+001
 5.3012827E+000, 5.8695137E+000, 7.2101148E-001, 2.2279039E+002, 7.0364159E+000, 8.8703159E-001, 6.6803781E+001, 5.7280753E+000, 8.8703159E-001, 3.2190660E+001, 3.4318118E+001, 4.3315381E+000, 4.7950679E+001, 9.6529122E+001
 5.4054404E+000, 5.6337139E+000, 7.2101148E-001, 2.2279039E+002, 6.8677614E+000, 8.8703159E-001, 6.6803781E+001, 5.6706162E+000, 8.8703159E-001, 3.2190660E+001, 3.6093799E+001, 4.3315381E+000, 4.7950679E+001, 9.7798449E+001
 5.5107954E+000, 5.4025602E+000, 7.2101148E-001, 2.2279039E+002, 6.6850943E+000, 8.8703159E-001, 6.6803781E+001, 5.4886023E+000, 8.8703159E-001, 3.2190660E+001, 3.6246195E+001, 4.3315381E+000, 4.7950679E+001, 9.9116560E+001
 5.6029810E+000, 5.1955057E+000, 7.2101148E-001, 2.2279039E+002, 6.5018458E+000, 8.8703159E-001, 6.6803781E+001, 5.4779570E+000, 8.8703159E-001, 3.2190660E+001, 3.4046354E+001, 4.3315381E+000, 4.7950679E+001, 1.0038630E+002
 5.7083360E+000, 4.9509301E+000, 7.2101148E-001, 2.2279039E+002, 6.3502151E+000, 8.8703159E-001, 6.6803781E+001, 5.3211043E+000, 8.8703159E-001, 3.2190660E+001, 2.9084404E+001, 4.3315381E+000, 4.7950679E+001, 1.0156211E+002
 5.8005216E+000, 4.7920439E+000, 7.2101148E-001, 2.2279039E+002, 6.1522811E+000, 8.8703159E-001, 6.6803781E+001, 5.2929569E+000, 8.8703159E-001, 3.2190660E+001, 2.5503766E+001, 4.3315381E+000, 4.7950679E+001, 1.0284925E+002
 5.9015378E+000, 4.5990919E+000, 7.2101148E-001, 2.2279039E+002, 5.9902168E+000, 8.8703159E-001, 6.6803781E+001, 5.1460517E+000, 8.8703159E-001, 3.2190660E+001, 2.4587233E+001, 4.3315381E+000, 4.7950679E+001, 1.0408969E+002
 6.0117352E+000, 4.4227727E+000, 7.2101148E-001, 2.2279039E+002, 5.7840063E+000, 8.8703159E-001, 6.6803781E+001, 5.0967989E+000, 8.8703159E-001, 3.2190660E+001, 2.2857834E+001, 4.3315381E+000, 4.7950679E+001, 1.0525164E+002
 6.1006773E+000, 4.2698211E+000, 7.2101148E-001, 2.2279039E+002, 5.6752239E+000, 8.8703159E-001, 6.6803781E+001, 4.9770417E+000, 8.8703159E-001, 3.2190660E+001, 2.0163624E+001, 4.3315381E+000, 4.7950679E+001, 1.0633680E+002
 6.2071164E+000, 4.1272490E+000, 7.2101148E-001, 2.2279039E+002, 5.4839302E+000, 8.8703159E-001, 6.6803781E+001, 4.9246313E+000, 8.8703159E-001, 3.2190660E+001, 2.0444021E+001, 4.3315381E+000, 4.7950679E+001, 1.0744509E+002
 6.3089276E+000, 3.9612655E+000, 7.2101148E-001, 2.2279039E+002, 5.3567777E+000, 8.8703159E-001, 6.6803781E+001, 4.8037379E+000, 8.8703159E-001, 3.2190660E+001, 2.2568701E+001, 4.3315381E+000, 4.7950679E+001, 1.0870865E+002
 6.4107389E+000, 3.7953422E+000, 7.2101148E-001, 2.2279039E+002, 5.1772751E+000, 8.8703159E-001, 6.6803781E+001, 4.7023791E+000, 8.8703159E-001, 3.2190660E+001, 2.2941804E+001, 4.3315381E+000, 4.7950679E+001, 1.1004355E+002
 6.5125501E+000, 3.5813876E+000, 7.2101148E-001, 2.2279039E+002, 5.0383973E+000, 8.8703159E-001, 6.6803781E+001, 4.6022606E+000, 8.8703159E-001, 3.2190660E+001, 2.2457215E+001, 4.3315381E+000, 4.7950679E+001, 1.1154463E+002
 6.6079982E+000, 3.4327744E+000, 7.2101148E-001, 2.2279039E+002, 4.7980317E+000, 8.8703159E-001, 6.6803781E+001, 4.3994412E+000, 8.8703159E-001, 3.2190660E+001, 2.2082313E+001, 4.3315381E+000, 4.7950679E+001, 1.1298873E+002
 6.7059915E+000, 3.2647789E+000, 7.2101148E-001, 2.2279039E+002, 4.6446013E+000, 8.8703159E-001, 6.6803781E+001, 4.2929063E+000, 8.8703159E-001, 3.2190660E+001, 2.5620242E+001, 4.3315381E+000, 4.7950679E+001, 1.1420966E+002
 6.8081063E+000, 3.1119413E+000, 7.2101148E-001, 2.2279039E+002, 4.4040221E+000, 8.8703159E-001, 6.6803781E+001, 4.0741072E+000, 8.8703159E-001, 3.2190660E+001, 2.5375456E+001, 4.3315381E+000, 4.7950679E+001, 1.1535531E+002
