s,kW,kW
Time,qdot1,qdot2
 2.0006860E+002, 1.4759317E+000, 1.0866097E+001
 2.0101530E+002, 1.4760291E+000, 1.0864957E+001
 2.0227756E+002, 1.4761378E+000, 1.0864506E+001
 2.0322426E+002, 1.4762400E+000, 1.0864988E+001
 2.0417096E+002, 1.4763212E+000, 1.0866321E+001
 2.0511765E+002, 1.4763965E+000, 1.0868342E+001
 2.0606435E+002, 1.4764658E+000, 1.0870965E+001
 2.0701105E+002, 1.4765294E+000, 1.0874316E+001
 2.0827331E+002, 1.4765971E+000, 1.0879345E+001
 2.0922001E+002, 1.4766598E+000, 1.0885121E+001
 2.1016670E+002, 1.4767258E+000, 1.0890006E+001
 2.1111340E+002, 1.4767975E+000, 1.0894684E+001
 2.1206010E+002, 1.4768635E+000, 1.0899417E+001
 2.1300679E+002, 1.4769288E+000, 1.0904414E+001
 2.1426906E+002, 1.4770044E+000, 1.0910222E+001
 2.1521575E+002, 1.4770788E+000, 1.0914977E+001
 2.1616245E+002, 1.4771408E+000, 1.0917132E+001
 2.1710915E+002, 1.4772007E+000, 1.0916872E+001
 2.1805584E+002, 1.4772588E+000, 1.0914368E+001
 2.1900254E+002, 1.4773151E+000, 1.0910480E+001
 2.2026480E+002, 1.4773791E+000, 1.0905536E+001
 2.2121150E+002, 1.4774415E+000, 1.0900801E+001
 2.2215820E+002, 1.4774937E+000, 1.0896714E+001
 2.2310489E+002, 1.4775449E+000, 1.0892177E+001
 2.2405159E+002, 1.4775955E+000, 1.0887006E+001
 2.2531385E+002, 1.4776530E+000, 1.0880569E+001
 2.2626055E+002, 1.4777093E+000, 1.0874328E+001
 2.2720725E+002, 1.4777562E+000, 1.0869594E+001
 2.2815394E+002, 1.4778028E+000, 1.0865746E+001
 2.2910064E+002, 1.4778496E+000, 1.0862860E+001
 2.3004734E+002, 1.4778961E+000, 1.0860880E+001
 2.3130960E+002, 1.4779501E+000, 1.0859931E+001
