s,Pa,kg/m3,kW,kW
Time,"p0","rho","Q1-0","Q2-0"
 1.2300060E+003, 1.0172086E+005, 1.1846256E+000,-2.1526128E+000, 2.1020884E+000
 1.2400293E+003, 1.0172125E+005, 1.1850853E+000,-2.1510387E+000, 2.1013011E+000
 1.2500173E+003, 1.0172166E+005, 1.1849530E+000,-2.1543287E+000, 2.1033860E+000
 1.2600053E+003, 1.0172205E+005, 1.1848604E+000,-2.1533632E+000, 2.1057319E+000
 1.2700286E+003, 1.0172241E+005, 1.1849066E+000,-2.1485920E+000, 2.1046978E+000
 1.2800166E+003, 1.0172275E+005, 1.1844865E+000,-2.1467793E+000, 2.1035156E+000
 1.2900046E+003, 1.0172312E+005, 1.1848032E+000,-2.1501224E+000, 2.1018198E+000
 1.3000279E+003, 1.0172350E+005, 1.1849339E+000,-2.1493719E+000, 2.1013788E+000
 1.3100159E+003, 1.0172387E+005, 1.1849023E+000,-2.1485606E+000, 2.1035057E+000
 1.3200039E+003, 1.0172423E+005, 1.1847851E+000,-2.1499795E+000, 2.1042212E+000
 1.3300272E+003, 1.0172458E+005, 1.1847263E+000,-2.1454610E+000, 2.1042602E+000
 1.3400152E+003, 1.0172489E+005, 1.1848298E+000,-2.1428740E+000, 2.1046600E+000
 1.3500032E+003, 1.0172519E+005, 1.1849570E+000,-2.1424566E+000, 2.1044485E+000
 1.3600264E+003, 1.0172549E+005, 1.1849049E+000,-2.1423190E+000, 2.1044670E+000
 1.3700144E+003, 1.0172580E+005, 1.1849639E+000,-2.1451596E+000, 2.1049768E+000
 1.3800024E+003, 1.0172611E+005, 1.1849321E+000,-2.1464668E+000, 2.1083855E+000
 1.3900257E+003, 1.0172640E+005, 1.1847548E+000,-2.1443087E+000, 2.1096913E+000
 1.4000137E+003, 1.0172666E+005, 1.1849040E+000,-2.1399217E+000, 2.1086141E+000
 1.4100017E+003, 1.0172690E+005, 1.1848737E+000,-2.1385977E+000, 2.1071579E+000
 1.4200250E+003, 1.0172716E+005, 1.1849144E+000,-2.1407330E+000, 2.1076091E+000
 1.4300130E+003, 1.0172742E+005, 1.1848727E+000,-2.1414234E+000, 2.1086648E+000
 1.4400010E+003, 1.0172768E+005, 1.1849381E+000,-2.1409991E+000, 2.1089049E+000
 1.4500243E+003, 1.0172792E+005, 1.1847254E+000,-2.1384929E+000, 2.1104045E+000
 1.4600123E+003, 1.0172813E+005, 1.1845517E+000,-2.1374830E+000, 2.1111706E+000
 1.4700003E+003, 1.0172836E+005, 1.1846247E+000,-2.1399657E+000, 2.1087741E+000
 1.4800236E+003, 1.0172861E+005, 1.1847498E+000,-2.1406270E+000, 2.1088728E+000
 1.4900116E+003, 1.0172886E+005, 1.1848436E+000,-2.1443053E+000, 2.1122165E+000
 1.5000349E+003, 1.0172912E+005, 1.1848198E+000,-2.1428691E+000, 2.1116497E+000
 1.5100229E+003, 1.0172934E+005, 1.1848944E+000,-2.1376338E+000, 2.1134889E+000
 1.5200109E+003, 1.0172951E+005, 1.1847357E+000,-2.1328833E+000, 2.1121842E+000
 1.5300342E+003, 1.0172968E+005, 1.1848086E+000,-2.1347348E+000, 2.1115791E+000
 1.5400222E+003, 1.0172987E+005, 1.1850278E+000,-2.1375581E+000, 2.1134179E+000
 1.5500102E+003, 1.0173005E+005, 1.1850078E+000,-2.1388694E+000, 2.1161617E+000
 1.5600335E+003, 1.0173023E+005, 1.1848285E+000,-2.1373872E+000, 2.1156176E+000
 1.5700214E+003, 1.0173040E+005, 1.1848480E+000,-2.1349985E+000, 2.1142105E+000
 1.5800094E+003, 1.0173057E+005, 1.1847146E+000,-2.1341525E+000, 2.1136579E+000
 1.5900327E+003, 1.0173073E+005, 1.1846426E+000,-2.1376868E+000, 2.1159731E+000
 1.6000207E+003, 1.0173090E+005, 1.1844051E+000,-2.1377675E+000, 2.1171735E+000
 1.6100087E+003, 1.0173107E+005, 1.1843377E+000,-2.1394898E+000, 2.1178471E+000
 1.6200320E+003, 1.0173124E+005, 1.1843746E+000,-2.1395039E+000, 2.1164668E+000
 1.6300200E+003, 1.0173141E+005, 1.1844903E+000,-2.1337487E+000, 2.1164905E+000
 1.6400080E+003, 1.0173154E+005, 1.1844730E+000,-2.1325178E+000, 2.1155146E+000
 1.6500313E+003, 1.0173170E+005, 1.1847684E+000,-2.1370331E+000, 2.1134397E+000
 1.6600193E+003, 1.0173189E+005, 1.1846807E+000,-2.1354435E+000, 2.1128560E+000
 1.6700073E+003, 1.0173206E+005, 1.1848706E+000,-2.1321522E+000, 2.1128636E+000
 1.6800306E+003, 1.0173219E+005, 1.1847504E+000,-2.1293548E+000, 2.1131826E+000
 1.6900186E+003, 1.0173234E+005, 1.1847168E+000,-2.1335756E+000, 2.1135658E+000
