s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_PRODUCTS 3,MLR_PRODUCTS 4,MLR_PRODUCTS 5,MLR_PROPANE,MLR_PRODUCTS 6,MLR_WATER VAPOR,MLR_Gas1,MLR_Gas2,MLR_Gas3,MLR_Gas4,MLR_Gas5
 3.400E+02, 2.246E+02, 0.000E+00,-6.857E+01,-1.534E+02,-1.095E+01, 7.552E+00, 0.000E+00, 0.000E+00, 1.783E-01,-8.031E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.839E-03, 8.387E-04, 5.354E-03, 3.950E-03, 1.046E-03, 4.431E-05
 3.500E+02, 2.200E+02, 0.000E+00,-6.710E+01,-1.518E+02,-1.048E+01, 7.405E+00, 0.000E+00, 0.000E+00,-1.053E+00,-1.994E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.788E-03, 8.147E-04, 5.191E-03, 3.809E-03, 1.041E-03, 4.648E-05
 3.600E+02, 2.161E+02, 0.000E+00,-6.575E+01,-1.480E+02,-1.036E+01, 7.230E+00, 0.000E+00, 0.000E+00, 1.969E-01,-6.801E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.741E-03, 7.917E-04, 5.051E-03, 3.710E-03, 1.035E-03, 4.862E-05
 3.700E+02, 2.130E+02, 0.000E+00,-6.487E+01,-1.447E+02,-9.844E+00, 7.163E+00, 0.000E+00, 0.000E+00, 1.610E+00, 7.788E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.695E-03, 7.708E-04, 4.928E-03, 3.626E-03, 1.030E-03, 5.075E-05
 3.800E+02, 2.089E+02, 0.000E+00,-6.343E+01,-1.446E+02,-9.747E+00, 6.985E+00, 0.000E+00, 0.000E+00,-1.154E+00,-1.929E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.652E-03, 7.508E-04, 4.791E-03, 3.508E-03, 1.023E-03, 5.285E-05
 3.900E+02, 2.057E+02, 0.000E+00,-6.238E+01,-1.421E+02,-9.547E+00, 6.863E+00, 0.000E+00, 0.000E+00,-6.286E-01,-1.452E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.610E-03, 7.316E-04, 4.673E-03, 3.425E-03, 1.015E-03, 5.490E-05
 4.000E+02, 2.023E+02, 0.000E+00,-6.142E+01,-1.392E+02,-9.476E+00, 6.815E+00, 0.000E+00, 0.000E+00,-1.327E-01,-9.754E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.570E-03, 7.133E-04, 4.555E-03, 3.335E-03, 1.007E-03, 5.695E-05
 4.100E+02, 1.992E+02, 0.000E+00,-6.041E+01,-1.373E+02,-9.291E+00, 6.692E+00, 0.000E+00, 0.000E+00,-2.950E-01,-1.121E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.530E-03, 6.959E-04, 4.444E-03, 3.248E-03, 9.988E-04, 5.895E-05
 4.200E+02, 1.961E+02, 0.000E+00,-5.935E+01,-1.360E+02,-9.328E+00, 6.526E+00, 0.000E+00, 0.000E+00,-1.164E+00,-2.038E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.490E-03, 6.791E-04, 4.334E-03, 3.161E-03, 9.904E-04, 6.094E-05
 4.300E+02, 1.937E+02, 0.000E+00,-5.851E+01,-1.331E+02,-9.256E+00, 6.464E+00, 0.000E+00, 0.000E+00, 4.395E-02,-7.458E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.451E-03, 6.635E-04, 4.246E-03, 3.108E-03, 9.836E-04, 6.294E-05
 4.400E+02, 1.916E+02, 0.000E+00,-5.801E+01,-1.321E+02,-8.792E+00, 6.422E+00, 0.000E+00, 0.000E+00,-1.107E-01,-8.453E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.410E-03, 6.497E-04, 4.170E-03, 3.061E-03, 9.770E-04, 6.492E-05
 4.500E+02, 1.895E+02, 0.000E+00,-5.716E+01,-1.299E+02,-8.957E+00, 6.293E+00, 0.000E+00, 0.000E+00, 5.711E-01,-2.401E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.368E-03, 6.373E-04, 4.091E-03, 3.001E-03, 9.677E-04, 6.681E-05
 4.600E+02, 1.874E+02, 0.000E+00,-5.658E+01,-1.290E+02,-8.587E+00, 6.270E+00, 0.000E+00, 0.000E+00, 3.443E-01,-4.578E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.324E-03, 6.250E-04, 4.015E-03, 2.948E-03, 9.607E-04, 6.875E-05
 4.700E+02, 1.848E+02, 0.000E+00,-5.584E+01,-1.282E+02,-8.375E+00, 6.148E+00, 0.000E+00, 0.000E+00,-7.191E-01,-1.439E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.278E-03, 6.139E-04, 3.939E-03, 2.880E-03, 9.506E-04, 7.058E-05
 4.800E+02, 1.826E+02, 0.000E+00,-5.498E+01,-1.252E+02,-8.543E+00, 6.039E+00, 0.000E+00, 0.000E+00, 7.579E-01,-5.053E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.230E-03, 6.025E-04, 3.856E-03, 2.808E-03, 9.415E-04, 7.242E-05
 4.900E+02, 1.806E+02, 0.000E+00,-5.443E+01,-1.255E+02,-8.033E+00, 5.952E+00, 0.000E+00, 0.000E+00,-6.340E-01,-1.352E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.182E-03, 5.917E-04, 3.786E-03, 2.761E-03, 9.327E-04, 7.422E-05
 5.000E+02, 1.783E+02, 0.000E+00,-5.369E+01,-1.232E+02,-7.940E+00, 5.884E+00, 0.000E+00, 0.000E+00, 5.538E-02,-6.306E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.132E-03, 5.817E-04, 3.719E-03, 2.711E-03, 9.232E-04, 7.599E-05
 5.100E+02, 1.768E+02, 0.000E+00,-5.309E+01,-1.229E+02,-8.333E+00, 5.816E+00, 0.000E+00, 0.000E+00,-9.039E-01,-1.663E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.082E-03, 5.720E-04, 3.656E-03, 2.664E-03, 9.155E-04, 7.779E-05
 5.200E+02, 1.755E+02, 0.000E+00,-5.274E+01,-1.205E+02,-8.137E+00, 5.744E+00, 0.000E+00, 0.000E+00, 5.599E-01,-1.042E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.031E-03, 5.632E-04, 3.603E-03, 2.631E-03, 9.081E-04, 7.957E-05
 5.300E+02, 1.737E+02, 0.000E+00,-5.239E+01,-1.205E+02,-7.663E+00, 5.714E+00, 0.000E+00, 0.000E+00,-4.927E-01,-1.114E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 9.794E-04, 5.553E-04, 3.556E-03, 2.598E-03, 8.988E-04, 8.126E-05
 5.400E+02, 1.723E+02, 0.000E+00,-5.185E+01,-1.182E+02,-7.873E+00, 5.625E+00, 0.000E+00, 0.000E+00, 6.608E-01,-5.768E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 9.281E-04, 5.474E-04, 3.500E-03, 2.550E-03, 8.903E-04, 8.295E-05
 5.500E+02, 1.707E+02, 0.000E+00,-5.130E+01,-1.177E+02,-7.794E+00, 5.548E+00, 0.000E+00, 0.000E+00, 1.021E-01,-5.712E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 8.782E-04, 5.394E-04, 3.452E-03, 2.515E-03, 8.821E-04, 8.463E-05
 5.600E+02, 1.698E+02, 0.000E+00,-5.098E+01,-1.190E+02,-7.827E+00, 5.505E+00, 0.000E+00, 0.000E+00,-1.849E+00,-2.500E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 8.304E-04, 5.313E-04, 3.412E-03, 2.494E-03, 8.752E-04, 8.633E-05
 5.700E+02, 1.691E+02, 0.000E+00,-5.076E+01,-1.153E+02,-7.658E+00, 5.463E+00, 0.000E+00, 0.000E+00, 1.373E+00, 7.594E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 7.851E-04, 5.230E-04, 3.385E-03, 2.489E-03, 8.701E-04, 8.807E-05
 5.800E+02, 1.683E+02, 0.000E+00,-5.057E+01,-1.160E+02,-7.705E+00, 5.444E+00, 0.000E+00, 0.000E+00, 9.142E-02,-5.330E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 7.423E-04, 5.144E-04, 3.360E-03, 2.477E-03, 8.638E-04, 8.973E-05
 5.900E+02, 1.675E+02, 0.000E+00,-5.030E+01,-1.162E+02,-7.632E+00, 5.414E+00, 0.000E+00, 0.000E+00,-5.216E-01,-1.205E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 7.019E-04, 5.051E-04, 3.333E-03, 2.466E-03, 8.587E-04, 9.143E-05
 6.000E+02, 1.670E+02, 0.000E+00,-5.007E+01,-1.151E+02,-7.538E+00, 5.391E+00, 0.000E+00, 0.000E+00, 2.365E-01,-3.812E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 6.637E-04, 4.953E-04, 3.308E-03, 2.455E-03, 8.525E-04, 9.305E-05
