s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PBT,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2
 6.600E+02, 1.638E+02, 0.000E+00,-5.049E+01,-1.152E+02,-1.185E+00, 7.729E-01, 0.000E+00, 0.000E+00,-1.755E+00,-2.279E+00, 0.000E+00, 4.027E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.700E+02, 1.490E+02, 0.000E+00,-4.554E+01,-1.032E+02,-6.965E-01, 8.422E-01, 0.000E+00, 0.000E+00, 8.031E-01, 3.415E-01, 0.000E+00, 3.459E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.800E+02, 1.412E+02, 0.000E+00,-4.297E+01,-1.000E+02,-5.154E-01, 8.665E-01, 0.000E+00, 0.000E+00,-9.697E-01,-1.388E+00, 0.000E+00, 3.141E-03, 0.000E+00, 1.383E-03, 0.000E+00
 6.900E+02, 1.301E+02, 0.000E+00,-3.915E+01,-9.292E+01,-2.686E-01, 9.241E-01, 0.000E+00, 0.000E+00,-9.899E-01,-1.364E+00, 0.000E+00, 2.690E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.000E+02, 1.189E+02, 0.000E+00,-3.544E+01,-8.547E+01,-7.485E-02, 1.002E+00, 0.000E+00, 0.000E+00,-7.134E-01,-1.042E+00, 0.000E+00, 2.232E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.100E+02, 1.112E+02, 0.000E+00,-3.281E+01,-8.014E+01,-1.154E-01, 1.078E+00, 0.000E+00, 0.000E+00,-4.788E-01,-8.234E-01, 0.000E+00, 1.933E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.200E+02, 1.044E+02, 0.000E+00,-3.056E+01,-7.538E+01,-1.035E-01, 1.119E+00, 0.000E+00, 0.000E+00,-2.254E-01,-5.450E-01, 0.000E+00, 1.664E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.300E+02, 9.862E+01, 0.000E+00,-2.865E+01,-7.138E+01, 1.470E-01, 1.142E+00, 0.000E+00, 0.000E+00, 1.374E-01,-1.215E-01, 0.000E+00, 1.434E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.400E+02, 9.570E+01, 0.000E+00,-2.770E+01,-7.065E+01, 1.965E-01, 1.133E+00, 0.000E+00, 0.000E+00,-1.048E+00,-1.316E+00, 0.000E+00, 1.315E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.500E+02, 9.171E+01, 0.000E+00,-2.644E+01,-6.714E+01, 5.585E-01, 1.146E+00, 0.000E+00, 0.000E+00, 1.437E-01,-1.618E-01, 0.000E+00, 1.151E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.600E+02, 8.861E+01, 0.000E+00,-2.543E+01,-6.587E+01, 5.924E-01, 1.161E+00, 0.000E+00, 0.000E+00,-7.264E-01,-9.379E-01, 0.000E+00, 1.032E-03, 0.000E+00, 1.383E-03, 0.000E+00
 7.700E+02, 8.632E+01, 0.000E+00,-2.461E+01,-6.351E+01, 5.469E-01, 1.176E+00, 0.000E+00, 0.000E+00, 2.045E-01,-7.663E-02, 0.000E+00, 9.318E-04, 0.000E+00, 1.383E-03, 0.000E+00
