s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.130E+03, 2.002E+02,-6.116E+01,-9.878E+01,-4.145E+01, 7.657E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.037E-01, 3.999E-03, 3.999E-03
 1.160E+03, 2.004E+02,-6.084E+01,-1.002E+02,-4.051E+01, 7.581E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.957E-01, 3.999E-03, 3.999E-03
 1.190E+03, 2.000E+02,-6.039E+01,-1.011E+02,-3.972E+01, 7.661E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.980E-01, 3.999E-03, 3.999E-03
 1.220E+03, 2.004E+02,-6.041E+01,-1.020E+02,-3.921E+01, 7.866E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.633E-01, 3.999E-03, 3.999E-03
 1.250E+03, 2.000E+02,-5.977E+01,-1.021E+02,-3.937E+01, 7.533E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.279E-01, 3.999E-03, 3.999E-03
 1.280E+03, 2.003E+02,-6.062E+01,-1.019E+02,-3.890E+01, 7.652E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.851E-01, 3.999E-03, 3.999E-03
 1.310E+03, 1.985E+02,-5.923E+01,-1.020E+02,-3.846E+01, 7.642E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.446E-01, 3.999E-03, 3.999E-03
 1.340E+03, 2.002E+02,-5.979E+01,-1.030E+02,-3.874E+01, 7.773E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.625E-01, 3.999E-03, 3.999E-03
 1.370E+03, 2.011E+02,-6.013E+01,-1.033E+02,-3.887E+01, 7.590E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.945E-01, 3.999E-03, 3.999E-03
 1.400E+03, 1.991E+02,-5.988E+01,-1.019E+02,-3.854E+01, 7.683E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.556E-01, 3.999E-03, 3.999E-03
 1.430E+03, 2.011E+02,-6.046E+01,-1.027E+02,-3.907E+01, 7.574E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.595E-01, 3.999E-03, 3.999E-03
 1.460E+03, 2.001E+02,-5.991E+01,-1.031E+02,-3.831E+01, 7.682E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.551E-01, 3.999E-03, 3.999E-03
 1.490E+03, 1.995E+02,-5.851E+01,-1.058E+02,-3.640E+01, 7.666E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.671E-01, 3.999E-03, 3.999E-03
 1.520E+03, 1.996E+02,-5.979E+01,-1.029E+02,-3.809E+01, 7.626E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.101E-01, 3.999E-03, 3.999E-03
 1.550E+03, 2.005E+02,-5.974E+01,-1.044E+02,-3.744E+01, 7.774E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.895E-01, 3.999E-03, 3.999E-03
