s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.720E+03, 1.961E+02,-9.527E+01,-5.441E+01,-4.694E+01, 6.683E-01, 3.094E-02, 0.000E+00, 1.216E-01, 2.206E-01, 3.999E-03, 3.999E-03,-2.008E+02
 1.750E+03, 1.961E+02,-9.560E+01,-5.379E+01,-4.728E+01, 6.645E-01,-2.290E-02, 0.000E+00,-8.340E-02, 4.301E-02, 3.999E-03, 3.999E-03,-2.075E+02
 1.780E+03, 1.963E+02,-9.538E+01,-5.444E+01,-4.710E+01, 6.642E-01,-2.973E-02, 0.000E+00,-1.017E-01, 1.563E-02, 3.999E-03, 3.999E-03,-2.156E+02
 1.810E+03, 1.960E+02,-9.554E+01,-5.455E+01,-4.647E+01, 6.648E-01, 5.217E-03, 0.000E+00, 1.112E-02, 1.448E-01, 3.999E-03, 3.999E-03,-2.147E+02
 1.840E+03, 1.960E+02,-9.519E+01,-5.478E+01,-4.655E+01, 6.656E-01, 2.762E-02, 0.000E+00, 9.658E-02, 2.191E-01, 3.999E-03, 3.999E-03,-2.070E+02
 1.870E+03, 1.961E+02,-9.541E+01,-5.507E+01,-4.618E+01, 6.678E-01, 1.034E-02, 0.000E+00, 5.428E-02, 1.452E-01, 3.999E-03, 3.999E-03,-2.027E+02
 1.900E+03, 1.961E+02,-9.553E+01,-5.467E+01,-4.655E+01, 6.666E-01,-5.626E-02, 0.000E+00,-1.964E-01,-7.717E-02, 3.999E-03, 3.999E-03,-2.183E+02
 1.930E+03, 1.962E+02,-9.565E+01,-5.490E+01,-4.605E+01, 6.673E-01, 4.680E-02, 0.000E+00, 1.597E-01, 2.883E-01, 3.999E-03, 3.999E-03,-2.056E+02
 1.960E+03, 1.963E+02,-9.589E+01,-5.462E+01,-4.633E+01, 6.641E-01, 6.302E-03, 0.000E+00, 2.558E-02, 1.419E-01, 3.999E-03, 3.999E-03,-2.035E+02
 1.990E+03, 1.960E+02,-9.589E+01,-5.478E+01,-4.594E+01, 6.663E-01,-7.631E-03, 0.000E+00,-1.985E-02, 8.998E-02, 3.999E-03, 3.999E-03,-2.051E+02
 2.020E+03, 1.962E+02,-9.606E+01,-5.484E+01,-4.582E+01, 6.644E-01,-1.146E-02, 0.000E+00,-3.856E-02, 8.102E-02, 3.999E-03, 3.999E-03,-2.082E+02
 2.050E+03, 1.960E+02,-9.582E+01,-5.525E+01,-4.556E+01, 6.662E-01,-1.556E-02, 0.000E+00,-5.518E-02, 6.644E-02, 3.999E-03, 3.999E-03,-2.126E+02
 2.080E+03, 1.958E+02,-9.567E+01,-5.535E+01,-4.527E+01, 6.631E-01, 3.351E-02, 0.000E+00, 1.178E-01, 2.391E-01, 3.999E-03, 3.999E-03,-2.032E+02
 2.110E+03, 1.965E+02,-9.624E+01,-5.511E+01,-4.572E+01, 6.663E-01, 3.672E-03, 0.000E+00, 9.987E-03, 1.383E-01, 3.999E-03, 3.999E-03,-2.024E+02
 2.140E+03, 1.960E+02,-9.610E+01,-5.521E+01,-4.520E+01, 6.636E-01, 2.249E-02, 0.000E+00, 8.447E-02, 1.957E-01, 3.999E-03, 3.999E-03,-1.957E+02
 2.170E+03, 1.961E+02,-9.612E+01,-5.545E+01,-4.508E+01, 6.626E-01,-1.702E-02, 0.000E+00,-6.006E-02, 6.256E-02, 3.999E-03, 3.999E-03,-2.005E+02
 2.200E+03, 1.960E+02,-9.597E+01,-5.585E+01,-4.488E+01, 6.656E-01,-6.079E-02, 0.000E+00,-2.058E-01,-9.842E-02, 3.999E-03, 3.999E-03,-2.169E+02
 2.230E+03, 1.961E+02,-9.619E+01,-5.561E+01,-4.473E+01, 6.649E-01, 5.412E-02, 0.000E+00, 1.874E-01, 3.125E-01, 3.999E-03, 3.999E-03,-2.019E+02
 2.260E+03, 1.959E+02,-9.600E+01,-5.594E+01,-4.457E+01, 6.634E-01,-3.147E-02, 0.000E+00,-1.031E-01, 4.688E-03, 3.999E-03, 3.999E-03,-2.101E+02
 2.290E+03, 1.962E+02,-9.643E+01,-5.536E+01,-4.494E+01, 6.621E-01,-4.062E-04, 0.000E+00,-3.758E-03, 1.222E-01, 3.999E-03, 3.999E-03,-2.104E+02
 2.320E+03, 1.962E+02,-9.631E+01,-5.587E+01,-4.447E+01, 6.628E-01, 1.728E-02, 0.000E+00, 6.853E-02, 1.765E-01, 3.999E-03, 3.999E-03,-2.050E+02
 2.350E+03, 1.961E+02,-9.643E+01,-5.584E+01,-4.441E+01, 6.621E-01,-4.800E-03, 0.000E+00,-1.254E-02, 1.025E-01, 3.999E-03, 3.999E-03,-2.060E+02
 2.380E+03, 1.959E+02,-9.638E+01,-5.582E+01,-4.419E+01, 6.595E-01, 2.486E-02, 0.000E+00, 9.744E-02, 2.017E-01, 3.999E-03, 3.999E-03,-1.982E+02
 2.410E+03, 1.961E+02,-9.653E+01,-5.586E+01,-4.429E+01, 6.610E-01,-1.945E-02, 0.000E+00,-7.719E-02, 5.876E-02, 3.999E-03, 3.999E-03,-2.044E+02
 2.440E+03, 1.961E+02,-9.677E+01,-5.591E+01,-4.404E+01, 6.629E-01,-2.380E-02, 0.000E+00,-8.518E-02, 3.737E-02, 3.999E-03, 3.999E-03,-2.112E+02
 2.470E+03, 1.962E+02,-9.713E+01,-5.506E+01,-4.433E+01, 6.577E-01, 7.567E-02, 0.000E+00, 2.678E-01, 3.853E-01, 3.999E-03, 3.999E-03,-1.898E+02
 2.500E+03, 1.961E+02,-9.684E+01,-5.586E+01,-4.416E+01, 6.626E-01,-7.880E-02, 0.000E+00,-2.704E-01,-1.594E-01, 3.999E-03, 3.999E-03,-2.114E+02
 2.530E+03, 1.961E+02,-9.660E+01,-5.636E+01,-4.361E+01, 6.618E-01, 2.782E-02, 0.000E+00, 9.102E-02, 2.229E-01, 3.999E-03, 3.999E-03,-2.041E+02
 2.560E+03, 1.959E+02,-9.674E+01,-5.664E+01,-4.319E+01, 6.608E-01,-5.839E-02, 0.000E+00,-1.994E-01,-8.736E-02, 3.999E-03, 3.999E-03,-2.200E+02
 2.590E+03, 1.962E+02,-9.684E+01,-5.599E+01,-4.376E+01, 6.563E-01, 6.766E-02, 0.000E+00, 2.305E-01, 3.656E-01, 3.999E-03, 3.999E-03,-2.016E+02
 2.620E+03, 1.962E+02,-9.663E+01,-5.678E+01,-4.326E+01, 6.608E-01, 1.484E-02, 0.000E+00, 4.901E-02, 1.754E-01, 3.999E-03, 3.999E-03,-1.977E+02
 2.650E+03, 1.962E+02,-9.698E+01,-5.636E+01,-4.344E+01, 6.566E-01,-1.537E-02, 0.000E+00,-5.146E-02, 6.567E-02, 3.999E-03, 3.999E-03,-2.018E+02
 2.680E+03, 1.959E+02,-9.696E+01,-5.653E+01,-4.308E+01, 6.596E-01,-6.935E-02, 0.000E+00,-2.339E-01,-1.303E-01, 3.999E-03, 3.999E-03,-2.205E+02
 2.710E+03, 1.961E+02,-9.689E+01,-5.659E+01,-4.298E+01, 6.600E-01, 6.769E-02, 0.000E+00, 2.243E-01, 3.690E-01, 3.999E-03, 3.999E-03,-2.026E+02
 2.740E+03, 1.962E+02,-9.698E+01,-5.665E+01,-4.309E+01, 6.577E-01,-1.078E-02, 0.000E+00,-3.972E-02, 8.505E-02, 3.999E-03, 3.999E-03,-2.058E+02
 2.770E+03, 1.961E+02,-9.699E+01,-5.667E+01,-4.301E+01, 6.591E-01, 3.888E-03, 0.000E+00, 2.110E-02, 1.302E-01, 3.999E-03, 3.999E-03,-2.041E+02
 2.800E+03, 1.962E+02,-9.704E+01,-5.675E+01,-4.298E+01, 6.601E-01,-3.417E-03, 0.000E+00,-6.174E-03, 1.053E-01, 3.999E-03, 3.999E-03,-2.046E+02
 2.830E+03, 1.963E+02,-9.715E+01,-5.685E+01,-4.278E+01, 6.612E-01, 2.743E-02, 0.000E+00, 1.018E-01, 2.147E-01, 3.999E-03, 3.999E-03,-1.965E+02
 2.860E+03, 1.960E+02,-9.708E+01,-5.709E+01,-4.250E+01, 6.614E-01,-3.861E-02, 0.000E+00,-1.324E-01,-1.683E-02, 3.999E-03, 3.999E-03,-2.070E+02
 2.890E+03, 1.958E+02,-9.712E+01,-5.682E+01,-4.250E+01, 6.578E-01,-4.405E-02, 0.000E+00,-1.554E-01,-3.282E-02, 3.999E-03, 3.999E-03,-2.194E+02
