m,Pa
p-x,p
 2.9163625E+002, 2.1106487E+001
 2.9263500E+002, 2.1091560E+001
 2.9363375E+002, 2.1091560E+001
 2.9463250E+002, 2.1076857E+001
 2.9563125E+002, 2.1076857E+001
 2.9663000E+002, 2.1062039E+001
 2.9762875E+002, 2.1062039E+001
 2.9862750E+002, 2.1047200E+001
 2.9962625E+002, 2.1047200E+001
 3.0062500E+002, 2.1032240E+001
 3.0162375E+002, 2.1032240E+001
 3.0262250E+002, 2.1017101E+001
 3.0362125E+002, 2.1017101E+001
 3.0462000E+002, 2.1001758E+001
 3.0561875E+002, 2.1001758E+001
 3.0661750E+002, 2.0986477E+001
 3.0761625E+002, 2.0986477E+001
 3.0861500E+002, 2.0971122E+001
 3.0961375E+002, 2.0971122E+001
 3.1061250E+002, 2.0955720E+001
 3.1161125E+002, 2.0955720E+001
 3.1261000E+002, 2.0940135E+001
 3.1360875E+002, 2.0940135E+001
 3.1460750E+002, 2.0924703E+001
 3.1560625E+002, 2.0924703E+001
 3.1660500E+002, 2.0909312E+001
 3.1760375E+002, 2.0909312E+001
 3.1860250E+002, 2.0894045E+001
 3.1960125E+002, 2.0894045E+001
 3.2060000E+002, 2.0878834E+001
 3.2159875E+002, 2.0878834E+001
 3.2259750E+002, 2.0863809E+001
 3.2359625E+002, 2.0863809E+001
 3.2459500E+002, 2.0848743E+001
 3.2559375E+002, 2.0848743E+001
 3.2659250E+002, 2.0833428E+001
 3.2759125E+002, 2.0833428E+001
 3.2859000E+002, 2.0817808E+001
 3.2958875E+002, 2.0817808E+001
 3.3058750E+002, 2.0802167E+001
 3.3158625E+002, 2.0802167E+001
 3.3258500E+002, 2.0786788E+001
 3.3358375E+002, 2.0786788E+001
 3.3458250E+002, 2.0771510E+001
 3.3558125E+002, 2.0771510E+001
 3.3658000E+002, 2.0756182E+001
 3.3757875E+002, 2.0756182E+001
 3.3857750E+002, 2.0740947E+001
 3.3957625E+002, 2.0740947E+001
 3.4057500E+002, 2.0725698E+001
 3.4157375E+002, 2.0725698E+001
 3.4257250E+002, 2.0710131E+001
 3.4357125E+002, 2.0710131E+001
 3.4457000E+002, 2.0694267E+001
 3.4556875E+002, 2.0694267E+001
 3.4656750E+002, 2.0678208E+001
 3.4756625E+002, 2.0678208E+001
 3.4856500E+002, 2.0662198E+001
 3.4956375E+002, 2.0662198E+001
 3.5056250E+002, 2.0646212E+001
 3.5156125E+002, 2.0646212E+001
 3.5256000E+002, 2.0630189E+001
 3.5355875E+002, 2.0630189E+001
 3.5455750E+002, 2.0614365E+001
 3.5555625E+002, 2.0614365E+001
 3.5655500E+002, 2.0598491E+001
 3.5755375E+002, 2.0598491E+001
 3.5855250E+002, 2.0582548E+001
 3.5955125E+002, 2.0582548E+001
 3.6055000E+002, 2.0566718E+001
 3.6154875E+002, 2.0566718E+001
 3.6254750E+002, 2.0550672E+001
 3.6354625E+002, 2.0550672E+001
 3.6454500E+002, 2.0534489E+001
 3.6554375E+002, 2.0534489E+001
 3.6654250E+002, 2.0518301E+001
 3.6754125E+002, 2.0518301E+001
 3.6854000E+002, 2.0502009E+001
 3.6953875E+002, 2.0502009E+001
 3.7053750E+002, 2.0485869E+001
 3.7153625E+002, 2.0485869E+001
 3.7253500E+002, 2.0469886E+001
 3.7353375E+002, 2.0469886E+001
 3.7453250E+002, 2.0454141E+001
 3.7553125E+002, 2.0454141E+001
 3.7653000E+002, 2.0438457E+001
 3.7752875E+002, 2.0438457E+001
 3.7852750E+002, 2.0422796E+001
 3.7952625E+002, 2.0422796E+001
 3.8052500E+002, 2.0407071E+001
 3.8152375E+002, 2.0407071E+001
 3.8252250E+002, 2.0391371E+001
 3.8352125E+002, 2.0391371E+001
 3.8452000E+002, 2.0375298E+001
 3.8551875E+002, 2.0375298E+001
 3.8651750E+002, 2.0358808E+001
 3.8751625E+002, 2.0358808E+001
 3.8851500E+002, 2.0341976E+001
 3.8951375E+002, 2.0341976E+001
 3.9051250E+002, 2.0325197E+001
 3.9151125E+002, 2.0325197E+001
 3.9251000E+002, 2.0308205E+001
 3.9350875E+002, 2.0308205E+001
 3.9450750E+002, 2.0291398E+001
 3.9550625E+002, 2.0291398E+001
 3.9650500E+002, 2.0274830E+001
 3.9750375E+002, 2.0274830E+001
 3.9850250E+002, 2.0258614E+001
 3.9950125E+002, 2.0258614E+001
 4.0050000E+002, 2.0242265E+001
 4.0149875E+002, 2.0242265E+001
 4.0249750E+002, 2.0225671E+001
 4.0349625E+002, 2.0225671E+001
 4.0449500E+002, 2.0208829E+001
 4.0549375E+002, 2.0208829E+001
 4.0649250E+002, 2.0191748E+001
 4.0749125E+002, 2.0191748E+001
 4.0849000E+002, 2.0174806E+001
 4.0948875E+002, 2.0174806E+001
 4.1048750E+002, 2.0157648E+001
 4.1148625E+002, 2.0157648E+001
 4.1248500E+002, 2.0140949E+001
 4.1348375E+002, 2.0140949E+001
 4.1448250E+002, 2.0124251E+001
 4.1548125E+002, 2.0124251E+001
 4.1648000E+002, 2.0107783E+001
 4.1747875E+002, 2.0107783E+001
 4.1847750E+002, 2.0091442E+001
 4.1947625E+002, 2.0091442E+001
 4.2047500E+002, 2.0075125E+001
 4.2147375E+002, 2.0075125E+001
 4.2247250E+002, 2.0058855E+001
 4.2347125E+002, 2.0058855E+001
 4.2447000E+002, 2.0042275E+001
 4.2546875E+002, 2.0042275E+001
 4.2646750E+002, 2.0025709E+001
 4.2746625E+002, 2.0025709E+001
 4.2846500E+002, 2.0008871E+001
 4.2946375E+002, 2.0008871E+001
 4.3046250E+002, 1.9991883E+001
 4.3146125E+002, 1.9991883E+001
 4.3246000E+002, 1.9974759E+001
 4.3345875E+002, 1.9974759E+001
 4.3445750E+002, 1.9957958E+001
 4.3545625E+002, 1.9957958E+001
