s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.000E+03, 8.604E+02,-2.592E+02,-5.949E+02, 9.002E+00, 0.000E+00, 0.000E+00,-1.069E+01, 1.148E+00, 4.597E+00, 2.181E-02, 2.181E-02
 1.010E+03, 8.358E+02,-2.537E+02,-5.577E+02, 8.912E+00, 0.000E+00, 0.000E+00,-1.085E+01, 2.090E+01, 2.254E+01, 2.212E-02, 2.212E-02
 1.020E+03, 9.004E+02,-2.686E+02,-6.234E+02, 8.035E+00, 0.000E+00, 0.000E+00,-1.093E+01, 2.449E+00, 5.512E+00, 2.225E-02, 2.225E-02
 1.030E+03, 9.099E+02,-2.734E+02,-6.274E+02, 7.664E+00, 0.000E+00, 0.000E+00,-1.114E+01, 2.080E+00, 5.517E+00, 2.266E-02, 2.266E-02
 1.040E+03, 9.290E+02,-2.862E+02,-6.384E+02, 9.095E+00, 0.000E+00, 0.000E+00,-1.104E+01,-1.234E+00, 2.478E+00, 2.255E-02, 2.255E-02
 1.050E+03, 8.770E+02,-2.664E+02,-6.005E+02, 9.379E+00, 0.000E+00, 0.000E+00,-1.118E+01, 5.348E+00, 8.288E+00, 2.280E-02, 2.280E-02
 1.060E+03, 8.963E+02,-2.680E+02,-6.173E+02, 8.416E+00, 0.000E+00, 0.000E+00,-1.134E+01, 5.148E+00, 8.088E+00, 2.311E-02, 2.311E-02
 1.070E+03, 9.003E+02,-2.674E+02,-6.184E+02, 8.091E+00, 0.000E+00, 0.000E+00,-1.139E+01, 7.503E+00, 1.122E+01, 2.325E-02, 2.325E-02
 1.080E+03, 9.159E+02,-2.736E+02,-6.395E+02, 8.605E+00, 0.000E+00, 0.000E+00,-1.169E+01,-4.108E+00,-2.468E-01, 2.380E-02, 2.380E-02
 1.090E+03, 8.997E+02,-2.638E+02,-6.154E+02, 1.009E+01, 0.000E+00, 0.000E+00,-1.160E+01, 1.536E+01, 1.899E+01, 2.365E-02, 2.365E-02
 1.100E+03, 9.120E+02,-2.620E+02,-6.357E+02, 7.292E+00, 0.000E+00, 0.000E+00,-1.156E+01, 6.427E+00, 9.987E+00, 2.355E-02, 2.355E-02
 1.110E+03, 9.336E+02,-2.616E+02,-6.683E+02, 8.096E+00, 0.000E+00, 0.000E+00,-1.184E+01,-2.405E+00,-1.320E-01, 2.407E-02, 2.407E-02
 1.120E+03, 9.243E+02,-2.708E+02,-6.359E+02, 9.306E+00, 0.000E+00, 0.000E+00,-1.198E+01, 1.177E+01, 1.492E+01, 2.439E-02, 2.439E-02
 1.130E+03, 9.466E+02,-2.770E+02,-6.582E+02, 8.861E+00, 0.000E+00, 0.000E+00,-1.202E+01, 3.157E+00, 8.290E+00, 2.446E-02, 2.446E-02
 1.140E+03, 9.999E+02,-2.913E+02,-6.971E+02, 8.269E+00, 0.000E+00, 0.000E+00,-1.209E+01, 3.659E+00, 7.763E+00, 2.462E-02, 2.462E-02
 1.150E+03, 1.030E+03,-2.938E+02,-7.205E+02, 9.213E+00, 0.000E+00, 0.000E+00,-1.218E+01, 7.942E+00, 1.236E+01, 2.476E-02, 2.476E-02
 1.160E+03, 9.288E+02,-2.676E+02,-6.523E+02, 9.480E+00, 0.000E+00, 0.000E+00,-1.221E+01, 1.915E+00, 6.128E+00, 2.494E-02, 2.494E-02
 1.170E+03, 9.824E+02,-2.867E+02,-6.891E+02, 8.656E+00, 0.000E+00, 0.000E+00,-1.227E+01,-1.900E+00, 2.978E+00, 2.501E-02, 2.501E-02
 1.180E+03, 1.008E+03,-2.868E+02,-7.143E+02, 9.066E+00, 0.000E+00, 0.000E+00,-1.261E+01,-8.237E-02, 3.730E+00, 2.553E-02, 2.553E-02
 1.190E+03, 9.628E+02,-2.681E+02,-6.719E+02, 9.925E+00, 0.000E+00, 0.000E+00,-1.255E+01, 1.601E+01, 2.020E+01, 2.553E-02, 2.553E-02
 1.200E+03, 1.010E+03,-2.838E+02,-7.181E+02, 8.725E+00, 0.000E+00, 0.000E+00,-1.264E+01, 2.630E+00, 4.145E+00, 2.572E-02, 2.572E-02
 1.210E+03, 1.067E+03,-3.107E+02,-7.494E+02, 9.882E+00, 0.000E+00, 0.000E+00,-1.267E+01,-9.817E-01, 4.260E+00, 2.573E-02, 2.573E-02
 1.220E+03, 1.001E+03,-2.749E+02,-7.094E+02, 9.101E+00, 0.000E+00, 0.000E+00,-1.291E+01, 8.965E+00, 1.309E+01, 2.620E-02, 2.620E-02
 1.230E+03, 9.936E+02,-2.870E+02,-6.868E+02, 1.012E+01, 0.000E+00, 0.000E+00,-1.284E+01, 1.217E+01, 1.707E+01, 2.611E-02, 2.611E-02
 1.240E+03, 1.047E+03,-3.087E+02,-7.314E+02, 1.033E+01, 0.000E+00, 0.000E+00,-1.307E+01,-7.052E-01, 4.245E+00, 2.655E-02, 2.655E-02
 1.250E+03, 1.065E+03,-3.027E+02,-7.542E+02, 9.623E+00, 0.000E+00, 0.000E+00,-1.299E+01, 1.338E+00, 5.282E+00, 2.637E-02, 2.637E-02
 1.260E+03, 9.871E+02,-2.808E+02,-6.922E+02, 1.085E+01, 0.000E+00, 0.000E+00,-1.310E+01, 6.393E+00, 1.190E+01, 2.659E-02, 2.659E-02
 1.270E+03, 1.099E+03,-3.002E+02,-7.947E+02, 8.050E+00, 0.000E+00, 0.000E+00,-1.312E+01,-4.866E+00,-1.194E+00, 2.657E-02, 2.657E-02
 1.280E+03, 1.013E+03,-2.911E+02,-7.124E+02, 9.650E+00, 0.000E+00, 0.000E+00,-1.341E+01, 1.028E+00, 5.933E+00, 2.720E-02, 2.720E-02
 1.290E+03, 1.062E+03,-2.885E+02,-7.479E+02, 8.501E+00, 0.000E+00, 0.000E+00,-1.352E+01, 1.484E+01, 2.105E+01, 2.743E-02, 2.743E-02
 1.300E+03, 1.054E+03,-3.020E+02,-7.430E+02, 1.050E+01, 0.000E+00, 0.000E+00,-1.342E+01, 1.063E+00, 6.449E+00, 2.721E-02, 2.721E-02
 1.310E+03, 1.112E+03,-3.215E+02,-7.872E+02, 1.009E+01, 0.000E+00, 0.000E+00,-1.371E+01,-4.574E+00,-6.973E-01, 2.777E-02, 2.777E-02
 1.320E+03, 1.085E+03,-3.112E+02,-7.731E+02, 1.037E+01, 0.000E+00, 0.000E+00,-1.379E+01,-7.735E+00,-2.814E+00, 2.795E-02, 2.795E-02
 1.330E+03, 1.106E+03,-3.170E+02,-7.584E+02, 9.780E+00, 0.000E+00, 0.000E+00,-1.399E+01, 2.032E+01, 2.604E+01, 2.833E-02, 2.833E-02
 1.340E+03, 1.204E+03,-3.322E+02,-8.593E+02, 8.957E+00, 0.000E+00, 0.000E+00,-1.385E+01, 3.091E+00, 7.978E+00, 2.803E-02, 2.803E-02
