s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 7.4001624E+001, 3.6373473E-002, 4.4885737E-001, 5.7522658E-001, 2.4938926E+001, 2.4811382E+001, 6.6027007E-001, 5.7217146E-001, 2.7787476E+001, 3.2943276E+001, 3.7056953E+001, 4.1144202E+001
 7.5000348E+001, 3.4678109E-002, 3.9409056E-001, 5.0873474E-001, 2.4693262E+001, 2.5057247E+001, 6.9241503E-001, 6.0896865E-001, 2.7629377E+001, 3.3025066E+001, 3.7446469E+001, 4.1982410E+001
 7.6001298E+001, 3.4891016E-002, 4.4361595E-001, 5.0457765E-001, 2.3977663E+001, 2.4538325E+001, 6.6534572E-001, 6.0893738E-001, 2.6693683E+001, 3.1768465E+001, 3.5740674E+001, 3.9851741E+001
 7.7002435E+001, 3.5485160E-002, 3.9535131E-001, 5.4411030E-001, 2.3614046E+001, 2.3706634E+001, 6.9085352E-001, 6.0153660E-001, 2.6380957E+001, 3.1495647E+001, 3.5585161E+001, 3.9775221E+001
 7.8000536E+001, 3.6169994E-002, 4.6990541E-001, 4.6368467E-001, 2.4535369E+001, 2.5104712E+001, 6.6396411E-001, 6.2849554E-001, 2.7510776E+001, 3.2842856E+001, 3.7604369E+001, 4.2559436E+001
 7.9000599E+001, 3.7736380E-002, 3.0817928E-001, 4.5769336E-001, 2.5483379E+001, 2.8728299E+001, 7.0579927E-001, 6.0955053E-001, 2.8474205E+001, 3.4191047E+001, 3.8931090E+001, 4.3649570E+001
 8.0001058E+001, 3.8316059E-002, 3.8639007E-001, 4.6851900E-001, 2.7281517E+001, 3.3965228E+001, 6.8306529E-001, 6.1822522E-001, 3.0442233E+001, 3.6624531E+001, 4.1989997E+001, 4.7502770E+001
 8.1000431E+001, 3.7554250E-002, 5.0198287E-001, 4.5293606E-001, 2.5720014E+001, 2.7861763E+001, 6.4493648E-001, 6.1508312E-001, 2.8685000E+001, 3.4410230E+001, 3.8933178E+001, 4.3569787E+001
 8.2000666E+001, 3.8845802E-002, 7.9920233E-001, 4.6093515E-001, 2.6354623E+001, 3.2977943E+001, 5.6395486E-001, 6.2449769E-001, 2.9591642E+001, 3.5658921E+001, 4.1152960E+001, 4.6554704E+001
 8.3001983E+001, 4.1911624E-002, 3.5905010E-001, 4.3016385E-001, 2.9028073E+001, 3.1160014E+001, 7.0244547E-001, 6.5573605E-001, 3.2459162E+001, 3.9455091E+001, 4.5744883E+001, 5.2532816E+001
 8.4001499E+001, 4.2757624E-002, 4.2491977E-001, 3.9740110E-001, 3.0223664E+001, 3.3476956E+001, 6.7870873E-001, 6.8433143E-001, 3.4016316E+001, 4.1912004E+001, 4.9790348E+001, 5.9458727E+001
 8.5001958E+001, 4.2839195E-002, 4.0455656E-001, 4.1212276E-001, 2.9760814E+001, 2.9687209E+001, 7.0303337E-001, 6.6885258E-001, 3.3596804E+001, 4.1137971E+001, 4.8835344E+001, 5.9118083E+001
