s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 6.1502594E+002, 3.8623085E+002,-2.2287067E+002,-5.3632390E+001,-1.2610703E+002,-3.1848779E-001,-2.4851834E+000, 0.0000000E+000,-1.8380940E+001,-1.9182906E+001, 1.1032769E-002, 1.1032769E-002,-1.4780384E+002
 6.3001709E+002, 3.6478742E+002,-2.0686693E+002,-5.1823247E+001,-1.1865213E+002,-3.2158196E-001, 1.8559178E+000, 0.0000000E+000,-1.1027387E+001,-1.1020550E+001, 1.0969755E-002, 1.0969755E-002,-3.1835975E+001
 6.4502081E+002, 3.6440633E+002,-1.9354165E+002,-5.5151156E+001,-1.1902231E+002,-1.8758163E-001,-1.3574279E+000, 0.0000000E+000,-4.6899751E+000,-4.8537895E+000, 1.0906759E-002, 1.0906759E-002,-1.1562737E+002
 6.6001355E+002, 2.7496084E+002,-1.7204893E+002,-4.4708369E+001,-1.0600983E+002,-1.3226954E-001,-9.4429645E-001, 0.0000000E+000,-4.8830846E+001,-4.8882861E+001, 1.0840897E-002, 1.0840897E-002,-1.7508723E+002
 6.7501349E+002, 2.8010186E+002,-1.6396674E+002,-4.4699277E+001,-1.0126595E+002,-1.2539256E-001, 2.5578183E+000, 0.0000000E+000,-2.7471411E+001,-2.7397673E+001, 1.0682671E-002, 1.0682671E-002,-1.4978426E+001
 6.9001624E+002, 2.6861088E+002,-1.5277221E+002,-4.6594711E+001,-9.8464077E+001,-1.3060585E-001,-2.0339335E+000, 0.0000000E+000,-3.1217364E+001,-3.1384663E+001, 1.0479947E-002, 1.0479947E-002,-1.4325900E+002
 7.0500165E+002, 3.3897088E+002,-1.5482034E+002,-5.2670375E+001,-9.7647098E+001,-1.1700951E-001, 3.7102673E+000, 0.0000000E+000, 3.7416225E+001, 3.7426324E+001, 1.0277280E-002, 1.0277280E-002, 9.0542536E+001
 7.2001477E+002, 3.1080782E+002,-1.6173091E+002,-5.1054626E+001,-1.0621857E+002,-1.1948947E-001,-5.0211954E+000, 0.0000000E+000,-1.2587287E+001,-1.3336960E+001, 1.0074530E-002, 1.0074530E-002,-2.2930206E+002
 7.3502667E+002, 3.6377675E+002,-1.6380187E+002,-5.7497514E+001,-1.0619764E+002,-1.1623914E-001,-2.4833072E-002, 0.0000000E+000, 3.6769039E+001, 3.6138646E+001, 9.8715753E-003, 9.8715753E-003,-2.3139292E+002
 7.5000714E+002, 4.4320865E+002,-1.7270289E+002,-6.5533298E+001,-1.0980470E+002,-1.4326623E-001, 1.1297153E+001, 0.0000000E+000, 1.0554151E+002, 1.0632165E+002, 9.6688776E-003, 9.6688776E-003, 4.7130324E+002
 7.6500964E+002, 3.3206219E+002,-1.8107879E+002,-5.3048962E+001,-1.1480821E+002,-1.7112609E-001,-5.6724081E+000, 0.0000000E+000,-2.0811103E+001,-2.2717304E+001, 9.4662231E-003, 9.4662231E-003, 1.1200415E+002
 7.8001410E+002, 3.9644521E+002,-1.8986017E+002,-7.0693684E+001,-1.1942553E+002,-1.7354200E-001,-7.2116987E+000, 0.0000000E+000, 9.4279263E+000, 9.0805808E+000, 9.2633953E-003, 9.2633953E-003,-3.4314496E+002
 7.9501599E+002, 3.3975757E+002,-1.8345704E+002,-4.7523349E+001,-1.1109408E+002,-3.0230603E-001, 9.8260933E+000, 0.0000000E+000, 8.3032045E+000, 7.2068815E+000, 9.0606036E-003, 9.0606036E-003, 2.6779161E+002
 8.1002777E+002, 2.8834201E+002,-1.7737485E+002,-4.6566197E+001,-1.1438478E+002,-2.9243198E-001,-1.0742164E+001, 0.0000000E+000,-6.0588795E+001,-6.1018407E+001, 8.8577321E-003, 8.8577321E-003,-4.1147813E+002
 8.2500769E+002, 3.5566061E+002,-1.7633449E+002,-4.8369078E+001,-1.0658289E+002,-1.6803254E-001, 1.5790530E+001, 0.0000000E+000, 3.9478210E+001, 3.9996648E+001, 8.6550418E-003, 8.6550418E-003, 5.6935138E+002
 8.4001996E+002, 3.2786181E+002,-1.8364409E+002,-6.0247441E+001,-1.1264587E+002,-2.6440329E-001,-1.4594940E+001, 0.0000000E+000,-4.2684984E+001,-4.3534938E+001, 8.4523436E-003, 8.4523436E-003,-3.5482772E+002
 8.5500623E+002, 4.7699768E+002,-2.0243074E+002,-7.5327550E+001,-1.1322056E+002,-6.0721759E-001, 1.2854850E+001, 0.0000000E+000, 9.8523368E+001, 9.8266461E+001, 8.2496142E-003, 8.2496142E-003, 4.5035561E+002
 8.7000049E+002, 3.6975108E+002,-2.0558102E+002,-5.4752044E+001,-1.1807688E+002,-7.1604568E-001,-2.0312351E+000, 0.0000000E+000,-1.1146165E+001,-1.1406146E+001, 8.0469830E-003, 8.0469830E-003, 3.1437023E+002
 8.8500848E+002, 3.2494435E+002,-1.9215046E+002,-4.7311150E+001,-1.1366950E+002,-3.9807023E-001, 1.0258968E+000, 0.0000000E+000,-2.7818981E+001,-2.7558937E+001, 7.8441739E-003, 7.8441739E-003, 3.6773681E+002
 9.0000269E+002, 3.1355575E+002,-1.7940920E+002,-5.2240542E+001,-1.0925079E+002,-2.9521886E-001,-8.7634425E+000, 0.0000000E+000,-3.5449119E+001,-3.6403439E+001, 7.6413812E-003, 7.6413812E-003,-1.8084884E+002
 9.1502118E+002, 2.9424903E+002,-1.7080222E+002,-4.6992050E+001,-1.0415894E+002,-2.7531738E-001, 5.6075981E-002, 0.0000000E+000,-2.7974955E+001,-2.7923413E+001, 7.4385240E-003, 7.4385240E-003,-1.7965370E+002
 9.3000861E+002, 2.7109717E+002,-1.6080081E+002,-4.3114378E+001,-9.9081485E+001,-2.1876612E-001, 1.1556059E+000, 0.0000000E+000,-3.1637540E+001,-3.0962656E+001, 7.2357241E-003, 7.2357241E-003,-1.1600448E+002
 9.4501001E+002, 3.1493164E+002,-1.6624558E+002,-4.9550201E+001,-9.9201751E+001,-2.2439950E-001, 2.5579053E+000, 0.0000000E+000, 4.3254490E+000, 2.2676090E+000, 7.0330676E-003, 7.0330676E-003, 4.2184985E+001
 9.6000714E+002, 3.0787428E+002,-1.5890506E+002,-5.3133473E+001,-9.6823884E+001,-1.8619486E-001,-3.0403958E+000, 0.0000000E+000,-3.7647126E+000,-4.2147244E+000, 6.8303025E-003, 6.8303025E-003,-1.4697762E+002
 9.7502173E+002, 2.5861291E+002,-1.4880298E+002,-4.3166416E+001,-9.3401854E+001,-1.6333509E-001,-1.3155540E+000, 0.0000000E+000,-2.8732464E+001,-2.8237228E+001, 6.6274385E-003, 6.6274385E-003,-2.3600988E+002
 9.9003271E+002, 2.8771168E+002,-1.5494171E+002,-4.8811955E+001,-9.4858003E+001,-2.0380224E-001,-3.0096050E+000, 0.0000000E+000,-1.2818936E+001,-1.4113396E+001, 6.4245478E-003, 6.4245478E-003,-4.2516594E+002
 1.0050142E+003, 3.4651858E+002,-1.5991523E+002,-5.6086024E+001,-9.6594277E+001,-1.6625399E-001, 6.8943844E+000, 0.0000000E+000, 3.9851739E+001, 4.0651179E+001, 6.2218352E-003, 6.2218352E-003, 1.2824546E+000
 1.0200250E+003, 3.0331507E+002,-1.6336305E+002,-4.9967559E+001,-1.0189432E+002,-1.8052615E-001,-2.3982164E+000, 0.0000000E+000,-1.4180478E+001,-1.4488597E+001, 6.0191145E-003, 6.0191145E-003,-1.5787033E+002
 1.0350073E+003, 3.4674760E+002,-1.6377908E+002,-5.5095417E+001,-9.9175264E+001,-1.7320499E-001, 3.1814491E+000, 0.0000000E+000, 3.4912938E+001, 3.1706090E+001, 5.8164097E-003, 5.8164097E-003, 4.1227422E+001
 1.0500151E+003, 3.1808083E+002,-1.6385713E+002,-5.6303050E+001,-9.9669308E+001,-2.5542319E-001,-3.5380947E+000, 0.0000000E+000,-1.6693572E+000,-5.5421737E+000, 5.6137177E-003, 5.6137177E-003,-1.8528686E+002
 1.0650013E+003, 3.1684328E+002,-1.6426195E+002,-4.9887925E+001,-9.9042575E+001,-3.2925571E-001, 5.0330521E+000, 0.0000000E+000, 7.6814585E+000, 8.3546264E+000, 5.4110052E-003, 5.4110052E-003, 1.2268544E+002
 1.0800120E+003, 3.2623015E+002,-1.6660667E+002,-4.9557229E+001,-9.8098350E+001,-3.6475412E-001, 7.2943292E+000, 0.0000000E+000, 1.8256650E+001, 1.8897479E+001, 5.2082317E-003, 5.2082317E-003, 5.7084964E+002
