s,C,C,C,C,C,C,C
 1.7300166E+003, 1.7387984E+002, 2.5735841E+002, 2.9835792E+002, 2.5103862E+002, 2.5035225E+002, 2.6494990E+002, 2.6448426E+002
 1.7400360E+003, 1.7210288E+002, 2.5467738E+002, 2.9619344E+002, 2.4836925E+002, 2.4768343E+002, 2.6365906E+002, 2.6196833E+002
 1.7500118E+003, 1.7032554E+002, 2.5200702E+002, 2.9402323E+002, 2.4570987E+002, 2.4502468E+002, 2.6236820E+002, 2.5951063E+002
 1.7600312E+003, 1.6854826E+002, 2.4937867E+002, 2.9187159E+002, 2.4309530E+002, 2.4241095E+002, 2.6109851E+002, 2.5707747E+002
 1.7700069E+003, 1.6676998E+002, 2.4677249E+002, 2.8971936E+002, 2.4050398E+002, 2.3982079E+002, 2.5983305E+002, 2.5465062E+002
 1.7800264E+003, 1.6499270E+002, 2.4422909E+002, 2.8760669E+002, 2.3797991E+002, 2.3729804E+002, 2.5860905E+002, 2.5241043E+002
 1.7900021E+003, 1.6321567E+002, 2.4175764E+002, 2.8554542E+002, 2.3552952E+002, 2.3484905E+002, 2.5742460E+002, 2.5019435E+002
 1.8000216E+003, 1.6143808E+002, 2.3932738E+002, 2.8350756E+002, 2.3311978E+002, 2.3244075E+002, 2.5625469E+002, 2.4795783E+002
 1.8100411E+003, 1.5965751E+002, 2.3691242E+002, 2.8146692E+002, 2.3072481E+002, 2.3004743E+002, 2.5508143E+002, 2.4568653E+002
 1.8200168E+003, 1.5787984E+002, 2.3454536E+002, 2.7945544E+002, 2.2837972E+002, 2.2770406E+002, 2.5393586E+002, 2.4355036E+002
 1.8300363E+003, 1.5610288E+002, 2.3222808E+002, 2.7747602E+002, 2.2608530E+002, 2.2541138E+002, 2.5281412E+002, 2.4141317E+002
 1.8400120E+003, 1.5432554E+002, 2.2994380E+002, 2.7551573E+002, 2.2382346E+002, 2.2315126E+002, 2.5170466E+002, 2.3931398E+002
 1.8500315E+003, 1.5254795E+002, 2.2770245E+002, 2.7358074E+002, 2.2160581E+002, 2.2093541E+002, 2.5061513E+002, 2.3725407E+002
 1.8600072E+003, 1.5076998E+002, 2.2549353E+002, 2.7166076E+002, 2.1942079E+002, 2.1875228E+002, 2.4953515E+002, 2.3518300E+002
 1.8700267E+003, 1.4899270E+002, 2.2331979E+002, 2.6975956E+002, 2.1727190E+002, 2.1660537E+002, 2.4847088E+002, 2.3316989E+002
 1.8800024E+003, 1.4721567E+002, 2.2117038E+002, 2.6786779E+002, 2.1514682E+002, 2.1448231E+002, 2.4741008E+002, 2.3111991E+002
 1.8900219E+003, 1.4543808E+002, 2.1903577E+002, 2.6597912E+002, 2.1303559E+002, 2.1237310E+002, 2.4634962E+002, 2.2906278E+002
 1.9000413E+003, 1.4365751E+002, 2.1691307E+002, 2.6409115E+002, 2.1093643E+002, 2.1027598E+002, 2.4529128E+002, 2.2704986E+002
 1.9100171E+003, 1.4187984E+002, 2.1482365E+002, 2.6222506E+002, 2.0887085E+002, 2.0821241E+002, 2.4424925E+002, 2.2506167E+002
 1.9200365E+003, 1.4010288E+002, 2.1276092E+002, 2.6037373E+002, 2.0683249E+002, 2.0617610E+002, 2.4321826E+002, 2.2312500E+002
 1.9300122E+003, 1.3832554E+002, 2.1074171E+002, 2.5855402E+002, 2.0483892E+002, 2.0418457E+002, 2.4221256E+002, 2.2124837E+002
 1.9400317E+003, 1.3654764E+002, 2.0875854E+002, 2.5676189E+002, 2.0288090E+002, 2.0222854E+002, 2.4122481E+002, 2.1938892E+002
 1.9500074E+003, 1.3476998E+002, 2.0679944E+002, 2.5498466E+002, 2.0094618E+002, 2.0029577E+002, 2.4024352E+002, 2.1753678E+002
 1.9600269E+003, 1.3299270E+002, 2.0486254E+002, 2.5321868E+002, 1.9903340E+002, 1.9838497E+002, 2.3926652E+002, 2.1567415E+002
 1.9700026E+003, 1.3121567E+002, 2.0294735E+002, 2.5146154E+002, 1.9714290E+002, 1.9649651E+002, 2.3829440E+002, 2.1383644E+002
 1.9800221E+003, 1.2943808E+002, 2.0104170E+002, 2.4970512E+002, 1.9526072E+002, 1.9461637E+002, 2.3731805E+002, 2.1197217E+002
 1.9900416E+003, 1.2765751E+002, 1.9914967E+002, 2.4795225E+002, 1.9339279E+002, 1.9275050E+002, 2.3634473E+002, 2.1013475E+002
 2.0000000E+003, 1.2588137E+002, 1.9728354E+002, 2.4621408E+002, 1.9155135E+002, 1.9091118E+002, 2.3538093E+002, 2.0835070E+002
