s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 7.2001221E+002, 1.9917395E+002,-1.2087307E+002,-1.7362016E+000,-8.5742156E+001,-5.4359537E-001, 4.8762532E-002, 0.0000000E+000, 0.0000000E+000,-9.7277055E+000,-9.6723143E+000, 4.9231250E-003, 4.9231250E-003,-5.1558327E+002
 7.3501099E+002, 1.8998112E+002,-1.1700913E+002,-1.0967699E+000,-8.3601941E+001,-5.2038470E-001,-1.0659056E-001, 0.0000000E+000, 0.0000000E+000,-1.2332568E+001,-1.2353701E+001, 4.8199377E-003, 4.8199377E-003,-5.2246583E+002
 7.5000427E+002, 1.9125670E+002,-1.1536678E+002,-1.5619135E+000,-8.1663900E+001,-5.0518081E-001, 2.4337295E-002, 0.0000000E+000, 0.0000000E+000,-7.9385066E+000,-7.8167443E+000, 4.7168385E-003, 4.7168385E-003,-5.2004601E+002
 7.6500494E+002, 1.8840168E+002,-1.1310832E+002,-1.6083072E+000,-8.0185890E+001,-5.0334163E-001, 3.0620293E-001, 0.0000000E+000, 0.0000000E+000,-6.7539427E+000,-6.6979772E+000, 4.6137208E-003, 4.6137208E-003,-5.0076140E+002
 7.8000159E+002, 1.8372552E+002,-1.1032183E+002,-1.5642259E+000,-7.8649315E+001,-4.8811404E-001,-1.6276354E-001, 0.0000000E+000, 0.0000000E+000,-7.4453760E+000,-7.4607258E+000, 4.5055115E-003, 4.5055115E-003,-5.1099457E+002
 7.9500293E+002, 1.7253850E+002,-1.0779604E+002,-8.2228985E-001,-7.7195041E+001,-4.9667659E-001,-8.5646391E-002, 0.0000000E+000, 0.0000000E+000,-1.3927359E+001,-1.3857200E+001, 4.3502268E-003, 4.3502268E-003,-5.1642784E+002
 8.1000116E+002, 1.6880912E+002,-1.0460730E+002,-7.6727966E-001,-7.4405362E+001,-4.7395528E-001, 4.2304686E-001, 0.0000000E+000, 0.0000000E+000,-1.1116788E+001,-1.1021732E+001, 4.1835615E-003, 4.1835615E-003,-4.8938904E+002
 8.2500476E+002, 1.6066157E+002,-1.0094043E+002,-5.8381938E-001,-7.3396053E+001,-4.6386462E-001,-3.6548296E-001, 0.0000000E+000, 0.0000000E+000,-1.5080306E+001,-1.5088082E+001, 4.0168747E-003, 4.0168747E-003,-5.1187443E+002
 8.4000537E+002, 1.5506759E+002,-9.7330785E+001,-7.2001846E-001,-7.1373870E+001,-4.4431037E-001,-2.9901168E-002, 0.0000000E+000, 0.0000000E+000,-1.4850102E+001,-1.4831295E+001, 3.8501734E-003, 3.8501734E-003,-5.1449676E+002
 8.5500012E+002, 1.5093584E+002,-9.4957166E+001,-3.4318438E-001,-6.8747829E+001,-4.4354755E-001,-1.5727171E-001, 0.0000000E+000, 0.0000000E+000,-1.3791593E+001,-1.3713161E+001, 3.6835135E-003, 3.6835135E-003,-5.2354129E+002
 8.7000055E+002, 1.3480384E+002,-8.9628550E+001, 1.7247388E-001,-6.5346951E+001,-4.0504330E-001, 5.7101984E-002, 0.0000000E+000, 0.0000000E+000,-2.0391284E+001,-2.0347126E+001, 3.3374408E-003, 3.3374408E-003,-5.1945971E+002
 8.8500946E+002, 1.1615783E+002,-8.3461182E+001, 2.1305422E-001,-6.1840427E+001,-3.6135114E-001,-5.7572290E-002, 0.0000000E+000, 0.0000000E+000,-2.9314938E+001,-2.9349648E+001, 2.8122709E-003, 2.8122709E-003,-5.2302505E+002
 9.0001910E+002, 9.0276046E+001,-7.4952812E+001, 2.8350163E-001,-5.5862421E+001,-2.9563228E-001,-1.7383516E-002, 0.0000000E+000, 0.0000000E+000,-4.0667290E+001,-4.0568702E+001, 2.2391393E-003, 2.2391393E-003,-5.2377920E+002
 9.1502563E+002, 4.6154195E+001,-6.2340731E+001, 1.2517557E-001,-4.8373666E+001,-1.5571133E-001, 6.0006746E-002, 0.0000000E+000, 0.0000000E+000,-6.4487968E+001,-6.4530732E+001, 1.0634325E-003, 1.0634325E-003,-5.2321141E+002
 9.3001727E+002, 2.0955852E+001,-4.8970477E+001, 1.5927397E-001,-3.9738761E+001,-7.8779539E-002,-1.8600612E-001, 0.0000000E+000, 0.0000000E+000,-6.7787543E+001,-6.7858898E+001, 5.1365757E-004, 5.1365757E-004,-5.3388811E+002
 9.4501074E+002, 1.8427239E+001,-4.0909063E+001,-1.0473807E-001,-3.4025329E+001,-7.0314832E-002,-5.1979304E-002, 0.0000000E+000, 0.0000000E+000,-5.6695546E+001,-5.6734185E+001, 4.5646669E-004, 4.5646669E-004,-5.3513278E+002
