s,C,C,C,C,C,C,C,C,C
 1.3800563E+003, 1.9418697E+002, 2.8531039E+002, 2.9640642E+002, 2.9089563E+002, 2.9203253E+002, 2.9052476E+002, 2.9420641E+002, 2.3006846E+002, 2.9109430E+002
 1.3900427E+003, 1.9212570E+002, 2.8337190E+002, 2.9306806E+002, 2.8736907E+002, 2.8857117E+002, 2.8698362E+002, 2.9079931E+002, 2.2851140E+002, 2.8863502E+002
 1.4000045E+003, 1.9006716E+002, 2.8149960E+002, 2.8983672E+002, 2.8397185E+002, 2.8523642E+002, 2.8357296E+002, 2.8750910E+002, 2.2702590E+002, 2.8627928E+002
 1.4100103E+003, 1.8800620E+002, 2.7965364E+002, 2.8666279E+002, 2.8063679E+002, 2.8195921E+002, 2.8022531E+002, 2.8427693E+002, 2.2557619E+002, 2.8393073E+002
 1.4200108E+003, 1.8594190E+002, 2.7782993E+002, 2.8354007E+002, 2.7736294E+002, 2.7874034E+002, 2.7693961E+002, 2.8109959E+002, 2.2416317E+002, 2.8161098E+002
 1.4300203E+003, 1.8387881E+002, 2.7603102E+002, 2.8047397E+002, 2.7415498E+002, 2.7558439E+002, 2.7372049E+002, 2.7798224E+002, 2.2278794E+002, 2.7931934E+002
 1.4400151E+003, 1.8181635E+002, 2.7426629E+002, 2.7747697E+002, 2.7102874E+002, 2.7250770E+002, 2.7058384E+002, 2.7493925E+002, 2.2145740E+002, 2.7707675E+002
 1.4500010E+003, 1.7975354E+002, 2.7250660E+002, 2.7451538E+002, 2.6793897E+002, 2.6946348E+002, 2.6748434E+002, 2.7193067E+002, 2.2014670E+002, 2.7481917E+002
 1.4600743E+003, 1.7768334E+002, 2.7075553E+002, 2.7158760E+002, 2.6489300E+002, 2.6646140E+002, 2.6442917E+002, 2.6896003E+002, 2.1886219E+002, 2.7258666E+002
 1.4700135E+003, 1.7562017E+002, 2.6904245E+002, 2.6873583E+002, 2.6193677E+002, 2.6354703E+002, 2.6146438E+002, 2.6607137E+002, 2.1762445E+002, 2.7041531E+002
 1.4800704E+003, 1.7355428E+002, 2.6734807E+002, 2.6593603E+002, 2.5903729E+002, 2.6068671E+002, 2.5855686E+002, 2.6323615E+002, 2.1641270E+002, 2.6825924E+002
 1.4900356E+003, 1.7148919E+002, 2.6564364E+002, 2.6315069E+002, 2.5615164E+002, 2.5783721E+002, 2.5566361E+002, 2.6041382E+002, 2.1520705E+002, 2.6607828E+002
 1.5000359E+003, 1.6943097E+002, 2.6395921E+002, 2.6041734E+002, 2.5332946E+002, 2.5504992E+002, 2.5283435E+002, 2.5764849E+002, 2.1403480E+002, 2.6394634E+002
 1.5100555E+003, 1.6736402E+002, 2.6229593E+002, 2.5773534E+002, 2.5056667E+002, 2.5232053E+002, 2.5006487E+002, 2.5493814E+002, 2.1288880E+002, 2.6184624E+002
 1.5200216E+003, 1.6530310E+002, 2.6063490E+002, 2.5508379E+002, 2.4783587E+002, 2.4962068E+002, 2.4732778E+002, 2.5225795E+002, 2.1175810E+002, 2.5974201E+002
 1.5300013E+003, 1.6324452E+002, 2.5897736E+002, 2.5246312E+002, 2.4513944E+002, 2.4695325E+002, 2.4462549E+002, 2.4960955E+002, 2.1064384E+002, 2.5764271E+002
 1.5400758E+003, 1.6117378E+002, 2.5731236E+002, 2.4985431E+002, 2.4245923E+002, 2.4430071E+002, 2.4193975E+002, 2.4697461E+002, 2.0953815E+002, 2.5554340E+002
 1.5500025E+003, 1.5911151E+002, 2.5566635E+002, 2.4729328E+002, 2.3983409E+002, 2.4170223E+002, 2.3930946E+002, 2.4439068E+002, 2.0845798E+002, 2.5348060E+002
 1.5600155E+003, 1.5705364E+002, 2.5404385E+002, 2.4478553E+002, 2.3726984E+002, 2.3916336E+002, 2.3674042E+002, 2.4186338E+002, 2.0740687E+002, 2.5145914E+002
 1.5700742E+003, 1.5498267E+002, 2.5241960E+002, 2.4229602E+002, 2.3472572E+002, 2.3664293E+002, 2.3419184E+002, 2.3935474E+002, 2.0636341E+002, 2.4943195E+002
 1.5800165E+003, 1.5291939E+002, 2.5080231E+002, 2.3983956E+002, 2.3221759E+002, 2.3415702E+002, 2.3167954E+002, 2.3687997E+002, 2.0533521E+002, 2.4741804E+002
 1.5900506E+003, 1.5085847E+002, 2.4920046E+002, 2.3742309E+002, 2.2975496E+002, 2.3171595E+002, 2.2921296E+002, 2.3444771E+002, 2.0432700E+002, 2.4543528E+002
 1.6000623E+003, 1.4878953E+002, 2.4761770E+002, 2.3504807E+002, 2.2734209E+002, 2.2932439E+002, 2.2679641E+002, 2.3206093E+002, 2.0334380E+002, 2.4349432E+002
 1.6100556E+003, 1.4672836E+002, 2.4606406E+002, 2.3273010E+002, 2.2499160E+002, 2.2699417E+002, 2.2444247E+002, 2.2973364E+002, 2.0238706E+002, 2.4159339E+002
 1.6200689E+003, 1.4466297E+002, 2.4452783E+002, 2.3045216E+002, 2.2268366E+002, 2.2470599E+002, 2.2213121E+002, 2.2744753E+002, 2.0144659E+002, 2.3971826E+002
 1.6300170E+003, 1.4260241E+002, 2.4300201E+002, 2.2820810E+002, 2.2040982E+002, 2.2245067E+002, 2.1985424E+002, 2.2519498E+002, 2.0051729E+002, 2.3785068E+002
 1.6400004E+003, 1.4054731E+002, 2.4148420E+002, 2.2599418E+002, 2.1816910E+002, 2.2022752E+002, 2.1761067E+002, 2.2297363E+002, 1.9960172E+002, 2.3599979E+002
 1.6500358E+003, 1.3848029E+002, 2.3996876E+002, 2.2380040E+002, 2.1595115E+002, 2.1802642E+002, 2.1539002E+002, 2.2077348E+002, 1.9869464E+002, 2.3415634E+002
 1.6600166E+003, 1.3641496E+002, 2.3845964E+002, 2.2163282E+002, 2.1376118E+002, 2.1585257E+002, 2.1319751E+002, 2.1860017E+002, 1.9779737E+002, 2.3232381E+002
 1.6700613E+003, 1.3434830E+002, 2.3694966E+002, 2.1948251E+002, 2.1158906E+002, 2.1369557E+002, 2.1102299E+002, 2.1644404E+002, 1.9690475E+002, 2.3049127E+002
 1.6800085E+003, 1.3228660E+002, 2.3544509E+002, 2.1735479E+002, 2.0944064E+002, 2.1156183E+002, 2.0887224E+002, 2.1431092E+002, 1.9601917E+002, 2.2867258E+002
 1.6900578E+003, 1.3022361E+002, 2.3394034E+002, 2.1524302E+002, 2.0730863E+002, 2.0944375E+002, 2.0673802E+002, 2.1219374E+002, 1.9513761E+002, 2.2685497E+002
 1.7000594E+003, 1.2815594E+002, 2.3244091E+002, 2.1315268E+002, 2.0520312E+002, 2.0735190E+002, 2.0463049E+002, 2.1010032E+002, 1.9426950E+002, 2.2505793E+002
 1.7100452E+003, 1.2609155E+002, 2.3095264E+002, 2.1109216E+002, 2.0312808E+002, 2.0528973E+002, 2.0255353E+002, 2.0803687E+002, 1.9341109E+002, 2.2327382E+002
 1.7200690E+003, 1.2402697E+002, 2.2944994E+002, 2.0903014E+002, 2.0104833E+002, 2.0322174E+002, 2.0047191E+002, 2.0596986E+002, 1.9254449E+002, 2.2146597E+002
 1.7300254E+003, 1.2196483E+002, 2.2794046E+002, 2.0697682E+002, 1.9897899E+002, 2.0116319E+002, 1.9840093E+002, 2.0391187E+002, 1.9168036E+002, 2.1965673E+002
 1.7400161E+003, 1.1990665E+002, 2.2644350E+002, 2.0495038E+002, 1.9694115E+002, 1.9913634E+002, 1.9636156E+002, 2.0188316E+002, 1.9083131E+002, 2.1788036E+002
 1.7500178E+003, 1.1784410E+002, 2.2495091E+002, 2.0294110E+002, 1.9492166E+002, 1.9712734E+002, 1.9434061E+002, 1.9987211E+002, 1.8998774E+002, 2.1611125E+002
 1.7600150E+003, 1.1578036E+002, 2.2347107E+002, 2.0095766E+002, 1.9293188E+002, 1.9514809E+002, 1.9234947E+002, 1.9788887E+002, 1.8915832E+002, 2.1437193E+002
 1.7700132E+003, 1.1371935E+002, 2.2202454E+002, 1.9902127E+002, 1.9099480E+002, 1.9322220E+002, 1.9041106E+002, 1.9595592E+002, 1.8835482E+002, 2.1268820E+002
 1.7800114E+003, 1.1165518E+002, 2.2059196E+002, 1.9711358E+002, 1.8908585E+002, 1.9132362E+002, 1.8850086E+002, 1.9405120E+002, 1.8755927E+002, 2.1101449E+002
 1.7900726E+003, 1.0958453E+002, 2.1915648E+002, 1.9521343E+002, 1.8718209E+002, 1.8942971E+002, 1.8659589E+002, 1.9215265E+002, 1.8676123E+002, 2.0933289E+002
 1.8000559E+003, 1.0751786E+002, 2.1771176E+002, 1.9331823E+002, 1.8528212E+002, 1.8753827E+002, 1.8469489E+002, 1.9025785E+002, 1.8595861E+002, 2.0763548E+002
 1.8100331E+003, 1.0545755E+002, 2.1627531E+002, 1.9144622E+002, 1.8340858E+002, 1.8567282E+002, 1.8282045E+002, 1.8838761E+002, 1.8516659E+002, 2.0595958E+002
 1.8200016E+003, 1.0340037E+002, 2.1485143E+002, 1.8959945E+002, 1.8156341E+002, 1.8383558E+002, 1.8097444E+002, 1.8654419E+002, 1.8438666E+002, 2.0430846E+002
 1.8300247E+003, 1.0133559E+002, 2.1344004E+002, 1.8777538E+002, 1.7974336E+002, 1.8202358E+002, 1.7915357E+002, 1.8472484E+002, 1.8361766E+002, 2.0268037E+002
 1.8400029E+003, 9.9272951E+001, 2.1203152E+002, 1.8596551E+002, 1.7793580E+002, 1.8022333E+002, 1.7734527E+002, 1.8291865E+002, 1.8284829E+002, 2.0104868E+002
 1.8500196E+003, 9.7211303E+001, 2.1061636E+002, 1.8415801E+002, 1.7612842E+002, 1.7842278E+002, 1.7553713E+002, 1.8111351E+002, 1.8207389E+002, 1.9940822E+002
 1.8600422E+003, 9.5144452E+001, 2.0919281E+002, 1.8234990E+002, 1.7431960E+002, 1.7662048E+002, 1.7372755E+002, 1.7930714E+002, 1.8129456E+002, 1.9775866E+002
 1.8700517E+003, 9.3074618E+001, 2.0777221E+002, 1.8055589E+002, 1.7252804E+002, 1.7483510E+002, 1.7193540E+002, 1.7751623E+002, 1.8052173E+002, 1.9612341E+002
 1.8800561E+003, 9.1010752E+001, 2.0635965E+002, 1.7878028E+002, 1.7075641E+002, 1.7306940E+002, 1.7016329E+002, 1.7574442E+002, 1.7975566E+002, 1.9450260E+002
 1.8900685E+003, 9.0000000E+001, 2.0495552E+002, 1.7702255E+002, 1.6900469E+002, 1.7132349E+002, 1.6841116E+002, 1.7399147E+002, 1.7899764E+002, 1.9289985E+002
 1.9000968E+003, 9.0000000E+001, 2.0356494E+002, 1.7528544E+002, 1.6727454E+002, 1.6959920E+002, 1.6668062E+002, 1.7225973E+002, 1.7824990E+002, 1.9131794E+002
 1.9100231E+003, 9.0000000E+001, 2.0220365E+002, 1.7358567E+002, 1.6558523E+002, 1.6791589E+002, 1.6499098E+002, 1.7056716E+002, 1.7752647E+002, 1.8978343E+002
 1.9200130E+003, 9.0000000E+001, 2.0087845E+002, 1.7193332E+002, 1.6394776E+002, 1.6628371E+002, 1.6335340E+002, 1.6892405E+002, 1.7683069E+002, 1.8829635E+002
 1.9300253E+003, 9.0000000E+001, 1.9956482E+002, 1.7030238E+002, 1.6233245E+002, 1.6467215E+002, 1.6173823E+002, 1.6730208E+002, 1.7614485E+002, 1.8682100E+002
 1.9400507E+003, 9.0000000E+001, 1.9828754E+002, 1.6871765E+002, 1.6076966E+002, 1.6311281E+002, 1.6017579E+002, 1.6572934E+002, 1.7549076E+002, 1.8540368E+002
 1.9500277E+003, 9.0000000E+001, 1.9703647E+002, 1.6717336E+002, 1.5924780E+002, 1.6159267E+002, 1.5865453E+002, 1.6419666E+002, 1.7485228E+002, 1.8400824E+002
 1.9600639E+003, 9.0000000E+001, 1.9578542E+002, 1.6564152E+002, 1.5773577E+002, 1.6008029E+002, 1.5714335E+002, 1.6267422E+002, 1.7421101E+002, 1.8260103E+002
 1.9700511E+003, 9.0000000E+001, 1.9454400E+002, 1.6413127E+002, 1.5624861E+002, 1.5859174E+002, 1.5565732E+002, 1.6117440E+002, 1.7358127E+002, 1.8121511E+002
 1.9800130E+003, 9.0000000E+001, 1.9333875E+002, 1.6266903E+002, 1.5481419E+002, 1.5715564E+002, 1.5422424E+002, 1.5972484E+002, 1.7297940E+002, 1.7988207E+002
 1.9900406E+003, 9.0000000E+001, 1.9214083E+002, 1.6122469E+002, 1.5339559E+002, 1.5573393E+002, 1.5280713E+002, 1.5829160E+002, 1.7237921E+002, 1.7854703E+002
 2.0000000E+003, 9.0000000E+001, 1.9094367E+002, 1.5979165E+002, 1.5198757E+002, 1.5432163E+002, 1.5140080E+002, 1.5686870E+002, 1.7177901E+002, 1.7721077E+002
