s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 5.700E+03, 3.224E+01, 3.289E+01, 3.453E+01, 3.636E+01, 3.892E+01, 4.088E+01, 4.207E+01, 1.947E-01,-1.947E-01
 5.760E+03, 3.222E+01, 3.287E+01, 3.447E+01, 3.627E+01, 3.876E+01, 4.067E+01, 4.182E+01, 1.948E-01,-1.948E-01
 5.820E+03, 3.219E+01, 3.284E+01, 3.441E+01, 3.617E+01, 3.860E+01, 4.046E+01, 4.159E+01, 1.947E-01,-1.947E-01
 5.880E+03, 3.217E+01, 3.281E+01, 3.435E+01, 3.607E+01, 3.845E+01, 4.026E+01, 4.136E+01, 1.939E-01,-1.939E-01
 5.940E+03, 3.213E+01, 3.277E+01, 3.429E+01, 3.597E+01, 3.829E+01, 4.007E+01, 4.114E+01, 1.936E-01,-1.936E-01
 6.000E+03, 3.210E+01, 3.273E+01, 3.422E+01, 3.587E+01, 3.814E+01, 3.988E+01, 4.092E+01, 1.933E-01,-1.933E-01
 6.060E+03, 3.206E+01, 3.268E+01, 3.415E+01, 3.577E+01, 3.800E+01, 3.969E+01, 4.071E+01, 1.930E-01,-1.930E-01
 6.120E+03, 3.202E+01, 3.263E+01, 3.408E+01, 3.567E+01, 3.785E+01, 3.951E+01, 4.050E+01, 1.929E-01,-1.929E-01
 6.180E+03, 3.198E+01, 3.259E+01, 3.401E+01, 3.557E+01, 3.771E+01, 3.933E+01, 4.030E+01, 1.922E-01,-1.922E-01
 6.240E+03, 3.192E+01, 3.253E+01, 3.394E+01, 3.547E+01, 3.757E+01, 3.915E+01, 4.010E+01, 1.920E-01,-1.920E-01
 6.300E+03, 3.187E+01, 3.248E+01, 3.387E+01, 3.537E+01, 3.743E+01, 3.898E+01, 3.991E+01, 1.913E-01,-1.913E-01
 6.360E+03, 3.181E+01, 3.242E+01, 3.380E+01, 3.527E+01, 3.729E+01, 3.881E+01, 3.973E+01, 1.912E-01,-1.912E-01
 6.420E+03, 3.176E+01, 3.236E+01, 3.372E+01, 3.518E+01, 3.715E+01, 3.865E+01, 3.954E+01, 1.907E-01,-1.907E-01
 6.480E+03, 3.169E+01, 3.230E+01, 3.364E+01, 3.508E+01, 3.702E+01, 3.849E+01, 3.936E+01, 1.906E-01,-1.906E-01
 6.540E+03, 3.163E+01, 3.223E+01, 3.356E+01, 3.498E+01, 3.689E+01, 3.833E+01, 3.919E+01, 1.902E-01,-1.902E-01
 6.600E+03, 3.157E+01, 3.216E+01, 3.348E+01, 3.488E+01, 3.676E+01, 3.817E+01, 3.902E+01, 1.898E-01,-1.898E-01
 6.660E+03, 3.150E+01, 3.210E+01, 3.340E+01, 3.478E+01, 3.663E+01, 3.802E+01, 3.885E+01, 1.897E-01,-1.897E-01
 6.720E+03, 3.144E+01, 3.203E+01, 3.332E+01, 3.468E+01, 3.650E+01, 3.787E+01, 3.869E+01, 1.890E-01,-1.890E-01
 6.780E+03, 3.137E+01, 3.195E+01, 3.324E+01, 3.458E+01, 3.638E+01, 3.772E+01, 3.853E+01, 1.888E-01,-1.888E-01
 6.840E+03, 3.130E+01, 3.188E+01, 3.315E+01, 3.448E+01, 3.625E+01, 3.758E+01, 3.837E+01, 1.885E-01,-1.885E-01
 6.900E+03, 3.122E+01, 3.181E+01, 3.307E+01, 3.438E+01, 3.613E+01, 3.743E+01, 3.821E+01, 1.883E-01,-1.883E-01
 6.960E+03, 3.115E+01, 3.173E+01, 3.298E+01, 3.428E+01, 3.601E+01, 3.729E+01, 3.806E+01, 1.878E-01,-1.878E-01
 7.020E+03, 3.108E+01, 3.166E+01, 3.290E+01, 3.418E+01, 3.588E+01, 3.715E+01, 3.791E+01, 1.874E-01,-1.874E-01
 7.080E+03, 3.101E+01, 3.158E+01, 3.281E+01, 3.408E+01, 3.576E+01, 3.702E+01, 3.776E+01, 1.872E-01,-1.872E-01
 7.140E+03, 3.093E+01, 3.151E+01, 3.272E+01, 3.398E+01, 3.565E+01, 3.688E+01, 3.762E+01, 1.869E-01,-1.869E-01
 7.200E+03, 3.085E+01, 3.142E+01, 3.263E+01, 3.388E+01, 3.553E+01, 3.675E+01, 3.747E+01, 1.868E-01,-1.868E-01
 7.200E+03, 3.082E+01, 3.139E+01, 3.259E+01, 3.383E+01, 3.546E+01, 3.668E+01, 3.740E+01, 1.869E-01,-1.869E-01
