s,kg/kg,mol/mol,kW
Time,"Y_CO2","X_CO2","Flame detector"
 6.3031245E+000, 1.6679548E-001, 1.1569850E-001, 1.5574641E-005
 6.3360605E+000, 1.6701524E-001, 1.1586031E-001, 1.5566968E-005
 6.3691144E+000, 1.6723525E-001, 1.1602228E-001, 1.5489739E-005
 6.4020914E+000, 1.6745549E-001, 1.1618447E-001, 1.5413474E-005
 6.4350827E+000, 1.6767456E-001, 1.1634600E-001, 1.5435917E-005
 6.4680022E+000, 1.6789449E-001, 1.1650792E-001, 1.5445882E-005
 6.5010638E+000, 1.6811453E-001, 1.1667002E-001, 1.5425892E-005
 6.5340172E+000, 1.6833433E-001, 1.1683204E-001, 1.5417959E-005
 6.5670705E+000, 1.6855394E-001, 1.1699398E-001, 1.5419470E-005
 6.6000796E+000, 1.6877411E-001, 1.1715625E-001, 1.5424996E-005
 6.6330448E+000, 1.6899399E-001, 1.1731835E-001, 1.5422297E-005
 6.6661231E+000, 1.6921397E-001, 1.1748058E-001, 1.5413904E-005
 6.6990334E+000, 1.6943370E-001, 1.1764266E-001, 1.5414918E-005
 6.7320401E+000, 1.6965325E-001, 1.1780463E-001, 1.5405684E-005
 6.7650208E+000, 1.6987308E-001, 1.1796681E-001, 1.5409414E-005
 6.7981067E+000, 1.7009332E-001, 1.1812930E-001, 1.5404538E-005
 6.8311180E+000, 1.7031334E-001, 1.1829174E-001, 1.5389231E-005
 6.8640767E+000, 1.7053304E-001, 1.1845392E-001, 1.5390962E-005
 6.8970964E+000, 1.7075284E-001, 1.1861618E-001, 1.5388336E-005
 6.9300806E+000, 1.7097283E-001, 1.1877859E-001, 1.5382138E-005
 6.9631174E+000, 1.7119261E-001, 1.1894093E-001, 1.5372314E-005
 6.9960094E+000, 1.7141216E-001, 1.1910311E-001, 1.5366167E-005
 7.0290463E+000, 1.7163166E-001, 1.1926528E-001, 1.5366443E-005
 7.0620831E+000, 1.7185168E-001, 1.1942787E-001, 1.5368564E-005
 7.0951200E+000, 1.7207194E-001, 1.1959059E-001, 1.5364893E-005
 7.1280119E+000, 1.7229155E-001, 1.1975290E-001, 1.5356252E-005
 7.1610778E+000, 1.7251104E-001, 1.1991521E-001, 1.5353713E-005
 7.1940433E+000, 1.7273102E-001, 1.2007784E-001, 1.5351102E-005
 7.2270226E+000, 1.7295069E-001, 1.2024028E-001, 1.5344383E-005
 7.2601163E+000, 1.7317086E-001, 1.2040308E-001, 1.5344957E-005
 7.2930626E+000, 1.7339071E-001, 1.2056575E-001, 1.5339691E-005
 7.3260663E+000, 1.7361029E-001, 1.2072822E-001, 1.5323934E-005
 7.3590700E+000, 1.7383046E-001, 1.2089106E-001, 1.5218272E-005
 7.3920738E+000, 1.7405011E-001, 1.2105368E-001, 1.5211878E-005
 7.4250775E+000, 1.7427002E-001, 1.2121643E-001, 1.5205407E-005
 7.4581228E+000, 1.7448983E-001, 1.2137921E-001, 1.5204963E-005
 7.4910786E+000, 1.7470975E-001, 1.2154202E-001, 1.5200516E-005
 7.5240061E+000, 1.7492921E-001, 1.2170455E-001, 1.5195337E-005
 7.5571057E+000, 1.7514919E-001, 1.2186745E-001, 1.5193143E-005
 7.5900080E+000, 1.7536892E-001, 1.2203027E-001, 1.5187870E-005
 7.6231188E+000, 1.7558885E-001, 1.2219319E-001, 1.5180375E-005
 7.6560095E+000, 1.7580864E-001, 1.2235606E-001, 1.5184247E-005
 7.6891150E+000, 1.7602834E-001, 1.2251895E-001, 1.5175719E-005
 7.7221205E+000, 1.7624876E-001, 1.2268224E-001, 1.5173374E-005
 7.7550669E+000, 1.7646853E-001, 1.2284515E-001, 1.5166296E-005
 7.7881082E+000, 1.7668815E-001, 1.2300809E-001, 1.5151562E-005
 7.8211075E+000, 1.7690804E-001, 1.2317117E-001, 1.5144649E-005
 7.8541069E+000, 1.7712785E-001, 1.2333420E-001, 1.5144048E-005
 7.8871063E+000, 1.7734769E-001, 1.2349727E-001, 1.5149255E-005
 7.9201057E+000, 1.7756777E-001, 1.2366051E-001, 1.5141535E-005
 7.9530603E+000, 1.7778737E-001, 1.2382349E-001, 1.5135156E-005
 7.9860819E+000, 1.7800696E-001, 1.2398653E-001, 1.5129929E-005
 8.0190309E+000, 1.7822674E-001, 1.2414967E-001, 1.5128158E-005
 8.0521071E+000, 1.7844669E-001, 1.2431296E-001, 1.5131328E-005
 8.0850532E+000, 1.7866660E-001, 1.2447628E-001, 1.5123104E-005
 8.1180614E+000, 1.7888626E-001, 1.2463943E-001, 1.5113948E-005
 8.1510295E+000, 1.7910608E-001, 1.2480271E-001, 1.5105942E-005
 8.1841447E+000, 1.7932596E-001, 1.2496614E-001, 1.5104009E-005
 8.2171128E+000, 1.7954608E-001, 1.2512971E-001, 1.5102074E-005
 8.2500808E+000, 1.7976568E-001, 1.2529293E-001, 1.5101888E-005
 8.2830489E+000, 1.7998525E-001, 1.2545616E-001, 1.5100124E-005
 8.3160169E+000, 1.8020490E-001, 1.2561946E-001, 1.5096265E-005
 8.3491321E+000, 1.8042494E-001, 1.2578310E-001, 1.5093603E-005
 8.3821002E+000, 1.8064506E-001, 1.2594681E-001, 1.5090778E-005
 8.4150682E+000, 1.8086467E-001, 1.2611018E-001, 1.5086489E-005
 8.4480363E+000, 1.8108435E-001, 1.2627360E-001, 1.5084518E-005
 8.4810043E+000, 1.8130391E-001, 1.2643700E-001, 1.5076518E-005
 8.5141196E+000, 1.8152527E-001, 1.2660150E-001, 1.4834484E-005
 8.5470876E+000, 1.8174414E-001, 1.2676475E-001, 1.4869648E-005
 8.5800557E+000, 1.8196300E-001, 1.2692781E-001, 1.4940701E-005
 8.6130237E+000, 1.8218379E-001, 1.2709190E-001, 1.4953443E-005
 8.6461389E+000, 1.8240389E-001, 1.2725583E-001, 1.4925916E-005
 8.6791070E+000, 1.8262356E-001, 1.2741955E-001, 1.4914055E-005
 8.7120750E+000, 1.8284309E-001, 1.2758311E-001, 1.4912861E-005
 8.7450431E+000, 1.8306255E-001, 1.2774664E-001, 1.4920680E-005
 8.7781401E+000, 1.8328261E-001, 1.2791060E-001, 1.4934758E-005
 8.8111249E+000, 1.8350300E-001, 1.2807480E-001, 1.4916836E-005
 8.8440136E+000, 1.8372213E-001, 1.2823821E-001, 1.4908299E-005
 8.8770244E+000, 1.8394148E-001, 1.2840177E-001, 1.4915624E-005
 8.9100754E+000, 1.8416160E-001, 1.2856588E-001, 1.4913124E-005
 8.9430119E+000, 1.8438144E-001, 1.2872981E-001, 1.4918289E-005
 8.9761117E+000, 1.8460147E-001, 1.2889394E-001, 1.4903608E-005
 9.0090975E+000, 1.8482144E-001, 1.2905809E-001, 1.4891408E-005
 9.0420399E+000, 1.8504259E-001, 1.2922279E-001, 1.4731413E-005
 9.0751327E+000, 1.8526071E-001, 1.2938605E-001, 1.4585055E-005
 9.1080613E+000, 1.8548050E-001, 1.2955017E-001, 1.4648809E-005
 9.1410788E+000, 1.8570028E-001, 1.2971420E-001, 1.4493378E-005
 9.1741097E+000, 1.8591806E-001, 1.2987736E-001, 1.4652300E-005
 9.2070121E+000, 1.8613273E-001, 1.3003868E-001, 1.4748904E-005
 9.2400630E+000, 1.8635735E-001, 1.3020523E-001, 1.4469084E-005
 9.2731024E+000, 1.8657393E-001, 1.3036803E-001, 1.4566009E-005
 9.3060020E+000, 1.8678856E-001, 1.3052954E-001, 1.4786493E-005
 9.3391434E+000, 1.8700927E-001, 1.3069413E-001, 1.4904805E-005
 9.3721161E+000, 1.8723171E-001, 1.3085989E-001, 1.4837959E-005
 9.4050417E+000, 1.8744977E-001, 1.3102340E-001, 1.4669265E-005
 9.4381243E+000, 1.8766842E-001, 1.3118728E-001, 1.4739231E-005
 9.4710630E+000, 1.8788944E-001, 1.3135233E-001, 1.4587447E-005
 9.5040018E+000, 1.8810768E-001, 1.3151595E-001, 1.4483005E-005
 9.5370841E+000, 1.8832662E-001, 1.3168005E-001, 1.4488417E-005
 9.5700032E+000, 1.8854490E-001, 1.3184426E-001, 1.4272739E-005
 9.6030226E+000, 1.8876080E-001, 1.3200818E-001, 1.4348030E-005
 9.6360668E+000, 1.8897117E-001, 1.3216993E-001, 1.4342987E-005
 9.6690181E+000, 1.8917292E-001, 1.3232745E-001, 1.4555211E-005
 9.7020996E+000, 1.8937612E-001, 1.3248526E-001, 1.4528703E-005
 9.7351055E+000, 1.8958667E-001, 1.3264608E-001, 1.4531620E-005
 9.7680457E+000, 1.8979738E-001, 1.3280697E-001, 1.4631471E-005
 9.8010552E+000, 1.9001746E-001, 1.3297171E-001, 1.4336308E-005
 9.8340054E+000, 1.9021245E-001, 1.3312673E-001, 1.4757744E-005
 9.8670080E+000, 1.9038040E-001, 1.3327006E-001, 1.4672039E-005
 9.9000437E+000, 1.9060726E-001, 1.3343635E-001, 1.4434972E-005
 9.9330785E+000, 1.9081404E-001, 1.3359558E-001, 1.4852851E-005
 9.9661133E+000, 1.9103170E-001, 1.3375878E-001, 1.4897995E-005
 9.9990931E+000, 1.9126474E-001, 1.3392833E-001, 1.4906035E-005
 1.0032113E+001, 1.9148311E-001, 1.3409284E-001, 1.4772954E-005
 1.0065061E+001, 1.9167635E-001, 1.3424727E-001, 1.4899695E-005
 1.0098119E+001, 1.9190092E-001, 1.3441358E-001, 1.4780922E-005
 1.0131001E+001, 1.9211133E-001, 1.3457486E-001, 1.4606992E-005
 1.0164017E+001, 1.9230670E-001, 1.3473015E-001, 1.4535483E-005
 1.0197033E+001, 1.9251761E-001, 1.3489242E-001, 1.4534637E-005
 1.0230048E+001, 1.9270370E-001, 1.3504573E-001, 1.4680513E-005
 1.0263064E+001, 1.9288448E-001, 1.3519479E-001, 1.4792983E-005
 1.0296111E+001, 1.9311456E-001, 1.3536171E-001, 1.4846410E-005
 1.0329122E+001, 1.9330268E-001, 1.3551383E-001, 1.5258088E-005
 1.0362109E+001, 1.9352041E-001, 1.3567669E-001, 1.5427688E-005
 1.0395049E+001, 1.9373810E-001, 1.3584038E-001, 1.5383048E-005
 1.0428066E+001, 1.9393699E-001, 1.3599733E-001, 1.5416193E-005
 1.0461069E+001, 1.9414153E-001, 1.3615638E-001, 1.5466585E-005
 1.0494069E+001, 1.9436675E-001, 1.3632337E-001, 1.5468057E-005
 1.0527113E+001, 1.9456279E-001, 1.3647983E-001, 1.5579619E-005
 1.0560087E+001, 1.9479472E-001, 1.3664925E-001, 1.5522557E-005
 1.0593095E+001, 1.9501604E-001, 1.3681543E-001, 1.5438985E-005
 1.0626079E+001, 1.9521447E-001, 1.3697286E-001, 1.5584359E-005
 1.0659005E+001, 1.9544018E-001, 1.3714004E-001, 1.5466586E-005
 1.0692026E+001, 1.9565937E-001, 1.3730525E-001, 1.5385858E-005
 1.0725139E+001, 1.9586733E-001, 1.3746646E-001, 1.5477094E-005
 1.0758086E+001, 1.9609387E-001, 1.3763433E-001, 1.5410472E-005
 1.0791108E+001, 1.9630974E-001, 1.3779845E-001, 1.5353354E-005
 1.0824071E+001, 1.9652557E-001, 1.3796243E-001, 1.5325697E-005
 1.0857011E+001, 1.9674094E-001, 1.3812621E-001, 1.5376502E-005
 1.0890043E+001, 1.9694705E-001, 1.3828655E-001, 1.5504333E-005
 1.0923144E+001, 1.9717240E-001, 1.3845409E-001, 1.5481637E-005
 1.0956079E+001, 1.9738886E-001, 1.3861849E-001, 1.5456253E-005
 1.0989057E+001, 1.9759795E-001, 1.3877997E-001, 1.5502530E-005
 1.1022113E+001, 1.9782602E-001, 1.3894854E-001, 1.5418815E-005
 1.1055050E+001, 1.9804117E-001, 1.3911259E-001, 1.5366319E-005
 1.1088072E+001, 1.9825251E-001, 1.3927506E-001, 1.5452446E-005
 1.1121085E+001, 1.9848020E-001, 1.3944359E-001, 1.5457261E-005
 1.1154063E+001, 1.9869523E-001, 1.3960763E-001, 1.5406743E-005
 1.1187104E+001, 1.9890915E-001, 1.3977118E-001, 1.5460057E-005
 1.1220049E+001, 1.9913632E-001, 1.3993956E-001, 1.5336642E-005
 1.1253020E+001, 1.9934719E-001, 1.4010206E-001, 1.5441098E-005
 1.1286070E+001, 1.9956546E-001, 1.4026725E-001, 1.5430970E-005
 1.1319001E+001, 1.9979185E-001, 1.4043550E-001, 1.5301591E-005
 1.1352072E+001, 2.0000000E-001, 1.4059716E-001, 1.5420996E-005
