s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 3.480E+002, 2.862E+002, 7.077E+002, 1.375E-002, 2.040E-002, 8.546E+001
 3.500E+002, 2.779E+002, 7.167E+002, 1.371E-002, 2.040E-002, 8.961E+001
 3.520E+002, 2.826E+002, 7.184E+002, 1.386E-002, 2.040E-002, 8.935E+001
 3.540E+002, 2.773E+002, 7.185E+002, 1.400E-002, 2.040E-002, 8.655E+001
 3.560E+002, 2.756E+002, 7.127E+002, 1.404E-002, 2.040E-002, 8.333E+001
 3.580E+002, 2.714E+002, 7.124E+002, 1.385E-002, 2.040E-002, 8.366E+001
 3.600E+002, 2.730E+002, 7.134E+002, 1.360E-002, 2.040E-002, 8.550E+001
 3.620E+002, 2.698E+002, 7.124E+002, 1.342E-002, 2.040E-002, 8.289E+001
 3.640E+002, 2.647E+002, 7.098E+002, 1.326E-002, 2.040E-002, 8.176E+001
 3.660E+002, 2.642E+002, 7.116E+002, 1.302E-002, 2.040E-002, 8.423E+001
 3.680E+002, 2.602E+002, 7.122E+002, 1.283E-002, 2.040E-002, 8.331E+001
 3.700E+002, 2.599E+002, 7.122E+002, 1.269E-002, 2.040E-002, 8.332E+001
 3.720E+002, 2.547E+002, 7.157E+002, 1.256E-002, 2.040E-002, 8.576E+001
 3.740E+002, 2.515E+002, 7.143E+002, 1.246E-002, 2.040E-002, 8.240E+001
 3.760E+002, 2.499E+002, 7.116E+002, 1.236E-002, 2.040E-002, 8.212E+001
 3.780E+002, 2.467E+002, 7.136E+002, 1.215E-002, 2.040E-002, 8.363E+001
 3.800E+002, 2.428E+002, 7.172E+002, 1.195E-002, 2.040E-002, 8.509E+001
 3.820E+002, 2.388E+002, 7.235E+002, 1.185E-002, 2.040E-002, 8.920E+001
 3.840E+002, 2.318E+002, 7.208E+002, 1.185E-002, 2.040E-002, 8.416E+001
 3.860E+002, 2.319E+002, 7.177E+002, 1.178E-002, 2.040E-002, 8.305E+001
 3.880E+002, 2.226E+002, 7.201E+002, 1.154E-002, 2.040E-002, 8.544E+001
 3.900E+002, 2.161E+002, 7.199E+002, 1.128E-002, 2.040E-002, 8.388E+001
 3.920E+002, 2.069E+002, 7.191E+002, 1.105E-002, 2.040E-002, 8.437E+001
 3.940E+002, 1.968E+002, 7.261E+002, 1.077E-002, 2.040E-002, 8.839E+001
 3.960E+002, 1.804E+002, 7.215E+002, 1.056E-002, 2.040E-002, 8.269E+001
 3.980E+002, 1.713E+002, 7.209E+002, 1.027E-002, 2.040E-002, 8.480E+001
 4.000E+002, 1.635E+002, 7.242E+002, 9.844E-003, 2.040E-002, 8.641E+001
 4.020E+002, 1.570E+002, 7.249E+002, 9.427E-003, 2.040E-002, 8.601E+001
 4.040E+002, 1.495E+002, 7.268E+002, 8.953E-003, 2.040E-002, 8.635E+001
 4.060E+002, 1.433E+002, 7.239E+002, 8.377E-003, 2.040E-002, 8.353E+001
 4.080E+002, 1.387E+002, 7.245E+002, 7.605E-003, 2.040E-002, 8.482E+001
 4.100E+002, 1.344E+002, 7.250E+002, 6.584E-003, 2.040E-002, 8.402E+001
 4.120E+002, 1.313E+002, 7.270E+002, 5.260E-003, 2.040E-002, 8.553E+001
 4.140E+002, 1.274E+002, 7.247E+002, 3.516E-003, 2.040E-002, 8.236E+001
 4.160E+002, 1.234E+002, 7.231E+002, 1.515E-003, 2.040E-002, 8.111E+001
 4.180E+002, 1.196E+002, 7.196E+002, 2.495E-004, 2.040E-002, 7.927E+001
 4.200E+002, 1.168E+002, 7.223E+002, 8.797E-006, 2.040E-002, 8.083E+001
 4.220E+002, 1.138E+002, 7.219E+002, 5.074E-008, 2.040E-002, 7.771E+001
 4.240E+002, 1.106E+002, 7.213E+002, 4.124E-011, 2.040E-002, 7.853E+001
 4.260E+002, 1.071E+002, 7.258E+002, 3.780E-015, 2.040E-002, 7.988E+001
 4.280E+002, 1.033E+002, 7.189E+002, 0.000E+000, 2.040E-002, 7.248E+001
 4.300E+002, 9.957E+001, 7.172E+002, 0.000E+000, 2.040E-002, 7.510E+001
 4.320E+002, 9.633E+001, 7.159E+002, 0.000E+000, 2.040E-002, 7.191E+001
 4.340E+002, 9.354E+001, 7.140E+002, 0.000E+000, 2.040E-002, 7.244E+001
 4.360E+002, 9.096E+001, 7.141E+002, 0.000E+000, 2.040E-002, 7.152E+001
 4.380E+002, 8.855E+001, 7.118E+002, 0.000E+000, 2.040E-002, 7.132E+001
 4.400E+002, 8.626E+001, 7.049E+002, 0.000E+000, 2.040E-002, 6.532E+001
 4.420E+002, 8.421E+001, 6.960E+002, 0.000E+000, 2.040E-002, 6.410E+001
 4.440E+002, 8.288E+001, 6.979E+002, 0.000E+000, 2.040E-002, 6.561E+001
 4.460E+002, 8.145E+001, 6.938E+002, 0.000E+000, 2.040E-002, 6.376E+001
 4.480E+002, 8.035E+001, 6.973E+002, 0.000E+000, 2.040E-002, 6.706E+001
 4.500E+002, 7.897E+001, 6.927E+002, 0.000E+000, 2.040E-002, 6.339E+001
 4.520E+002, 7.781E+001, 6.941E+002, 0.000E+000, 2.040E-002, 6.576E+001
 4.540E+002, 7.610E+001, 6.905E+002, 0.000E+000, 2.040E-002, 6.269E+001
 4.560E+002, 7.460E+001, 6.911E+002, 0.000E+000, 2.040E-002, 6.521E+001
 4.580E+002, 7.291E+001, 6.911E+002, 0.000E+000, 2.040E-002, 6.420E+001
 4.600E+002, 7.106E+001, 6.917E+002, 0.000E+000, 2.040E-002, 6.534E+001
 4.620E+002, 6.924E+001, 6.928E+002, 0.000E+000, 2.040E-002, 6.585E+001
 4.640E+002, 6.755E+001, 6.905E+002, 0.000E+000, 2.040E-002, 6.299E+001
 4.660E+002, 6.605E+001, 6.879E+002, 0.000E+000, 2.040E-002, 6.463E+001
 4.680E+002, 6.508E+001, 6.902E+002, 0.000E+000, 2.040E-002, 6.463E+001
 4.700E+002, 6.429E+001, 6.910E+002, 0.000E+000, 2.040E-002, 6.484E+001
 4.720E+002, 6.365E+001, 6.871E+002, 0.000E+000, 2.040E-002, 6.339E+001
 4.740E+002, 6.299E+001, 6.877E+002, 0.000E+000, 2.040E-002, 6.394E+001
 4.760E+002, 6.246E+001, 6.866E+002, 0.000E+000, 2.040E-002, 6.351E+001
 4.780E+002, 6.195E+001, 6.865E+002, 0.000E+000, 2.040E-002, 6.343E+001
 4.800E+002, 6.135E+001, 6.847E+002, 0.000E+000, 2.040E-002, 6.256E+001
 4.820E+002, 6.086E+001, 6.868E+002, 0.000E+000, 2.040E-002, 6.437E+001
 4.840E+002, 6.027E+001, 6.838E+002, 0.000E+000, 2.040E-002, 6.201E+001
 4.860E+002, 5.967E+001, 6.812E+002, 0.000E+000, 2.040E-002, 6.102E+001
 4.880E+002, 5.913E+001, 6.771E+002, 0.000E+000, 2.040E-002, 6.030E+001
 4.900E+002, 5.867E+001, 6.778E+002, 0.000E+000, 2.040E-002, 6.092E+001
 4.920E+002, 5.818E+001, 6.755E+002, 0.000E+000, 2.040E-002, 6.002E+001
 4.940E+002, 5.764E+001, 6.749E+002, 0.000E+000, 2.040E-002, 6.051E+001
 4.960E+002, 5.695E+001, 6.747E+002, 0.000E+000, 2.040E-002, 6.012E+001
 4.980E+002, 5.634E+001, 6.739E+002, 0.000E+000, 2.040E-002, 6.072E+001
 5.000E+002, 5.555E+001, 6.760E+002, 0.000E+000, 2.040E-002, 6.157E+001
 5.020E+002, 5.467E+001, 6.782E+002, 0.000E+000, 2.040E-002, 6.258E+001
 5.040E+002, 5.374E+001, 6.777E+002, 0.000E+000, 2.040E-002, 6.182E+001
