s,m,,
Time,xT,x,flag val
 1.8300211E+002, 7.0110529E+000, 7.0110529E+000, 1.0000000E+000
 1.8400223E+002, 7.0561490E+000, 7.0561490E+000, 1.0000000E+000
 1.8500527E+002, 7.1033765E+000, 7.1033765E+000, 1.0000000E+000
 1.8600367E+002, 7.1467100E+000, 7.1467100E+000, 1.0000000E+000
 1.8700511E+002, 7.1929059E+000, 7.1929059E+000, 1.0000000E+000
 1.8800171E+002, 7.2401673E+000, 7.2401673E+000, 1.0000000E+000
 1.8900176E+002, 7.2699285E+000, 7.2699285E+000, 1.0000000E+000
 1.9000071E+002, 7.3221892E+000, 7.3221892E+000, 1.0000000E+000
 1.9100558E+002, 7.3651785E+000, 7.3651785E+000, 1.0000000E+000
 1.9200676E+002, 7.4130248E+000, 7.4130248E+000, 1.0000000E+000
 1.9300780E+002, 7.4589721E+000, 7.4589721E+000, 1.0000000E+000
 1.9400468E+002, 7.5104749E+000, 7.5104749E+000, 1.0000000E+000
 1.9500256E+002, 7.5600413E+000, 7.5600413E+000, 1.0000000E+000
 1.9600013E+002, 7.6146541E+000, 7.6146541E+000, 1.0000000E+000
 1.9700158E+002, 7.6993280E+000, 7.6993280E+000, 1.0000000E+000
 1.9800878E+002, 7.7663143E+000, 7.7663143E+000, 1.0000000E+000
