s,C,C
Time,"cs-temp","hs-temp"
 3.3900000E+003, 1.9893200E+002, 8.7716575E+002
 3.4000000E+003, 1.9907839E+002, 8.7771427E+002
 3.4100000E+003, 1.9922439E+002, 8.7825895E+002
 3.4200000E+003, 1.9937018E+002, 8.7879954E+002
 3.4300000E+003, 1.9951707E+002, 8.7933597E+002
 3.4400000E+003, 1.9966497E+002, 8.7986843E+002
 3.4500000E+003, 1.9981192E+002, 8.8039702E+002
 3.4600000E+003, 1.9995913E+002, 8.8092187E+002
 3.4700000E+003, 2.0010672E+002, 8.8144307E+002
 3.4800000E+003, 2.0025441E+002, 8.8196067E+002
 3.4900000E+003, 2.0040284E+002, 8.8247481E+002
 3.5000000E+003, 2.0055112E+002, 8.8298553E+002
 3.5100000E+003, 2.0069988E+002, 8.8349294E+002
 3.5200000E+003, 2.0084722E+002, 8.8399703E+002
 3.5300000E+003, 2.0099585E+002, 8.8449791E+002
 3.5400000E+003, 2.0114419E+002, 8.8499562E+002
 3.5500000E+003, 2.0129115E+002, 8.8549019E+002
 3.5600000E+003, 2.0143839E+002, 8.8598174E+002
 3.5700000E+003, 2.0158576E+002, 8.8647026E+002
 3.5800000E+003, 2.0173370E+002, 8.8695585E+002
 3.5900000E+003, 2.0188032E+002, 8.8743851E+002
 3.6000000E+003, 2.0202505E+002, 8.8791835E+002
