s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 4.940E+002, 0.000E+000, 7.398E+002, 0.000E+000, 1.790E-002, 7.902E+001
 4.960E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.927E+001
 4.980E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.974E+001
 5.000E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.952E+001
 5.020E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.938E+001
 5.040E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.951E+001
 5.060E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.956E+001
 5.080E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.908E+001
 5.100E+002, 0.000E+000, 7.398E+002, 0.000E+000, 1.790E-002, 7.880E+001
 5.120E+002, 0.000E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.930E+001
 5.140E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.952E+001
 5.160E+002, 0.000E+000, 7.403E+002, 0.000E+000, 1.790E-002, 7.908E+001
 5.180E+002, 0.000E+000, 7.401E+002, 0.000E+000, 1.790E-002, 7.924E+001
 5.200E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.958E+001
 5.220E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.982E+001
 5.240E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 8.003E+001
 5.260E+002, 0.000E+000, 7.427E+002, 0.000E+000, 1.790E-002, 8.016E+001
 5.280E+002, 0.000E+000, 7.417E+002, 0.000E+000, 1.790E-002, 7.941E+001
 5.300E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.908E+001
 5.320E+002, 0.000E+000, 7.391E+002, 0.000E+000, 1.790E-002, 7.853E+001
 5.340E+002, 0.000E+000, 7.399E+002, 0.000E+000, 1.790E-002, 7.914E+001
 5.360E+002, 0.000E+000, 7.393E+002, 0.000E+000, 1.790E-002, 7.884E+001
 5.380E+002, 0.000E+000, 7.399E+002, 0.000E+000, 1.790E-002, 7.917E+001
 5.400E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.961E+001
 5.420E+002, 0.000E+000, 7.412E+002, 0.000E+000, 1.790E-002, 7.967E+001
 5.440E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.952E+001
 5.460E+002, 0.000E+000, 7.411E+002, 0.000E+000, 1.790E-002, 7.957E+001
 5.480E+002, 0.000E+000, 7.403E+002, 0.000E+000, 1.790E-002, 7.904E+001
 5.500E+002, 0.000E+000, 7.398E+002, 0.000E+000, 1.790E-002, 7.913E+001
 5.520E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.937E+001
 5.540E+002, 0.000E+000, 7.408E+002, 0.000E+000, 1.790E-002, 7.925E+001
 5.560E+002, 0.000E+000, 7.409E+002, 0.000E+000, 1.790E-002, 7.976E+001
 5.580E+002, 0.000E+000, 7.413E+002, 0.000E+000, 1.790E-002, 7.961E+001
 5.600E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 7.998E+001
 5.620E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 7.984E+001
 5.640E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.964E+001
 5.660E+002, 0.000E+000, 7.419E+002, 0.000E+000, 1.790E-002, 7.981E+001
 5.680E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 7.970E+001
 5.700E+002, 0.000E+000, 7.422E+002, 0.000E+000, 1.790E-002, 7.984E+001
 5.720E+002, 0.000E+000, 7.418E+002, 0.000E+000, 1.790E-002, 7.938E+001
