s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,m
 2.3000187E+001, 1.7814196E-001, 8.9508818E-001, 9.3684596E-001, 1.8566048E+001, 1.9133581E+001, 1.3982719E+001, 1.3374025E+001, 1.3837712E+001, 1.4322498E+001, 1.4686030E+001, 1.4884443E+001, 1.5163727E+001, 1.5723396E+001, 1.5555022E+001, 1.5173382E+001, 1.4821519E+001, 1.4513125E+001, 1.3591864E+001, 1.2909584E+001, 1.2575411E+001, 1.2043923E+001, 1.1075468E+001, 1.0488584E+001, 9.8954093E+000, 8.8900433E+000, 8.0222285E+000, 7.1968226E+000, 6.6636165E+000, 6.1036382E+000, 5.5515622E+000, 5.2970857E+000, 4.5888206E+000, 3.8944162E+000, 3.2193098E+000, 2.6934093E+000, 2.2071432E+000, 1.7661139E+000, 1.2408337E+000, 8.9884929E-001, 6.8499599E-001, 4.6634653E-001, 2.7395278E-001, 1.5142942E-001, 9.2856728E-002, 5.0130864E-002, 2.6697735E-002, 5.8439592E-003, 2.1997505E-003, 1.4334599E-003, 1.0486097E-003, 7.4583501E-004, 4.9381060E-004, 3.4920671E-004, 6.3624948E-001
 2.4000135E+001, 1.7812548E-001, 9.0704545E-001, 9.4471890E-001, 1.8312947E+001, 1.8334116E+001, 1.4262406E+001, 1.4120387E+001, 1.4993095E+001, 1.5322595E+001, 1.6064113E+001, 1.6071656E+001, 1.6270758E+001, 1.6504648E+001, 1.6345076E+001, 1.5937445E+001, 1.4757928E+001, 1.4118671E+001, 1.3833016E+001, 1.3469060E+001, 1.2865398E+001, 1.1921858E+001, 1.1099964E+001, 1.0034606E+001, 9.1398317E+000, 7.9014410E+000, 6.7563804E+000, 5.8085834E+000, 4.9159645E+000, 3.6173418E+000, 2.8900100E+000, 2.2066020E+000, 1.7482790E+000, 1.4071102E+000, 8.7961267E-001, 6.0828024E-001, 3.6272783E-001, 2.4157435E-001, 1.6947098E-001, 1.1199530E-001, 3.8774248E-002, 1.4743480E-002, 7.8256949E-003, 3.9154619E-003, 2.5792457E-003, 1.8021996E-003, 1.4180524E-003, 1.1090099E-003, 9.1057995E-004, 7.4784550E-004, 6.3885360E-004, 5.4888172E-004, 4.5674486E-004, 3.8788045E-004, 4.9989358E-001
 2.5000066E+001, 1.7810904E-001, 8.6678607E-001, 9.0851787E-001, 1.8617714E+001, 1.9823099E+001, 1.3709453E+001, 1.2916195E+001, 1.3465201E+001, 1.3792106E+001, 1.4045915E+001, 1.5012036E+001, 1.5746896E+001, 1.6437303E+001, 1.5885355E+001, 1.5376357E+001, 1.5188749E+001, 1.4776076E+001, 1.3844880E+001, 1.2787336E+001, 1.0844593E+001, 9.8721385E+000, 8.8146890E+000, 7.9327253E+000, 7.3547978E+000, 6.9248778E+000, 6.4922836E+000, 5.7504823E+000, 5.0127776E+000, 3.8443926E+000, 3.1311451E+000, 2.4141024E+000, 2.0023571E+000, 1.6354807E+000, 1.3845353E+000, 1.2822044E+000, 1.1339227E+000, 1.0852412E+000, 9.5937951E-001, 7.5392003E-001, 5.4142585E-001, 3.8627746E-001, 2.6160446E-001, 1.4430248E-001, 8.7013351E-002, 5.2476857E-002, 3.8936228E-002, 3.0805743E-002, 2.5363035E-002, 1.9981232E-002, 1.6992700E-002, 1.3465405E-002, 7.0735510E-003, 4.3102493E-003, 5.3786445E-001
 2.6000132E+001, 1.7809257E-001, 8.9148699E-001, 9.2990004E-001, 1.9918046E+001, 1.8424351E+001, 1.3730212E+001, 1.3012356E+001, 1.3484976E+001, 1.4481850E+001, 1.4701890E+001, 1.4606436E+001, 1.4407902E+001, 1.4608352E+001, 1.4962679E+001, 1.5354031E+001, 1.4975179E+001, 1.4327768E+001, 1.3766738E+001, 1.3071907E+001, 1.2489401E+001, 1.1956589E+001, 1.0498724E+001, 9.0334887E+000, 7.9847586E+000, 7.2558953E+000, 6.7409591E+000, 6.1026293E+000, 5.6251477E+000, 5.0150620E+000, 4.6393712E+000, 3.8538831E+000, 3.0602338E+000, 2.4794044E+000, 1.9286101E+000, 1.6128205E+000, 1.4494415E+000, 1.2578440E+000, 1.1173781E+000, 9.8200009E-001, 8.7317014E-001, 7.5662100E-001, 6.2873573E-001, 4.9941903E-001, 3.8559315E-001, 3.0955092E-001, 2.3868774E-001, 1.7017879E-001, 1.2570776E-001, 8.9741026E-002, 7.5634420E-002, 7.4793756E-002, 7.3869883E-002, 6.9103520E-002, 5.7560627E-001
 2.7000049E+001, 1.7807614E-001, 8.9778866E-001, 9.3961525E-001, 1.7679200E+001, 1.8829616E+001, 1.3784160E+001, 1.3467116E+001, 1.3936055E+001, 1.4021666E+001, 1.4244034E+001, 1.4662061E+001, 1.4841607E+001, 1.5173189E+001, 1.5797058E+001, 1.6022868E+001, 1.5599437E+001, 1.4867894E+001, 1.3596137E+001, 1.2421385E+001, 1.1304958E+001, 1.0580825E+001, 9.2941046E+000, 8.1593766E+000, 6.9846146E+000, 6.1864593E+000, 5.6340028E+000, 5.2250535E+000, 4.9750347E+000, 4.8597635E+000, 4.8400872E+000, 4.4618332E+000, 3.9078418E+000, 3.4531173E+000, 2.8788323E+000, 2.3917441E+000, 1.8679264E+000, 1.3861187E+000, 1.0471581E+000, 7.2616468E-001, 4.5590001E-001, 3.0455589E-001, 1.6093216E-001, 8.8047256E-002, 5.0125514E-002, 2.5671062E-002, 1.4703444E-002, 8.4744415E-003, 7.4695621E-003, 2.3071448E-003, 8.6714576E-004, 5.7625355E-004, 4.0285186E-004, 2.7117806E-004, 6.2282043E-001
 2.8000089E+001, 1.7805967E-001, 8.8997464E-001, 9.3946006E-001, 1.9601238E+001, 1.8514117E+001, 1.4109561E+001, 1.4063116E+001, 1.5356488E+001, 1.5957465E+001, 1.5985835E+001, 1.6177163E+001, 1.6568256E+001, 1.7029358E+001, 1.6718479E+001, 1.6419245E+001, 1.7169722E+001, 1.7238210E+001, 1.6337344E+001, 1.5652213E+001, 1.5138685E+001, 1.3979445E+001, 1.2150767E+001, 1.1083676E+001, 1.0509278E+001, 9.4643505E+000, 8.1695684E+000, 7.6984356E+000, 7.2198565E+000, 6.5495008E+000, 6.1777601E+000, 5.4769539E+000, 4.5670845E+000, 3.4843154E+000, 2.2975603E+000, 1.7627417E+000, 1.2579778E+000, 8.2888028E-001, 5.1144789E-001, 3.0319144E-001, 1.9216365E-001, 1.6296341E-001, 1.3071137E-001, 9.6938586E-002, 5.2711050E-002, 4.0253493E-002, 2.7941265E-002, 1.9319259E-002, 1.1111238E-002, 4.4259795E-003, 2.1464433E-003, 1.7757425E-003, 1.1221012E-003, 7.2016608E-004, 6.1453149E-001
 2.9000034E+001, 1.7804325E-001, 8.8368091E-001, 9.3385975E-001, 1.9207666E+001, 1.8503844E+001, 1.4298174E+001, 1.3856899E+001, 1.4580412E+001, 1.5495981E+001, 1.6305263E+001, 1.6193182E+001, 1.5974817E+001, 1.5584199E+001, 1.5621621E+001, 1.5333191E+001, 1.4650612E+001, 1.3943424E+001, 1.2845509E+001, 1.2221785E+001, 1.1452891E+001, 1.1068531E+001, 9.9311435E+000, 8.5347862E+000, 7.4775522E+000, 6.6545345E+000, 6.2057520E+000, 5.7082449E+000, 5.3505520E+000, 5.0237422E+000, 4.7316234E+000, 3.9655520E+000, 3.2471170E+000, 2.6722005E+000, 2.3362466E+000, 2.0049690E+000, 1.6182343E+000, 1.4441152E+000, 1.1352127E+000, 8.1295132E-001, 6.3980152E-001, 5.6755000E-001, 4.9032959E-001, 4.3183027E-001, 3.4773396E-001, 2.1626222E-001, 1.1948025E-001, 4.6061182E-002, 2.1529115E-002, 5.7994420E-003, 2.2398549E-003, 9.5046517E-004, 5.7435959E-004, 3.7786164E-004, 4.2081485E-001
 3.0000124E+001, 1.7594376E-001, 9.1937973E-001, 9.6410320E-001, 1.6501697E+001, 1.8680583E+001, 1.4478881E+001, 1.4351171E+001, 1.5285167E+001, 1.5564618E+001, 1.6170251E+001, 1.6534986E+001, 1.7086407E+001, 1.7519926E+001, 1.6363715E+001, 1.5177412E+001, 1.4223304E+001, 1.3838603E+001, 1.3100794E+001, 1.2404715E+001, 1.1660941E+001, 1.1029498E+001, 1.0469283E+001, 9.9098663E+000, 9.3023960E+000, 8.7648821E+000, 7.8821943E+000, 6.4393375E+000, 5.7949572E+000, 4.6941605E+000, 3.9113857E+000, 3.2802055E+000, 2.9900385E+000, 2.5396997E+000, 2.1495501E+000, 1.8662634E+000, 1.5634398E+000, 1.3682603E+000, 1.1107467E+000, 8.8846295E-001, 7.9075359E-001, 7.1303274E-001, 5.5414959E-001, 4.3061665E-001, 3.6879154E-001, 3.1232188E-001, 2.1382424E-001, 1.1840087E-001, 8.5246529E-002, 6.5286692E-002, 4.0134292E-002, 1.7010814E-002, 4.3035301E-003, 1.1889394E-003, 4.7668282E-001
 3.1000045E+001, 1.7331196E-001, 8.6584294E-001, 9.0940263E-001, 1.8532433E+001, 1.8251953E+001, 1.4339687E+001, 1.3209332E+001, 1.3567746E+001, 1.4370566E+001, 1.4803058E+001, 1.4590287E+001, 1.4705275E+001, 1.5101024E+001, 1.5245988E+001, 1.4927399E+001, 1.4883376E+001, 1.4615742E+001, 1.4122800E+001, 1.3192427E+001, 1.1994140E+001, 1.1155484E+001, 1.0335879E+001, 9.6592558E+000, 9.3361152E+000, 8.5384443E+000, 7.9369694E+000, 7.3892032E+000, 7.0245921E+000, 6.1258276E+000, 5.4671124E+000, 4.7706044E+000, 4.2239918E+000, 3.3558687E+000, 2.8415833E+000, 2.4411488E+000, 1.8582083E+000, 1.2279522E+000, 8.7826020E-001, 6.5313885E-001, 5.0115673E-001, 4.2636440E-001, 3.6983776E-001, 3.1318983E-001, 2.5889661E-001, 2.1463687E-001, 1.7145602E-001, 1.1010303E-001, 7.6335152E-002, 4.9576600E-002, 3.5226184E-002, 2.9609805E-002, 2.3999032E-002, 2.7014788E-002, 4.8042969E-001
 3.2000157E+001, 1.7075134E-001, 8.6068208E-001, 9.0120347E-001, 1.8087999E+001, 1.7822552E+001, 1.3510374E+001, 1.3021154E+001, 1.3743788E+001, 1.5200996E+001, 1.6510840E+001, 1.6818636E+001, 1.6054467E+001, 1.5823415E+001, 1.6440625E+001, 1.7467574E+001, 1.8753523E+001, 1.9207773E+001, 1.8618228E+001, 1.7148518E+001, 1.5155734E+001, 1.3629199E+001, 1.2091717E+001, 1.0850669E+001, 9.6237590E+000, 8.2740340E+000, 7.5298233E+000, 6.7298852E+000, 5.8939078E+000, 4.9327900E+000, 4.4714205E+000, 3.9329952E+000, 3.5345918E+000, 2.8947656E+000, 2.3081939E+000, 2.0031912E+000, 1.8582761E+000, 1.7032215E+000, 1.4167211E+000, 1.2176777E+000, 9.1510477E-001, 7.1402210E-001, 5.5262954E-001, 4.0164555E-001, 3.0073519E-001, 2.4854909E-001, 2.3504961E-001, 1.4312362E-001, 8.3307947E-002, 3.9583890E-002, 1.9300647E-002, 1.3847208E-002, 7.5744140E-003, 3.1379189E-003, 5.2635664E-001
 3.3000071E+001, 1.6827154E-001, 8.2011931E-001, 8.6081290E-001, 1.8177976E+001, 1.7674288E+001, 1.2971005E+001, 1.2383099E+001, 1.3566371E+001, 1.4717434E+001, 1.5355891E+001, 1.5812597E+001, 1.6517495E+001, 1.6789148E+001, 1.6382180E+001, 1.6051163E+001, 1.5090903E+001, 1.4426282E+001, 1.3184849E+001, 1.2903204E+001, 1.2517666E+001, 1.1669942E+001, 1.1205811E+001, 1.0709202E+001, 1.0081216E+001, 8.8645628E+000, 8.0224463E+000, 6.7174681E+000, 5.7566058E+000, 4.7201737E+000, 3.8525062E+000, 2.8654040E+000, 2.2087512E+000, 1.9032646E+000, 1.3988813E+000, 1.1417414E+000, 8.7663890E-001, 6.9447288E-001, 5.0552526E-001, 4.1788995E-001, 3.7003351E-001, 3.3714968E-001, 2.6176158E-001, 1.9368622E-001, 1.7358413E-001, 1.3821527E-001, 8.1920509E-002, 4.5512951E-002, 3.5344081E-002, 2.3059295E-002, 1.1537592E-002, 1.8578618E-003, 6.2937123E-004, 4.0850799E-004, 6.3986897E-001
 3.4000038E+001, 1.6585691E-001, 8.1320504E-001, 8.4421163E-001, 1.7436270E+001, 1.8015498E+001, 1.2997292E+001, 1.2392280E+001, 1.2971009E+001, 1.3567061E+001, 1.4404307E+001, 1.4713230E+001, 1.5109693E+001, 1.4979514E+001, 1.5002706E+001, 1.5310679E+001, 1.5796861E+001, 1.5384322E+001, 1.4381810E+001, 1.3533877E+001, 1.3090406E+001, 1.2729737E+001, 1.1904626E+001, 1.0965712E+001, 9.9764630E+000, 8.7310540E+000, 7.8390757E+000, 7.0402410E+000, 6.3999307E+000, 5.6874221E+000, 5.0116396E+000, 4.1073776E+000, 3.4372801E+000, 2.9833286E+000, 2.4297468E+000, 2.0965204E+000, 1.8287041E+000, 1.5197584E+000, 1.0953092E+000, 8.9697998E-001, 8.1529179E-001, 7.3238581E-001, 6.5227467E-001, 5.3259639E-001, 4.1815877E-001, 2.7244907E-001, 1.3531405E-001, 6.6367556E-002, 2.9390638E-002, 5.5402358E-003, 2.6874721E-003, 2.1392279E-003, 1.6382213E-003, 1.0609303E-003, 5.5525928E-001
 3.5000172E+001, 1.6351616E-001, 7.6525681E-001, 8.1379414E-001, 1.6633140E+001, 1.7106306E+001, 1.2901471E+001, 1.3430492E+001, 1.4218689E+001, 1.4084545E+001, 1.4209931E+001, 1.5520158E+001, 1.6523886E+001, 1.7128801E+001, 1.7225809E+001, 1.7417139E+001, 1.6605818E+001, 1.5439540E+001, 1.4523270E+001, 1.3671657E+001, 1.3291146E+001, 1.2841029E+001, 1.2213094E+001, 1.1119989E+001, 9.8018050E+000, 8.3796682E+000, 7.2696046E+000, 6.2445923E+000, 5.6888577E+000, 5.1912055E+000, 4.5105129E+000, 3.6518185E+000, 3.0735569E+000, 2.6834286E+000, 1.9825245E+000, 1.5346172E+000, 1.1607245E+000, 8.8382451E-001, 6.0927921E-001, 4.3064633E-001, 2.5084365E-001, 1.6480427E-001, 1.3033049E-001, 1.1898330E-001, 1.1037323E-001, 8.7088001E-002, 4.8928210E-002, 1.9408181E-002, 6.6311443E-003, 1.8265853E-003, 8.8332029E-004, 5.8805303E-004, 4.3126701E-004, 3.4752714E-004, 5.1641321E-001
 3.6000158E+001, 1.6123487E-001, 7.5135122E-001, 7.8255052E-001, 1.6797184E+001, 1.6828959E+001, 1.2956082E+001, 1.1755649E+001, 1.2258741E+001, 1.2688368E+001, 1.2954140E+001, 1.3342409E+001, 1.4064523E+001, 1.4993974E+001, 1.5291655E+001, 1.5374878E+001, 1.5267839E+001, 1.4720133E+001, 1.3684421E+001, 1.2915865E+001, 1.2053184E+001, 1.1350713E+001, 1.0464724E+001, 9.7118996E+000, 9.0478042E+000, 8.0650421E+000, 7.2144231E+000, 6.8650452E+000, 6.8091014E+000, 6.3618918E+000, 6.1229932E+000, 5.4797421E+000, 4.3506702E+000, 3.4314901E+000, 2.4864757E+000, 1.7800562E+000, 1.2316459E+000, 9.7218008E-001, 7.6273836E-001, 6.9094778E-001, 6.7019884E-001, 6.1344477E-001, 5.5345411E-001, 4.6609670E-001, 4.1075039E-001, 3.1181234E-001, 2.2028191E-001, 1.5593709E-001, 1.2063520E-001, 5.2454172E-002, 2.2953513E-002, 1.0211093E-002, 3.2830548E-003, 1.6493592E-003, 6.0769197E-001
 3.7000148E+001, 1.5902213E-001, 7.4278155E-001, 7.6921884E-001, 1.7574574E+001, 1.7504072E+001, 1.3053926E+001, 1.1590710E+001, 1.1970345E+001, 1.2763318E+001, 1.3298018E+001, 1.3993596E+001, 1.4194667E+001, 1.4930859E+001, 1.5044887E+001, 1.4845701E+001, 1.4798471E+001, 1.4357437E+001, 1.3589357E+001, 1.2973886E+001, 1.2455733E+001, 1.1841056E+001, 1.1180771E+001, 1.0733782E+001, 1.0266924E+001, 9.8782357E+000, 9.5984491E+000, 8.7940052E+000, 8.0475442E+000, 7.3397417E+000, 6.8789868E+000, 6.0208137E+000, 5.1795671E+000, 4.3652868E+000, 3.5792594E+000, 2.9787059E+000, 2.2416589E+000, 1.7438045E+000, 1.3332607E+000, 1.0305172E+000, 8.1060665E-001, 6.8914491E-001, 5.6153353E-001, 4.2264075E-001, 3.5369093E-001, 3.2494162E-001, 3.1532901E-001, 3.0183785E-001, 2.6962601E-001, 2.1176174E-001, 1.7043885E-001, 1.1865084E-001, 5.7094420E-002, 2.3309077E-002, 5.3402150E-001
 3.8000030E+001, 1.5686417E-001, 6.9629623E-001, 7.3732008E-001, 1.5390943E+001, 1.6264161E+001, 1.2233672E+001, 1.1272568E+001, 1.2164837E+001, 1.3175221E+001, 1.3783561E+001, 1.4641326E+001, 1.5031016E+001, 1.4890091E+001, 1.5413748E+001, 1.5859880E+001, 1.6022018E+001, 1.6763728E+001, 1.6645718E+001, 1.5761372E+001, 1.4750066E+001, 1.4211620E+001, 1.4340610E+001, 1.3889451E+001, 1.3070904E+001, 1.1223368E+001, 9.9482832E+000, 8.3724831E+000, 7.5840894E+000, 6.8793242E+000, 6.2083258E+000, 5.5097625E+000, 4.5944302E+000, 3.8964049E+000, 3.2936691E+000, 3.0174809E+000, 2.8067657E+000, 2.5078200E+000, 2.0693329E+000, 1.5697881E+000, 1.0937257E+000, 8.2538517E-001, 6.3366139E-001, 4.6110749E-001, 3.6506713E-001, 2.7540218E-001, 2.2605813E-001, 2.0147308E-001, 1.5752527E-001, 1.1151499E-001, 8.7509721E-002, 6.9269329E-002, 3.8781506E-002, 3.6618290E-002, 5.2970538E-001
 3.9000050E+001, 1.5476886E-001, 6.9257196E-001, 7.2708543E-001, 1.4703154E+001, 1.6160825E+001, 1.2715075E+001, 1.1829696E+001, 1.2428996E+001, 1.3089035E+001, 1.3207513E+001, 1.3673500E+001, 1.4395626E+001, 1.5157782E+001, 1.4945226E+001, 1.4509862E+001, 1.4174554E+001, 1.4140694E+001, 1.4277085E+001, 1.3911749E+001, 1.3128557E+001, 1.2397394E+001, 1.1546175E+001, 1.1180998E+001, 1.0334038E+001, 9.2455540E+000, 8.6873337E+000, 7.9332619E+000, 7.4210919E+000, 6.6850204E+000, 5.9250049E+000, 4.9042931E+000, 4.1431348E+000, 3.3787024E+000, 2.2461837E+000, 1.5461598E+000, 1.0429544E+000, 7.7466471E-001, 5.7204705E-001, 4.2923283E-001, 3.0956544E-001, 2.1916523E-001, 1.6050885E-001, 1.2051023E-001, 9.8395620E-002, 8.4873987E-002, 6.1362401E-002, 2.7118041E-002, 1.4751748E-002, 6.4919513E-003, 2.0824616E-003, 1.1593075E-003, 8.7647731E-004, 6.9893130E-004, 6.4387866E-001
 4.0000034E+001, 1.5272391E-001, 6.4574924E-001, 6.7987431E-001, 1.3919596E+001, 1.5609815E+001, 1.2928765E+001, 1.2148365E+001, 1.2363665E+001, 1.3196252E+001, 1.3913130E+001, 1.4098310E+001, 1.4314007E+001, 1.4162439E+001, 1.3826434E+001, 1.3777459E+001, 1.3970791E+001, 1.4603726E+001, 1.4425818E+001, 1.4103114E+001, 1.4115193E+001, 1.4099895E+001, 1.3365689E+001, 1.2260516E+001, 1.1643932E+001, 1.1396684E+001, 1.0738969E+001, 9.8775183E+000, 9.6677637E+000, 9.2486622E+000, 8.9457995E+000, 8.4387616E+000, 7.5966973E+000, 6.5522713E+000, 5.6675727E+000, 4.9758390E+000, 4.4770595E+000, 4.1621021E+000, 3.7063798E+000, 3.3028398E+000, 2.8181465E+000, 2.4964253E+000, 2.0826817E+000, 1.7444715E+000, 1.4655717E+000, 1.2015478E+000, 9.9127466E-001, 7.6315386E-001, 5.8291325E-001, 3.5998334E-001, 2.4294400E-001, 1.9426970E-001, 1.5305368E-001, 1.2760201E-001, 7.8560458E-001
 4.1000097E+001, 1.5073709E-001, 6.0402875E-001, 6.2629805E-001, 1.2972833E+001, 1.6097010E+001, 1.2785395E+001, 1.0566704E+001, 1.1302416E+001, 1.1781719E+001, 1.2517744E+001, 1.2927075E+001, 1.3105127E+001, 1.3621638E+001, 1.4162830E+001, 1.3945877E+001, 1.2745767E+001, 1.1274641E+001, 1.0119235E+001, 9.1582895E+000, 8.3600119E+000, 7.4670416E+000, 6.6964133E+000, 6.3294223E+000, 6.2546207E+000, 6.0839990E+000, 6.1139754E+000, 6.2279679E+000, 6.0032395E+000, 5.6633996E+000, 5.4269123E+000, 5.1441001E+000, 4.9654751E+000, 4.8909066E+000, 4.7326057E+000, 4.2916059E+000, 3.9560126E+000, 4.0348353E+000, 4.0889910E+000, 3.9150792E+000, 3.6900758E+000, 3.2702105E+000, 3.0514821E+000, 2.8860095E+000, 2.6550266E+000, 2.5257117E+000, 2.2827666E+000, 1.9473361E+000, 1.5972648E+000, 1.0062818E+000, 7.3091746E-001, 5.9266337E-001, 5.5952646E-001, 5.4117692E-001, 9.5087035E-001
 4.2000235E+001, 1.4879623E-001, 5.9047802E-001, 6.1928233E-001, 1.2713987E+001, 1.4460469E+001, 1.2154431E+001, 1.1061295E+001, 1.1770161E+001, 1.3167980E+001, 1.3824189E+001, 1.3872237E+001, 1.3549058E+001, 1.3385954E+001, 1.2950952E+001, 1.2875858E+001, 1.2948252E+001, 1.2732287E+001, 1.2459453E+001, 1.2069309E+001, 1.1354326E+001, 1.0378590E+001, 9.1811970E+000, 8.3419939E+000, 8.0363329E+000, 7.5709950E+000, 7.3086667E+000, 7.2853373E+000, 7.2251742E+000, 7.1083392E+000, 6.9476277E+000, 6.4784031E+000, 5.6982495E+000, 4.7690896E+000, 3.7939633E+000, 3.2052923E+000, 2.6687111E+000, 2.4768126E+000, 2.2621891E+000, 1.9420728E+000, 1.5296748E+000, 1.4005768E+000, 1.0836567E+000, 7.8896501E-001, 6.6036055E-001, 5.2495663E-001, 4.0143376E-001, 3.5356263E-001, 3.1426615E-001, 2.8653849E-001, 2.9658411E-001, 3.1709191E-001, 3.4328669E-001, 3.7991254E-001, 4.3492217E-001
 4.3000049E+001, 1.4691025E-001, 5.7271559E-001, 6.0137150E-001, 1.2058740E+001, 1.3456354E+001, 1.2013816E+001, 1.0575828E+001, 1.1307078E+001, 1.2568300E+001, 1.3109568E+001, 1.3692547E+001, 1.3505632E+001, 1.3612201E+001, 1.3838775E+001, 1.4077469E+001, 1.3775452E+001, 1.3068892E+001, 1.1990697E+001, 1.1622661E+001, 1.1410451E+001, 1.1052831E+001, 1.1228476E+001, 1.1260535E+001, 1.0907157E+001, 1.0691506E+001, 1.0314296E+001, 9.6331076E+000, 9.3441390E+000, 8.2425945E+000, 7.6164051E+000, 7.2217385E+000, 6.5820919E+000, 5.7511976E+000, 4.7509500E+000, 3.8617903E+000, 2.7835734E+000, 2.1244293E+000, 1.6757692E+000, 1.4890902E+000, 1.2777767E+000, 1.0874578E+000, 8.7977628E-001, 6.2946895E-001, 4.5089130E-001, 3.0010018E-001, 1.8124060E-001, 1.2106069E-001, 9.7357907E-002, 3.4586126E-002, 9.6361920E-003, 4.9939229E-003, 3.3225125E-003, 2.2852818E-003, 6.2858137E-001
 4.4000139E+001, 1.4506592E-001, 5.4872760E-001, 5.7791316E-001, 1.1281346E+001, 1.3042041E+001, 1.1549072E+001, 1.0645805E+001, 1.1370120E+001, 1.2197689E+001, 1.2991274E+001, 1.3453165E+001, 1.3562677E+001, 1.3879788E+001, 1.4227652E+001, 1.4356907E+001, 1.4592332E+001, 1.4929490E+001, 1.4716736E+001, 1.3913359E+001, 1.3731969E+001, 1.3195603E+001, 1.2646739E+001, 1.2085070E+001, 1.1574694E+001, 1.0960081E+001, 1.0312188E+001, 9.7200607E+000, 8.9404008E+000, 8.2287010E+000, 7.5342450E+000, 6.9197088E+000, 6.3254774E+000, 5.5014418E+000, 4.2603186E+000, 3.3631737E+000, 2.6953776E+000, 2.3353918E+000, 1.9016513E+000, 1.5582744E+000, 1.3304962E+000, 1.2652196E+000, 1.1801057E+000, 1.0898148E+000, 9.4530162E-001, 7.7269767E-001, 6.2755568E-001, 4.3833534E-001, 3.1031790E-001, 2.1160521E-001, 1.8282590E-001, 1.5276008E-001, 6.4220615E-002, 2.8493485E-002, 8.3756432E-001
 4.5000219E+001, 1.4327252E-001, 5.0784242E-001, 5.3421465E-001, 1.0698544E+001, 1.2851876E+001, 1.1310558E+001, 1.0501259E+001, 1.0989677E+001, 1.1845865E+001, 1.2503905E+001, 1.3209484E+001, 1.3098904E+001, 1.2896752E+001, 1.2239921E+001, 1.2209941E+001, 1.2393449E+001, 1.2578877E+001, 1.3178400E+001, 1.3365938E+001, 1.3776640E+001, 1.3846375E+001, 1.3232459E+001, 1.2554100E+001, 1.2437299E+001, 1.2482871E+001, 1.1699692E+001, 1.0103197E+001, 8.5578958E+000, 7.0143887E+000, 6.1803873E+000, 5.6290324E+000, 5.1536857E+000, 4.8205944E+000, 4.3650398E+000, 3.9592590E+000, 3.6361914E+000, 3.0273667E+000, 2.6048948E+000, 2.1564582E+000, 1.7994278E+000, 1.5887903E+000, 1.4111087E+000, 1.2739328E+000, 1.1141791E+000, 8.9803330E-001, 7.9212388E-001, 7.0413274E-001, 6.4885568E-001, 4.8058840E-001, 3.8308083E-001, 2.9992284E-001, 2.5844590E-001, 2.3772088E-001, 4.9035945E-001
 4.6000190E+001, 1.4151801E-001, 4.8111899E-001, 5.0723692E-001, 1.0421411E+001, 1.3252409E+001, 1.1188853E+001, 9.8943165E+000, 1.0466140E+001, 1.1242498E+001, 1.1725686E+001, 1.2434186E+001, 1.2664603E+001, 1.3509817E+001, 1.3657409E+001, 1.3957931E+001, 1.4157376E+001, 1.4262652E+001, 1.3675367E+001, 1.3325874E+001, 1.2643620E+001, 1.2035960E+001, 1.1679005E+001, 1.1277755E+001, 1.0709776E+001, 9.7825892E+000, 9.1420753E+000, 8.4014077E+000, 8.0258716E+000, 7.4025134E+000, 6.8463946E+000, 6.4160691E+000, 6.4916080E+000, 6.7525002E+000, 6.7844214E+000, 6.4862376E+000, 5.8164558E+000, 5.2517519E+000, 4.7050176E+000, 4.2971645E+000, 3.8010731E+000, 3.4490169E+000, 3.1289075E+000, 2.7736373E+000, 2.3421384E+000, 1.9787711E+000, 1.6279182E+000, 1.3210431E+000, 1.1080816E+000, 9.2967377E-001, 7.1982847E-001, 6.2598018E-001, 5.5679420E-001, 5.0028292E-001, 6.9459802E-001
