s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 3.8000488E+001, 4.8674078E+001, 0.0000000E+000,-5.1855599E+000,-4.2088054E+001, 4.4277381E-003,-7.6383591E-004, 0.0000000E+000, 0.0000000E+000, 1.1148690E+000, 1.4041282E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.1393063E-002
 3.9000500E+001, 4.8580631E+001, 0.0000000E+000,-4.7031953E+000,-4.6449670E+001, 5.5547423E-004,-7.3912495E-004, 0.0000000E+000, 0.0000000E+000,-2.8022148E+000,-2.5724183E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.2612231E-002
 4.0000172E+001, 4.8227905E+001, 0.0000000E+000,-4.5359969E+000,-4.1369718E+001,-6.3350465E-004,-7.3658900E-004, 0.0000000E+000, 0.0000000E+000, 2.0271049E+000, 2.3208202E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.3831204E-002
 4.1000076E+001, 4.9021516E+001, 0.0000000E+000,-4.2010259E+000,-4.6184206E+001,-5.9212654E-003,-7.4620914E-004, 0.0000000E+000, 0.0000000E+000,-1.5683340E+000,-1.3703842E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.5050065E-002
 4.2000423E+001, 4.8274861E+001, 0.0000000E+000,-4.0025495E+000,-4.5013234E+001,-1.3549888E-002,-7.5871862E-004, 0.0000000E+000, 0.0000000E+000,-9.1235558E-001,-7.5523093E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.6269406E-002
 4.3000080E+001, 4.7934393E+001, 0.0000000E+000,-3.8406895E+000,-4.2057064E+001,-2.5757964E-002,-7.3671847E-004, 0.0000000E+000, 0.0000000E+000, 1.7971355E+000, 2.0101453E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.7488451E-002
 4.4000336E+001, 4.6754926E+001, 0.0000000E+000,-3.4303900E+000,-4.3967810E+001,-1.8485584E-002,-7.0810605E-004, 0.0000000E+000, 0.0000000E+000,-9.1123104E-001,-6.6246797E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.8707552E-002
 4.5000111E+001, 4.7419231E+001, 0.0000000E+000,-3.3352007E+000,-4.6288008E+001,-1.0471249E-002,-7.2927141E-004, 0.0000000E+000, 0.0000000E+000,-2.3510314E+000,-2.2151783E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 2.9926619E-002
 4.6000130E+001, 4.6268100E+001, 0.0000000E+000,-2.9424416E+000,-4.0439586E+001,-1.3420883E-002,-7.1767473E-004, 0.0000000E+000, 0.0000000E+000, 2.7191826E+000, 2.8719341E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.1145747E-002
 4.7000160E+001, 4.5654395E+001, 0.0000000E+000,-2.7199000E+000,-4.4236600E+001,-3.1625869E-002,-7.0416990E-004, 0.0000000E+000, 0.0000000E+000,-1.5369984E+000,-1.3344353E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.2364772E-002
 4.8000019E+001, 4.2690490E+001, 0.0000000E+000,-2.6278189E+000,-4.1076157E+001,-2.0838016E-002,-6.4885033E-004, 0.0000000E+000, 0.0000000E+000,-1.1749987E+000,-1.0349737E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.3583869E-002
 4.9000103E+001, 3.9602117E+001, 0.0000000E+000,-2.0747009E+000,-3.8008712E+001,-1.9683690E-002,-6.6976876E-004, 0.0000000E+000, 0.0000000E+000,-6.4230087E-001,-5.0164978E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.4802998E-002
 5.0000340E+001, 3.0922639E+001, 0.0000000E+000,-1.3686058E+000,-3.4476550E+001,-2.5113491E-002,-6.5660213E-004, 0.0000000E+000, 0.0000000E+000,-5.0816828E+000,-4.9482871E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.6022376E-002
 5.1000137E+001, 2.2226500E+001, 0.0000000E+000,-8.1198675E-001,-2.4757849E+001,-1.1061122E-002,-5.9594729E-004, 0.0000000E+000, 0.0000000E+000,-3.4320772E+000,-3.3549928E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.7241408E-002
 5.2000587E+001, 1.2014226E+001, 0.0000000E+000,-3.3252828E-001,-1.5832352E+001,-5.2503602E-003,-6.1221773E-004, 0.0000000E+000, 0.0000000E+000,-4.2188523E+000,-4.1565168E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.8460975E-002
 5.3000175E+001, 8.3020913E+000, 0.0000000E+000,-1.6641261E-001,-9.9392075E+000,-3.0775622E-003,-6.2233155E-004, 0.0000000E+000, 0.0000000E+000,-1.8411195E+000,-1.8072287E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.9680013E-002
 5.4000187E+001, 6.6768653E+000, 0.0000000E+000,-1.1676129E-001,-8.0316980E+000, 7.0136769E-004,-5.8510448E-004, 0.0000000E+000, 0.0000000E+000,-1.4968437E+000,-1.4714777E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.0899106E-002
 5.5000378E+001, 5.6378211E+000, 0.0000000E+000,-8.0469103E-002,-6.4533610E+000, 1.1399760E-003,-5.6365807E-004, 0.0000000E+000, 0.0000000E+000,-9.1243080E-001,-8.9543265E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.2118334E-002
 5.6001175E+001, 4.5586406E+000, 0.0000000E+000,-5.5916465E-002,-5.6370845E+000, 1.8439823E-004,-5.5772035E-004, 0.0000000E+000, 0.0000000E+000,-1.1490859E+000,-1.1347337E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.3338227E-002
 5.7001022E+001, 3.5715311E+000, 0.0000000E+000,-3.8286513E-002,-4.4948169E+000, 1.5023123E-003,-6.0864160E-004, 0.0000000E+000, 0.0000000E+000,-9.6890298E-001,-9.6067863E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.4557746E-002
 5.8001007E+001, 2.6886944E+000, 0.0000000E+000,-2.6191076E-002,-3.5745882E+000,-4.2496258E-004,-6.3322210E-004, 0.0000000E+000, 0.0000000E+000,-9.2526735E-001,-9.1314309E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.5776854E-002
 5.9000393E+001, 1.7361815E+000, 0.0000000E+000,-1.6112909E-002,-3.0955495E+000, 1.9658083E-003,-6.5774323E-004, 0.0000000E+000, 0.0000000E+000,-1.3815682E+000,-1.3741729E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.6995539E-002
 6.0001217E+001, 9.0899818E-001, 0.0000000E+000,-8.7305549E-003,-1.9922958E+000, 7.3334316E-003,-6.4286924E-004, 0.0000000E+000, 0.0000000E+000,-1.0883038E+000,-1.0853376E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.8214991E-002
 6.1002003E+001, 1.8656759E-001, 0.0000000E+000,-3.2915224E-003,-1.2578242E+000, 1.3244381E-002,-6.7597087E-004, 0.0000000E+000, 0.0000000E+000,-1.0660134E+000,-1.0619797E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.9435317E-002
 6.2000454E+001, 6.4708546E-003, 0.0000000E+000,-1.1226250E-004,-7.1055312E-001, 1.9010929E-002,-7.2526827E-004, 0.0000000E+000, 0.0000000E+000,-6.8947217E-001,-6.8590887E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.0654166E-002
 6.3000553E+001, 0.0000000E+000, 0.0000000E+000, 1.0650076E-003,-2.9059855E-001, 1.9719758E-002,-7.3677249E-004, 0.0000000E+000, 0.0000000E+000,-2.7381644E-001,-2.7055056E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.1872564E-002
 6.4000420E+001, 0.0000000E+000, 0.0000000E+000, 1.3502162E-003,-1.0104334E-001, 1.9536357E-002,-6.9383311E-004, 0.0000000E+000, 0.0000000E+000,-8.4058339E-002,-8.0850597E-002, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.3091778E-002
 6.5001854E+001, 0.0000000E+000, 0.0000000E+000, 1.3746302E-003,-4.0834781E-002, 1.8924812E-002,-7.0047676E-004, 0.0000000E+000, 0.0000000E+000,-2.4272945E-002,-2.1235816E-002, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.4311742E-002
 6.6001167E+001, 0.0000000E+000, 0.0000000E+000, 1.3336667E-003,-2.5002888E-002, 1.8354489E-002,-6.8318866E-004, 0.0000000E+000, 0.0000000E+000,-9.0522215E-003,-5.9979209E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.5531283E-002
 6.7002876E+001, 0.0000000E+000, 0.0000000E+000, 1.2858381E-003,-2.0390371E-002, 1.7948123E-002,-7.2383913E-004, 0.0000000E+000, 0.0000000E+000,-4.8875661E-003,-1.8802496E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.6750924E-002
 6.8001915E+001, 0.0000000E+000, 0.0000000E+000, 1.2668453E-003,-2.2944727E-002, 1.7529348E-002,-7.2275504E-004, 0.0000000E+000, 0.0000000E+000,-7.9745804E-003,-4.8712888E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.7970595E-002
 6.9001236E+001, 0.0000000E+000, 0.0000000E+000, 1.2285473E-003,-2.0602291E-002, 1.6989580E-002,-6.7579972E-004, 0.0000000E+000, 0.0000000E+000,-6.1702477E-003,-3.0599633E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.9188704E-002
 7.0001732E+001, 0.0000000E+000, 0.0000000E+000, 1.1882654E-003,-1.9338557E-002, 1.6796522E-002,-6.9399720E-004, 0.0000000E+000, 0.0000000E+000,-5.2224207E-003,-2.0477667E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.0407664E-002
 7.1002762E+001, 0.0000000E+000, 0.0000000E+000, 1.1591395E-003,-1.9425351E-002, 1.6389501E-002,-6.8955609E-004, 0.0000000E+000, 0.0000000E+000,-5.6512800E-003,-2.5662669E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.1627904E-002
 7.2000900E+001, 0.0000000E+000, 0.0000000E+000, 1.1245954E-003,-1.8260394E-002, 1.6074980E-002,-6.5793015E-004, 0.0000000E+000, 0.0000000E+000,-4.8526150E-003,-1.7187491E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.2846271E-002
 7.3000504E+001, 0.0000000E+000, 0.0000000E+000, 1.1044135E-003,-1.3669327E-002, 1.5387266E-002,-6.9364124E-004, 0.0000000E+000, 0.0000000E+000,-1.0175171E-003, 2.1287110E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.4064281E-002
 7.4002167E+001, 0.0000000E+000, 0.0000000E+000, 1.0653213E-003,-1.5344066E-002, 1.5416739E-002,-6.6313832E-004, 0.0000000E+000, 0.0000000E+000,-2.7135632E-003, 4.7485553E-004, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.5283965E-002
 7.5001503E+001, 0.0000000E+000, 0.0000000E+000, 1.0357122E-003,-1.7502238E-002, 1.5394075E-002,-6.8379201E-004, 0.0000000E+000, 0.0000000E+000,-4.9527643E-003,-1.7562428E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.6503719E-002
 7.6002983E+001, 0.0000000E+000, 0.0000000E+000, 1.0113982E-003,-1.4022547E-002, 1.4779224E-002,-6.6604451E-004, 0.0000000E+000, 0.0000000E+000,-2.0661924E-003, 1.1020301E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.7723397E-002
 7.7000839E+001, 0.0000000E+000, 0.0000000E+000, 9.9150775E-004,-1.3612396E-002, 1.4097634E-002,-6.3837595E-004, 0.0000000E+000, 0.0000000E+000,-2.5009133E-003, 8.3836959E-004, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.8942008E-002
 7.8001717E+001, 0.0000000E+000, 0.0000000E+000, 9.7052093E-004,-1.2275192E-002, 1.4048519E-002,-6.4973357E-004, 0.0000000E+000, 0.0000000E+000,-1.1563336E-003, 2.0941138E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 7.0160415E-002
 7.9001450E+001, 0.0000000E+000, 0.0000000E+000, 9.5030094E-004,-1.4365596E-002, 1.3743505E-002,-6.7878900E-004, 0.0000000E+000, 0.0000000E+000,-3.6093268E-003,-3.5057928E-004, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 7.1380035E-002
 8.0000000E+001, 0.0000000E+000, 0.0000000E+000, 9.3628445E-004,-1.2144789E-002, 1.3248440E-002,-6.6970239E-004, 0.0000000E+000, 0.0000000E+000,-1.9614721E-003, 1.3702337E-003, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 7.2597808E-002
