s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 5.2000412E+001, 4.6934906E+001,-3.7925270E+000,-4.2875318E+001,-2.7186323E-002,-3.3312705E-004, 0.0000000E+000, 0.0000000E+000, 2.8824068E-002, 2.3954185E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.8460642E-002
 5.3000046E+001, 4.6379981E+001,-3.6247384E+000,-4.5671940E+001,-2.7024539E-002,-3.0840624E-004, 0.0000000E+000, 0.0000000E+000,-3.1991905E+000,-2.9440297E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.9679590E-002
 5.4000168E+001, 4.7789806E+001,-3.4982909E+000,-4.1571544E+001,-2.6929202E-002,-3.0876935E-004, 0.0000000E+000, 0.0000000E+000, 2.5196289E+000, 2.6927325E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.0898605E-002
 5.5000317E+001, 4.7291328E+001,-3.2911336E+000,-4.3849306E+001,-3.0316792E-002,-3.1558293E-004, 0.0000000E+000, 0.0000000E+000,-1.6397155E-001, 1.2025648E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.2117846E-002
 5.6000256E+001, 4.6284883E+001,-3.2897868E+000,-4.5870722E+001,-3.5352329E-002,-2.8929137E-004, 0.0000000E+000, 0.0000000E+000,-3.0820551E+000,-2.9112683E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.3337056E-002
 5.7000282E+001, 4.4411751E+001,-2.7273896E+000,-4.2670103E+001,-2.5105286E-002,-2.7390663E-004, 0.0000000E+000, 0.0000000E+000,-1.1241097E+000,-1.0111201E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.4556111E-002
 5.8000160E+001, 4.1161099E+001,-2.2011963E+000,-3.8601096E+001,-3.6511160E-002,-2.5482093E-004, 0.0000000E+000, 0.0000000E+000, 1.6266892E-001, 3.2204033E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.5775233E-002
 5.9000229E+001, 3.2660028E+001,-1.4304915E+000,-3.4572772E+001,-2.2145107E-002,-2.6115539E-004, 0.0000000E+000, 0.0000000E+000,-3.4451900E+000,-3.3656418E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.6994311E-002
 6.0000462E+001, 1.8728789E+001,-5.1308072E-001,-2.5327428E+001,-1.2379500E-002,-2.4644534E-004, 0.0000000E+000, 0.0000000E+000,-7.2800190E+000,-7.1243457E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.8213784E-002
 6.1001148E+001, 7.2141075E+000,-1.4655583E-001,-1.0608048E+001, 9.9921659E-003,-2.1029465E-004, 0.0000000E+000, 0.0000000E+000,-3.5525583E+000,-3.5307143E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.9433576E-002
