s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_C12H26,MLR_PRODUCTS,ZONE_1
 5.8000519E+002, 9.3076498E+001,-4.4045840E+001,-1.4030497E+001,-3.7151268E+001,-2.7478258E-001,-8.4692770E-003, 0.0000000E+000,-2.6153107E+000,-2.4343578E+000, 0.0000000E+000, 2.2117244E-003, 0.0000000E+000, 4.5824288E+001
 5.9001239E+002, 9.1881929E+001,-4.3720983E+001,-1.4071171E+001,-3.6713398E+001,-2.7395532E-001,-1.3092138E-001, 0.0000000E+000,-3.2244941E+000,-3.0285001E+000, 0.0000000E+000, 2.1907292E-003, 0.0000000E+000, 3.4761059E+001
 6.0000531E+002, 9.1824380E+001,-4.3337898E+001,-1.4073498E+001,-3.6250617E+001,-2.7043186E-001, 9.2972023E-002, 0.0000000E+000,-2.2101755E+000,-2.0150936E+000, 0.0000000E+000, 2.1697352E-003, 0.0000000E+000, 4.2252967E+001
 6.1000104E+002, 9.0550458E+001,-4.2830491E+001,-1.4093140E+001,-3.5981439E+001,-2.6834504E-001, 3.1887729E-002, 0.0000000E+000,-2.7744216E+000,-2.5910696E+000, 0.0000000E+000, 2.1493210E-003, 0.0000000E+000, 4.5021454E+001
 6.2000793E+002, 9.0686931E+001,-4.2752943E+001,-1.4064220E+001,-3.5692416E+001,-2.6700923E-001, 7.0263326E-002, 0.0000000E+000,-2.2308496E+000,-2.0193942E+000, 0.0000000E+000, 2.1446209E-003, 0.0000000E+000, 5.0491285E+001
 6.3000201E+002, 9.0513042E+001,-4.2337183E+001,-1.4066200E+001,-3.5319975E+001,-2.6946885E-001, 1.0233126E-001, 0.0000000E+000,-1.5557970E+000,-1.3774531E+000, 0.0000000E+000, 2.1470754E-003, 0.0000000E+000, 5.9098435E+001
 6.4000781E+002, 9.0267835E+001,-4.2251478E+001,-1.4069341E+001,-3.4991246E+001,-2.6947099E-001, 2.3836979E-002, 0.0000000E+000,-1.5068980E+000,-1.2898642E+000, 0.0000000E+000, 2.1495302E-003, 0.0000000E+000, 6.0758987E+001
 6.5000879E+002, 9.0433103E+001,-4.2159802E+001,-1.4080690E+001,-3.5080922E+001,-2.6859550E-001,-5.6800925E-002, 0.0000000E+000,-1.3925730E+000,-1.2137066E+000, 0.0000000E+000, 2.1519840E-003, 0.0000000E+000, 5.6050199E+001
 6.6001318E+002, 9.0619982E+001,-4.1970758E+001,-1.4042158E+001,-3.5094094E+001,-2.7044186E-001, 7.7647618E-002, 0.0000000E+000,-8.6407343E-001,-6.7982204E-001, 0.0000000E+000, 2.1544376E-003, 0.0000000E+000, 6.2409806E+001
 6.7001288E+002, 9.0858118E+001,-4.2053565E+001,-1.3883048E+001,-3.4641304E+001,-2.6850580E-001,-2.6732160E-003, 0.0000000E+000,-1.9626122E-001, 9.0223250E-003, 0.0000000E+000, 2.1568915E-003, 0.0000000E+000, 6.1988688E+001
