s,C,C,C,C,C,C,C
Time,"Air Temp","VTT_1","IRSN_1","TRAC_2","TRAC_4","GRS_2","NRC_2"
 1.2900112E+003, 3.3748421E+002, 4.2733882E+002, 4.1757039E+002, 4.2327367E+002, 4.2289802E+002, 3.5187096E+002, 4.1310766E+002
 1.3000246E+003, 3.3248290E+002, 4.2253305E+002, 4.1464316E+002, 4.1833730E+002, 4.1794736E+002, 3.4930742E+002, 4.0912929E+002
 1.3100310E+003, 3.2747531E+002, 4.1778560E+002, 4.1173097E+002, 4.1346501E+002, 4.1306124E+002, 3.4678115E+002, 4.0509968E+002
 1.3200040E+003, 3.2248252E+002, 4.1304710E+002, 4.0879697E+002, 4.0860249E+002, 4.0818534E+002, 3.4426284E+002, 4.0095423E+002
 1.3300152E+003, 3.1748429E+002, 4.0833321E+002, 4.0585095E+002, 4.0377150E+002, 4.0334152E+002, 3.4176903E+002, 3.9693535E+002
 1.3400234E+003, 3.1247846E+002, 4.0368961E+002, 4.0292636E+002, 3.9902084E+002, 3.9857864E+002, 3.3932024E+002, 3.9299524E+002
 1.3500283E+003, 3.0747989E+002, 3.9907644E+002, 3.9999564E+002, 3.9430353E+002, 3.9384956E+002, 3.3689166E+002, 3.8901484E+002
 1.3600187E+003, 3.0247833E+002, 3.9452514E+002, 3.9708099E+002, 3.8965514E+002, 3.8918985E+002, 3.3450280E+002, 3.8510747E+002
 1.3700388E+003, 2.9747453E+002, 3.8999299E+002, 3.9415315E+002, 3.8502710E+002, 3.8455069E+002, 3.3212199E+002, 3.8108975E+002
 1.3800373E+003, 2.9247039E+002, 3.8545723E+002, 3.9119430E+002, 3.8039693E+002, 3.7990969E+002, 3.2974095E+002, 3.7708943E+002
 1.3900009E+003, 2.8748047E+002, 3.8099672E+002, 3.8826102E+002, 3.7585095E+002, 3.7535338E+002, 3.2740829E+002, 3.7326535E+002
 1.4000185E+003, 2.8248299E+002, 3.7658064E+002, 3.8533549E+002, 3.7135318E+002, 3.7084566E+002, 3.2510152E+002, 3.6940527E+002
 1.4100385E+003, 2.7747344E+002, 3.7220148E+002, 3.8241302E+002, 3.6689678E+002, 3.6637964E+002, 3.2281949E+002, 3.6561964E+002
 1.4200060E+003, 2.7247862E+002, 3.6789962E+002, 3.7952208E+002, 3.6252332E+002, 3.6199690E+002, 3.2058286E+002, 3.6190826E+002
 1.4300151E+003, 2.6748466E+002, 3.6363267E+002, 3.7663259E+002, 3.5818558E+002, 3.5765009E+002, 3.1836216E+002, 3.5809244E+002
 1.4400383E+003, 2.6247698E+002, 3.5936230E+002, 3.7371694E+002, 3.5384503E+002, 3.5330061E+002, 3.1614087E+002, 3.5431495E+002
 1.4500033E+003, 2.5747880E+002, 3.5516102E+002, 3.7082841E+002, 3.4958010E+002, 3.4902704E+002, 3.1396296E+002, 3.5066747E+002
 1.4600267E+003, 2.5248250E+002, 3.5100369E+002, 3.6795007E+002, 3.4536129E+002, 3.4479973E+002, 3.1180750E+002, 3.4697894E+002
 1.4700161E+003, 2.4747691E+002, 3.4687393E+002, 3.6507039E+002, 3.4117200E+002, 3.4060219E+002, 3.0966770E+002, 3.4329987E+002
 1.4800184E+003, 2.4248192E+002, 3.4276284E+002, 3.6218236E+002, 3.3700193E+002, 3.3642413E+002, 3.0753702E+002, 3.3961105E+002
 1.4900035E+003, 2.3748493E+002, 3.3869929E+002, 3.5930939E+002, 3.3288366E+002, 3.3229801E+002, 3.0543627E+002, 3.3601758E+002
 1.5000150E+003, 2.3248494E+002, 3.3466689E+002, 3.5644083E+002, 3.2879767E+002, 3.2820429E+002, 3.0335096E+002, 3.3241640E+002
 1.5100237E+003, 2.2747977E+002, 3.3063740E+002, 3.5355562E+002, 3.2471321E+002, 3.2411215E+002, 3.0126265E+002, 3.2870239E+002
 1.5200222E+003, 2.2247644E+002, 3.2660313E+002, 3.5064582E+002, 3.2062418E+002, 3.2001561E+002, 2.9917288E+002, 3.2502426E+002
 1.5300394E+003, 2.1747605E+002, 3.2262982E+002, 3.4776369E+002, 3.1660335E+002, 3.1598754E+002, 2.9712755E+002, 3.2155705E+002
 1.5400362E+003, 2.1246666E+002, 3.1872128E+002, 3.4491532E+002, 3.1265035E+002, 3.1202746E+002, 2.9511792E+002, 3.1809699E+002
 1.5500132E+003, 2.0747628E+002, 3.1486491E+002, 3.4209171E+002, 3.0875067E+002, 3.0812075E+002, 2.9313522E+002, 3.1466259E+002
 1.5600224E+003, 2.0410330E+002, 3.1101671E+002, 3.3925829E+002, 3.0485702E+002, 3.0422013E+002, 2.9115008E+002, 3.1107645E+002
