s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 6.200E+01, 1.250E+00, 5.925E+01, 9.973E+01, 1.068E+02, 1.447E+02, 2.112E+02, 4.561E+01, 5.105E+01, 6.734E+02, 1.003E+03, 5.524E+01, 5.095E+01
 6.302E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.082E+02, 1.409E+02, 2.126E+02, 4.559E+01, 4.959E+01, 5.415E+02, 1.031E+03, 5.385E+01, 5.070E+01
 6.401E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.113E+02, 1.427E+02, 2.114E+02, 4.555E+01, 4.818E+01, 4.622E+02, 9.948E+02, 5.995E+01, 5.103E+01
 6.501E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.124E+02, 1.416E+02, 2.149E+02, 4.552E+01, 4.712E+01, 3.456E+02, 9.981E+02, 6.806E+01, 5.072E+01
 6.600E+01, 1.250E+00, 5.925E+01, 9.953E+01, 1.149E+02, 1.420E+02, 2.044E+02, 4.550E+01, 4.629E+01, 2.648E+02, 1.023E+03, 6.287E+01, 5.046E+01
 6.700E+01, 1.250E+00, 5.925E+01, 9.961E+01, 1.155E+02, 1.517E+02, 2.143E+02, 4.548E+01, 4.562E+01, 2.160E+02, 9.840E+02, 6.900E+01, 4.825E+01
 6.800E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.181E+02, 1.433E+02, 2.154E+02, 4.546E+01, 4.507E+01, 1.692E+02, 1.003E+03, 8.518E+01, 4.823E+01
 6.901E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.212E+02, 1.495E+02, 2.191E+02, 4.545E+01, 4.463E+01, 1.470E+02, 9.950E+02, 9.563E+01, 4.858E+01
 7.001E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.216E+02, 1.499E+02, 1.836E+02, 4.543E+01, 4.423E+01, 1.244E+02, 9.998E+02, 9.069E+01, 5.041E+01
 7.100E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.241E+02, 1.431E+02, 1.938E+02, 4.542E+01, 4.380E+01, 1.103E+02, 1.035E+03, 1.007E+02, 5.400E+01
 7.200E+01, 1.250E+00, 5.925E+01, 9.975E+01, 1.279E+02, 1.429E+02, 1.889E+02, 4.542E+01, 4.336E+01, 9.203E+01, 1.020E+03, 1.454E+02, 5.436E+01
 7.301E+01, 1.250E+00, 5.925E+01, 9.974E+01, 1.300E+02, 1.434E+02, 1.837E+02, 4.540E+01, 4.293E+01, 7.854E+01, 1.012E+03, 1.655E+02, 6.107E+01
 7.401E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.304E+02, 1.436E+02, 1.805E+02, 4.539E+01, 4.259E+01, 7.239E+01, 9.980E+02, 1.169E+02, 6.638E+01
 7.500E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.311E+02, 1.470E+02, 1.821E+02, 4.538E+01, 4.225E+01, 6.801E+01, 9.521E+02, 9.759E+01, 6.824E+01
 7.600E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.339E+02, 1.409E+02, 1.861E+02, 4.537E+01, 4.194E+01, 6.171E+01, 9.994E+02, 1.734E+02, 6.291E+01
 7.700E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.359E+02, 1.408E+02, 1.899E+02, 4.536E+01, 4.166E+01, 5.581E+01, 9.631E+02, 2.656E+02, 6.159E+01
 7.801E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.374E+02, 1.403E+02, 1.840E+02, 4.535E+01, 4.140E+01, 5.324E+01, 9.901E+02, 4.873E+02, 6.053E+01
 7.900E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.389E+02, 1.404E+02, 1.804E+02, 4.534E+01, 4.116E+01, 5.148E+01, 9.716E+02, 9.277E+02, 6.210E+01
 8.000E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.394E+02, 1.410E+02, 1.847E+02, 4.534E+01, 4.095E+01, 5.016E+01, 9.999E+02, 1.020E+03, 6.131E+01
 8.101E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.418E+02, 1.905E+02, 4.533E+01, 4.075E+01, 4.891E+01, 9.301E+02, 1.003E+03, 6.299E+01
 8.201E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.439E+02, 1.818E+02, 4.533E+01, 4.057E+01, 4.784E+01, 7.131E+02, 1.015E+03, 6.641E+01
 8.301E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.449E+02, 1.854E+02, 4.532E+01, 4.041E+01, 4.706E+01, 6.863E+02, 9.732E+02, 6.423E+01
 8.401E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.398E+02, 1.476E+02, 1.890E+02, 4.531E+01, 4.026E+01, 4.650E+01, 6.407E+02, 1.046E+03, 6.097E+01
 8.501E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.497E+02, 1.810E+02, 4.531E+01, 4.011E+01, 4.596E+01, 5.215E+02, 9.901E+02, 6.230E+01
 8.601E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.398E+02, 1.499E+02, 1.818E+02, 4.530E+01, 3.997E+01, 4.548E+01, 3.637E+02, 9.901E+02, 7.051E+01
 8.701E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.529E+02, 1.853E+02, 4.529E+01, 3.984E+01, 4.509E+01, 2.326E+02, 9.728E+02, 6.622E+01
 8.801E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.547E+02, 1.879E+02, 4.528E+01, 3.971E+01, 4.478E+01, 1.643E+02, 9.882E+02, 6.145E+01
 8.901E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.397E+02, 1.567E+02, 1.949E+02, 4.527E+01, 3.959E+01, 4.449E+01, 1.269E+02, 9.682E+02, 6.004E+01
 9.001E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.561E+02, 1.996E+02, 4.527E+01, 3.947E+01, 4.421E+01, 9.764E+01, 8.070E+02, 6.354E+01
 9.101E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.394E+02, 1.604E+02, 1.827E+02, 4.526E+01, 3.936E+01, 4.394E+01, 8.221E+01, 9.154E+02, 6.866E+01
 9.201E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.614E+02, 1.855E+02, 4.525E+01, 3.925E+01, 4.370E+01, 7.270E+01, 9.110E+02, 6.925E+01
 9.300E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.627E+02, 1.950E+02, 4.524E+01, 3.914E+01, 4.346E+01, 6.605E+01, 9.247E+02, 6.453E+01
 9.401E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.644E+02, 2.027E+02, 4.523E+01, 3.904E+01, 4.323E+01, 6.190E+01, 9.286E+02, 6.101E+01
 9.500E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.654E+02, 1.931E+02, 4.523E+01, 3.895E+01, 4.300E+01, 5.937E+01, 8.177E+02, 6.500E+01
 9.600E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.669E+02, 2.030E+02, 4.522E+01, 3.886E+01, 4.278E+01, 5.734E+01, 9.706E+02, 6.473E+01
 9.701E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.693E+02, 1.896E+02, 4.521E+01, 3.877E+01, 4.259E+01, 5.552E+01, 9.646E+02, 7.102E+01
