s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 7.800E+01, 1.750E+00, 2.675E+01, 4.376E+01, 5.676E+01, 8.962E+01, 9.500E+01, 4.051E+01, 4.125E+01, 4.688E+01, 4.629E+01, 1.766E+02, 8.001E+02
 7.903E+01, 1.750E+00, 2.675E+01, 4.391E+01, 5.884E+01, 8.958E+01, 9.623E+01, 4.046E+01, 4.110E+01, 4.652E+01, 4.631E+01, 1.330E+02, 7.801E+02
 8.001E+01, 1.750E+00, 2.675E+01, 4.225E+01, 5.652E+01, 8.959E+01, 9.704E+01, 4.041E+01, 4.097E+01, 4.616E+01, 4.658E+01, 1.110E+02, 7.979E+02
 8.101E+01, 1.750E+00, 2.675E+01, 4.350E+01, 5.625E+01, 8.959E+01, 9.704E+01, 4.036E+01, 4.083E+01, 4.589E+01, 4.674E+01, 7.884E+01, 7.600E+02
 8.202E+01, 1.750E+00, 2.675E+01, 4.354E+01, 5.625E+01, 8.925E+01, 9.819E+01, 4.031E+01, 4.070E+01, 4.547E+01, 4.688E+01, 7.487E+01, 7.286E+02
 8.300E+01, 1.750E+00, 2.675E+01, 4.225E+01, 5.808E+01, 8.975E+01, 9.822E+01, 4.026E+01, 4.056E+01, 4.523E+01, 4.664E+01, 7.305E+01, 7.307E+02
 8.402E+01, 1.750E+00, 2.675E+01, 4.632E+01, 6.014E+01, 8.975E+01, 9.873E+01, 4.020E+01, 4.040E+01, 4.489E+01, 4.607E+01, 6.772E+01, 7.324E+02
 8.501E+01, 1.750E+00, 2.675E+01, 4.713E+01, 5.821E+01, 8.975E+01, 9.921E+01, 4.015E+01, 4.026E+01, 4.485E+01, 4.552E+01, 6.365E+01, 7.196E+02
 8.601E+01, 1.750E+00, 2.675E+01, 4.475E+01, 5.625E+01, 8.931E+01, 9.975E+01, 4.011E+01, 4.015E+01, 4.473E+01, 4.570E+01, 6.035E+01, 7.751E+02
 8.701E+01, 1.750E+00, 2.675E+01, 4.475E+01, 5.709E+01, 8.925E+01, 9.975E+01, 4.006E+01, 4.007E+01, 4.474E+01, 4.525E+01, 6.240E+01, 5.905E+02
 8.801E+01, 1.750E+00, 2.675E+01, 4.475E+01, 6.188E+01, 8.943E+01, 9.975E+01, 4.001E+01, 3.998E+01, 4.471E+01, 4.458E+01, 6.137E+01, 3.089E+02
 8.903E+01, 1.750E+00, 2.675E+01, 4.475E+01, 5.953E+01, 8.876E+01, 9.951E+01, 3.997E+01, 3.987E+01, 4.473E+01, 4.443E+01, 6.033E+01, 1.749E+02
 9.000E+01, 1.750E+00, 2.675E+01, 4.475E+01, 6.165E+01, 8.975E+01, 9.975E+01, 3.993E+01, 3.977E+01, 4.474E+01, 4.412E+01, 6.007E+01, 1.392E+02
 9.101E+01, 1.750E+00, 2.675E+01, 4.275E+01, 6.334E+01, 8.975E+01, 9.975E+01, 3.988E+01, 3.969E+01, 4.466E+01, 4.428E+01, 5.845E+01, 1.086E+02
 9.201E+01, 1.750E+00, 2.675E+01, 4.275E+01, 6.462E+01, 8.886E+01, 9.984E+01, 3.984E+01, 3.961E+01, 4.469E+01, 4.419E+01, 5.725E+01, 8.251E+01
 9.302E+01, 1.750E+00, 2.675E+01, 4.275E+01, 6.599E+01, 8.922E+01, 9.975E+01, 3.979E+01, 3.955E+01, 4.465E+01, 4.374E+01, 5.806E+01, 6.979E+01
 9.401E+01, 1.750E+00, 2.675E+01, 4.275E+01, 6.872E+01, 8.975E+01, 1.006E+02, 3.975E+01, 3.953E+01, 4.456E+01, 4.330E+01, 5.661E+01, 6.643E+01
 9.502E+01, 1.750E+00, 2.675E+01, 4.275E+01, 6.914E+01, 8.975E+01, 9.871E+01, 3.971E+01, 3.950E+01, 4.445E+01, 4.305E+01, 5.621E+01, 6.218E+01
 9.601E+01, 1.750E+00, 2.675E+01, 4.275E+01, 6.898E+01, 8.972E+01, 9.675E+01, 3.968E+01, 3.942E+01, 4.426E+01, 4.282E+01, 5.326E+01, 6.253E+01
 9.703E+01, 1.750E+00, 2.675E+01, 4.275E+01, 5.627E+01, 8.975E+01, 9.768E+01, 3.964E+01, 3.934E+01, 4.407E+01, 4.235E+01, 5.219E+01, 6.090E+01
 9.802E+01, 1.750E+00, 2.675E+01, 4.275E+01, 5.375E+01, 8.975E+01, 9.780E+01, 3.960E+01, 3.928E+01, 4.386E+01, 4.230E+01, 5.054E+01, 5.923E+01
 9.903E+01, 1.750E+00, 2.675E+01, 4.275E+01, 5.375E+01, 8.975E+01, 9.823E+01, 3.956E+01, 3.922E+01, 4.361E+01, 4.206E+01, 4.820E+01, 5.942E+01
 1.000E+02, 1.750E+00, 2.675E+01, 4.275E+01, 5.375E+01, 8.956E+01, 9.579E+01, 3.952E+01, 3.915E+01, 4.340E+01, 4.192E+01, 4.739E+01, 5.791E+01
 1.010E+02, 1.750E+00, 2.675E+01, 4.275E+01, 5.375E+01, 8.975E+01, 9.653E+01, 3.949E+01, 3.909E+01, 4.319E+01, 4.181E+01, 4.794E+01, 5.754E+01
 1.020E+02, 1.750E+00, 2.675E+01, 4.275E+01, 5.375E+01, 8.957E+01, 9.778E+01, 3.945E+01, 3.907E+01, 4.298E+01, 4.174E+01, 4.653E+01, 5.584E+01
 1.030E+02, 1.750E+00, 2.675E+01, 4.275E+01, 5.375E+01, 8.932E+01, 9.827E+01, 3.941E+01, 3.904E+01, 4.280E+01, 4.164E+01, 4.691E+01, 5.423E+01
 1.040E+02, 1.750E+00, 2.675E+01, 4.142E+01, 5.375E+01, 8.975E+01, 9.865E+01, 3.938E+01, 3.902E+01, 4.265E+01, 4.136E+01, 4.733E+01, 5.082E+01
 1.050E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.375E+01, 8.975E+01, 9.825E+01, 3.935E+01, 3.900E+01, 4.257E+01, 4.117E+01, 4.686E+01, 5.013E+01
 1.060E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.375E+01, 8.555E+01, 9.825E+01, 3.931E+01, 3.897E+01, 4.251E+01, 4.113E+01, 4.554E+01, 5.045E+01
 1.070E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.375E+01, 8.745E+01, 9.825E+01, 3.928E+01, 3.893E+01, 4.243E+01, 4.113E+01, 4.619E+01, 5.063E+01
 1.080E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.375E+01, 8.740E+01, 9.818E+01, 3.924E+01, 3.889E+01, 4.233E+01, 4.082E+01, 4.714E+01, 5.111E+01
 1.090E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.282E+01, 8.891E+01, 9.764E+01, 3.921E+01, 3.884E+01, 4.230E+01, 4.074E+01, 4.771E+01, 5.004E+01
 1.100E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.375E+01, 8.959E+01, 9.379E+01, 3.918E+01, 3.878E+01, 4.220E+01, 4.077E+01, 4.588E+01, 4.736E+01
 1.110E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.364E+01, 8.934E+01, 9.175E+01, 3.915E+01, 3.872E+01, 4.202E+01, 4.062E+01, 4.447E+01, 4.645E+01
 1.120E+02, 1.750E+00, 2.675E+01, 4.075E+01, 5.275E+01, 8.957E+01, 9.175E+01, 3.912E+01, 3.866E+01, 4.194E+01, 4.053E+01, 4.242E+01, 4.713E+01
 1.130E+02, 1.750E+00, 2.678E+01, 4.120E+01, 5.373E+01, 8.959E+01, 9.338E+01, 3.909E+01, 3.858E+01, 4.182E+01, 4.056E+01, 4.188E+01, 4.588E+01
 1.140E+02, 1.750E+00, 2.725E+01, 4.175E+01, 5.375E+01, 8.967E+01, 9.649E+01, 3.906E+01, 3.853E+01, 4.179E+01, 4.044E+01, 4.154E+01, 4.614E+01
 1.150E+02, 1.750E+00, 2.725E+01, 4.175E+01, 5.375E+01, 8.938E+01, 9.705E+01, 3.903E+01, 3.853E+01, 4.178E+01, 4.040E+01, 4.094E+01, 4.677E+01
 1.160E+02, 1.750E+00, 2.725E+01, 4.175E+01, 5.304E+01, 8.838E+01, 9.728E+01, 3.900E+01, 3.853E+01, 4.170E+01, 4.037E+01, 4.044E+01, 4.604E+01
 1.170E+02, 1.750E+00, 2.725E+01, 4.175E+01, 5.375E+01, 8.799E+01, 9.602E+01, 3.897E+01, 3.850E+01, 4.163E+01, 4.047E+01, 4.014E+01, 4.486E+01
 1.180E+02, 1.750E+00, 2.725E+01, 4.175E+01, 5.375E+01, 8.908E+01, 9.613E+01, 3.894E+01, 3.844E+01, 4.149E+01, 4.039E+01, 3.993E+01, 4.414E+01
 1.190E+02, 1.750E+00, 2.789E+01, 4.191E+01, 5.364E+01, 8.921E+01, 9.686E+01, 3.891E+01, 3.835E+01, 4.128E+01, 4.040E+01, 3.990E+01, 4.385E+01
 1.200E+02, 1.750E+00, 2.875E+01, 4.225E+01, 5.375E+01, 8.964E+01, 9.675E+01, 3.888E+01, 3.833E+01, 4.119E+01, 4.044E+01, 3.959E+01, 4.305E+01
