s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
 4.2000400E+002, 5.3127552E+002, 0.0000000E+000,-4.2071775E+002,-5.8291957E+000,-1.4808354E+002,-6.6420064E-002,-2.3941091E-004, 0.0000000E+000,-4.4721212E+001,-4.3421619E+001,-4.5287416E-005, 1.1672778E-002,-7.6942944E-006,-7.9152699E-001,-1.0031100E+000,-7.2052636E-001,-8.5599940E-001,-8.6377810E-001,-8.7199398E-001,-6.8097483E-001,-6.8957223E-001,-1.0093545E+000,-6.4708562E-001,-6.6142806E-001,-1.2545973E+000,-6.4746944E-001,-6.6648105E-001,-1.3256587E+000,-6.4683223E-001,-6.6732846E-001,-1.3218134E+000
 4.3000079E+002, 5.1545310E+002, 0.0000000E+000,-4.0677285E+002,-5.3463029E+000,-1.4518872E+002,-6.4614610E-002,-9.7213757E-004, 0.0000000E+000,-4.3306549E+001,-4.1920358E+001,-3.1018074E-005, 1.1327837E-002,-6.6222320E-006,-7.8006960E-001,-9.7977586E-001,-7.2421616E-001,-8.5618787E-001,-8.5831731E-001,-8.6625545E-001,-6.7936910E-001,-6.8939676E-001,-9.9181819E-001,-6.4709790E-001,-6.6143161E-001,-1.2705495E+000,-6.4745356E-001,-6.6629820E-001,-1.3792047E+000,-6.4681891E-001,-6.6719202E-001,-1.3414481E+000
 4.4000751E+002, 5.0007741E+002, 0.0000000E+000,-3.9479699E+002,-5.6120405E+000,-1.4232566E+002,-6.2923105E-002, 2.2789510E-004, 0.0000000E+000,-4.3897274E+001,-4.2719976E+001,-8.7272095E-005, 1.0982777E-002,-5.2227782E-006,-7.8654150E-001,-1.0344678E+000,-7.2117630E-001,-8.5740738E-001,-8.6133344E-001,-8.9185986E-001,-6.7831298E-001,-6.8889276E-001,-9.8801798E-001,-6.4708037E-001,-6.6132364E-001,-1.2764073E+000,-6.4742721E-001,-6.6618534E-001,-1.3619963E+000,-6.4679736E-001,-6.6722156E-001,-1.3295610E+000
 4.5000189E+002, 4.8416818E+002, 0.0000000E+000,-3.8141092E+002,-6.5676381E+000,-1.3980299E+002,-6.1208273E-002, 1.1625827E-003, 0.0000000E+000,-4.5011203E+001,-4.3673418E+001,-5.8922926E-005, 1.0637659E-002,-1.5925417E-005,-7.8622234E-001,-1.0233072E+000,-7.2158347E-001,-8.5822758E-001,-8.6199995E-001,-8.8207601E-001,-6.7792996E-001,-6.8877620E-001,-9.9682313E-001,-6.4709540E-001,-6.6131638E-001,-1.2113199E+000,-6.4744934E-001,-6.6620877E-001,-1.3438305E+000,-6.4681019E-001,-6.6723833E-001,-1.3364120E+000
 4.6001187E+002, 4.6845589E+002, 0.0000000E+000,-3.6836921E+002,-5.2103783E+000,-1.3721743E+002,-5.9272815E-002, 1.2334287E-003, 0.0000000E+000,-4.3682985E+001,-4.2399166E+001,-2.7676317E-005, 1.0292551E-002,-7.5837240E-006,-7.8320152E-001,-1.0227285E+000,-7.2536833E-001,-8.5820785E-001,-8.5904777E-001,-9.0207251E-001,-6.7628328E-001,-6.8842788E-001,-9.6588423E-001,-6.4705939E-001,-6.6123511E-001,-1.2271870E+000,-6.4745752E-001,-6.6633742E-001,-1.3176862E+000,-6.4684369E-001,-6.6730248E-001,-1.3067825E+000
 4.7000690E+002, 4.5282014E+002, 0.0000000E+000,-3.5481004E+002,-6.0975235E+000,-1.3455412E+002,-5.7462730E-002, 6.2830613E-006, 0.0000000E+000,-4.4051134E+001,-4.2699003E+001,-1.2712420E-005, 9.9474433E-003, 2.0527348E-006,-7.8264490E-001,-1.0241805E+000,-7.2199121E-001,-8.5886517E-001,-8.6225167E-001,-8.6669348E-001,-6.7722039E-001,-6.8830871E-001,-9.6884792E-001,-6.4707097E-001,-6.6135661E-001,-1.2131320E+000,-6.4744334E-001,-6.6622992E-001,-1.2962644E+000,-6.4683251E-001,-6.6716475E-001,-1.3404287E+000
 4.8000970E+002, 4.3716925E+002, 0.0000000E+000,-3.4172871E+002,-4.8136530E+000,-1.3218842E+002,-5.5516096E-002,-1.1513420E-003, 0.0000000E+000,-4.2667482E+001,-4.1618198E+001,-4.3412331E-005, 9.6024164E-003, 3.3580563E-006,-7.8424963E-001,-1.0220151E+000,-7.2314431E-001,-8.5976293E-001,-8.6048243E-001,-8.3049982E-001,-6.7892463E-001,-6.8728712E-001,-9.6714423E-001,-6.4702208E-001,-6.6105870E-001,-1.2339111E+000,-6.4739086E-001,-6.6617622E-001,-1.3432967E+000,-6.4683816E-001,-6.6725887E-001,-1.3434458E+000
 4.9000958E+002, 4.2125704E+002, 0.0000000E+000,-3.2855758E+002,-6.2923430E+000,-1.2941390E+002,-5.3657521E-002, 1.3008868E-003, 0.0000000E+000,-4.4398404E+001,-4.3059134E+001,-1.8395633E-005, 9.2573082E-003,-5.7391343E-006,-7.8489565E-001,-1.0281478E+000,-7.2233175E-001,-8.5641997E-001,-8.6175091E-001,-8.5383761E-001,-6.7733224E-001,-6.8753666E-001,-9.4334099E-001,-6.4702613E-001,-6.6092545E-001,-1.2285068E+000,-6.4736537E-001,-6.6612847E-001,-1.3236981E+000,-6.4683140E-001,-6.6719330E-001,-1.3149383E+000
 5.0000165E+002, 4.0577466E+002, 0.0000000E+000,-3.1547874E+002,-5.8531798E+000,-1.2803067E+002,-5.1753775E-002, 1.1888461E-003, 0.0000000E+000,-4.4930969E+001,-4.3638495E+001,-4.3983189E-005, 8.9124214E-003, 1.1276640E-006,-7.8221618E-001,-1.0229041E+000,-7.2301927E-001,-8.6117040E-001,-8.6292376E-001,-8.3817004E-001,-6.7685070E-001,-6.8691566E-001,-9.6260561E-001,-6.4699620E-001,-6.6129100E-001,-1.1675665E+000,-6.4737702E-001,-6.6595554E-001,-1.3029423E+000,-6.4680077E-001,-6.6688023E-001,-1.3114175E+000
 5.1000430E+002, 3.8997907E+002, 0.0000000E+000,-3.0272612E+002,-5.6570734E+000,-1.2527234E+002,-4.9819129E-002, 8.3471562E-005, 0.0000000E+000,-4.4878603E+001,-4.3726202E+001,-2.0532628E-005, 8.5675088E-003,-6.3480512E-006,-7.7699983E-001,-1.0236607E+000,-7.2260693E-001,-8.5636917E-001,-8.5709909E-001,-8.4251927E-001,-6.7713110E-001,-6.8677727E-001,-9.6704556E-001,-6.4697710E-001,-6.6101864E-001,-1.1710764E+000,-6.4733359E-001,-6.6565670E-001,-1.2919932E+000,-6.4679877E-001,-6.6683078E-001,-1.3164172E+000
 5.2000696E+002, 3.7904199E+002, 0.0000000E+000,-2.9257976E+002,-5.7514608E+000,-1.2298582E+002,-4.8833881E-002,-1.2819946E-003, 0.0000000E+000,-4.3574539E+001,-4.2325165E+001,-5.2574752E-006, 8.3298497E-003, 4.5735665E-006,-7.7650585E-001,-9.9774374E-001,-7.2234541E-001,-8.5420049E-001,-8.6140481E-001,-8.2849354E-001,-6.7727527E-001,-6.8643430E-001,-9.4789461E-001,-6.4698460E-001,-6.6111309E-001,-1.2158005E+000,-6.4729613E-001,-6.6550561E-001,-1.3192679E+000,-6.4676958E-001,-6.6666408E-001,-1.3413379E+000
 5.3000848E+002, 3.7307357E+002, 0.0000000E+000,-2.8372803E+002,-5.8478120E+000,-1.2178124E+002,-4.8170854E-002, 1.8153734E-003, 0.0000000E+000,-3.9559121E+001,-3.8329873E+001,-3.4681772E-005, 8.1993152E-003,-3.0297056E-006,-7.7597007E-001,-1.0097719E+000,-7.2334782E-001,-8.4816681E-001,-8.4752718E-001,-8.2847980E-001,-6.7484322E-001,-6.8629847E-001,-9.4311287E-001,-6.4695075E-001,-6.6076579E-001,-1.1863536E+000,-6.4729313E-001,-6.6550047E-001,-1.2836842E+000,-6.4680606E-001,-6.6656333E-001,-1.3133829E+000
 5.4000055E+002, 3.6723316E+002, 0.0000000E+000,-2.7619474E+002,-5.9282136E+000,-1.1988095E+002,-4.7486339E-002,-3.7456210E-004, 0.0000000E+000,-3.6103042E+001,-3.4818597E+001,-6.7769154E-005, 8.0688288E-003,-8.0836757E-006,-7.7585422E-001,-9.9261973E-001,-7.2218991E-001,-8.5857289E-001,-8.5748259E-001,-8.2951489E-001,-6.7503023E-001,-6.8620229E-001,-9.4516641E-001,-6.4696993E-001,-6.6062312E-001,-1.1788912E+000,-6.4727933E-001,-6.6520965E-001,-1.2658452E+000,-6.4677835E-001,-6.6661077E-001,-1.3542370E+000
 5.5000488E+002, 3.6130820E+002, 0.0000000E+000,-2.7153200E+002,-5.0693233E+000,-1.1746425E+002,-4.6788609E-002,-1.1313301E-003, 0.0000000E+000,-3.3989671E+001,-3.2805287E+001,-4.7148765E-005, 7.9383464E-003, 3.7774179E-007,-7.7595666E-001,-1.0162700E+000,-7.2282872E-001,-8.5253262E-001,-8.6909104E-001,-8.3663066E-001,-6.7460082E-001,-6.8548518E-001,-9.3682399E-001,-6.4695394E-001,-6.6071599E-001,-1.2089892E+000,-6.4723884E-001,-6.6507347E-001,-1.3345472E+000,-6.4673456E-001,-6.6649780E-001,-1.3282076E+000
 5.6000073E+002, 3.5526120E+002, 0.0000000E+000,-2.6597349E+002,-6.4255128E+000,-1.1586035E+002,-4.6016410E-002, 7.2150052E-004, 0.0000000E+000,-3.4268465E+001,-3.3043446E+001,-7.1378511E-005, 7.8078120E-003,-6.3889099E-006,-7.7204005E-001,-1.0289943E+000,-7.2568046E-001,-8.4733809E-001,-8.6580484E-001,-8.4593748E-001,-6.7365942E-001,-6.8556713E-001,-9.5868152E-001,-6.4692977E-001,-6.6043907E-001,-1.1965557E+000,-6.4720931E-001,-6.6511944E-001,-1.2947394E+000,-6.4673810E-001,-6.6645254E-001,-1.3150300E+000
 5.7000732E+002, 3.4938142E+002, 0.0000000E+000,-2.6057359E+002,-5.6901320E+000,-1.1488279E+002,-4.5222533E-002, 3.3804991E-004, 0.0000000E+000,-3.3007481E+001,-3.1809979E+001,-6.6424594E-005, 7.6772968E-003,-3.7021731E-006,-7.7262465E-001,-9.8654381E-001,-7.2393689E-001,-8.5072495E-001,-8.6268356E-001,-8.3756088E-001,-6.7463658E-001,-6.8562976E-001,-9.3473044E-001,-6.4690985E-001,-6.6063097E-001,-1.2206306E+000,-6.4718427E-001,-6.6520485E-001,-1.2806604E+000,-6.4673762E-001,-6.6631751E-001,-1.3163489E+000
 5.8000000E+002, 3.4338356E+002, 0.0000000E+000,-2.5475446E+002,-5.2354852E+000,-1.1358360E+002,-4.4599305E-002, 1.3302355E-003, 0.0000000E+000,-3.1480662E+001,-3.0233257E+001,-3.5379455E-005, 7.5467597E-003, 3.6862447E-007,-7.6898754E-001,-9.9095198E-001,-7.2304384E-001,-8.4101025E-001,-8.5364964E-001,-8.3297565E-001,-6.7298143E-001,-6.8498884E-001,-9.3425813E-001,-6.4689581E-001,-6.6097567E-001,-1.1757912E+000,-6.4720412E-001,-6.6497339E-001,-1.2784155E+000,-6.4676573E-001,-6.6619277E-001,-1.2984472E+000
 5.9000665E+002, 3.3757829E+002, 0.0000000E+000,-2.4980658E+002,-6.0030570E+000,-1.1206088E+002,-4.4050933E-002,-4.2097028E-004, 0.0000000E+000,-3.1671104E+001,-3.0336699E+001, 1.1212301E-005, 7.4162632E-003,-3.1454646E-006,-7.6425714E-001,-9.7700059E-001,-7.2119752E-001,-8.2565791E-001,-8.5845836E-001,-8.1411699E-001,-6.7251051E-001,-6.8493437E-001,-9.4497137E-001,-6.4685527E-001,-6.6034629E-001,-1.1838184E+000,-6.4715111E-001,-6.6495587E-001,-1.2914928E+000,-6.4673703E-001,-6.6588295E-001,-1.3031721E+000
 6.0001263E+002, 3.3151573E+002, 0.0000000E+000,-2.4476613E+002,-5.3855659E+000,-1.1129621E+002,-4.3252115E-002, 1.6286286E-003, 0.0000000E+000,-3.1097594E+001,-2.9973807E+001,-2.6101632E-005, 7.2856454E-003, 1.7959216E-006,-7.6521972E-001,-9.6548264E-001,-7.2586989E-001,-8.2815869E-001,-8.6138178E-001,-8.3866616E-001,-6.7079915E-001,-6.8450385E-001,-9.3422712E-001,-6.4681374E-001,-6.6026040E-001,-1.1565051E+000,-6.4712274E-001,-6.6476903E-001,-1.2706644E+000,-6.4672892E-001,-6.6583897E-001,-1.2641880E+000
 6.1000269E+002, 3.2561231E+002, 0.0000000E+000,-2.3995221E+002,-5.4237012E+000,-1.0972923E+002,-4.2539957E-002,-1.9033530E-003, 0.0000000E+000,-3.0767853E+001,-2.9537268E+001,-4.3219802E-005, 7.1551647E-003, 4.3439200E-006,-7.5883214E-001,-9.6345515E-001,-7.2583328E-001,-8.3149501E-001,-8.5686437E-001,-8.4605686E-001,-6.6976140E-001,-6.8404115E-001,-9.4577812E-001,-6.4680606E-001,-6.6020669E-001,-1.1586037E+000,-6.4709422E-001,-6.6445047E-001,-1.3004637E+000,-6.4671352E-001,-6.6566780E-001,-1.3324684E+000
 6.2000677E+002, 3.1973882E+002, 0.0000000E+000,-2.3507503E+002,-5.5861069E+000,-1.0751362E+002,-4.2008681E-002, 1.8195522E-003, 0.0000000E+000,-2.9648894E+001,-2.8476119E+001,-7.6089877E-005, 7.0247005E-003,-9.5519868E-006,-7.6260257E-001,-9.6554963E-001,-7.2760973E-001,-8.2194893E-001,-8.5694863E-001,-8.2351831E-001,-6.7090675E-001,-6.8375827E-001,-9.2462324E-001,-6.4677232E-001,-6.5983204E-001,-1.1790723E+000,-6.4705838E-001,-6.6444437E-001,-1.2570040E+000,-6.4672998E-001,-6.6577171E-001,-1.2722725E+000
 6.3000824E+002, 3.1372360E+002, 0.0000000E+000,-2.3005594E+002,-5.8718882E+000,-1.0639765E+002,-4.1325288E-002, 1.0100021E-003, 0.0000000E+000,-2.9836408E+001,-2.8642200E+001,-1.0787719E-004, 6.8941304E-003,-1.1896920E-005,-7.6116407E-001,-9.5553658E-001,-7.2817398E-001,-8.2428081E-001,-8.5559019E-001,-8.1486936E-001,-6.7143305E-001,-6.8374267E-001,-9.1390057E-001,-6.4678029E-001,-6.5975347E-001,-1.1395236E+000,-6.4709346E-001,-6.6465356E-001,-1.2422138E+000,-6.4675415E-001,-6.6562932E-001,-1.2823099E+000
 6.4001105E+002, 3.0776528E+002, 0.0000000E+000,-2.2496251E+002,-6.0073795E+000,-1.0538236E+002,-4.0523786E-002,-2.0152444E-003, 0.0000000E+000,-2.9858681E+001,-2.8629518E+001,-7.4359716E-005, 6.7635737E-003, 7.0389602E-006,-7.6320556E-001,-9.7387414E-001,-7.2650338E-001,-8.2173402E-001,-8.5398588E-001,-8.3028672E-001,-6.6946474E-001,-6.8323705E-001,-9.3270429E-001,-6.4675557E-001,-6.6013359E-001,-1.1765354E+000,-6.4706572E-001,-6.6445623E-001,-1.2895149E+000,-6.4674365E-001,-6.6560046E-001,-1.2950203E+000
 6.5000922E+002, 3.0193015E+002, 0.0000000E+000,-2.2001329E+002,-5.1909091E+000,-1.0389618E+002,-3.9694289E-002, 1.4274644E-003, 0.0000000E+000,-2.8409308E+001,-2.7208497E+001,-6.7705321E-005, 6.6330718E-003,-5.1983352E-006,-7.6387677E-001,-9.4670061E-001,-7.2515443E-001,-8.1910997E-001,-8.5190444E-001,-8.1466112E-001,-6.7117502E-001,-6.8275643E-001,-9.3190683E-001,-6.4673774E-001,-6.6000310E-001,-1.1486281E+000,-6.4704225E-001,-6.6422224E-001,-1.2278451E+000,-6.4674127E-001,-6.6548804E-001,-1.3055032E+000
 6.6000653E+002, 2.9590209E+002, 0.0000000E+000,-2.1607915E+002,-5.2874436E+000,-1.0425620E+002,-3.9127640E-002,-6.1558391E-004, 0.0000000E+000,-3.0976720E+001,-2.9760445E+001,-2.5093788E-005, 6.5025850E-003,-4.1984965E-006,-7.6144537E-001,-9.2632177E-001,-7.2393645E-001,-8.2231284E-001,-8.5933190E-001,-8.0724720E-001,-6.7098771E-001,-6.8241075E-001,-9.1849734E-001,-6.4673707E-001,-6.5968205E-001,-1.1948184E+000,-6.4698664E-001,-6.6404384E-001,-1.2874793E+000,-6.4668071E-001,-6.6526643E-001,-1.2583369E+000
 6.7000702E+002, 2.9001070E+002, 0.0000000E+000,-2.1084975E+002,-5.5264916E+000,-1.0183713E+002,-3.8386068E-002, 1.0810279E-003, 0.0000000E+000,-2.9221441E+001,-2.8239984E+001,-6.9841309E-005, 6.3720817E-003, 1.5087732E-006,-7.6692628E-001,-8.9908939E-001,-7.2272591E-001,-8.2655713E-001,-8.6100790E-001,-8.0567830E-001,-6.7155907E-001,-6.8168991E-001,-9.5243779E-001,-6.4672923E-001,-6.5981546E-001,-1.1388914E+000,-6.4696425E-001,-6.6396317E-001,-1.2268671E+000,-6.4665930E-001,-6.6505076E-001,-1.2759958E+000
 6.8001373E+002, 2.8404272E+002, 0.0000000E+000,-2.0548129E+002,-5.3102868E+000,-1.0086694E+002,-3.7570560E-002,-6.2448932E-004, 0.0000000E+000,-2.8841415E+001,-2.7653992E+001,-4.7565132E-005, 6.2414990E-003,-5.5557310E-007,-7.6388150E-001,-9.1190670E-001,-7.2243332E-001,-8.3084108E-001,-8.6080121E-001,-7.9899643E-001,-6.7242192E-001,-6.8104373E-001,-9.2316257E-001,-6.4672597E-001,-6.5977110E-001,-1.1610403E+000,-6.4693595E-001,-6.6373696E-001,-1.2690195E+000,-6.4663434E-001,-6.6500040E-001,-1.2767560E+000
 6.9001453E+002, 2.7810200E+002, 0.0000000E+000,-2.0185592E+002,-4.9088512E+000,-9.9567289E+001,-3.6893313E-002, 1.2678403E-003, 0.0000000E+000,-2.9325752E+001,-2.8265677E+001,-1.2291456E-005, 6.1109438E-003,-3.4113469E-007,-7.6651905E-001,-8.9340418E-001,-7.1980797E-001,-8.3165023E-001,-8.6043296E-001,-7.7918266E-001,-6.7306498E-001,-6.8051182E-001,-9.1897257E-001,-6.4671640E-001,-6.5957377E-001,-1.1508263E+000,-6.4691379E-001,-6.6352531E-001,-1.2472010E+000,-6.4661638E-001,-6.6477401E-001,-1.2457994E+000
 7.0000464E+002, 2.7220528E+002, 0.0000000E+000,-1.9718680E+002,-6.1739250E+000,-9.8208711E+001,-3.6181832E-002,-3.9016454E-004, 0.0000000E+000,-3.0625224E+001,-2.9400724E+001,-5.7208358E-005, 5.9804934E-003,-1.3414057E-006,-7.6054781E-001,-8.9518639E-001,-7.2146660E-001,-8.2530396E-001,-8.5740117E-001,-7.8614490E-001,-6.7254708E-001,-6.8006537E-001,-9.1303326E-001,-6.4671480E-001,-6.5959252E-001,-1.1478086E+000,-6.4689903E-001,-6.6350926E-001,-1.2386323E+000,-6.4663094E-001,-6.6484270E-001,-1.2867690E+000
 7.1000159E+002, 2.6624660E+002, 0.0000000E+000,-1.9245143E+002,-5.2654962E+000,-9.7101483E+001,-3.5403149E-002, 1.2792400E-003, 0.0000000E+000,-2.9689620E+001,-2.8605930E+001,-1.4951896E-005, 5.8500485E-003, 3.2800336E-006,-7.5999282E-001,-8.9847416E-001,-7.2205656E-001,-8.1826268E-001,-8.5514419E-001,-7.7780698E-001,-6.7055749E-001,-6.7945532E-001,-9.1428655E-001,-6.4668116E-001,-6.5928249E-001,-1.1492223E+000,-6.4687723E-001,-6.6336477E-001,-1.2123454E+000,-6.4661780E-001,-6.6450761E-001,-1.2447561E+000
 7.2001477E+002, 2.6030653E+002, 0.0000000E+000,-1.8779758E+002,-5.2490346E+000,-9.5869083E+001,-3.4700769E-002,-9.6716023E-004, 0.0000000E+000,-2.9696235E+001,-2.8644839E+001,-3.3839437E-005, 5.7194592E-003,-7.5461721E-007,-7.5854358E-001,-8.9903696E-001,-7.2306777E-001,-8.1790920E-001,-8.5470427E-001,-7.8464705E-001,-6.6960788E-001,-6.7895248E-001,-8.9820569E-001,-6.4665975E-001,-6.5933784E-001,-1.1704597E+000,-6.4685722E-001,-6.6332025E-001,-1.2656003E+000,-6.4661279E-001,-6.6439712E-001,-1.2431944E+000
 7.3000140E+002, 2.5436984E+002, 0.0000000E+000,-1.8366897E+002,-5.3165614E+000,-9.4564511E+001,-3.3911584E-002,-8.5023061E-005, 0.0000000E+000,-3.0419790E+001,-2.9214203E+001,-3.4456428E-005, 5.5889484E-003, 5.5576359E-006,-7.5805936E-001,-8.4650753E-001,-7.2151013E-001,-8.1747846E-001,-8.5235089E-001,-7.5944305E-001,-6.7170401E-001,-6.7806740E-001,-9.0738605E-001,-6.4667069E-001,-6.5922792E-001,-1.1383169E+000,-6.4686879E-001,-6.6301124E-001,-1.2401679E+000,-6.4662261E-001,-6.6433969E-001,-1.3035282E+000
 7.4000098E+002, 2.4844782E+002, 0.0000000E+000,-1.7923106E+002,-5.4005684E+000,-9.3170135E+001,-3.3254174E-002, 2.4385253E-003, 0.0000000E+000,-3.0422632E+001,-2.9384765E+001,-4.6723414E-005, 5.4585301E-003,-2.0513933E-006,-7.5391648E-001,-8.4974793E-001,-7.2088758E-001,-8.1004798E-001,-8.4656271E-001,-7.5683065E-001,-6.7053492E-001,-6.7738924E-001,-9.0435317E-001,-6.4662724E-001,-6.5935657E-001,-1.1327890E+000,-6.4683815E-001,-6.6284231E-001,-1.2289361E+000,-6.4661609E-001,-6.6402064E-001,-1.1964212E+000
 7.5001318E+002, 2.4247587E+002, 0.0000000E+000,-1.7440881E+002,-5.4069538E+000,-9.1638971E+001,-3.2497440E-002,-4.6306949E-004, 0.0000000E+000,-3.0119620E+001,-2.9011831E+001,-2.8535153E-005, 5.3279308E-003, 5.5237995E-007,-7.5311131E-001,-8.6514997E-001,-7.1957862E-001,-7.9758484E-001,-8.4391198E-001,-7.6123398E-001,-6.6976061E-001,-6.7633382E-001,-8.8828257E-001,-6.4660450E-001,-6.5904129E-001,-1.1303262E+000,-6.4681718E-001,-6.6258920E-001,-1.2139074E+000,-6.4660964E-001,-6.6392666E-001,-1.2551977E+000
 7.6000854E+002, 2.3658537E+002, 0.0000000E+000,-1.7019602E+002,-5.6317300E+000,-9.0554788E+001,-3.1849088E-002, 3.4700300E-004, 0.0000000E+000,-3.0885394E+001,-2.9828677E+001,-3.7312078E-006, 5.1973546E-003, 4.9017071E-006,-7.5530062E-001,-8.3718422E-001,-7.1981715E-001,-7.9742330E-001,-8.4546235E-001,-7.5197594E-001,-6.6948749E-001,-6.7532857E-001,-9.0734477E-001,-6.4656844E-001,-6.5924186E-001,-1.1206694E+000,-6.4678758E-001,-6.6244175E-001,-1.2195281E+000,-6.4658669E-001,-6.6374700E-001,-1.2261546E+000
 7.7000867E+002, 2.3060743E+002, 0.0000000E+000,-1.6629131E+002,-4.7716607E+000,-8.9425148E+001,-3.1088709E-002,-8.7129101E-004, 0.0000000E+000,-3.0906862E+001,-2.9912649E+001,-2.1587038E-005, 5.0668825E-003, 2.9607914E-006,-7.5277254E-001,-8.3076999E-001,-7.1804975E-001,-7.9963289E-001,-8.4579047E-001,-7.4271011E-001,-6.6974554E-001,-6.7406801E-001,-9.0680148E-001,-6.4653663E-001,-6.5889644E-001,-1.1475695E+000,-6.4675090E-001,-6.6225826E-001,-1.2495485E+000,-6.4653727E-001,-6.6336422E-001,-1.2271700E+000
 7.8000690E+002, 2.2465389E+002, 0.0000000E+000,-1.6161618E+002,-5.1725949E+000,-8.8407921E+001,-3.0298503E-002, 2.5832147E-004, 0.0000000E+000,-3.1661901E+001,-3.0572851E+001,-6.7602876E-005, 4.9363408E-003,-2.7593193E-006,-7.5242936E-001,-8.4560038E-001,-7.2057305E-001,-7.9874227E-001,-8.4519380E-001,-7.5286019E-001,-6.6842792E-001,-6.7276384E-001,-9.0107659E-001,-6.4653269E-001,-6.5887040E-001,-1.1175938E+000,-6.4677877E-001,-6.6234529E-001,-1.2531850E+000,-6.4655305E-001,-6.6341985E-001,-1.2391481E+000
 7.9000659E+002, 2.1878036E+002, 0.0000000E+000,-1.5757354E+002,-5.5256759E+000,-8.7066348E+001,-2.9508767E-002, 1.8585175E-003, 0.0000000E+000,-3.2446438E+001,-3.1412851E+001,-2.1636469E-005, 4.8058621E-003, 2.5666875E-006,-7.4918742E-001,-8.2746900E-001,-7.1851999E-001,-7.8930187E-001,-8.3769434E-001,-7.5042647E-001,-6.6732462E-001,-6.7169421E-001,-8.9095677E-001,-6.4650636E-001,-6.5866876E-001,-1.0944214E+000,-6.4675981E-001,-6.6199864E-001,-1.1990678E+000,-6.4655031E-001,-6.6305174E-001,-1.2309555E+000
 8.0000177E+002, 2.1280680E+002, 0.0000000E+000,-1.5353055E+002,-5.0940553E+000,-8.5447471E+001,-2.8805580E-002,-9.0080550E-004, 0.0000000E+000,-3.2380535E+001,-3.1294986E+001,-3.8098501E-005, 4.6753623E-003,-1.2255806E-006,-7.4858675E-001,-8.2882158E-001,-7.1866550E-001,-7.9269944E-001,-8.4102799E-001,-7.4097007E-001,-6.6881300E-001,-6.7017394E-001,-8.8985129E-001,-6.4649679E-001,-6.5860335E-001,-1.1193218E+000,-6.4674120E-001,-6.6184946E-001,-1.2087902E+000,-6.4653870E-001,-6.6311140E-001,-1.2454024E+000
 8.1001251E+002, 2.0686493E+002, 0.0000000E+000,-1.4927145E+002,-5.5554577E+000,-8.4023288E+001,-2.8072545E-002, 1.7046959E-003, 0.0000000E+000,-3.2992567E+001,-3.2011634E+001,-2.5081623E-005, 4.5448204E-003, 3.0727004E-006,-7.4931778E-001,-8.0565858E-001,-7.1826017E-001,-7.8997616E-001,-8.4132520E-001,-7.2702519E-001,-6.6923854E-001,-6.6895197E-001,-8.8999998E-001,-6.4648985E-001,-6.5838071E-001,-1.1018286E+000,-6.4673529E-001,-6.6174956E-001,-1.1712139E+000,-6.4651638E-001,-6.6295339E-001,-1.2098970E+000
 8.2001105E+002, 2.0091462E+002, 0.0000000E+000,-1.4495007E+002,-5.4121592E+000,-8.3152972E+001,-2.7252298E-002,-4.2156755E-004, 0.0000000E+000,-3.3647378E+001,-3.2628252E+001,-8.3148861E-006, 4.4142321E-003, 4.9131883E-006,-7.4968574E-001,-7.9385357E-001,-7.1520826E-001,-7.9366447E-001,-8.3831887E-001,-7.2021827E-001,-6.6803464E-001,-6.6739647E-001,-8.9015123E-001,-6.4646746E-001,-6.5824809E-001,-1.0799542E+000,-6.4670730E-001,-6.6144115E-001,-1.2085185E+000,-6.4648661E-001,-6.6261224E-001,-1.2260622E+000
 8.3001544E+002, 1.9500256E+002, 0.0000000E+000,-1.4062155E+002,-4.7162744E+000,-8.1917454E+001,-2.6456931E-002, 7.5745038E-004, 0.0000000E+000,-3.3139256E+001,-3.2278411E+001,-3.2435874E-005, 4.2837012E-003, 1.6927610E-006,-7.4962713E-001,-7.9003096E-001,-7.1505523E-001,-7.8882305E-001,-8.3656098E-001,-7.2747445E-001,-6.6876352E-001,-6.6535018E-001,-8.8524456E-001,-6.4646026E-001,-6.5830491E-001,-1.0842023E+000,-6.4669064E-001,-6.6136126E-001,-1.1690108E+000,-6.4647270E-001,-6.6244961E-001,-1.2217258E+000
 8.4000989E+002, 1.8906821E+002, 0.0000000E+000,-1.3690088E+002,-5.7819738E+000,-8.0138803E+001,-2.5701960E-002, 4.2949523E-004, 0.0000000E+000,-3.4787763E+001,-3.3778716E+001, 2.1587269E-006, 4.1531891E-003, 3.5830078E-006,-7.4657404E-001,-7.6448872E-001,-7.0886224E-001,-7.9386108E-001,-8.3420523E-001,-7.1569685E-001,-6.6827643E-001,-6.6378791E-001,-8.7980074E-001,-6.4643934E-001,-6.5811859E-001,-1.0803731E+000,-6.4664184E-001,-6.6106503E-001,-1.2179470E+000,-6.4640927E-001,-6.6208757E-001,-1.1735838E+000
